"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Name.subject","Name.creator","Subject","Type.genre","Relation.isPartOf","Name.repository","Title","Description.adminnote","Alt ID.local","AltTitle.translated","Coverage.geographic","Format.dimensions","Format.extent","Date.creation","Date.normalized","Description.abstract","Description.note","AltTitle.firstLine","AltTitle.descriptive","Opac url","Finding Aid URL","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6qcn","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6qcn_2385101_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Binasco. Pianta del porticato del Castello.","","clus_902_b541_f1_06|~|Box 541, Folder 1, Item 6","","Binasco (Italy)","550 x 430 mm.","1 Ms. ink","1599","","""Binasco. Pianta del porticato del Castello,"" a inchiostro su carta.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6qcn","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6qcn/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6qd5","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6qd5_2385104_master.tif","","","","","","","","","","","","","","","","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Bracciano. Pianta di un terreno oggetto di una vertenza tra il Duca di Bracciano el l'Ospedale di S. Spirito in Roma.","","clus_902_b541_f1_07|~|Box 541, Folder 1, Item 7","","Bracciano (Italy)","350 x 550 mm.","1 Ms. ink","[16--]","1601/1700","""Bracciano. Pianta di un terreno oggetto di una vertenza tra il Duca di Bracciano el l'Ospedale di S. Spirito in Roma,"" a inchiostro e acquarello su carta.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6qd5","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6qd5/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6qfp","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6qfp_2385107_master.tif","","","","","","","","","","","","","","","","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Bracciano. Disegno raffigurante allegoricamente, con delle porte, alcuni feudi Orsini.","","clus_902_b541_f1_08|~|Box 541, Folder 1, Item 8","","Bracciano (Italy)","445 x 590 mm.","1 Ms. ink","[16--]","1601/1700","Bracciano. ""Disegno raffigurante allegoricamente, con delle porte, alcuni feudi Orsini:"" Trevignano, Anguillara, Bracciano, Cerveteri e Campagnano, a inchiostro su carta.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6qfp","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6qfp/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6qg6","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6qg6_2385110_master.tif","","","","","","","","","","","","","","","","","","Bracciano. Pianta del ducato 'olim Sabatie Regio.'","","clus_902_b541_f1_09|~|Box 541, Folder 1, Item 9","","Bracciano (Italy)","430 x 575 mm.","""A stampa."" Printed.","[16--]","1601/1700","""Bracciano. Pianta del ducato 'olim Sabatie Regio,'"" (copia 1) a stampa su carta.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6qg6","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6qg6/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6qj7","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6qj7_2385123_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Bracciano. Pianta di parte del monastero.","","clus_902_b541_f1_14|~|Box 541, Folder 1, Item 14","","Bracciano (Italy)","435 x 565 mm.","1 Ms ink","1641","","""Bracianno. Pianta di parte del monastero"" in Bracciano, con piante di fabbriche da farsi, fermata ""Horatio Torriani architetto,"" a inchiostro e acquarello su carta.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6qj7","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6qj7/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6qrb","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6qrb_2385200_master.tif","","","","","","","","","","","","","","","","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Roma. Pianta della Bocca di Fiumicino e Capo Due Rami.","","clus_902_b17_f1_11|~|Box 17, Folder 1, Item 11","","Roma (Italy)","270 x 405 mm.","1 Ms. ink","[16--]","1601/1700","""Roma. Pianta della Bocca di Fiumicino e Capo Due Rami,"" a inchiostro e acquarello.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6qrb","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6qrb/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6qsv","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6qsv_2385195_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Roma. Pianta che dimostra come sono situate le botteghe di legno che sono attorno al palazzo di Campo de' Fiori.","","Box 17, Folder 1, Item 10|~|clus_902_b17_f1_10","","Roma (Italy)","420 x 280 mm.","1 Ms. ink","[16--]","1601/1700","""Roma. Pianta che dimostra come sono situate le botteghe di legno che sono attorno al palazzo di Campo de' Fiori,"" a inchiostro e acquarello.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6qsv","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6qsv/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6qtc","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6qtc_2385203_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Roma - Palazzo Orsini a Monte Savelli.","","clus_902_b17_f1_11|~|Box 17, Folder 1, item 12","","Roma (Italy)","465 x 295","1 Mss.","1844","","Roma - Palazzo Orsini a Monte Savelli. Pianta, con annotazioni, dell'appartamento nobile del quarto destinato alla prelatura, a inchiostro e acquarello.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6qtc","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6qtc/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6qvw","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6qvw_2385206_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Palo. Disegno della cortina da farsi nella piazza di Palo.","","Box 17, Folder 1, Item 1|~|clus_902_b17_f1_1","","Palo - Roma (Italy)","295 x 440 mm.","1 Mss.","[16--]","1601/1700","Palo. Disegno della Cortina da farsi nella piazza di Palo, a matita, inchiostro e acquarello su carta.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6qvw","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6qvw/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6qwd","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6qwd_2385209_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Roma. Sezione e pianta del progetto di riduzione della scuderia di palazzo Osinis a Monte Savelli","","Box 17, Folder 1, Item 14|~|clus_902_b17_f1_14","","Roma (Italy)","285 x 400 mm.","1 Ms. ink","1858","","Roma - Palazzo Orsini a Monte Savelli. Sezione e pianta dello stato della scuderia prima dei lavori, a inchiostro e acquarello su carta.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6qwd","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6qwd/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6qxx","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6qxx_2385219_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Torre Flavia. Pianta dell'incastro da farsi al fosso di Vaccina per lo Stagno di Torre Flavia.","","clus_902_b17_f2_4|~|Box 17, Folder 2, Item 4","","Torre Flavia (Italy)","295 x 445 mm.","1 ms. ink","[16--]","1601/1700","""Torre Flavia. Pianta dell'incastro da farsi al fosso di Vaccina per lo Stagno di Torre Flavia,"" a inchiostro e acquarello su carta.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6qxx","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6qxx/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6qzf","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6qzf_2385222_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Vicarello. [Primo di] 2 prospetti del casino di Villa Flavia.","","clus_902_b17_f3_1|~|Box 17, Folder 3, Item 1","","Vicarello (Italy)","195 x 265 mm.","1 Ms. ink","[16--?]","1601/1700","""Vicarello. [Primo di] 2 prospetti del casino di Villa Flavia,"" probabilmente un progetto per il casino, a matita su carta.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6qzf","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6qzf/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6r0f","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6r0f_2385225_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Vicarello. [Secondo di] 2 prospetti [della chiesa] del casino di Villa Flavia.","","clus_902_b17_f3_2|~|Box 17, Folder 3, item 2","","Vicarello (Italy)","200 x 270 mm.","1 Ms. ink","[16--?]","1601/1700","""Vicarello. [Secondo di] 2 prospetti [della chiesa] del casino di Villa Flavia,"" a matita su carta.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6r0f","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6r0f/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6r1z","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6r1z_2385228_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Vicarello. Pianta del territorio esibita a favore del Collegio Germanico.","","Box 17, Folder 3, Item 6|~|clus_902_b17_f3_6","","Vicarello (Italy)","270 x 390 mm.","1 Ms. ink","1716","","Vicarello. ""Pianta del territorio esibita a favore del Collegio Germanico,"" con annotazioni di pozzi e condotti d'acqua; a inchiostro su carta.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6r1z","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6r1z/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6r2g","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6r2g_2385231_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Cerveteri. Pianta del quarto di Campo di Mare di Cerveteri spettante al Duca di bracciano.","","Box 16, Folder 1, Item 12|~|clus_902_b16_f1_12","","Cerveteri (Italy)","435 x 310 mm.","1 Ms. ink","1660","","""Cerveteri. Pianta del quarto di Campo di mare di Cerveteri spettante al Duca di Bracciano,"" a inchiostro e acquarello su carta.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6r2g","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6r2g/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6r8k","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6r8k_2385295_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Galera. Tenuta di S. Sauro. 4 piante della tenuta di san Sauro in territorio di Galera.","","Box 16, Folder 1, Item 16|~|clus_902_b16_f1_16","","Galera (Italy)","275 x 405 mm.","1 Ms. ink","1660","","""Galera. Tenuta di S. Sauro. 4 piante della tenuta di San Sauro in territorio di Galera"" (Pianta 3 - Simile alla ""Pianta di quarti particolari""), a matita e inchiostro su carta.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6r8k","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6r8k/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6r93","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6r93_2385298_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Bracciano. Pianta dei territori di Bracciano e di Trevignano, disegnata a mano su memoria a stampa concernente la causa tra Flavio e Lelio Orsini da una part e il Ven[eran]do Collegio Germanico dall'altra.","","clus_902_b16_f1_11|~|Box 16, Folder 1, Item 11","","Bracciano (Italy)","255 x 195 mm.","Stamp (A stampa e ms.)","1687","","""Bracciano. Pianta dei territori di Bracciano e di Trevignano, disegnata a mano su memoria a stampa concernente la causa tra Flavio e Lelio Orsini da una parte e il Ven[eran]do Collegio Germanico dall'altra. [Altra] copia della memoria senza il disegno;"" a nichiostro e acquarello su carta.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6r93","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6r93/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6sd4","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6sd4_2385331_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Gravina. Disegno del ponte, in pianta e in prospettiva da farsi in citta (con descrizione).","","clus_902_b16_f2_1|~|Box 16, Folder 2, Item 1","","Gravina (Italy)","340 x 485 mm.","1 Ms. ink","1748","","""Gravina. Disegno del ponte, in pianta e in prospettiva, da farsi in citta (con descrizione),"" a inchiostro e acquarello su carta montata su iuta.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6sd4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6sd4/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6sfn","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6sfn_2385334_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Napoli (Chiaia). Pianta di parte dell'ex-monastero di S. Maria in Protico, al secondo piano, con il progetto di ristrutturazione fatto degli Orsini.","","Box 16, Folder 3, item 18|~|clus_b16_f3_18","","Napoli (Italy)","225 x 405 mm.","1 Ms. ink","[ca. 1888]","","Napoli (Chiaia). Pianta di parte dell'ex-monastero di S. Maria in Protico, al secondo piano, con il progetto di ristrutturazione fatto degli Orsini, a inchiostro e acquarello su seta cerata.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6sfn","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6sfn/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6t71","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6t71_2385634_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Napoli (Chiaia). Pianta di parte dell'exmonastero di S. Maria in Portico, al primo piano, con il progetto di ristutturazione fatto degli Orsini.","","clus_902_b16_f3_16|~|Box 16, Folder 3, Item 16","","Napoli (Italy)","210 x 500 mm.","1 Ms. ink","1888","","Napoli (Chiaia). Pianta di parte dell'exmonastero di S. Maria in Portico, al primo piano, con il progetto di ristutturazione fatto degli Orsini, a inchiostro e acquarello su seta cerata.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6t71","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6t71/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6t8j","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6t8j_2385637_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Napoli (Chiaia). Pianta delle proprieta di Filippo Orsini Duca di Gravina e della Banca Tiberina accanto a S. Maria in Portico.","","clus_902_b16_f3_14|~|Box 16, Folder 3, Item 14","","Napoli (Italy)","225 x 485 mm.","1 Ms. ink","1888","","Napoli (Chiaia). Pianta delle proprieta di Filippo Orsini Duca di Gravina e della Banca Tiberina accanto a S. Maria in Portico, con indicazioni della permute di suolo fatta tra I due, a inchiostro e acquarello su seta cerata.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6t8j","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6t8j/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6t92","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz002k6t92_2385640_master.tif","","","","","","","","","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Monte Virginio. Disegno del ""cremitorio"" [d'Eremitorio], delineata a colori.","","Box 16, Folder 3, Item 11|~|clus_902_b16_f3_11","","Montevirginio (Italy)","375 x 245 mm.","1 Ms. ink","1651","","""Monte Virginio. Disegno del ""cremitorio"" [d'Eremitorio], delineata a colori,' a matita, inchiostro e acqaurello su carta.","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6t92","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6t92/manifest"
