Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,iiif_access_url,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.creatorCorporate,Subject,Name.subject,Language,Name.photographer,Name.interviewer,Name.creator,Name.interviewee,Name.contributor,Publisher.publisherName,Format.extent,Relation.isPartOf,Title,Date.creation,Description.abstract,Coverage.geographic,Description.tableOfContents,Coverage.temporal,AltTitle.uniform,Description.note,Source,Alt ID.local,Publisher.placeOfOrigin,Format.medium,Description.biographicalNote,Format.dimensions,Relation.relatedTo,Relation.hasPart
Mental Health Archive,ark:/21198/zz001d3f3v,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3f3v-1-master.pdf,28,,,,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,"Innes-Gomberg, Debbie",,,UCLA Center for History Culture and Neuroscience,2 p.,DMH Archive,A Roadmap to Transforming DMH Adult Systems of Care Programs,June 2005,A List of Tasks Necessary to Accomplish the Transformation of the DMH Adult Systems of Care Program.,Los Angeles County,,June-July 2005,,,County of Los Angeles/Department of Mental Health - ASOC Transformation Files,2005ASOCTransfRoadmap,,,,,,
Mental Health Archive,ark:/21198/zz001d3f4c,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3f4c-1-master.pdf,29,,,,data tables,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County--Budget|~|Mental Health Services--California--Mental Health Services Act of 2005,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,2 p.,DMH Archive,Future MHSA Fund Allocation Charts,2005,"One pie chart recommending funding allocation for fiscal years 2005-06 and 2006-07, and another presenting a 5 year funding allocation estimate.",Los Angeles County,,FY05-06 - FY 07-08,,,LA County Department of Mental Health -- ASOC Transformation Files,2005FutureMHSAFundingCharts,,,,,,
Mental Health Archive,ark:/21198/zz001d3f5w,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3f5w-1-master.pdf,30,,,,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County--Budget|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,"Southard, Marvin",,,UCLA Center for History Culture and Neuroscience,1 p.,DMH Archive,Talking Points for Center Discussions on Transformations,2005,"Loss of 115 Waiver, focus on FSP in the current fiscal year, use of the recovery scale, reconfiguration of services to provide treatment found to be best empirically, eventually shifting focus away from FSP and establishing balance, use of SA navigators.",Los Angeles County,,2005,,,LA County Department of Mental Health -- ASOC Transformation Files,2005TransformationTalkingPoints,,,,,,
Mental Health Archive,ark:/21198/zz001d3f6d,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3f6d-1-master.pdf,31,,,,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental health services--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,4 p.,DMH Archive,Curtailment Implementation - Impact Statement Form,2006,Mitigation Action 8 - Transformation of 1115 Waiver Services to MHSA; client transfers,Los Angeles County,,2005-2006,,,LA County Department of Mental Health -- ASOC Transformation Files,Transform 1115 Waiver To MHSA,,,,,,
Mental Health Archive,ark:/21198/zz001d3f7x,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3f7x-1-master.pdf,32,,,,data tables,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County--Budget|~|Mentally ill--Data--California--Los Angeles County,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,2 p.,DMH Archive,Service Levels by Funding Source and Age Group for Non Medi-Cal Outpatient Services - Fiscal Year 2002-2003,03/2002,DMH Service Levels by Funding Source and Age Groups for Non Medi-Cal Outpatient Services Fiscal Year 2002-2003,Los Angeles County,,2002-2003,,,LA County Department of Mental Health -- ASOC Transformation Files,NonMediCalOutpatient ServicesbyAge,,,,,,
Mental Health Archive,ark:/21198/zz001d3f8f,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3f8f-1-master.pdf,33,,,,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County,,eng,,,"Fullmore, Cora",,,LA County Department of Mental Health,8 p.,DMH Archive,Minds and Matters,05/2005,,Los Angeles County,In this issue:2. Director's Message3. Kerr's Kolumn;  Clinically Speaking4. May is Mental Health Month5. Outstanding Nurse; KUDOS; Retirees6. Co-occurring Mental Illness7. Project Search; Housing Quest8. Cora's Corner,May 2005,,,LA County Department of Mental Health -- ASOC Transformation Files,Department of Mental Health Newsletter,,,,,,
Mental Health Archive,ark:/21198/zz001d3f9z,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3f9z-1-master.pdf,34,,,,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental health services--California--Los Angeles County,,eng,,,"Innes-Gomberg, Debbie",,,UCLA Center for History Culture and Neuroscience,7 p.,DMH Archive,Full Service Partnership - Mental Health Services Act Adult Systems of Care Transformation,April-May 2006,,Los Angeles County,,2006,Correspondence between DMH and SEIU,"Correspondence between Debbie Innes-Gomberg, Denise Scates, an Interim Personel Officer at the Department of Mental Health, and Channing Hawkins, a field representative of the Service Employees International Union, discussing the implementation of the Full Service Partnership for the MHSA.",LA County Department of Mental Health -- ASOC Transformation Files,200604And05TransformationCorrDMHUnions,,,,,,
Mental Health Archive,ark:/21198/zz001d3fbg,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3fbg-1-master.pdf,35,,,,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County--Budget|~|Mental Health Services--California--Los Angeles County--Contract Clinics,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,1 p.,DMH Archive,Fiscal Year 06-07 Community Support Services - Transformation Only Contract Providers Form,2006,Funding Request Form for Contract Providers for Fiscal Year 2006-07,Los Angeles County,,FY 06-07,,,LA County Department of Mental Health -- ASOC Transformation Files,200607FYCSSTransfOnlyContract,,,,,,
Mental Health Archive,ark:/21198/zz001d3fc0,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3fc0-1-master.pdf,36,,,,data tables,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County--Budget|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental Health Services--California--Los Angeles County--Contract Clinics,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,1 p.,DMH Archive,Fiscal Year 2006-07 Community Support Services - Gross Program Contract Providers Form,2006,Contract Providers Form covering all aspects of the Community Support Services program. Some segments filled out.,LA County,,FY 2006-07,,,LA County Department of Mental Health -- ASOC Transformation Files,200607FYMHSACSSGrossProgContract,,,,,,
Mental Health Archive,ark:/21198/zz001d3fdh,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3fdh-1-master.pdf,50,,,,data tables,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County--Budget|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental Health Services--California--Los Angeles County--DMH Clinics|~|Mental Health Services--California--Los Angeles County--Contract Clinics,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,1 p.,DMH Archive,Fiscal Year 2006-07 Community Support Services - Gross Program Contract Providers and Directly Operated Clinics Summary,2006,Contract Providers and Directly Operated Clinics Form covering all aspects of the costs Community Support Services program. Some segments filled out.,LA County,,FY 2006-07,,,LA County Department of Mental Health -- ASOC Transformation Files,200607FYMHSACSSGrossProgContractDOClinics,,,,,,
Mental Health Archive,ark:/21198/zz001d3ff1,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3ff1-1-master.pdf,96,,,,data tables,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County--Budget|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental Health Services--California--Los Angeles County--DMH Clinics|~|Mental Health Services--California--Los Angeles County--Contract Clinics,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,1 p.,DMH Archive,Fiscal Year 2006-07 Community Support Services - Gross Program Contract Providers and Directly Operated Clinics Form,2006,Contract Providers and Directly Operated Clinics Form covering all aspects of the Community Support Services program. Some segments filled out.,LA County,,FY 2006-07,,,LA County Department of Mental Health -- ASOC Transformation Files,200607FYMHSACSSGrossProgContractDOClinicsForm,,,,,,
Mental Health Archive,ark:/21198/zz001d3fgj,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3fgj-1-master.pdf,84,,,,data tables,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County--Budget|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental Health Services--California--Los Angeles County--DMH Clinics,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,2 p.,DMH Archive,Fiscal Year 06-07 Community Support Services - Transformation Only Directly Operated Clinics Form,2006,Directly Operated Clinics Form coveringthe cost of Transformation through the Community Support Services program. Some segments filled out.  2nd page blank.,LA County,,FY 2006-07,,,LA County Department of Mental Health -- ASOC Transformation Files,200607FYMHSACSSTransfOnlyDOClinicsForm,,,,,,
Mental Health Archive,ark:/21198/zz001d3fh2,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3fh2-1-master.pdf,92,,,,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mentally ill--Care--California--Los Angeles County|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental health services--California--Los Angeles County,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,10 p.,DMH Archive,Board and Care Countywide Population Workgroup Final Report,2/28/2004,"Final Report of Board and Care Workgroup, with Bibliography, Prop 63 Cluster (DIG), Indicators for Residential Care Facilities, and Guidelines for Completing Needs Assessment Template.",Los Angeles County,,2004,,,LA County Department of Mental Health -- ASOC Transformation Files,20040228BoardandCareWorkgroupReport,,,,,,
Mental Health Archive,ark:/21198/zz001d3fjk,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3fjk-1-master.pdf,55,,,,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental health services--California--Los Angeles County|~|Mentally ill--Recovery--California--Los Angeles County|~|Mental Health Services--California--Los Angeles County--DMH Clinics|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,2 p.,DMH Archive,Transforming the DMH Adult System of Care: A Recovery-Focused Integrated Treatment Approach,2/28/2004,Status Report of ASOC Work Group for ASOC Transformation within Directly Operated Clinics,LA County,,2005,,,LA County Department of Mental Health -- ASOC Transformation Files,TransformDMHASOC,,,,,,
Mental Health Archive,ark:/21198/zz001d3fk3,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3fk3-1-master.pdf,66,,,,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,"Allen, Jim",,,UCLA Center for History Culture and Neuroscience,2 p.,DMH Archive,Adult Systems of Care Transformation Retreat Invite,03/01/2005,,LA County Department of Mental Health,,March-April 2005,,"Invitation to ASOC Transformation Retreat April 4, 2005",LA County Department of Mental Health -- ASOC Transformation Files,20050301TransformationRetreatInvite,,,,,,
Mental Health Archive,ark:/21198/zz001d3fmm,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3fmm-1-master.pdf,37,,,,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,3 p.,DMH Archive,Adult Systems of Care Transformation Workgroup Meeting Summary,03/08/2005,,LA County Department of Mental Health,,March-April 2005,,"Meeting Summary of ASOC Transformation Workgroup March 8, 2005, with agenda for April 4 retreat",LA County Department of Mental Health -- ASOC Transformation Files,20050308ASOCTransformWorkgroup,,,,,,
Mental Health Archive,ark:/21198/zz001d3fn4,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3fn4-1-master.pdf,64,,,,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,3 p.,DMH Archive,West Los Angeles Geographic Initiative Summary of Training to Support the Transformation of Adult Systems of Care,03/14/2005,,West Los Angeles,,March 2005,,"Summary of March 14, 2005, Meeting to set Staff Training Objectives and Action Steps for ASOC Transformation.  1 blank page.",LA County Department of Mental Health -- ASOC Transformation Files,20050314WestLAGITransformTraining,,,,,,
Mental Health Archive,ark:/21198/zz001d3fpn,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3fpn-1-master.pdf,57,,,,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental Health Services $z California,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,2 p.,DMH Archive,MHSA Community Services and Supports Principles Regarding Distribution of Funds Draft,03/15/2005,MHSA Principles for Distribution of Funds to Counties.  Draft for Stakeholder Input.,California,,2005-2008,,,LA County Department of Mental Health -- ASOC Transformation Files,2005-2008 Draft Funds Distribution Proposal,,,,,,
Mental Health Archive,ark:/21198/zz001d3fq5,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3fq5-1-master.pdf,59,,,,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,4 p.,DMH Archive,Update: Transformation of the Adult System of Care,03/19/2005,"Status Update 3/19/05 on Transformation Components:  Training, Staff and Program, Outcomes and Data Collection, Financial Management, Flex Funds",Los Angeles County,,March 2005,Transformation of the Adult System of Care Meeting Update Minutes,,LA County Department of Mental Health -- ASOC Transformation Files,ASOCTransUpdate,,,,,,
Mental Health Archive,ark:/21198/zz001d3frp,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3frp-1-master.pdf,67,,,,data tables,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental Health Services $z California,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,,DMH Archive,California Department of Mental Health Summary of Estimated Funding Amounts by Mental Health Services Component,03/30/2005,Summary of Estimated Funding Amounts by MHSA Component FY 2004-05 through 2007-08,California,,2004-2008,,,LA County Department of Mental Health -- ASOC Transformation Files,20050330CADMHEstMHSAFundingComponents|~|http://digilib.library.ucla.edu/neuropsych/pdf/masters/21198-zz001d3frp-1-master.pdf,,,,1 p.,,
Mental Health Archive,ark:/21198/zz001d3fs6,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3fs6-1-master.pdf,51,,,,manuscripts (document genre),,pd_holder,,ASOC Transformation Documents|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental health services--California--Los Angeles County|~|Mentally ill--Recovery--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,none given,,"Innes-Gomberg, Debbie|~|Daly, Kathleen|~|Southard, Marvin",UCLA Center for History Culture and Neuroscience,30 p.,DMH Archive,April 2005 Transformation Training Conference,4/04/2005,,Los Angeles County,"April 4, 2005 Los Angeles County Department of Mental Health Conference on Transforming the Adult System of Care: Achieving Recovery.  Program, Daly slide presentation, resource materials, and announcements of future conferences.  Other contributors include Richard Van Horn, Bruce Anderson, Ron Schraiber, Martha Long, and Mark Ragins.","Feb-April, 2005",,,LA County Department of Mental Health -- ASOC Transformation Files,Transforming the Adult System of Care:  Achieving Recovery,,,,,,
Mental Health Archive,ark:/21198/zz001d3ftq,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3ftq-1-master.pdf,102,,,,data tables,,,,ASOC Transformation Documents|~|Mental Health Services $z California,,eng,,,none given,,,,,DMH Database,MHSA Draft Age Group Indicators,Unknown,Draft table data about Age breakdown for MHSA,Los Angeles County,,,,,,http://digilib.library.ucla.edu/neuropsych/pdf/masters/21198-zz001d3ftq-1-master.pdf,DMH,,,,,
Mental Health Archive,ark:/21198/zz001d3fv7,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3fv7-1-master.pdf,54,,,,manuscripts (document genre),,pd_holder,,ASOC Transformation Documents|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental health services--California--Los Angeles County|~|Mental Health Services $z California,,eng,,,"Ott, John G. and Associates",,,UCLA Center for History Culture and Neuroscience,11 p.,DMH Archive,MHSA CSS Guidelines FAQ,4/6/2005,"Questions and Answers on the Community Services and Supports Plan for the MHSA.  Questions developed by CIMH staff during a planning retreat, March 23, 2005.  Answers drafted by Stephanie Gomez and Rose Pinard of JGO Associates.","Santa Monica, CA",,March-April 2005,,,County of Los Angeles Department of Mental Health -- MJ Southard Files,MHSA CSS Questions and Answers from the Guidelines and Related Documents,,,,,,
Mental Health Archive,ark:/21198/zz001d3fwr,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3fwr-1-master.pdf,80,,,,manuscripts (document genre),,pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,4 p.,DMH Archive,Transformation ASOC Update,04-10-2005,Status Update 4/10/05 on Transformation Components.  Needs to be rescanned.,Los Angeles County,,April 2005,Transformation ASOC Update Minutes 4-10-05,,LA County Department of Mental Health -- ASOC Transformation Files,http://digilib.library.ucla.edu/neuropsych/pdf/masters/21198-zz001d3fwr-1-master.pdf,,,,,,
Mental Health Archive,ark:/21198/zz001d3fx8,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3fx8-1-master.pdf,61,,,,,manuscripts (document genre),,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County,,eng,,,none given,,,DMH,,DMH Database,DMH to LACBOS Olive View Relief Hillview Amend,04/21/2005,,"Los Angeles, CA",,,,,DMH,http://digilib.library.ucla.edu/neuropsych/pdf/masters/21198-zz001d3fx8-1-master.pdf,,,,,,
Mental Health Archive,ark:/21198/zz001d3fzs,ark:/21198/zz001nf3sr,1,In progress,ChildWork,neuropsych/pdf/masters/21198-zz001d3fzs-1-master.pdf,52,,,,manuscripts (document genre),,pd_holder,,ASOC Transformation Documents|~|Mentally ill--Care--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Budget|~|Mental Health Services--California--Los Angeles County--DMH Clinics|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,"Tower, Len",,,UCLA Center for History Culture and Neuroscience,6 p.,DMH Archive,Arcadia Wellness Proposal Draft,04/27/2005,Initial transformation proposal presented by Arcadia Mental Health Center:  the San Gabriel Valley Family Wellness Center(SGVFWC.),"Arcadia, CA",,April-May 2005,,,LA County Department of Mental Health -- ASOC Transformation Files,Arcadia Family Wellness Center Draft Proposal,,,,,,
