Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,viewingHint,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.creatorCorporate,Subject,Name.subject,Language,Name.photographer,Name.interviewer,Name.creator,Name.interviewee,Name.contributor,Publisher.publisherName,Format.extent,Relation.isPartOf,Title,Date.creation,Description.abstract,Coverage.geographic,Description.tableOfContents,Coverage.temporal,AltTitle.uniform,Description.note,Alt ID.local,Publisher.placeOfOrigin,Format.medium,Description.caption,Format.dimensions,Relation.hasPart,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Mental Health Archive,ark:/21198/zz0026vszc,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026vszc_1793187_master.tif,7,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Child Psychiatry,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Photo Archive,Children Sitting Behind Fence (Negative),,,California,,,,Not printed|~|Children on a playground or outside area sitting on benches. Archive contains photo negative.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026vszc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026vszc/manifest
Mental Health Archive,ark:/21198/zz0026vt0c,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026vt0c_1793190_master.tif,8,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Child Psychiatry,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Photo Archive,Boy Standing Behind Fence (Negative),,,California,,,,Boy patient at an outdoor area behind a fence.  Archive contains the photo negative.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026vt0c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026vt0c/manifest
Mental Health Archive,ark:/21198/zz0026vt2d,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026vt2d_1793314_master.tif,10,,,,private,,,,,,LA Times Photos (Mental Health Archive)|~|Psychiatric hospitals--California,,,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Photo Archive,Veteran's Adminstration Patient Artist,5/2/1966,,,,,,,,,,"Printed caption reads: ART EXHIBIT- Veteran's Administration Hospital patient draws picture for, from left, Mrs. Harold S. Spaulding, Jason D. Wong, and  Mrs. Joseph T. Barnett, who are selecting items for County Mental Health Association's therapeutic arts exhibit.",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026vt2d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026vt2d/manifest
Mental Health Archive,ark:/21198/zz0026vt3x,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026vt3x_1793303_master.tif,11,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Psychiatric hospitals--California,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Photo Archive,Discharged Patient at Sepulveda Veteran's Hospital,12/12/1965,,California,,,,,,,,Printed caption reads: THE WORLD AWAITS HIM- A discharged psychiatric patient at Sepulveda Veterans Hospital takes the long walk out front door.,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026vt3x,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026vt3x/manifest
Mental Health Archive,ark:/21198/zz0026vt5z,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026vt5z_1793493_master.tif,13,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Psychiatric hospitals--California,,eng,,,,,,,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Photo Archive,Hospital Staff Treating Patient (Negative),,,California,,,,Doctor injects patient while someone else holds a vial connected to the needle and a nurse stands over the patient.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026vt5z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026vt5z/manifest
Mental Health Archive,ark:/21198/zz0026vt70,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026vt70_1793529_master.tif,15,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Mentally ill--Care--California--Los Angeles County,Alan Glasser,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Library Los Angeles Times Photo Archive,Reiss-Davis Clinic Psychologist with Boy Patient,8/21/1955,,California,,,,,,,,"Printed caption reads: PLAY THERAPY- Dr. Alan Glasser, Reiss-Davis Clinic psychologist, uses play therapy to study boy's emotional problems.  Through child's play, a psychologist can learn what causes his emotional disturbances.",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026vt70,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026vt70/manifest
Mental Health Archive,ark:/21198/zz0026vt8h,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026vt8h_1793772_master.tif,17,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Mental Health Services--California--Los Angeles County--Contract Clinics,"Underwood, Ron",eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Photo Archive,California Youth Authority Center Group Weight Lifting Class,8/24/1955,,California,,,,California Youth Authority Staff instructing young men lifting weights in a group therapy class.,,,,Printed caption reads: GROUP THERAPY- Ron Underwood conducts session in group therapy at California Youth Authority Center. Class in weight-lifting is one of therapies prescried for certain types of overagressive youths.,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026vt8h,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026vt8h/manifest
Mental Health Archive,ark:/21198/zz0026vt91,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026vt91_1793775_master.tif,19,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Mental Health Archive,"Brickman, H.R.",eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Photo Archive,Dr. H.R. Brickman,8/24/1955,,California,,,,Close up of Dr. H.R. Brickman.,,,,"AT NORWALK- Dr. H.R. Brickman, medical director of psychiatric phase of Norwalk reception center.",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026vt91,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026vt91/manifest
Mental Health Archive,ark:/21198/zz0026vtc2,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026vtc2_1793913_master.tif,21,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Mental Health Services--California--Mental Health Services Act of 2005,"Durfee, M. B.",eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Photo Archive,Pasadena Child Guidance Clinic Psychiatrist Play Therapy,8/23/1955,,"Pasadena, California",,,,Pasadena Child Guidance Clinic psychiatrist using puppets in play therapy with a young girl,,,,"Printed caption reads: PLAY THERAPY- Dr. M.B. Durfee, chief psychiatrist at Pasadena Child Guidance Clinic, tries play therapy on one of the younger patients at the clinic.",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026vtc2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026vtc2/manifest
Mental Health Archive,ark:/21198/zz0026vtdk,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026vtdk_1793916_master.tif,22,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Child Psychiatry,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Photo Archive,Dr. Marion Firor Chief School Psychiatrist,8/23/1955,,California,,,,Female school psychiatrist poses with toys used in play therapy.,,,,"Printed caption reads: TELLS NEED FOR PSYCHIATRISTS- Dr. Marion Firor, chief school psychiatrist, shown with toys used in play therapy, tells crying need for more psychiatrists.",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026vtdk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026vtdk/manifest
Mental Health Archive,ark:/21198/zz0026vtf3,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026vtf3_1793919_master.tif,23,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Child Psychiatry|~|Psychiatric hospitals--California,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Photo Archive,Camarillo State Hospital Boy Patient,8/21/1955,,"Camarillo, California",,,,Boy sitting on the ground alone at Camarillo State Hospital.,,,,"Printed caption reads: WHAT LIES AHEAD?-Child sits alone in courtyard of the children's ward at Camarillo State Hospital, newest and largest mental institution in State, starved for affection and wondering what future has in store for him.  The problems at Camarillo will be told in a future article.",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026vtf3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026vtf3/manifest
Mental Health Archive,ark:/21198/zz0026w9c8,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026w9c8_1794274_master.tif,24,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Child Psychiatry,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Photo Archive,L.A State Mental Hygiene Clinic Boy Patient and His Mother,8/21/1955,,"Los Angeles, CA",,,,Backview of a mother and son entering L.A. State Mental Hygiene Clinic.,,,,"STATE SPONSORED- Mother takes child into L.A State Mental Hygiene Clinic, only State-sponsored institution of type and one of only 12 full-time clinics in the entire county for emotionally upset children.",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026w9c8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026w9c8/manifest
Mental Health Archive,ark:/21198/zz0026wbcr,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026wbcr_1794332_master.tif,25,,,,private,,still image,,,,LA Times Photos (Mental Health Archive)|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Child Psychiatry,"Lucas, W.",eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Library Los Angeles Times Photo Archive,Reiss-Davis Clinic Psychologist Dr. W. Lucas Adminsters Rorschach Test to Child,8/21/1955,,,,,,Dr. W. Lucas administering Rorschach test to a boy patient.,,,,"Printed caption reads: INK BLOT TEST- What does he see?  Dr. W. Lucas, clinical psychologist at Reiss-Davis, gives Rorschach ink blot test to boy in search for basis of emotional upset.",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026wbcr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026wbcr/manifest
Mental Health Archive,ark:/21198/zz0026wbd8,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026wbd8_1794379_master.tif,26,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Mental Health Services--California--Mental Health Services Act of 2005,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Photo Archive,Ventura School for Girls Parolees,6/26/1955,,"Ventura, California",,,,Two young women with suitcases walking away from Ventura School.,,,,Printed caption reads: BACK TO FREEDOM- Other inmates wave to girl parolees leaving Ventura School for Girls which looks more like a country club than a State penal institution.,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026wbd8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026wbd8/manifest
Mental Health Archive,ark:/21198/zz0026wbfs,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026wbfs_1794421_master.tif,27,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Mental Health Services--California--Mental Health Services Act of 2005,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Photo Archive,Fred C. Nelles School for Boys Delinquents,6/26/1955,,"Whittier, CA",,,,Close up of young men marching together (printed image only shows their feet).,,,,"Printed caption reads: MARCHING FEET- Juvenile deliquents at Fred C. Nelles School for Boys in Whittier march to work.  Once an institution where brutality caused teen-agers to kill themselves, the school now offers trips to the beach and movies for obedience, Lost Privilege cottage for bad boys.",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026wbfs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026wbfs/manifest
Mental Health Archive,ark:/21198/zz0026wbg9,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026wbg9_1794424_master.tif,28,,,,private,,still image,,,copyrighted,LA Times Photos (Mental Health Archive)|~|Mental Health Services--California--Los Angeles County--DMH Clinics,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Library Los Angeles Times Archive,Ventura School for Girls Inmates at Altar,6/30/1955,,"Ventura, CA",,,,Three young women kneeling and one standing in front of an altar.,,,,Printed caption reads: BUILT BY INMATES- Ventura School for Girls inmates worship before shrine to the Madonna which they constructed.  Girls attend Ventura churches on Sundays.,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026wbg9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026wbg9/manifest
Mental Health Archive,ark:/21198/zz0026wbht,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026wbht_1794427_master.tif,29,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive),"Willis, P.E. (Mrs.)|~|McFinnis, James|~|Neeley, William B.",eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Photo Archive,"Dr. James McFinnis, Mrs. P.E. Willis, and William B. Neeley Launch the New Mental Health Foundation",10/10/1955,,"Los Angeles, CA",,,,Close up of three city leaders announcing the new Mental Health Foundation.,,,,"NEW FOUNDATION- Among city leaders who launched the new Mental Health Foundation, Inc., yesterday are, from left, Dr. James McFinnis, General Hospital chief psychiatrist; Mrs. P.E. Willis, president, Los Angeles District, California Federation of Women's Clubs, and Superior Court Judge William B. Neeley.",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026wbht,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026wbht/manifest
Mental Health Archive,ark:/21198/zz0026wbjb,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026wbjb_1794430_master.tif,30,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Psychiatric hospitals--California,"Alexander, Frank|~|Schwartz, Steven|~|Von Bartalanffy, Ludwig",eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Archive,"Mt. Sinai Hospital Staff Members Dr. Frank Alexander, Ludwig von Bartalanffy, and Dr. Steven Schwartz",12/12/1955,,"Los Angeles, CA",,,,Close up of three staff members at the new Mt. Sinai psychiatric department.,,,,"Printed caption reads: STAFF- Key personel in new psychiatric department of Mt. Sinai Hospital. From left, Dr. Frank Alexander, Ludwig  von Bartalanffy, and Dr. Steven Schwartz.",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026wbjb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026wbjb/manifest
Mental Health Archive,ark:/21198/zz0026wbkv,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026wbkv_1794433_master.tif,31,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Psychiatric hospitals--California,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Photo Archive,Christmas Gifts for State Mental Hospitals,12/21/1956,,California,,,,Male hospital adminstrator handing over wrapped Christmas to a woman therapist and young boy patient.,,,,"Printed caption reads: HOSPITAL GIFTS- Rusty Hamer, 9, and Occupational Therapist Sally Norell help E.H. Lewis (or B.H. Lewis, unclear from original caption), chairman of executive committee of Mental Health Foundation, load part of 45,000 gifts collected for the patients at four State mental hospitals.",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026wbkv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026wbkv/manifest
Mental Health Archive,ark:/21198/zz0026wbmc,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026wbmc_1794445_master.tif,32,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive),"Cooper, Lawrence T.|~|McMillen, Wayne",eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Library,Lawrence T. Cooper and Dr. Wayne McMillen Map Mental Health Plan,6/19/1957,,California,,,,Close up of two male county adminstrators.,,,,"OPEN INVESTIGATION- Lawrence T. Cooper, left, chairman of Mental Healh Survey Commission, and Dr. Wayne McMillen, executive director, map plans for 18-month study into mental health in the county.",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026wbmc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026wbmc/manifest
Mental Health Archive,ark:/21198/zz0026wbnw,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026wbnw_1794454_master.tif,33,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive),"Hume, Portia Bell|~|Ziemann, J. Howard",eng,,,,,,Los Angeles Times,,UCLA History of Mental Health|~|UCLA Special Collections Los Angeles Times Photo Archive,Dr. Portia Bell Hume and Judge J. Howard Ziemann State Mental Health Leaders,6/21/1957,,"Los Angeles, CA",,,,Close up of one male and one female county adminstrator.,,,,Printed caption reads: MENTAL HEALTH LEADERS- Dr. Portia Bell Hume of State Department of Mental Hygiene confers with Superior Judge J. Howard Ziemann at meeting where she explained how Los Angeles could double mental health services without spending additional money.,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026wbnw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026wbnw/manifest
Mental Health Archive,ark:/21198/zz0026wbpd,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/masters/21198-zz0026wbpd_1794457_master.tif,34,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Psychiatric hospitals--California,"Stone, Lou|~|Ziegler",eng,,,,,,Mirror News,,UCLA History of Mental Health Archive|~|UCLA Special Collections Los Angeles Times Photo Archive,Gateways Hospital Psychotherapists Dr. Ziegler and Dr. Lou Stone,4/28/1958,,"Los Angeles, CA",,,,2 male therapists conducting a group therapy session with patients.,,,,"STIMULATING, CHALLENGING FORUM FOR MENTAL REHABILITATION- Dr. Ziegler (r) and Dr. Lou Stone conduct group psychotherapy at Gateways.",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026wbpd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026wbpd/manifest
