"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Type.typeOfResource","Rights.servicesContact","Name.subject","Name.creator","Description.note","Alt ID.local","Opac url","Title","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qk44","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qk44_734202_master.tif","","","","","","still image","","Brown, Bob, 1886-1959","","","Box 110","","Bob Brown as a child [photograph]","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qk44","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qk44/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qk5n","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qk5n_734208_master.tif","","","","","","still image","","Brown, Bob, 1886-1959","","","Box 110","","Bob Brown [photograph]","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qk5n","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qk5n/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qk65","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qk65_734214_master.tif","","","","","","still image","","Brown, Bob, 1886-1959","","","Box 110","","Bob and Rose Brown seated on a couch [photograph]","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qk65","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qk65/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qk7p","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qk7p_734222_master.tif","","","","","","still image","","Brown, Bob, 1886-1959","","","Box 110","","Bob Brown [photograph]","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qk7p","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qk7p/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qk9q","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qk9q_734236_master.tif","","","","","","still image","","Brown, Bob, 1886-1959","","signed ""Best love, Robert""","Box 110","","Bob Brown as a boy [photograph]","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qk9q","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qk9q/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qkcr","ark:/21198/zz00151t7f","1","In progress","Work","brown/masters/21198-zz0019qkcr_734247_master.tif","","","private","","","still image","","Brown, Bob, 1886-1959","","","Box 110","","Bob Brown, three poses [photograph]","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qkcr","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qkcr/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qkfs","ark:/21198/zz00151t7f","1","In progress","Work","brown/masters/21198-zz0019qkfs_734253_master.tif","","","private","","","still image","","Brown, Bob, 1886-1959","","","Box 110","","Bob Brown as a young man [photograph]","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qkfs","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qkfs/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qkjb","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qkjb_734268_master.tif","","","","","","still image","","Brown, Bob, 1886-1959","","Brown, wearing hat, seated holding monkey sculpture, in front of chest of drawers with small sculptures.","Box 110","","Bob Brown [photograph]","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qkjb","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qkjb/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0019qkmc","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0019qkmc_734272_master.tif","","","","","","still image","","","","","Box 110","","Eleanor Brown in New York, July 1957 [photograph]","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qkmc","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qkmc/manifest"
"Brown (Bob) Papers. Collection 723","ark:/21198/zz0025dtnz","ark:/21198/zz00151t7f","2","Completed","Work","brown/masters/21198-zz0025dtnz_1685653_master.tif","","","","","","still image","","Brown, Bob, 1886-1959","","Captioned ""Rio, Diario da noite.""","Box 110","","Rose Brown, seated at typewriter, unidentified man and Bob Brown, standing [photograph]","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dtnz","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025dtnz/manifest"
