File name,Original language title,Translated Title,Alternative title,Creator,Contributor,Publisher,Publisher.place,Date.created,Date.created (single),Language | code,TypeOfResource,Genre,Extent,Dimensions,Insitution/Repository,collection name,collection number,box number,folder number,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Abstract | eng,Note.content,Subject.topic,Subject.temporal,Digital Collection Title,Latitude/longitude,Subject.place
barb_eph_ab0012.pdf,Annual Achievement Day 1969,,,Barbados 4 - H Clubs,,Barbados 4 - H Clubs,Barbados,1969,1969,eng,text,booklets |~| agriculture,13 pages,21.5 cm x 16.2 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,2,public domain,published,Barbados Department of Archives,"Achievement Day celebrations held on the Deacons Road Farm on Saturday, 3rd May, 1969. Contains program of events, athletics, prize list, list of judges and donors, and names and addresses of clubs.",,Agricultural Exhibitions |~| Agriculture |~| Exhibitions |~| Animals |~| Competitions |~| Athletics,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0013.pdf,District Agricultural Show 1974,,,Ministry of Agricultural Science and Technology,,Ministry of Agricultural Science and Technology,Barbados,November 1974,1974-11-01/1974-11-30,eng,text,booklets |~| agriculture,17 pages,24 cm x 17.5 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,2,public domain,published,Barbados Department of Archives,"Agricultural show held at the Home Agricultural Station, St. Philip, on November 6th & 7th, 1974. Contains forewords, program of events, list of donors (local and overseas) and participants, and site/event planning photographs.",,Agricultural Exhibitions |~| Exhibitions |~| Animals |~| Agriculture,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Philip (Barbados)
barb_eph_ab0014.pdf,National Agricultural Show 1975,,,Ministry of Agricultural Science and Technology,,Ministry of Agricultural Science and Technology,Barbados,November 1975,1975-11-01/1974-11-30,eng,text,booklets |~| agriculture,19 pages,24 cm x 17.5 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,2,public domain,published,Barbados Department of Archives,"Agricultural show held at the Home Agricultural Station, St. Philip, on November 19th & 20th, 1975. Contains rules of the show, prize list, youth competitions, and notes on preparation of animals for the show.",,Agricultural Exhibitions |~| Exhibitions |~| Animals |~| Agriculture,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Philip (Barbados)
barb_eph_ab0015.pdf,National Agricultural Exhibition 1976,,,"Ministry of Agriculture, Food and Consumer Affairs",,"Ministry of Agriculture, Food and Consumer Affairs",Barbados,December 1976,1976-12-01/1976-12-31,eng,text,booklets |~| agriculture,15 pages,24 cm x 16.5 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,2,public domain,published,Barbados Department of Archives,"Agricultural show held at the Home Agricultural Station, St. Philip on December 8th & 9th, 1976. Contains forewords, program of events, lists of participants and donors, and photographs of animals.",,Agricultural Exhibitions |~| Exhibitions |~| Animals |~| Agriculture,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Philip (Barbados)
barb_eph_ab0016.pdf,Agro Tech '86: An Agricultural Exhibition,,,Barbados Agricultural Society,,Barbados Agricultural Society,Barbados,June 1986,1986-06-01/1986-06-30,eng,text,booklets |~| agriculture,31 page,23.2 cm x 15.3 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,2,public domain,published,Barbados Department of Archives,"Agricultural exhibition held at the Grotto, Beckles Road, St. Michael, from Friday 13th to Sunday 15th June, 1986. Contains forewords, introduction to the Barbados Agricultural Society, the event program, information on the agricultural trading company, site layout and descriptions of facilities, and advertisement for various agricultural services (ex. fertilizers, fences, irrigation systems, etc.). The Barbados Agricultural Society is an agricultural organisation which has been in existence for over 150 years in Barbados. This organisation was established in 1845 by an Act of Parliament and seeks to represent the interests of the agricultural society.",,Agricultural Exhibitions |~| Exhibitions |~| Animals |~| Agriculture,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0017.pdf,General Assembly Tercentenary Commemoration Meeting,,,Barbados House of Assembly,,Barbados House of Assembly,Barbados,"June 26, 1939",1939-06-26,eng,text,programs (documents),3 pages,33.2 cm x 20.5 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,3,public domain,published,Barbados Department of Archives,"General Assembly 15th Tercentenary Commemoration Meeting (Fifteenth Meeting, Session 1939-40). Held on Monday, 26th June, 1939. Contains list of members and officers of the General Assembly, and the orders of the day (passing addresses and resolutions). The Parliament of Barbados, formerly referred to as the General Assembly, was established on 26th June, 1639 and is the third oldest in the Americas and amongst the oldest in the Commonwealth.",,Anniversaries |~| Politics,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0018.pdf,Bajan Consumer League's Induction Night,,,Bajan Consumer League,,Bajan Consumer League,Barbados,"April 29, 1971",1971-04-29,eng,text,invitations,4 pages,21.5 cm x 16.5 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,3,public domain,published,Barbados Department of Archives,"Invitation to Bajan Consumer League's ""Induction Night"" at Unity House, Roebuck Street, St. Michael, on Thursday, April 29, 1971. Contains event program, list of members in the advisory board and executive council, and a ""Just for You"" note at the end.",,"Associations, institutions, etc. |~| Events",20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0019.pdf,"Joint newsletter by the churches of St. John's, St. James, St. Luke and St. Boniface",,,St. John's Cathedral Church |~| St. James Church |~| St. Luke Church |~| St. Boniface Church,,St. James Church,Barbados,Between 1960 and 1980,1960/1980,eng,text,newsletters,4 pages,"16.5 cm x 10.7 cm (folded), 34 cm x 21.5 cm (unfolded)",Barbados Department of Archives,Ephemera Collection,C319,A - B,3,public domain,published,Barbados Department of Archives,"A combined newsletter by the Saint John, Saint James, Saint Luke, Saint Boniface churches containing information on historical books in the Bible (Joshua, Judges, Ruth, etc.), request for prayers, a Mother's Union bulletin notice, and a statement of fair account of St. James Church.",,Liturgies |~| Prayers |~| Religion,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",
barb_eph_ab0020.pdf,"""The Diocese of Barbados 1824-1974"" Exhibition",,,Anglican Church |~| Barbados Arts Council,,Diocese of Barbados,Barbados,1974,1974,eng,text,exhibition catalogs,7 pages,28 cm x 18 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,3,public domain,published,Barbados Department of Archives,"Brochure for the exhibition ""The Diocese of Barbados 1824-1974,"" presented by the Anglican Church in Barbados in association with the Barbados Arts Council. The exhibition consisted of paintings, photographs, prints and documents and was held at the Queen's House, Queen's Park, Bridgetown. The brochure contains a numbered list of photographs, prints and paintings.",,Anniversaries |~| Exhibitions |~| Church |~| Church anniversaries,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0021.pdf,"Barbados Centenary Celebrations of the Mother's Union 1876 - 1976: ""Celebrate and Evaluate''",,,Barbados Mothers'Union,,Diocese of Barbados,Barbados,1976,1976,eng,text,booklets,5 pages,21.5 cm x 14 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,3,public domain,published,Barbados Department of Archives,"A programme of events for the Barbados Centenerary Celebrations of the Mothers' Union 1876 - 1976 with the slogan ""Celebrate and Evaluate."" Contains local events as well as events to be held centrally in England.",,Anniversaries |~| Events |~| Non-governmental organizations,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",
barb_eph_ab0022.pdf,Diocese of Barbados: Service of Institution - 1976,,,Diocese of Barbados,,Diocese of Barbados,Barbados,1976,1976,eng,text,booklets,9 pages,21.7 cm x 14 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,3,public domain,published,Barbados Department of Archives,"Service of Institution booklet containing religious service procession (introduction, liturgy of the word, sermon, the institution, post-communion prayer).",,Liturgies |~| Clergy,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",
barb_eph_ab0023.pdf,"Official Ceremony Marking the Establishment of the Barbados Library, Archives and Information Centre Network",,,Barbados Library Association,,Barbados Library Association,Barbados,"December 16, 1982",1982-12-16,eng,text,programs (documents),2 pages,21 cm x 13 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,3,public domain,published,Barbados Department of Archives,"Program of events for the official ceremony marking the establishment of the Barbados Library, Archives and Information Centre Network. Held at Dover Convention Centre on Thursday, December 16, 1982.",,Archives |~| Library |~| Culture |~| Information services,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Christ Church (Barbados)
barb_eph_ab0024.pdf,10th Anniversary Celebrations - Nation Newspaper,,,"""The Nation"" Newspaper",,"""The Nation"" Newspaper",Barbados,"July 24, 1987",1987-07-24,eng,text,programs (documents),4 pages,21.5 cm x 14 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,3,public domain,published,Barbados Department of Archives,"Program for the official opening of the exhibition of photographs and old newspapers at Nation House Annexe, Fontabelle on Sunday, November 20, 1983. Contains foreword and program of events. ""The Nation"" newspaper started publication in 1973 and is one of Barbados' most widely circulated and read newspaper.",,Anniversaries |~| Newspapers,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0025.pdf,"International Credit Union Week 1998: ""The Uniqueness of Credit Unions""",,,Barbados Public Workers' Co-Operative Credit Union Limited (BPWCCUL),,Barbados Public Workers' Co-Operative Credit Union Limited (BPWCCUL),Barbados,October 1988,1988-10-01,eng,text,programs (documents),2 pages,43.1 cm x 28 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,3,public domain,published,Barbados Department of Archives,Program of events for the Credit Union Week 1988.,,Credit unions |~| Events,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",
barb_eph_ab0026.pdf,World Heart Day,,,Heart Foundation of Barbados Inc.,,Heart Foundation of Barbados Inc.,Barbados,Between 1980 and 2000,1980/2000,eng,text,fliers (printed matter),1 page,27.8 cm x 21.6 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,3,public domain,published,Barbados Department of Archives,"Program of activities held in honour of World Heart Day, including free health checks, healthy heart lectures, and aerobics activities.",,Health |~| Events,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0027.pdf,Airport '88 - Barbados: 50th Anniversary Celebrations,,,Grantley Adams International Airport,,Grantley Adams International Airport,Barbados,October 1988,1988-10-01/1988-10-31,eng,text,programs (documents),4 pages,29.8 cm x 21 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,3,public domain,published,Barbados Department of Archives,"Program of events at different locations throughout the island celebrating the Barbados International Airport's 50th anniversary. Formerly named Seawell Airport, it consisted only of a landing strip in 1938 and the first terminal opened in 1949. In 1976, the airport was dedicated posthumously in honour of the first Prime Minister of Barbados, Sir Grantley Herbert Adams.",,Anniversaries |~| Airport authorities |~| Events,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Philip (Barbados)
barb_eph_ab0028.pdf,Observance for Commonwealth Day,,,Royal Commonwealth Society - Barbados Branch,,Royal Commonwealth Society - Barbados Branch,Barbados,1990,1990,eng,,booklets,16 pages,21.5 cm x 15 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,3,public domain,published,Barbados Department of Archives,"Booklet of observance, containing Commonwealth aims & objectives, order of observance, message from the Queen, procession of flags, national anthem, and concluding prayers (including Baha'i, Buddhist, Christian, Muslim). Commonwealth Day is an annual celebration of the Commonwealth of Nations, an association of 54 member states which were former territories of the British Empire. This day is observed annually on the second Monday in the month of March.",,Commonwealth countries |~| Anniversaries,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0029.pdf,Library Association of Barbados 25th Anniversary Celebration: Our Heritage in Music and Dance,,,Barbados Library Association,,Barbados Library Association,Barbados,"May 6, 1993",1993-05-06,eng,text,programs (documents),11 pages,21.6 cm x 14 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,3,public domain,published,Barbados Department of Archives,"Program of events to celebrate the 25th anniversay of the Library Association of Barbados, held on May 26,1993 in Frank Collymore Hall. Contains order of events and biographical notes on the various musical groups (university choir, steel orchestra, dance experience, etc.)",,Library |~| Anniversaries |~| Library outreach programs,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0030.pdf,Celebration of the Holy Eucharist to Commemorate 150 Years of Public Library Service in Barbados,,,Barbados Public Library Service,,Barbados Public Library Service,Barbados,"October 19, 1997",1997-10-19,eng,text,booklets,31 page,20.5 cm x 14.5 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,3,public domain,published,Barbados Department of Archives,"Celebration of the Holy Eucharist to commemorate 150 years of Public Library Service in Barbados. Held at the St. Mary's Anglican Church, Bridgetown, on October 19, 1997. Contains info on St. Mary's Church, and the religious service (intro hymn, the collect for purity, the gospel, the sermon intercession, offerings, Communion, and dismissal).",,Anniversaries |~| Liturgies |~| Library,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0031.pdf,Police Week,,,Royal Barbados Police Force,,Royal Barbados Police Force,Barbados,May 1998,1998-05-01/1998-05-31,eng,text,programs (documents) |~| brochures,6 pages,23 cm x 10.1 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,3,public domain,published,Barbados Department of Archives,"Program of events at different locations throughout the island. Also contains tips on stopping crime, home security, road safety, and important numbers for public safety.",,Police |~| Crime prevention |~| Security (Law) |~| Traffic safety |~| Roads--Safety measures |~| Concerts |~| Calypso (Music) |~| Parades,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",
barb_eph_ab0032.pdf,"Retirement Function for Mr. Shirley ""Archer"" Griffith",,,Barbados Department of Archives,,Barbados Department of Archives,Barbados,"March 19, 1999",1999-03-19,eng,text,programs (documents),3 pages,21 cm x 14.8 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,3,public domain,published,Barbados Department of Archives,"Retirement Function for Mr. Shirley ""Archer"" Griffith, held on 19th March 1999. Contains program of events.",,Events,21st Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0033.pdf,Cable & Wireless BARTEL 96th Anniversary Opening Ceremony,,,Cable & Wireless (BARTEL),,Cable & Wireless (BARTEL),Barbados,"April 13, 1999",1999-04-13,eng,text,programs (documents),4 pages,21 cm x 14.7 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,4,public domain,published,Barbados Department of Archives,"Program of events for the 96th Anniversary Opening Ceremony of Cable and Wireless BARTEL held at Windsor Lodge, Government Hill, St. Michael, on Tuesday, April 13, 1999. Also contains company profile.",,Anniversaries |~| Liturgies |~| Prayers |~| Consumers |~| Telephone companies,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0034.pdf,Anglican Heritage Week,,,Diocese of Barbados,,Diocese of Barbados,Barbados,May 2001,2001-05-01/2001-05-31,eng,text,booklets,6 pages,21.7 cm x 9.5 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,4,public domain,published,Barbados Department of Archives,"Booklet containing info on Anglican beliefs, the Diocese of Barbados, Anglican churches in Barbados, Anglican worship, and important dates in the Anglican calendar.",,Anniversaries |~| Church,21st Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",
barb_eph_ab0035.pdf,Library Week 2001,,,Barbados Library Association,,Barbados Library Association,Barbados,2001,2001,eng,text,posters,1 page,43.3 cm x 28 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,4,public domain,published,Barbados Department of Archives,"Library Week 2001 held from September 29 to October 6, 2001. Contains program of events for the week.",,Library |~| Events |~| Library outreach programs,21st Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0036.pdf,Celebration of the Holy Eucharist,,,St. Michael Cathedral Church,,St. Michael Cathedral Church,Barbados,"October 20, 2002",2002-10-20,eng,text,booklets,23 pages,21 cm x  13.5 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,4,public domain,published,Barbados Department of Archives,"Celebration of the Holy Eucharist held at the Cathedral Church of Saint Michael and All Angels, St. Michael's Row, St. Michael, on 20 October, 2002. Contains info on St. Michael's Cathedral, program of religious service, and infomation on the Barbados Public Library Service.",,"Anniversaries |~| Cathedrals |~| Liturgies |~| Church
",21st Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0037.pdf,Service of Thanksgiving to Mark the Closing of Celebrations for the 35th Anniversary of the Ministry of the Anglican Church in Barbados,,,Diocese of Barbados,,Diocese of Barbados,Barbados,"December 1, 2002",2002-12-01,eng,text,booklets,20 pages,22.5  cm x 15 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,4,public domain,published,Barbados Department of Archives,"Held at the Sir Garfield Sobers Gymnasium, Wildey, St. Michael, on Sunday, December 1, 2002. Contains religious service and list of 357th Anniversary Committee members.",,"Church |~| Events  |~| Anniversaries |~| Liturgies
",21st Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0038.pdf,Celebration of Apostle Lucille Baird J.P.,,,Mount Zion's Missions Inc.,,Mount Zion's Missions Inc.,Barbados,"June 8, 2003",2003-06-08,eng,text,invitations,1 page,10 cm x 14 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,4,public domain,published,Barbados Department of Archives,"Invitation for celebration of Apostle Lucille Baird J. P. on Sunday June 8, 2003 at 4th Ave, Rock Dundo, St. James. Apostle Lucille Baird J.P. is the founder, CEO and Senior Pastor of Mount Zion's Missions Barbados Foursquare Church. She manages four ministries in Barbados and is the covering apostle for several ministries across the Caribbean and Africa.",,"Church |~| Events |~| Clergy
",21st Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint James (Barbados)
barb_eph_ab0039.pdf,Service of Choral Mattins  in Thanksgiving to Almighty God for and in Recognition of the 375th Anniversary of the Founding of the City of Bridgetown,,,St. Mary's Church,,Diocese of Barbados; St. Mary's Church,Barbados,"June 29, 2003",2003-06-29,eng,text,programs (documents),15 pages,21 cm x 15 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,4,public domain,published,Barbados Department of Archives,"Service held on Sunday, 29th Jun, 2003 at St. Mary's Church Bridgetown, Barbados. Booklet contains info on St. Mary's Church, the order for Choral Mattins, the National Anthem of Barbados, a musical postlude,and a brief history of Bridgetown. Bridgetown is the capital city of the island of Barbados. It was settled by English colonizers on 25th July, 1628.",,Anniversaries |~| Capitals (Cities) |~| Colonial cities |~| Port cities |~| Liturgies,21st Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0040.pdf,375th Anniversary of the City of Bridgetown,,,Government of Barbados,,Government of Barbados,Barbados,"July 5, 2003",2003-07-05,eng,text,programs (documents),4 pages,30.5 cm x 11.5 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,4,public domain,published,Barbados Department of Archives,"The Official Launch of the 375th Anniversary Celebrations of the Settlement of Bridgetown. Contains program of events. Bridgetown is the capital city of the island of Barbados. It was settled by English colonizers on 25th July, 1628.",,Anniversaries |~| Capitals (Cities) |~| Colonial cities |~| Port cities |~| Events,21st Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0041.pdf,200th Anniversary of the Abolition of the Slave Trade: National Gathering,,,Government of Barbados,,Government of Barbados,Barbados,"March 25, 2007",2007-03-25,eng,text,programs (documents),18 pages,21.3 cm x 14.5 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,4,public domain,published,Barbados Department of Archives,"National Gathering organized by the Government of Barbados with the slogan ""Breaking the Chains."" The event was held at the Bay Street Esplanade, Bay Street, St. Michael, on Sunday, March 25, 2007. Contains extract of bill for the abolition of the slave trade, order of the programme, words for prayers and songs, list of production team members, and performers. On 25th March, 1807, Britain passed the Abolition of the Slave Trade Act making the trafficking and sale of enslaved Africans illegal throughout the British colonies.",,Anniversaries |~| Slave trade |~| Slavery--West Indies |~| Events,21st Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
