Project Name,Parent ARK,Item ARK,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Subject,Name.subject,Author,Name.creator,Name.correspondent,Name.interviewee,Name.compiler,Coverage.geographic,Name.sponsor,Rights.servicesContact,Rights.rightsHolderName,Name.repository,Name.photographer,Name.interviewer,Language,Alt ID.local,Format.dimensions,Date.normalized,Description.note,Relation.isPartOf,Title,Date.creation,Format.extent,Description.caption,Alt ID.issueNo,Description.contents,AltTitle.uniform,Description.latitude,Description.longitude,Alt ID.oclc,Finding Aid URL,Description.abstract,Opac url,AltTitle.other,IIIF Access URL,IIIF Manifest URL
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017kksb,Work,,,,,text,paged,,,,letters (correspondence),unknown,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|National Association for the Advancement of Colored People|~|White, Walter, 1893-1955",,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|White, Walter, 1893-1955",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,uclamss_2051_b114_f6_1,28 x 22 cm.,1947-04-08,"Digitization took place as part of the California Cultures Project.|~|Letter from White, Secretary of the NAACP, requesting from Bunche a statement regarding the contributions of the NAACP.  Typewritten on official stationary of the NAACP.",http://calcultures.cdlib.org,"Letter, 1947 April 8, New York, N.Y. to Ralph J. Bunche, United Nations, Director, Division of Trusteeship, Lake Success, N.Y.","April 8, 1947",2 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kkvc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kksb/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017kmg5,Work,,,,,text,paged,,,,speeches,"Regents of the University of California, UCLA Library.",Peace,United Nations,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 415, Folder 4|~|uclamss_2051_b121_f5_3",32 x 20 cm.,1950-12-10,Digitization took place as part of the California Cultures Project.|~|Hand-written statement on receiving the Nobel Peace Prize,http://calcultures.cdlib.org,"Statement to be made by Ralph J. Bunche, Principal Director, Department of Trusteeship and Information for Non-Self Governing Territories, United Nations, on the occasion of the presentation of the Nobel Peace Prize, 10 December 1950 at 1:00 p.m. (draft)","December 10, 1950",4 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kmkq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kmg5/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017m24q,Work,,,,,text,paged,,,,letters (correspondence),"Regents of the University of California, UCLA Library.",,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Johnson, Lucy Taylor",,,"Johnson, Lucy Taylor",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 105, Folder 2|~|uclamss_2051_b126_f14_2",13 x 20 cm.,1928-11-13,"Lucy Taylor Johnson was Ralph Bunche's grandmother, referred to as ""Nana.""|~|Digitization took place as part of the California Cultures Project.",http://calcultures.cdlib.org,"Letter, 1928 November 13, to Ralph J. Bunche","November 13, 1928",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m257,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m24q/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017m2xm,Work,,,,,text,paged,,,,letters (correspondence),"Regents of the University of California, UCLA Library.",,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Harvard University|~|Rieber, Charles H. (Charles Henry), 1866-1948",,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 105, folder 1|~|uclamss_2051_b126_f19_3",28 x 22 cm.,1927-10-26,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Letter, 1927 October 26, Cambridge, Mass. to Dean C. H. Rieber, University of California, Los Angeles","October 26, 1927",2 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m2z4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m2xm/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017m325,Work,,,,,text,paged,,,,letters (correspondence),"Regents of the University of California, UCLA Library.","Congo (Democratic Republic)--History--Civil War, 1960-1965","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|United Nations",,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 208, Folder 3|~|uclamss_2051_b125_f1_1",21.5 x 27.5 cm.,1960-07-08,"Letter sent from the Stanley Palace Hotel, Avenue Moulaert, Leopoldville. Bunche writes of the revolt and his concerns about the Congo and expresses his love for his family.|~|Digitization took place as part of the California Cultures Project.",http://calcultures.cdlib.org,"Letter, 1960 July 8, Leopoldville, Congo to Ralph Bunche, Jr.","July 8, 1960",3 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m33p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m325/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017m7mc,Work,,,,,text,paged,,,,letters (correspondence),"Regents of the University of California, UCLA Library.",,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|University of California, Los Angeles|~|Rieber, Charles H. (Charles Henry), 1866-1948",,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 111, Folder 14|~|uclamss_2051_b126_f31_5",27 x 21 cm.,1947-06-10,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Letter, 1947 June 10, New York to Dr. C. H. Rieber, Pacific Palisades, California","June 10, 1947",2 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m7nw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m7mc/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017m7qx,Work,,,,,text,paged,,,,letters (correspondence),"Regents of the University of California, UCLA Library.",High school teachers--California--Los Angeles,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Irvine, Cecilia R.",,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 187, Folder 2|~|uclamss_2051_b126_f31_6",28 x 22 cm.,1959-05-28,"Digitization took place as part of the California Cultures Project.|~|Letter to Dr. Irvine, Bunche's former teacher at Jefferson High School in Los Angeles, on the occasion of her retirement from the University of California, Los Angeles",http://calcultures.cdlib.org,"Letter, 1959 May 28, to Dr. Cecilia Irvine, Los Angeles, Calif.","May 28, 1959",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m7rf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m7qx/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017m9hs,Work,,,,,text,paged,,,,letters (correspondence),unknown,High school teachers--California--Los Angeles,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,"Irvine, Cecilia R.",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 187, Folder 2|~|uclamss_2051_b126_f31_7",28 x 22 cm.,1959-06-10,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Letter, 1959 June 10, University of California, Los Angeles, to Dr. Ralph R. [sic] Bunche, United Nations, New York City","June 10, 1959",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m9j9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m9hs/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017m9kt,Work,,,,,text,paged,,,,letters (correspondence),unknown,Success|~|African American men,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,"Butler, Marcellus W.",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 201, Folder 1|~|uclamss_2051_b126_f36_8",27 x 21 cm.,1960-03-09,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Letter, 1960 March 9, Washington D.C., to Ralph J. Bunche, New York, N.Y.","March 9, 1960",3 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m9mb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m9kt/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017mkhn,Work,,,,,text,paged,,,,letters (correspondence),"Regents of the University of California, UCLA Library.",,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|University of California, Los Angeles--Students|~|Rieber, Charles H. (Charles Henry), 1866-1948",,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"uclamss_2051_b127_f10_1|~|Box 259, Folder 1",28 x 22 cm.,1966-04-21,"Digitization took place as part of the California Cultures Project.|~|Letter from Bunche of his reminiscences of student life at the old campus of the University of California, Los Angeles and especially of Dean Rieber",http://calcultures.cdlib.org,"Letter, 1966 April 21, New York, N.Y. to Mr. Ronald W. Hosie, Editor, ""Cub"" Daily Bruin, UCLA, Los Angeles, Calif.","April 21, 1966",2 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mkj5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017mkhn/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017mkm6,Work,,,,,text,paged,,,,letters (correspondence),"Regents of the University of California, UCLA Library.",,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|United Nations",,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"uclamss_2051_b127_f20_2|~|Box 110, Folder 8",27 x 21 cm.,1947-02-24,"Digitization took place as part of the California Cultures Project.|~|Letter explaining Bunche's decision to accept a post with the United Nations. The decision was based in large part on the fact that Washington D.C. was still highly segregated while New York City would offer his children better educational opportunities, as well as open housing.",http://calcultures.cdlib.org,"Letter, 1947 February 24, Washington D.C. to Bill, Virgin Islands","February 24, 1947",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mknq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017mkm6/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017mkp7,Work,,,,,text,paged,,,,letters (correspondence),unknown,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,"Martin, Joan",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"uclamss_2051_b127_f29_4|~|Box 233, Folder 5",28 x 22 cm.,1963-07-29,"Cover letter from Joan Martin, Ralph Bunche's secretary. Refers to Klein's notes (enclosed) on his interview with Bunche, which Bunche has edited|~|Digitization took place as part of the California Cultures Project.",http://calcultures.cdlib.org,"Letter, 1963 July 29, New York, N.Y. to Mr. Woody Klein, New York, N.Y.","July 29, 1963",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mkqr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017mkp7/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017mnj4,Work,,,,,text,paged,,,,interviews,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|Race discrimination--United States|~|United States--Race Relations,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,"University of California, Los Angeles. $b Library Special Collections",,"Klein, Woody, 1929-",eng,"uclamss_2051_b127_f29_3|~|Box 233, Folder 5",28 x 22 cm.,1963-07-29,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Ralph Bunche on civil rights : interview with Mr. Woody Klein, New York World-Telegram","July 29, 1963",5 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mnkn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017mnj4/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017mnr7,Work,,,,,text,paged,,,,letters (correspondence),"Regents of the University of California, UCLA Library.",African Americans--Civil rights--Southern States|~|Race discrimination--Southern States,,,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,Southern States--Race relations,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"uclamss_2051_b127_f31_4|~|Box 180, Folder 8",28 x 22 cm.,1957-02-07,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Letter, 1957 February 7, New York, N.Y. to Mr. John Gatling, Philadelphia, Pa.","February 7, 1957",4 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mnsr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017mnr7/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017mx7b,Work,,,,,text,paged,,,,letters (correspondence),"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|United States--Race Relations,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Robinson, Jackie, $d 1919-1972",,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 235, Folder 7|~|uclamss_2051_b127_f33_5",28 x 22 cm.,1963-11-20,Letter to Robinson regarding a column he wrote in the New York Amsterdam News supporting Bunche in the face of critical attacks by Malcolm X and Adam Powell|~|Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Letter, 1963 November 20, to Mr. Jackie Robinson, Vice-president, Chock full O'Nuts, New York, N.Y.","November 20, 1963",3 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mx8v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017mx7b/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017mxt4,Work,,,,,text,paged,,,,press releases,unknown,African Americans--Civil rights|~|African American civil rights workers--Mississippi,"Evers, Medgar Wiley, 1925-1963","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,National Association for the Advancement of Colored People,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 438, Folder 2|~|uclamss_2051_b140_f18_1",36 x 22 cm.,1963-06-17,"Digitization took place as part of the California Cultures Project.|~|""News from NAACP"", press release distributed by the National Office.|~|Written by Bunche, United Nations Under-Secretary and Member, NAACP Board of Directors, aboard a plane en route from Jackson to New York City, Saturday, June 15, 1963, immediately after the funeral service for Medgar W. Evers.",http://calcultures.cdlib.org,Why I Went to Jackson,"June 17, 1963",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mxvn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017mxt4/manifest
