Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Name.repository,Name.illuminator,Language,Author,AltTitle.other,Description.note,Date.creation,Summary,Date.normalized,Description.adminnote,Description.contents,Condition note,Illustrations note,Description.colophon,Description.history,Binding note,Format.extent,Alt ID.local,Format.dimensions,Relation.isPartOf,AltTitle.uniform,Place of origin
Manuscript No. 13: endsheet recto [blank page],Armenian Manuscripts,ark:/21198/zz000911zg,ark:/21198/zz00256zs8,Page,,mscollection2089/masters/21198-zz000911zg-1-master.tif,5,text,,,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No. 13: endsheet verso [blank page],Armenian Manuscripts,ark:/21198/zz0009120g,ark:/21198/zz00256zs8,Page,,mscollection2089/masters/21198-zz0009120g-1-master.tif,6,text,,,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No. 13: fol. 1 recto,Armenian Manuscripts,ark:/21198/zz00091210,ark:/21198/zz00256zs8,Page,,mscollection2089/masters/21198-zz00091210-1-master.tif,7,text,,,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No. 13: fol. 1 verso,Armenian Manuscripts,ark:/21198/zz0009122h,ark:/21198/zz00256zs8,Page,,mscollection2089/masters/21198-zz0009122h-1-master.tif,8,text,,,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No. 13: fol. 2 recto,Armenian Manuscripts,ark:/21198/zz00091231,ark:/21198/zz00256zs8,Page,,mscollection2089/masters/21198-zz00091231-1-master.tif,9,text,,,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No. 13: fol. 2 verso,Armenian Manuscripts,ark:/21198/zz0009124j,ark:/21198/zz00256zs8,Page,,mscollection2089/masters/21198-zz0009124j-1-master.tif,10,text,,,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No. 13: fol. 3 recto,Armenian Manuscripts,ark:/21198/zz00091252,ark:/21198/zz00256zs8,Page,,mscollection2089/masters/21198-zz00091252-1-master.tif,11,text,,,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No. 13: fol. 3 verso,Armenian Manuscripts,ark:/21198/zz0009126k,ark:/21198/zz00256zs8,Page,,mscollection2089/masters/21198-zz0009126k-1-master.tif,12,text,,,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No. 13: fol. 4 recto,Armenian Manuscripts,ark:/21198/zz00091273,ark:/21198/zz00256zs8,Page,,mscollection2089/masters/21198-zz00091273-1-master.tif,13,text,,,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No. 13: fol. 4 verso,Armenian Manuscripts,ark:/21198/zz0009128m,ark:/21198/zz00256zs8,Page,,mscollection2089/masters/21198-zz0009128m-1-master.tif,14,text,,,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No. 13: fol. 5 recto,Armenian Manuscripts,ark:/21198/zz00091294,ark:/21198/zz00256zs8,Page,,mscollection2089/masters/21198-zz00091294-1-master.tif,15,text,,,,,,,,,,,,,,,,,,,,,,,,,
