Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Rights.servicesContact,Type.typeOfResource,Name.repository,Type.genre,Name.creator,Title
Gilbert (Herschel Burke) Collection,ark:/21198/zz000nn3gd,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000nn3gd-1-master.wav,11,,,,,sound recording-musical,,,,13 Commanche Reel 8
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvd93,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvd93-1-master.wav,12,,,,,sound recording-musical,,,,16 Adelita (Geronimo)
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvdbm,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvdbm-1-master.wav,3,,,,,sound recording-musical,,,,3 Bard Demos 5-25-56
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvdc4,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvdc4-1-master.wav,13,,,,,sound recording-musical,,,,17 Crime and Punishment Reel 1
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvdf5,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvdf5-1-master.wav,14,,,,,sound recording-musical,,,,18 Crime and Punishment Reel 2
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvdgp,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvdgp-1-master.wav,15,,,,,sound recording-musical,,,,19 Crime and Punishment Reel 3
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvdh6,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvdh6-1-master.wav,16,,,,,sound recording-musical,,,,20 Crime and Punishment Reel 4
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvdjq,ark:/21198/zz000n8zrp,2,Completed,Work,,17,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rvdjq%2Ff7198t3f,,sound recording-musical,,,,21 Crime and Punishment Reel 5
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvdk7,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvdk7-1-master.wav,18,,,,,sound recording-musical,,,,22 Crime and Punishment Album
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvdmr,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvdmr-1-master.wav,19,,,,,sound recording-musical,,,,28 Has Anybody Seen Chris
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvfb3,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvfb3-1-master.wav,20,,,,,sound recording-musical,,,,29 Has Anybody Seen Chris
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvfcm,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvfcm-1-master.wav,21,,,,,sound recording-musical,,,,30 Has Anybody Seen Chris
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvfd4,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvfd4-1-master.wav,22,,,,,sound recording-musical,,,,36 Has Anybody Seen Chris
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvffn,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvffn-1-master.wav,23,,,,,sound recording-musical,,,,37 Has Anybody Seen Chris
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvfg5,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvfg5-1-master.wav,24,,,,,sound recording-musical,,,,38 Has Anybody Seen Chris
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvj2d,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvj2d-1-master.wav,25,,,,,sound recording-musical,,,,39 Has Anybody Seen Chris
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvj3x,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvj3x-1-master.wav,26,,,,,sound recording-musical,,,,41 Kid monk Baroni
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvj4f,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvj4f-1-master.wav,27,,,,,sound recording-musical,,,,42 Monster Reel 1
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvj5z,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvj5z-1-master.wav,28,,,,,sound recording-musical,,,,43 Monster Reel 2
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvj6g,ark:/21198/zz000n8zrp,2,Completed,Work,,29,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rvj6g%2Fkh31th6f,,sound recording-musical,,,,46 Nightmare Reel 1
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvj70,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvj70-1-master.wav,30,,,,,sound recording-musical,,,,47 Nightmare Reel 2
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvj8h,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvj8h-1-master.wav,31,,,,,sound recording-musical,,,,48 Nightmare Reel 3
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvj91,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvj91-1-master.wav,32,,,,,sound recording-musical,,,,49 Nightmare Reel 4
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvjbj,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvjbj-1-master.wav,33,,,,,sound recording-musical,,,,96 Bold & Brave reel 2
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvjc2,ark:/21198/zz000n8zrp,2,Completed,Work,,34,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rvjc2%2Fdd79811d,,sound recording-musical,,,,97 Bold & Brave reel 3
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rw3vg,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rw3vg-1-master.wav,35,,,,,sound recording-musical,,,,98 Bold & Brave reel 4
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rw3w0,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rw3w0-1-master.wav,36,,,,,sound recording-musical,,,,99 Bold & Brave reel 5
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rw3xh,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rw3xh-1-master.wav,37,,,,,sound recording-musical,,,,108 Highwayman St. or Reel 3
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rw3z1,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rw3z1-1-master.wav,38,,,,,sound recording-musical,,,,109 Highwayman St. or Reel 4
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rw401,ark:/21198/zz000n8zrp,2,Completed,Work,,39,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rw401%2Fwm90rw1j,,sound recording-musical,,,,110 WTCS
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rw7h7,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rw7h7-1-master.wav,40,,,,,sound recording-musical,,,,111 WTCS Reel 4 of 4
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rw7jr,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rw7jr-1-master.wav,41,,,,,sound recording-musical,,,,112 WTCS Reel 3
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rw7k8,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rw7k8-1-master.wav,42,,,,,sound recording-musical,,,,113 WTCS Reel 2
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rw7ms,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rw7ms-1-master.wav,43,,,,,sound recording-musical,,,,114 WTCS Reel 4
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rw7n9,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rw7n9-1-master.wav,44,,,,,sound recording-musical,,,,115 Moon Is Blue Score
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rwtm0,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rwtm0-1-master.wav,45,,,,,sound recording-musical,,,,117 Moon Is Blue
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rwtnh,ark:/21198/zz000n8zrp,2,Completed,Work,,46,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwtnh%2Fjm58xq7d,,sound recording-musical,,,,118 No Place to Hide Reel 1
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rwtp1,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rwtp1-1-master.wav,47,,,,,sound recording-musical,,,,119 No Place to Hide Reel 2
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rwtqj,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rwtqj-1-master.wav,48,,,,,sound recording-musical,,,,122 Lullaby
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rwtr2,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rwtr2-1-master.wav,49,,,,,sound recording-musical,,,,133 Jet Pilot Reel 3
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rwtsk,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rwtsk-1-master.wav,50,,,,,sound recording-musical,,,,134 Sabre Jet Pilot Reel 1
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rwtt3,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rwtt3-1-master.wav,51,,,,,sound recording-musical,,,,135 Sabre Jet Pilot Reel 2
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rwtvm,ark:/21198/zz000n8zrp,2,Completed,Work,,52,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwtvm%2Fsk744d40,,sound recording-musical,,,,152 June Allison Show
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rwtw4,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rwtw4-1-master.wav,53,,,,,sound recording-musical,,,,166 Mutel 14118-14133
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rwtxn,ark:/21198/zz000n8zrp,2,Completed,Work,,54,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwtxn%2Fs3962p99,,sound recording-musical,,,,167 Mutel 14098-14117
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rz9n5,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rz9n5-1-master.wav,55,,,,,sound recording-musical,,,,168 Mutel 14058-14075
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rz9pp,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rz9pp-1-master.wav,56,,,,,sound recording-musical,,,,169 Mutel 14058-14075
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rz9q6,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rz9q6-1-master.wav,57,,,,,sound recording-musical,,,,170 Mutel 14035-14057
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rz9rq,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rz9rq-1-master.wav,58,,,,,sound recording-musical,,,,171 Mutel 14001-14017
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rz9s7,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rz9s7-1-master.wav,59,,,,,sound recording-musical,,,,172 Mutel 14180-14196
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rzfx7,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rzfx7-1-master.wav,60,,,,,sound recording-musical,,,,173 Mutel 14197-14213
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rzfzr,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rzfzr-1-master.wav,61,,,,,sound recording-musical,,,,174 Mutel 14134-14154
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rzg0r,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rzg0r-1-master.wav,62,,,,,sound recording-musical,,,,175 Mutel 14155-14179
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rzg18,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rzg18-1-master.wav,63,,,,,sound recording-musical,,,,176 Mutel 14018-14034
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rzg2s,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rzg2s-1-master.wav,64,,,,,sound recording-musical,,,,177 Mutel 14233-14258
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s024w,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s024w-1-master.wav,65,,,,,sound recording-musical,,,,178 Mutel 14214-14232
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s025d,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s025d-1-master.wav,66,,,,,sound recording-musical,,,,179 Mutel 14281-14298
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s026x,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s026x-1-master.wav,67,,,,,,,sound recording-musical,,180 Mutel 14259-14280
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s027f,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s027f-1-master.wav,68,,,,,sound recording-musical,,,,181 Mutel 14317-14333
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s028z,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s028z-1-master.wav,69,,,,,sound recording-musical,,,,182 Mutel 14299-14316
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s0stc,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s0stc-1-master.wav,70,,,,,sound recording-musical,,,,183 Mutel 14357-14379
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s0svw,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s0svw-1-master.wav,71,,,,,sound recording-musical,,,,184 Mutel 14334-14356
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s0swd,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s0swd-1-master.wav,72,,,,,sound recording-musical,,,,185 Mutel 14399-14415
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s0sxx,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s0sxx-1-master.wav,73,,,,,sound recording-musical,,,,186 Mutel 14380-14398
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s0szf,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s0szf-1-master.wav,74,,,,,sound recording-musical,,,,187 Mutel 14432-14452
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s0t0f,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s0t0f-1-master.wav,75,,,,,sound recording-musical,,,,188 Mutel 14416-14431
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s0t1z,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s0t1z-1-master.wav,76,,,,,sound recording-musical,,,,189 Mutel 14470-14493
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s0t2g,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s0t2g-1-master.wav,77,,,,,sound recording-musical,,,,190 Mutel 14453-14469
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s0t30,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s0t30-1-master.wav,78,,,,,sound recording-musical,,,,191 Mutel 14509-14528
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s0t4h,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s0t4h-1-master.wav,79,,,,,sound recording-musical,,,,192 Mutel 14494-14508
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s1d87,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s1d87-1-master.wav,80,,,,,sound recording-musical,,,,193 Mutel 14556-14575
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s1d9r,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s1d9r-1-master.wav,81,,,,,sound recording-musical,,,,194 Mutel 14529-14555
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s1db8,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s1db8-1-master.wav,82,,,,,sound recording-musical,,,,195 Mutel 14592-14606
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s1dcs,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s1dcs-1-master.wav,83,,,,,sound recording-musical,,,,196 Mutel 14576-14591
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s1dd9,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s1dd9-1-master.wav,84,,,,,sound recording-musical,,,,197 Mutel 14629-14649
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s1dft,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s1dft-1-master.wav,85,,,,,sound recording-musical,,,,198 Mutel 14607-14628
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s1dgb,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s1dgb-1-master.wav,86,,,,,sound recording-musical,,,,199 Mutel 14704-14719
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s1dhv,ark:/21198/zz000n8zrp,2,Completed,Work,,87,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1dhv%2Fd562wj7s,,sound recording-musical,,,,200 Mutel 14678-14703
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s1djc,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s1djc-1-master.wav,88,,,,,sound recording-musical,,,,201 Mutel 14650-14677
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s1dkw,ark:/21198/zz000n8zrp,2,Completed,Work,,90,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1dkw%2Fq930q360,,sound recording-musical,,,,202 Mutel 14799-14828
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s2xz8,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s2xz8-1-master.wav,91,,,,,sound recording-musical,,,,203 Mutel 14787-14798
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s2z08,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s2z08-1-master.wav,92,,,,,sound recording-musical,,,,204 Mutel 14759-14786
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s2z1s,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s2z1s-1-master.wav,93,,,,,sound recording-musical,,,,205 Mutel 14730-14758
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s2z29,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s2z29-1-master.wav,94,,,,,sound recording-musical,,,,206 Mutel 14720-14729
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s2z3t,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s2z3t-1-master.wav,95,,,,,sound recording-musical,,,,218 Shamrock Hill etc songs
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3j3g,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s3j3g-1-master.wav,96,,,,,sound recording-musical,,,,219 Shamrock Hill songs
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3j40,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s3j40-1-master.wav,97,,,,,sound recording-musical,,,,221 Don Durant sings
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3j5h,ark:/21198/zz000n8zrp,2,Completed,Work,,98,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3j5h%2F6f48fm63,,sound recording-musical,,,,222 Don Durant 1-21-55
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3j61,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s3j61-1-master.wav,99,,,,,sound recording-musical,,,,231 Kid Monk Baroni
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3j7j,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s3j7j-1-master.wav,100,,,,,sound recording-musical,,,,245 Gen Lib 14850-14865
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3vn3,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s3vn3-1-master.wav,101,,,,,sound recording-musical,,,,246 Gen Lib 14798-14828
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3vpm,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s3vpm-1-master.wav,102,,,,,sound recording-musical,,,,248 John Paul 14829-14838
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3vq4,ark:/21198/zz000n8zrp,2,Completed,Work,,103,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3vq4%2Fwf42zq07,,sound recording-musical,,,,249 Mutel 100 reel1
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3vrn,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s3vrn-1-master.wav,104,,,,,sound recording-musical,,,,250 Mutel 100 reel 1
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3vs5,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s3vs5-1-master.wav,105,,,,,sound recording-musical,,,,251 Mutel 100 reel 2
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3vtp,ark:/21198/zz000n8zrp,2,Completed,Work,,106,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3vtp%2Fw951tg3g,,sound recording-musical,,,,252 Mutel 100 reel 3
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3vv6,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s3vv6-1-master.wav,107,,,,,sound recording-musical,,,,289 4 Star MD 1-2-63
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3vwq,ark:/21198/zz000n8zrp,2,Completed,Work,,108,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3vwq%2Ft029dw8z,,sound recording-musical,,,,382 Academy Awards 1955
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3vx7,ark:/21198/zz000n8zrp,2,Completed,Work,,109,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3vx7%2F5290n018,,sound recording-musical,,,,383 Academy Awards 1954
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3vzr,ark:/21198/zz000n8zrp,2,Completed,Work,,110,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3vzr%2Ft265dr6s,,sound recording-musical,,,,384 Academy Awards 1953
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3z0q,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000s3z0q-1-master.wav,111,,,,,sound recording-musical,,,,425 Rob Taylor main titles
