Item ARK,Parent ARK,Item Sequence,Title,Object Type,Visibility,File Name,Thumbnail,Type.genre,Rights.statementLocal,Name.repository,Name.subject,Name.creator,Rights.servicesContact,Format.medium,Description.note,Date.creation,Date.normalized,Format.dimensions,Alt ID.local
ark:/21198/z1m63mfz,ark:/21198/z1dn6672,1,Page 1,Page,,eric_gill/image/CEG437.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on paper,"Chirk Monument near Wrexham, in memory of those who died in World War I. Two pencil sketches of the proposed monument (a soldier “on watch”)",about 1919,1919,2 ½ x 6 ¾”,CEG437
ark:/21198/z1gf2vnb,ark:/21198/z1dn6672,2,Page 2,Page,,eric_gill/image/CEG438.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on tracing paper,"Chirk Monument near Wrexham, in memory of those who died in World War I. Two pencil sketches of the proposed monument (a soldier “on watch”)",about 1919,1919,4 ¼ x 7”,CEG438
ark:/21198/z1bp23x0,ark:/21198/z18w5fhb,1,Page 1,Page,,eric_gill/image/CEG440.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil and watercolor on paper,"Collection of drawings, designs for inscriptions and plans for “Chirk Monument”, North Wales, Portland stone. Includes two colored drawings on oblong folio sheet, signed and dated 19191; 3 other sheets with lettering and plans, signed and dated 1919 and 1920.",1919,1919,16 ¼ x 10 ¾”,CEG440
ark:/21198/z17102m9,ark:/21198/z18w5fhb,2,Page 2,Page,,eric_gill/image/CEG441.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil and watercolor on paper,"Collection of drawings, designs for inscriptions and plans for “Chirk Monument”, North Wales, Portland stone. Includes two colored drawings on oblong folio sheet, signed and dated 19191; 3 other sheets with lettering and plans, signed and dated 1919 and 1920.",1919-1920,1919/1920,10 ¾ x 7 ¾”,CEG441
ark:/21198/z13799vk,ark:/21198/z18w5fhb,3,Page 3,Page,,eric_gill/image/CEG442.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil and watercolor on paper,"Collection of drawings, designs for inscriptions and plans for “Chirk Monument”, North Wales, Portland stone. Includes two colored drawings on oblong folio sheet, signed and dated 19191; 3 other sheets with lettering and plans, signed and dated 1919 and 1920.",1920 March 23,1920-03-23,14 ½ x 13 ¼,CEG442
ark:/21198/z1zg8tc9,ark:/21198/z18w5fhb,4,Page 4,Page,,eric_gill/image/CEG443.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil and watercolor on paper,"Collection of drawings, designs for inscriptions and plans for “Chirk Monument”, North Wales, Portland stone. Includes two colored drawings on oblong folio sheet, signed and dated 19191; 3 other sheets with lettering and plans, signed and dated 1919 and 1920.",1919 June 6,1919-06-06,14 x 12 ½”,CEG443
ark:/21198/z1tq82qv,ark:/21198/z1544prg,1,Page 1,Page,,eric_gill/image/CEG446.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil and watercolor on paper,"Spoil Bank Crucifix, Ditchling, Sussex. Collection of 12 sketches, drawings and watercolors of Wooden Monument. Some are annotated by Gill and dated June 17, 1920 to May 6, 1922. Unit of 12 items, various sizes, in folder 9x16”. Monument was erected and blessed November 1922. See also Physick # 156 & 157.",about 1920-1922,1920/1922,4 ½ x 9”,CEG446
ark:/21198/z1pz7b0j,ark:/21198/z1544prg,2,Page 2,Page,,eric_gill/image/CEG447.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil and watercolor on tracing paper,"Spoil Bank Crucifix, Ditchling, Sussex. Collection of 12 sketches, drawings and watercolors of Wooden Monument. Some are annotated by Gill and dated June 17, 1920 to May 6, 1922. Unit of 12 items, various sizes, in folder 9x16”. Monument was erected and blessed November 1922. See also Physick # 156 & 157.",1922 May 5,1922-05-05,4 ½ x9”,CEG447
ark:/21198/z1k66k84,ark:/21198/z1544prg,3,Page 3,Page,,eric_gill/image/CEG448.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on tracing paper,"Spoil Bank Crucifix, Ditchling, Sussex. Collection of 12 sketches, drawings and watercolors of Wooden Monument. Some are annotated by Gill and dated June 17, 1920 to May 6, 1922. Unit of 12 items, various sizes, in folder 9x16”. Monument was erected and blessed November 1922. See also Physick # 156 & 157.",about 1920-1922,,3 ¾ x 10 ½”,CEG448
ark:/21198/z1ff5thz,ark:/21198/z1544prg,4,Page 4,Page,,eric_gill/image/CEG449.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil and watercolor on paper,"Spoil Bank Crucifix, Ditchling, Sussex. Collection of 12 sketches, drawings and watercolors of Wooden Monument. Some are annotated by Gill and dated June 17, 1920 to May 6, 1922. Unit of 12 items, various sizes, in folder 9x16”. Monument was erected and blessed November 1922. See also Physick # 156 & 157.",1920 June 16,,8 ¼ x 11”,CEG449
ark:/21198/z19s3s6z,ark:/21198/z1544prg,5,Page 5,Page,,eric_gill/image/CEG450.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil and watercolor on paper,"Spoil Bank Crucifix, Ditchling, Sussex. Collection of 12 sketches, drawings and watercolors of Wooden Monument. Some are annotated by Gill and dated June 17, 1920 to May 6, 1922. Unit of 12 items, various sizes, in folder 9x16”. Monument was erected and blessed November 1922. See also Physick # 156 & 157.",1920 June 15,,3 ½ x 7 ¾”,CEG450
ark:/21198/z16131gx,ark:/21198/z1544prg,6,Page 6,Page,,eric_gill/image/CEG451.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on paper,"Spoil Bank Crucifix, Ditchling, Sussex. Collection of 12 sketches, drawings and watercolors of Wooden Monument. Some are annotated by Gill and dated June 17, 1920 to May 6, 1922. Unit of 12 items, various sizes, in folder 9x16”. Monument was erected and blessed November 1922. See also Physick # 156 & 157.",about 1920-1922,,4 ¾ x 7”,CEG451
ark:/21198/z12828qr,ark:/21198/z1544prg,7,Page 7,Page,,eric_gill/image/CEG452.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on paper,"Spoil Bank Crucifix, Ditchling, Sussex. Collection of 12 sketches, drawings and watercolors of Wooden Monument. Some are annotated by Gill and dated June 17, 1920 to May 6, 1922. Unit of 12 items, various sizes, in folder 9x16”. Monument was erected and blessed November 1922. See also Physick # 156 & 157.",about 1920-1922,,5 ½ x 11”,CEG452
ark:/21198/z1xh1s9c,ark:/21198/z1544prg,8,Page 8,Page,,eric_gill/image/CEG453.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on paper,"Spoil Bank Crucifix, Ditchling, Sussex. Collection of 12 sketches, drawings and watercolors of Wooden Monument. Some are annotated by Gill and dated June 17, 1920 to May 6, 1922. Unit of 12 items, various sizes, in folder 9x16”. Monument was erected and blessed November 1922. See also Physick # 156 & 157.",about 1920-1922,,7 ¼ x 10 ½”,CEG453
ark:/21198/z1sr11k1,ark:/21198/z1544prg,9,Page 9,Page,,eric_gill/image/CEG454.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on tracing paper,"Spoil Bank Crucifix, Ditchling, Sussex. Collection of 12 sketches, drawings and watercolors of Wooden Monument. Some are annotated by Gill and dated June 17, 1920 to May 6, 1922. Unit of 12 items, various sizes, in folder 9x16”. Monument was erected and blessed November 1922. See also Physick # 156 & 157.",1920 June 17,,6 ¾ x 12”,CEG454
ark:/21198/z1p008t5,ark:/21198/z1544prg,10,Page 10,Page,,eric_gill/image/CEG456.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on tracing paper,"Spoil Bank Crucifix, Ditchling, Sussex. Collection of 12 sketches, drawings and watercolors of Wooden Monument. Some are annotated by Gill and dated June 17, 1920 to May 6, 1922. Unit of 12 items, various sizes, in folder 9x16”. Monument was erected and blessed November 1922. See also Physick # 156 & 157.",1922 August 4,,4 ¼ x 9 ¼”,CEG456
ark:/21198/z1j69j2v,ark:/21198/z1544prg,11,Page 11,Page,,eric_gill/image/CEG457.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil and ink on paper,"Spoil Bank Crucifix, Ditchling, Sussex. Collection of 12 sketches, drawings and watercolors of Wooden Monument. Some are annotated by Gill and dated June 17, 1920 to May 6, 1922. Unit of 12 items, various sizes, in folder 9x16”. Monument was erected and blessed November 1922. See also Physick # 156 & 157.",1922 May 6,,7 ¾ x 11”,CEG457
ark:/21198/z1dj7gsw,ark:/21198/z1544prg,12,Page 12,Page,,eric_gill/image/CEG458.tif,,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil and watercolor on paper,"Spoil Bank Crucifix, Ditchling, Sussex. Collection of 12 sketches, drawings and watercolors of Wooden Monument. Some are annotated by Gill and dated June 17, 1920 to May 6, 1922. Unit of 12 items, various sizes, in folder 9x16”. Monument was erected and blessed November 1922. See also Physick # 156 & 157.",1920 June 17,,8 ¼ x 14 ¾”,CEG458
