Item ARK,Parent ARK,Object Type,Title,File Name,Item Sequence,AltTitle.other,AltTitle.translated,collection.physical,Description.note,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Summary,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,Subject,Subject,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
ark:/21198/z1pc51m8,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Путешествуйте по Армении по маршрут 62а,Masters/othermasters/DEParmenianposters/images/soviet_00306_p_arm_295.tif,,,Travel Armenia via Route 62a,,,,,1955/1961,,,Excursions in the regions of Armenia. Էքսկուրսիաներ Խորհրդային Հայաստանի մարզերում,84 x 60 cm. (33 x 23.6 in.),1 poster,,posters|~|advertisements,rus,,Armenian Republican Tourist and Excursion Department|~|Հայաստանի հանրապետական զբոսաշրջության եւ էքսկուրսիաների կառավարում,,,Ереван,Полиграфкомбинат (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Tourism|~|Armenia (Republic),Arts and Culture|~|Արվեստ և Մշակույթ|~|Զբօսաշրջիկութիւն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc51m8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pc51m8/manifest
ark:/21198/z1jm48wj,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Пусть растет и крепнет Рабоче-Крестьянская Красная Армия зоркий часовой социалистической родины,Masters/othermasters/DEParmenianposters/images/soviet_00283_p_arm_436.tif,,,Let workers grow and strengthen  - peasant Red Army...,,,,,1939/1950,,,Red Army soldier guarding the homeland. Կարմիր բանակի զինվորը հսկում է հայրենիքը,70 x 52 cm. (27.5 x 20.4 in.),1 poster,,posters,rus,,"Grigoryan, Aleksandr (Artist)|~|Ալեքսանդր Գրիգորյան (նկարիչ)",Soviet Union. Raboche-Krestʹi︠a︡nskai︠a︡ Krasnai︠a︡ Armii︠a︡--Foreign regiments,,Յերեւան,Պետհրատ (Pethrat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Armed Forces|~|Armenia (Republic),Government and Society|~|Կառավարություն եւ Հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm48wj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jm48wj/manifest
ark:/21198/z1dv3j2w,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Подпишитесь на строительные журналы!,Masters/othermasters/DEParmenianposters/images/soviet_00162_p_arm_28.tif,,,Subscribe to construction magazines,,,,,1957/1965,,,A construction crane lowers a magazine subscription tablet with information. Վերամբարձ կռունկը իջեցնում է ամսագրերին բաժանորդագրվելու ցուցատախտակը,78 x 57.5 cm. (30.7 x 22.6 in.),1 poster,,posters|~|advertisements,rus,,,,,Ереван,"Союзпечать (""Soi︠u︡zpechat"")",,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Serials subscription agencies|~|Armenian newspapers|~|Armenia (Republic),"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv3j2w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dv3j2w/manifest
ark:/21198/z1932sbg,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,"Подписывайтесь, читайте журналы по химии",Masters/othermasters/DEParmenianposters/images/soviet_00108_p_arm_155.tif,,,Subscribe and read journals on chemistry,,,,,1965,,,Subscription to chemistry related journals. Քիմիային վերաբերող ամսագրերի բաժանորդագրություն,83 x 57 cm. (32.7 x 22.6 in.),1 poster,,posters|~|advertisements,rus,,"Gabrielyan, Vazrik Tseruni |~|Գաբրիելյան, Վազրիկ Ծերունի",,,Ереван,"Союзпечать (""Soi︠u︡zpechat"")",,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Serials subscription agencies|~|Armenian newspapers|~|Armenia (Republic),"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1932sbg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1932sbg/manifest
ark:/21198/z15f0r1g,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Подписка открыта на 1963,Masters/othermasters/DEParmenianposters/images/soviet_00091_p_arm_74.tif,,,Subscriptions have opened for 1963.,,,,,1963,,,Newsletter subscription options of 6 or 12 months. Բաժանորդագրում 6 կամ 12 ամսական տեղեկագրով,84 x 60 cm. ( 33.1 x 23.6 in.),1 poster,,posters|~|advertisements,rus,,Soyuzpechat|~|Սոյուզպեչատ,,,Ереван,Полиграфкомбинат (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Newpapers|~|Serials subscription agencies|~|Armenian newspapers|~|Armenia (Republic),Arts and Culture|~|Արվեստ և Մշակույթ|~|Լրագիր,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f0r1g,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15f0r1g/manifest
ark:/21198/z11p0094,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,основные направления плана нот треста,Masters/othermasters/DEParmenianposters/images/soviet_00148_p_arm_253.tif,,,"The main directions of the ""NTT"" Trust plan",,,,,1953/1963,,,Construction engineers examine the direction of the plan. Նախագծողները շինարարությունում ուսումնասիրում են ծրագրի ուղղությունները,83 x 55 cm. (32.7 x 21.6 in.),1 poster,,posters,rus,,Ministry of Industrial Construction of the Armenian SSR|~|ՀՍՍՀ Արդյունաբերական Շինարարության նախարարություն,,,Ереван,,,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Armenia (Republic)|~|Economic policy,Government and Society|~|Կառավարություն եւ հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11p0094,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11p0094/manifest
ark:/21198/z1ww9gws,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,моральный кодекс строителя коммунизма,Masters/othermasters/DEParmenianposters/images/soviet_00155_p_arm_228.tif,,,The moral code of the founders of Communism,,,,,1951/1961,,,The Moral laws of the Communist Party of the Soviet Union. Սովետական միության կոմունիստական կուսակցության կառուցման բարոյական օրենքները,90 x 57 cm. (35.4 x 22.4 in.),1 poster,,posters,rus,,The House of Political Enlightenment of the Central Committee and the EGK KP of Armenia|~|ՀԿՊ Կենտկոմի եւ Երքաղկոմի քաղաքական լուսավորության տուն,,,Ереван,Полиграфкомбинат (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,Armenia (Republic),,"Propaganda, Communist",History and Politics|~|Պատմություն և Քաղաքականություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ww9gws,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ww9gws/manifest
ark:/21198/z1s48r67,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,лист строительнои техники № 8,Masters/othermasters/DEParmenianposters/images/soviet_00291_p_arm_377.tif,,,Sheet of construction equipment № 8,,,,,1964,,,Pegs for strengthening and straightening building fittings. Ամրակներ շենքի կցամասերը ամրապնդելու եւ ուղղելու համար,74 x 54 cm. (29.1 x 21.2 in.),1 poster,,posters,rus,,Armenian SSR Ministry of Construction|~|Հայկական ՍՍՀ շինարարության նախարարություն,,,Ереван,Арморгтехстрой (Armgortechstroy),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,Armenia (Republic),,Construction equipment,"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s48r67,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s48r67/manifest
ark:/21198/z1nc80ff,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,лист строительнои техники № 7,Masters/othermasters/DEParmenianposters/images/soviet_00290_p_arm_376.tif,,,Sheet of construction equipment № 7,,,,,1964,,,New airtight coverings. Հատակի հերմետիկ ծածկույթներ,74 x 54 cm. (29.1 x 21.2 in.),1 poster,,posters,rus,,Armenian SSR Ministry of Construction|~|Հայկական ՍՍՀ շինարարության նախարարություն,,,Ереван,Арморгтехстрой (Armgortechstroy),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,Armenia (Republic),,Construction equipment,"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc80ff,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nc80ff/manifest
ark:/21198/z1hm77mc,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,лист строительнои техники № 6,Masters/othermasters/DEParmenianposters/images/soviet_00289_p_arm_375.tif,,,Sheet of construction equipment № 6,,,,,1964,,,Rubber linoleum floors. Ռեզինե լինոլեումով հատակներ,74 x 54 cm. (29.1 x 21.2 in.),1 poster,,posters,rus,,Armenian SSR Ministry of Construction|~|Հայկական ՍՍՀ շինարարության նախարարություն,,,Ереван,Арморгтехстрой (Armgortechstroy),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,Armenia (Republic),,Construction equipment,"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm77mc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hm77mc/manifest
ark:/21198/z1cv6gwn,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,лист строительнои техники № 5,Masters/othermasters/DEParmenianposters/images/soviet_00288_p_arm_374.tif,,,Sheet of construction equipment № 5,,,,,1964,,,Assembly of transition fittings. Կցամասերի հավաքման եւ նրա ինտենսիվ անցման սխեման,74 x 54 cm. (29.1 x 21.2 in.),1 poster,,posters,rus,,Armenian SSR Ministry of Construction|~|Հայկական ՍՍՀ շինարարության նախարարություն,,,Ереван,Арморгтехстрой (Armgortechstroy),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,Armenia (Republic),,Construction equipment,"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv6gwn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cv6gwn/manifest
ark:/21198/z1864fnv,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,лист строительнои техники № 4,Masters/othermasters/DEParmenianposters/images/soviet_00287_p_arm_373.tif,,,Sheet of construction equipment № 4,,,,,1964,,,Composition of lubricants for metal forms. Մետաղական կառուցվածքի յուղման ձեւերը,74 x 54 cm. (29.1 x 21.2 in.),1 poster,,posters,rus,,Armenian SSR Ministry of Construction|~|Հայկական ՍՍՀ շինարարության նախարարություն,,,Ереван,Арморгтехстрой (Armgortechstroy),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Construction equipment,"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1864fnv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1864fnv/manifest
ark:/21198/z14f3px4,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,лист строительнои техники № 3,Masters/othermasters/DEParmenianposters/images/soviet_00286_p_arm_372.tif,,,Sheet of construction equipment № 3,,,,,1964,,,Measures to reduce noise floor vibration. Աղմուկի նվազեցման միջոցները հատակի թրթռոցի դեպքում,74 x 54 cm. (29.1 x 21.2 in.),1 poster,,posters,rus,,Armenian SSR Ministry of Construction|~|Հայկական ՍՍՀ շինարարության նախարարություն,,,Ереван,Арморгтехстрой (Armgortechstroy),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Construction equipment,"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f3px4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14f3px4/manifest
ark:/21198/z10p2z78,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,лист строительнои техники № 2,Masters/othermasters/DEParmenianposters/images/soviet_00285_p_arm_371.tif,,,Sheet of construction equipment № 2,,,,,1964,,,Prefabricated foundation under the flooring. Հատակի ներքին հավաքովի հիմքը,73 x 53.5 cm. (28.7 x 21 in.),1 poster,,posters,rus,,Armenian SSR Ministry of Construction|~|Հայկական ՍՍՀ շինարարության նախարարություն,,,Ереван,Арморгтехстрой (Armgortechstroy),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Construction equipment,"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p2z78,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10p2z78/manifest
ark:/21198/z1vx2fsd,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,лист строительнои техники № 1,Masters/othermasters/DEParmenianposters/images/soviet_00284_p_arm_370.tif,,,Sheet of construction equipment № 1,,,,,1964,,,Methods for creating strong concrete. Բետոնային հանգույցների ամրացման տարբերակները,74 x 54 cm. (29.1 x 21.2 in.),1 poster,,posters,rus,,Armenian SSR Ministry of Construction|~|Հայկական ՍՍՀ շինարարության նախարարություն,,,Ереван,Арморгтехстрой (Armgortechstroy),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Construction equipment,"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx2fsd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vx2fsd/manifest
ark:/21198/z1r51q0h,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Лереадовые Связисты,Masters/othermasters/DEParmenianposters/images/soviet_00353_p_arm_110.tif,,,The awardees of communication services,,,,,1956,,,The employees who were awarded for providing the best communication services. Հաղորդակցության լավագույն ծառայությունների համար պարգևատրված առաջավորներ,92 x 69.5 cm. (36.2 x 27.4 in.),1 poster,,posters,rus,,Ministry of Communications of the Armenian SSR|~|The Armenian Republican Committee of trade Union of workers of communication|~|Հայկական ԽՍՀ կապի նախարարություն|~|Հայաստանի հանրապետական կապի աշխատողների արհմիության հանձնաժողով,,,Ереван,Армполиграфиздат (Armpoligrafizdat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Awards,Labor|~|Աշխատանք,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51q0h,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r51q0h/manifest
ark:/21198/z1md0z6w,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Иэучайте и охраняйте памятникинультуры,Masters/othermasters/DEParmenianposters/images/soviet_00316_p_arm_236.tif,,,Study and protect cultural monuments,,,,,1948,,,"Cultural monuments of scientific, historical and artistic significance. Գիտական, պատմական եւ գեղարվեստական արժեքով մշակութային հուշարձաններ",92 x 59.5 cm. (36.2 x 23.4 in.),1 poster,,posters,rus,,,,,Ростов-на-Дону,"издательства «Молот» (Izdatelʹstvo ""Molot”)",,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Monuments|~|Armenia (Republic),Arts and Culture|~|Արվեստ և Մշակույթ|~|Հուշարձանները,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md0z6w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1md0z6w/manifest
ark:/21198/z1gn06gj,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,историческая миссия коммунизма,Masters/othermasters/DEParmenianposters/images/soviet_00145_p_arm_227.tif,,,The historical mission of communism,,,,,1953/1963,,,A draft of the program of the Communist Party of the Soviet Union. Սովետական միության կոմունիստական կուսակցության նախագծային ծրագրից,93 x 57 cm. (36.6 x 22.4 in.),1 poster,,posters,rus,,Political Education House of the Central Committee and EGK KP of Armenia|~|ՀԿՊ Կենտկոմի եւ Երքաղկոմի քաղաքական լուսավորության տուն,,,Ереван,Полиграфкомбинат (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,"Propaganda, Communist",History and Politics|~|Պատմություն և Քաղաքականություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn06gj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gn06gj/manifest
ark:/21198/z1bz856f,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Давид-Бек,Masters/othermasters/DEParmenianposters/images/soviet_00131_p_arm_602.tif,,,"Historical fiction film: ""David - Bek""",,,,,1944,,,David Beck shown sitting on his horse and leading his soldiers. Դավիթ Բեկը ձիու վրա նստած առաջնորդում է իր զինվորներին,59 x 46 cm. (32.2 x 18.1 in.),1 poster,,posters|~|advertisements,rus,,"Rychkov-Galaktionov, Aleksandr Nikolai|~|Ռիչկով -Գալակտիոնով, Ալեքսանդր Նիկոլայի","Dawitʻ Bēk, Prince of Siwnikʻ, -1728",,Մոսկվա,Պետկինոհրատ (Petkinohrat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Film posters|~|Armenia (Republic),"Arts and Culture|~|Արվեստ և Մշակույթ|~|Գեղարվեստական, պատմական ֆիլմ",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz856f,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bz856f/manifest
