"Project Name","Parent ARK","Item ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Language","Title","Relation.rectoVerso","Description.abstract","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdng","2","Completed","Page","polygraph/masters/21198-zz001ngdng-1-master.tif","12","","","","","","","text","","Polygraph Newsletter_0041","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdng",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdp0","2","Completed","Page","polygraph/masters/21198-zz001ngdp0-1-master.tif","13","","","","","","","text","","Polygraph Newsletter_0042","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdp0",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdqh","2","Completed","Page","polygraph/masters/21198-zz001ngdqh-1-master.tif","14","","","","","","","text","","Polygraph Newsletter_0043","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdqh",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdr1","2","Completed","Page","polygraph/masters/21198-zz001ngdr1-1-master.tif","15","","","","","","","text","","Polygraph Newsletter_0044","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdr1",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdsj","2","Completed","Page","polygraph/masters/21198-zz001ngdsj-1-master.tif","16","","","","","","","text","","Polygraph Newsletter_0045","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdsj",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdt2","2","Completed","Page","polygraph/masters/21198-zz001ngdt2-1-master.tif","17","","","","","","","text","","Polygraph Newsletter_0046","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdt2",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdvk","2","Completed","Page","polygraph/masters/21198-zz001ngdvk-1-master.tif","18","","","","","","","text","","Polygraph Newsletter_0047","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdvk",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdw3","2","Completed","Page","polygraph/masters/21198-zz001ngdw3-1-master.tif","19","","","","","","","text","","Polygraph Newsletter_0048","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdw3",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdxm","2","Completed","Page","polygraph/masters/21198-zz001ngdxm-1-master.tif","20","","","","","","","text","","Polygraph Newsletter_0049","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdxm",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngdz4","2","Completed","Page","polygraph/masters/21198-zz001ngdz4-1-master.tif","21","","","","","","","text","","Polygraph Newsletter_0050","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngdz4",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngf04","2","Completed","Page","polygraph/masters/21198-zz001ngf04-1-master.tif","22","","","","","","","text","","Polygraph Newsletter_0051","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngf04",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngf1n","2","Completed","Page","polygraph/masters/21198-zz001ngf1n-1-master.tif","23","","","","","","","text","","Polygraph Newsletter_0052","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngf1n",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngf25","2","Completed","Page","polygraph/masters/21198-zz001ngf25-1-master.tif","24","","","","","","","text","","Polygraph Newsletter_0053","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngf25",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngf3p","2","Completed","Page","polygraph/masters/21198-zz001ngf3p-1-master.tif","25","","","","","","","text","","Polygraph Newsletter_0054","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngf3p",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngf46","2","Completed","Page","polygraph/masters/21198-zz001ngf46-1-master.tif","26","","","","","","","text","","Polygraph Newsletter_0055","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngf46",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngf5q","2","Completed","Page","polygraph/masters/21198-zz001ngf5q-1-master.tif","27","","","","","","","text","","Polygraph Newsletter_0056","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngf5q",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngd78","ark:/21198/zz001ngf67","2","Completed","Page","polygraph/masters/21198-zz001ngf67-1-master.tif","28","","","","","","","text","","Polygraph Newsletter_0057","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngf67",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngf88","2","Completed","Page","polygraph/masters/21198-zz001ngf88-1-master.tif","1","","","","","","","text","","Polygraph Newsletter_0058","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngf88",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngf9s","2","Completed","Page","polygraph/masters/21198-zz001ngf9s-1-master.tif","2","","","","","","","text","","Polygraph Newsletter_0059","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngf9s",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngfb9","2","Completed","Page","polygraph/masters/21198-zz001ngfb9-1-master.tif","3","","","","","","","text","","Polygraph Newsletter_0060","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngfb9",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngfct","2","Completed","Page","polygraph/masters/21198-zz001ngfct-1-master.tif","4","","","","","","","text","","Polygraph Newsletter_0061","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngfct",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngfdb","2","Completed","Page","polygraph/masters/21198-zz001ngfdb-1-master.tif","5","","","","","","","text","","Polygraph Newsletter_0062","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngfdb",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngffv","2","Completed","Page","polygraph/masters/21198-zz001ngffv-1-master.tif","6","","","","","","","text","","Polygraph Newsletter_0063","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngffv",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngfgc","2","Completed","Page","polygraph/masters/21198-zz001ngfgc-1-master.tif","7","","","","","","","text","","Polygraph Newsletter_0064","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngfgc",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngfhw","2","Completed","Page","polygraph/masters/21198-zz001ngfhw-1-master.tif","8","","","","","","","text","","Polygraph Newsletter_0065","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngfhw",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngfjd","2","Completed","Page","polygraph/masters/21198-zz001ngfjd-1-master.tif","9","","","","","","","text","","Polygraph Newsletter_0066","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngfjd",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngfkx","2","Completed","Page","polygraph/masters/21198-zz001ngfkx-1-master.tif","10","","","","","","","text","","Polygraph Newsletter_0067","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngfkx",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngfmf","2","Completed","Page","polygraph/masters/21198-zz001ngfmf-1-master.tif","11","","","","","","","text","","Polygraph Newsletter_0068","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngfmf",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngfnz","2","Completed","Page","polygraph/masters/21198-zz001ngfnz-1-master.tif","12","","","","","","","text","","Polygraph Newsletter_0069","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngfnz",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngfpg","2","Completed","Page","polygraph/masters/21198-zz001ngfpg-1-master.tif","13","","","","","","","text","","Polygraph Newsletter_0070","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngfpg",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngfq0","2","Completed","Page","polygraph/masters/21198-zz001ngfq0-1-master.tif","14","","","","","","","text","","Polygraph Newsletter_0071","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngfq0",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngfrh","2","Completed","Page","polygraph/masters/21198-zz001ngfrh-1-master.tif","15","","","","","","","text","","Polygraph Newsletter_0072","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngfrh",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngfs1","2","Completed","Page","polygraph/masters/21198-zz001ngfs1-1-master.tif","16","","","","","","","text","","Polygraph Newsletter_0073","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngfs1",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngftj","2","Completed","Page","polygraph/masters/21198-zz001ngftj-1-master.tif","17","","","","","","","text","","Polygraph Newsletter_0074","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngftj",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngfv2","2","Completed","Page","polygraph/masters/21198-zz001ngfv2-1-master.tif","18","","","","","","","text","","Polygraph Newsletter_0075","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngfv2",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngfwk","2","Completed","Page","polygraph/masters/21198-zz001ngfwk-1-master.tif","19","","","","","","","text","","Polygraph Newsletter_0076","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngfwk",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngfx3","2","Completed","Page","polygraph/masters/21198-zz001ngfx3-1-master.tif","20","","","","","","","text","","Polygraph Newsletter_0077","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngfx3",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngfzm","2","Completed","Page","polygraph/masters/21198-zz001ngfzm-1-master.tif","21","","","","","","","text","","Polygraph Newsletter_0078","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngfzm",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngg0m","2","Completed","Page","polygraph/masters/21198-zz001ngg0m-1-master.tif","22","","","","","","","text","","Polygraph Newsletter_0079","v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngg0m",""
"Society for Psychophysiological Research Records (Collection 1194)","ark:/21198/zz001ngf7r","ark:/21198/zz001ngg14","2","Completed","Page","polygraph/masters/21198-zz001ngg14-1-master.tif","23","","","","","","","text","","Polygraph Newsletter_0080","r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngg14",""
