Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Name.creator,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Coverage.geographic,Name.subject,Name.contributor,Subject,Rights.countryCreation,Rights.rightsHolderContact,Language,AltTitle.uniform,Name.architect,Name.photographer,AltTitle.other,Name.repository,Relation.isPartOf,Format.dimensions,Alt ID.local,Rights.statementLocal,Description.note,Title,Date.creation,Format.extent,Date.normalized,Format.medium,Publisher.placeOfOrigin,Publisher.publisherName,Description.abstract,Opac url,Finding Aid URL
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00177xz8,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,individuals,,,,Sketches,,,,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",13 1/4 x 9 inches,uclamss_1179_b1901_f0013|~|Travel sketches,,A charcoal self portrait of Richard Neutra facing slightly right.Title supplied by archivist. Signed and dated on bottom right.|~|LAPL Exhibit 2009,"Self-Portrait of Richard Neutra, 1917",1917,1 drawing,1917,charcoal on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001bmstf,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,text,individuals,,private,,specifications,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21.5 x 27.5 cm,uclamss_1179_f0939_028|~|uclamss_1179_f0939_029|~|uclamss_1179_f0939_027|~|uclamss_1179_f0939_030,,Title supplied by archivist.,"Von Sternberg House, final revised schedule for doors, Northridge, California, 1935","August 23, 1935",4 pages,1935-08-23,blueprint paper and colored pencil,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001bn05z,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image|~|text,individuals,,private,,Sections|~|Blueprints,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",25 x 70 cm,uclamss_1179_f0939_035|~|uclamss_1179_f0939_034,,"Title supplied by archivist.|~|Layout of pools, drive, and flat paving.|~|2 copies. Second copy has small tear on right edge.","Von Sternberg House, blueprint, exterior layout, Northridge, California, 1935","November 9, 1935",2 drawings,1935-11-09,blueprint paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001bpbfc,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image,individuals,,private,,Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",29 x 46 cm,uclamss_1179_f0939_074,,Title supplied by archivist.|~|Details for sliding door in wardrobe and sections A and B.,"Von Sternberg House, elevations and sections, wardrobe, Northridge, California, 1935",1935,2 drawings,1935,graphite on tracing paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001bsb3j,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,text,individuals,,private,,invoices,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",28 x 21.5 cm|~|31.5 x 29.5 cm,uclamss_1179_f0939_080b|~|uclamss_1179_f0939_080a,,Invoice from Hopper's Ornamental Iron Works for residence gates.  Includes track detail and measurements.|~|Title supplied by archivist.,"Von Sternberg House, estimate and order of iron gates, Northridge, California, 1935","April 10, 1935",2 pages,1935-04-10,graphite on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001btt3r,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,text,individuals,,private,,application forms,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",33 x 20.5 cm,uclamss_1179_f0939_083,,Application from the City of Los Angeles Department of Building and Safety to construct residence and garage for Eleanor McGeary.|~|Second page: duplicate.,"Von Sternberg House, application for the erection of a building, Northridge, California, 1935",Between 1934 and 1935,2 p.,1934/1935,pen and ink on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d1cf5,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,House & Garden,still image|~|text,individuals,,,,,,,,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b181_f(43)_002_1|~|c1179_b181_f(43)_005_1|~|c1179_b181_f(43)_004_1|~|c1179_b181_f(43)_003_1|~|c1179_b181_f(43)_003_2|~|c1179_b181_f(43)_010_1|~|c1179_b181_f(43)_004_2|~|c1179_b181_f(43)_002_2|~|c1179_b181_f(43)_010_2|~|c1179_b181_f(43)_005_2,,"Title supplied by archivist.|~|Front cover, five advertisements, and four page article from House and Garden magazine. Article features the von Sternberg house and Ayn Rand, the second owner, who wrote her novel ""The Fountainhead"" while living there in the 1940s.","House & Garden magazine, 1949",August 1949,10 p.,1949-08,,,Conde Nast,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d2twm,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,Alluminio,text,individuals,,,,Periodicals,,,California,,,dwellings|~|Architecture--California--20th century,,,ita,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b1319_f(16)_003_1|~|c1179_b1319_f(16)_003_2|~|c1179_b1319_f(16)_004_1|~|c1179_b1319_f(16)_004_2|~|c1179_b1319_f(16)_002,,"Italian architecture magazine featuring the von Sternberg house. Includes front cover, advertisement, and three page article. September / October issue. Text in Italian.","Alluminio, 1936 September",September 1936,5 p.,1936-09,,Italy,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d2tx4,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,Casabella,text,individuals,,,,Periodicals,,,California,,,dwellings|~|Architecture--California--20th century,,,ita,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b1319_f(16)_010_1|~|c1179_b1319_f(16)_010_2|~|c1179_b1319_f(16)_007_2|~|c1179_b1319_f(16)_005_1|~|c1179_b1319_f(16)_005_2|~|c1179_b1319_f(16)_006_1|~|c1179_b1319_f(16)_007_1|~|c1179_b1319_f(16)_008_2|~|c1179_b1319_f(16)_011_1|~|c1179_b1319_f(16)_011_2|~|c1179_b1319_f(16)_008_1|~|c1179_b1319_f(16)_006_2|~|c1179_b1319_f(16)_009_1|~|c1179_b1319_f(16)_009_2,,"Italian architecture magazine featuring the von Sternberg house. Includes front cover, advertisement, article, seven pages of photographs, floor plan, and projection. Text in Italian.","Casabella, 1936 September",September 1936,14 p.,1936-09,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d2vw3,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,text,individuals,,private,,checklists,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21.5 x 32.5 cm,c1179_b1486_f(10)_001|~|c1179_b1486_f(10)_002,,Second copy contains architect's notes and corrections.,"Von Sternberg House, checklist, Northridge, California, 1935",1935,2 pages,1935,typescript and graphite on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d3153,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,,text,individuals,,,,,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21.5 x 32.5 cm,c1179_b1486_f(10)_004|~|c1179_b1486_f(10)_006|~|c1179_b1486_f(10)_005,,Changes to be made to the architectural plans for the von Sternberg house.,"Von Sternberg House, amendments of March 30th, 1935","March 30, 1935",3 p.,1935-03-30,typescript and graphite on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d31c6,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,text,individuals,,private,,specifications,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21.5 x 32.5 cm,c1179_b1486_f(10)_008_1|~|c1179_b1486_f(10)_008_2,,List of items such as hardware and fixtures that are not included in the contract. Verso (page two) contains architect's notes.,"Von Sternberg House, amendments, Northridge, California, 1935",1935,2 p.,1935,typescript and graphite on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d31js,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,text,individuals,,private,,specifications,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21.5 x 32.5 cm,_c1179_b1486_f(10)_010|~|c1179_b1486_f(10)_009|~|_c1179_b1486_f(10)_011,,Changes to be made to architectural plans for McGeary residence.,"Von Sternberg House, amendments to specifications and plans, Northridge, California, 1935",1935,3 p.,1935,"typescript, graphite, and colored pencil on paper",,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d34ns,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,,text,individuals,,,,,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21 x 27.5 cm,c1179_b1516_f(4)_005|~|c1179_b1516_f(4)_004,,"Provides details for the layout of the interior and exterior estate, landscaping, and materials.",Description of residence for Josef von Sternberg,Between 1934 and 1935,2 pages,1934/1935,typescript on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d34sv,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,"Neutra, Richard Joseph, $d 1892-1970",text,individuals,,,,,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)",,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21 x 27.5 cm,c1179_b1516_f(4)_013|~|c1179_b1516_f(4)_006|~|c1179_b1516_f(4)_007,,"Description of the interior and exterior features of the von Sternberg house. The first item notes Ayn Rand's work ""The Fountainhead.""","Description of residence for Mr. and Mrs. Frank O'Connor (Ayn Rand), Chatsworth, Calif.",,3 p.,,typescript on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d358k,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,"Von Sternberg, Josef, $d 1894-1969",text,individuals,,,,,,,,,,,,,ger,"Von Sternberg House (San Fernando Valley, Calif.)",,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21.5 x 27.5 cm,c1179_b1516_f(4)_025|~|c1179_b1516_f(4)_019|~|c1179_b1516_f(4)_022|~|c1179_b1516_f(4)_016|~|c1179_b1516_f(4)_024|~|c1179_b1516_f(4)_017|~|c1179_b1516_f(4)_021|~|c1179_b1516_f(4)_014|~|c1179_b1516_f(4)_015|~|c1179_b1516_f(4)_018|~|c1179_b1516_f(4)_020|~|c1179_b1516_f(4)_023,,"Twelve page manuscript with corrections. Pages numbered 374-385. Inscription, upper left: ""file von Sternberg."" Text in German.","Auftraggeber und ihre Geschichten, der fall des filmproduzenten",,12 p.,,typescript on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d36r9,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,text,individuals,,private,,specifications,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",23.5 x 27.5 cm,c1179_b1516_f(5)_003|~|c1179_b1516_f(5)_004,,"Specifies application of paint, enamel, and stain (coating) for walls, ceiling, wood work, doors, and floors.|~|Second page: duplicate.","Von Sternberg House, schedule of application, Northridge, California, 1935",1935,2 p.,1935,typescript on blueprint paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d36tb,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,text,individuals,,private,,specifications,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",23.5 x 27.5 cm,c1179_b1516_f(5)_009|~|c1179_b1516_f(5)_005,,Second page: duplicate.,"Von Sternberg House, specifications for impervious floors and wainscots, Northridge, California, 1935",1935,2 p.,1935,typescript on blueprint paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
