"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Subject","Rights.servicesContact","Language","Name.artist","Name.repository","Relation.isPartOf","Name.creator","Coverage.geographic","Author","Relation.rectoVerso","Relation.pageNumber","Title","Alt ID.local","Description.adminnote","Description.note","Format.dimensions","AltTitle.firstLine","Description.caption","AltTitle.descriptive","Format.medium","Format.extent","Place of origin","Date.normalized","Date.creation","Description.abstract","Description.tableOfContents","AltTitle.uniform","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rpsv","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rpsv_737869_master.tif","13","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Table of Contents - xiv","","","Lists contents of pages 682-878","","Section the Second","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rpsv",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rptc","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rptc_737872_master.tif","14","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Table of Contents - xv","","","Lists contents of pages 912-954","","Chapter the Second","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rptc",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rpvw","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rpvw_737875_master.tif","15","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 1","","","","","Introduction","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rpvw",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rpwd","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rpwd_737878_master.tif","16","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 2","","","Verso of Page 1.  The word ""Mistake"" has been written on the page in colored pencil.","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rpwd",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rpxx","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rpxx_737881_master.tif","17","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 3","","","","","engaged in this University where the...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rpxx",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rpzf","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rpzf_737884_master.tif","18","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 5","","","","","Chain of reasoning with attention, which...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rpzf",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rq0f","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rq0f_737887_master.tif","19","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 7","","","","","judge if they are justly imitated or not...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rq0f",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rq1z","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rq1z_737890_master.tif","20","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 9","","","","","order to comprehend the meaning of the...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rq1z",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rq2g","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rq2g_737893_master.tif","21","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 11","","","","","that mephitic and fixed air may be combined...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rq2g",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rq30","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rq30_737896_master.tif","22","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 13","","","","","get some attention and progress being made...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rq30",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rq4h","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rq4h_737899_master.tif","23","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 15","","","","","bestow only the time upon it which remains...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rq4h",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rq51","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rq51_737902_master.tif","24","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 17","","","","","of the essential and ornamental...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rq51",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rq6j","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rq6j_737905_master.tif","25","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 19","","","","","just now: But for the sake of those who...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rq6j",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rq72","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rq72_737908_master.tif","26","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 21","","","","","Thus it might be expected that a mixture...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rq72",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rq8k","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rq8k_737911_master.tif","27","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 23","","","","","experiment, the [] for instance some...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rq8k",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rq93","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rq93_737914_master.tif","28","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 25","","","","","upon digestion by chemical experiment...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rq93",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rqbm","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rqbm_737917_master.tif","29","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 27","","","","","that the principles of all Salt sulphur and...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rqbm",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rqc4","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rqc4_737920_master.tif","30","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 29","","","","","rest of the course...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rqc4",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rqdn","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rqdn_737923_master.tif","31","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 31","","","","","and abridged by Lewis and McQuers...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rqdn",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rqf5","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rqf5_737926_master.tif","32","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 33","","","","","Part of the First History of Chemistry - Part the First","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rqf5",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rqgp","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rqgp_737929_master.tif","33","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 35","","","","","he expected he will be able to perform.","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rqgp",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rqh6","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rqh6_737932_master.tif","34","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 37","","","","","quantities are so well known that they...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rqh6",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rqsb","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rqsb_737959_master.tif","35","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 39","","","","","to discoveries and though England has...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rqsb",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rqxd","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rqxd_737969_master.tif","36","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 41","","","","","-nist and to the naturalist, it is of the","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rqxd",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rr0x","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rr0x_737978_master.tif","37","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 43","","","","","plainly understand the power which...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rr0x",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rr3g","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rr3g_737984_master.tif","38","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 45","","","","","when plants are moistened by rain...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rr3g",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rr5h","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rr5h_737989_master.tif","39","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 47","","","","","-cal process and above all the art of","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rr5h",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rr7j","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rr7j_737994_master.tif","40","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 49","","","","","Calf, and it has been discovered...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rr7j",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rr82","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rr82_738001_master.tif","41","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 51","","","","","can be easily imitated, he lived two...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rr82",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rrb3","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rrb3_738005_master.tif","42","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 53","","","","",": lies and the calcareous and argilace:","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rrb3",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rrcm","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rrcm_738010_master.tif","43","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 55","","","","","Chapter the Second - Of Alchemy","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rrcm",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rrfn","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rrfn_738015_master.tif","44","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 57","","","","","too wealthy as they were acquainted with...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rrfn",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rrg5","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rrg5_738019_master.tif","45","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 59","","","","","Century Sully of Majorca appeared who","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rrg5",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rrj6","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rrj6_738032_master.tif","46","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 61","","","","","for the Chemists of that age, employ:","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rrj6",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rrkq","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rrkq_738046_master.tif","47","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 63","","","","","best or whatever was in the highest per:","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rrkq",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rrm7","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rrm7_738052_master.tif","48","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 65","","","","","which there began to appear in Europe...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rrm7",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rrp8","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rrp8_738061_master.tif","49","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 67","","","","","was thrown away upon such absurd ideas","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rrp8",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rrr9","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rrr9_738070_master.tif","50","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 69","","","","","chemistry with medicine, he travelled...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rrr9",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rrtb","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rrtb_749724_master.tif","51","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 71","","","","",":verted Mercury into the appearance...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rrtb",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rrvv","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rrvv_738093_master.tif","52","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","page 73","","","","","Chapter the Third","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rrvv",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rrwc","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rrwc_738104_master.tif","53","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 75","","","","",":ted the barren and abstruse philosophy...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rrwc",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rs0d","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rs0d_738114_master.tif","54","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 77","","","","","came to the distinguished in Germa:","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rs0d",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rs2f","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rs2f_738120_master.tif","55","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 79","","","","","Chemistry, the first began to double...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rs2f",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rs3z","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rs3z_738124_master.tif","56","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 81","","","","","Chapter the Fourth","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rs3z",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rs50","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rs50_738132_master.tif","57","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 83","","","","","this word, you will be more able to...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rs50",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rs8j","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rs8j_738144_master.tif","58","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 85","","","","","consideration which distinguishes...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rs8j",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rsbk","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rsbk_738151_master.tif","59","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 87","","","","","or distributes them at home is the...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rsbk",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rsc3","ark:/21198/zz0019rp5j","2","Completed","Page","boundman170/masters/21198-zz0019rsc3_738156_master.tif","60","","","","","","","text","","","","","","","","","","Edgeworth, Lovell, 1775-1842","","","","","Page 89","","","","","he would have been both a Philosopher...","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rsc3",""
