Project Name,Item ARK,Parent ARK,Visibility,Object Type,File Name,Item Sequence,Type.typeOfResource,Rights.copyrightStatus,Type.genre,Language,Subject,Name.repository,Name.subject,Name.photographer,Name.creator,Title,Representative image,Masthead,Description.abstract,Description.note,Coverage.geographic,Description.latitude,Description.fundingNote,Alt ID.local,Format.extent,Format.medium,Relation.isPartOf,Date.creation,Date.normalized,Description.caption,Description.longitude,Subject.temporal,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz001nx79q,ark:/21198/zz001nx6sg,Private,Work,sacht/image/21198-zz001nx79q_1453695_master.tif,,still image,pd,,,,,,,,Three Armenians and one Kurd [verso],,,,Note reads in full: No 11.Three Armenians and one Kurd of the Zelan tribe. Types of the extreme eastern part of the Ottoman Empire.,,,Access to this collection is generously supported by Arcadia funds.,,,,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nx79q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nx79q/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz002hfdkq,ark:/21198/zz001nx6sg,Private,Work,sacht/image/uclamss_1841_0001i.tif,,still image,pd,,,,"University of California, Los Angeles. $b Library Special Collections",,,,"z - not for dlcs portal - Header card with Sachtleben negatives ""Remnants of 1/10/91 -1/15/91...""",,,,,,,Access to this collection is generously supported by Arcadia funds.,uclamss_1841_0001i,,,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,,"Remnants of 1/10/91 -1/15/91 (2 series w/most missing) (Envelope #40 ... many negatives) Athens, Greece.",,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfdkq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfdkq/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz002hfdm7,ark:/21198/zz001nx6sg,,Work,sacht/image/uclamss_1841_0003.tif,,still image,pd,black-and-white photographs|~|cellulose nitrate film,,"Cemeteries -- Greek -- Greece -- Athens|~|Bicycle touring -- Greece|~|Guards -- Greece -- Athens|~|Kerameikos (Athens, Greece)","University of California, Los Angeles. $b Library Special Collections",,"Sachtleben, William Lewis",,"Two guards at the Street of Tombs, Athens, 1891",,,,"Photograph of 2 guards at the Street of Tombs in the Kerameikos area of Athens. The bicycle of the photographer, William Lewis Sachtleben, is between them and ancient ruins of the archeological site are visible beyond.|~|Photograph taken during William Lewis Sachtleben's stay in Athens before embarking on a bicycle journey across Asia with Thomas Gaskell Allen Jr.",Greece--Athens,,Access to this collection is generously supported by Arcadia funds.,uclamss_1841_0003,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","January 15, 1891",1891-01-15,"Text from negative sleeve: No. 41. Jan. 15, 1891.  The two guards at the enclosure of the  Street of Tombs … and the intricate mass of ruins between the two.",,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfdm7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfdm7/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz002hfdp8,ark:/21198/zz001nx6sg,,Work,sacht/image/uclamss_1841_0004.tif,,still image,pd,black-and-white photographs|~|cellulose nitrate film,,Bicycle touring -- Greece|~|Photographers -- Greece -- Athens,"University of California, Los Angeles. $b Library Special Collections","Rhomaides, Konstantinos, d. 1900?|~|Rhomaides, Aristotelis, d. 1916?|~|Allen, Thomas Gaskell|~|Gurdjian, Serope A. (Serope Armenag), b. 1847","Sachtleben, William Lewis",,"Thomas Allen, Serope Gurdjian, and the photographers Aristotelis and Konstantinos Rhomaides on a city street, Athens, 1891",,,,"Photograph of, L to R, Thomas Allen, Serope Gurdjian, and the two brothers Aristotelis and Konstantinos Rhomaides (photographers specializing in the documentation of archeological sites) on a narrow street in Athens, perhaps near the Rhomaides' atelier (listed in 1907 as ""3 Place de la Constitution"" which is now Constitution Square, or Syntagma Square).|~|Photograph taken during William Lewis Sachtleben's stay in Athens before embarking on a bicycle journey across Asia with Thomas Gaskell Allen Jr.|~|Serope Armenag Gurdjian was an Armenian from Turkey who became a naturalized U.S. citizen and earned a college degree from Bowdoin College in 1877. Having been detained in Istanbul in October 1890 on suspicion of participating in a revolutionary committee, he was released based on his U.S. citizenship and then traveled to Athens, where he met and befriended William Sachtleben and Thomas Allen.",Greece--Athens,37.975551,Access to this collection is generously supported by Arcadia funds.,uclamss_1841_0004,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","January 10, 1891",1891-01-10,"Text from negative sleeve: No. 11. Jan. 10, 1891. A view of the large and splendid Ateliers of Romaides [sic] in Athens. The two brothers, Romaides, Gurdjian, and Allen. An interior view time exposure.",23.734776,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfdp8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfdp8/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz002hfdqs,ark:/21198/zz001nx6sg,,Work,sacht/image/uclamss_1841_0005.tif,,still image,pd,black-and-white photographs|~|cellulose nitrate film,,"Cemeteries $x Greek -- Greece -- Athens|~|Stele (Archaeology) -- Greece|~|Bicycle touring -- Greece|~|Kerameikos (Athens, Greece)","University of California, Los Angeles. $b Library Special Collections",,"Sachtleben, William Lewis",,"William Sachtleben examining the grave relief of Demetria and Pamphile, Athens, 1891",,,,Photograph taken during William Lewis Sachtleben's stay in Athens before embarking on a bicycle journey across Asia with Thomas Gaskell Allen Jr.|~|Photograph of William Lewis Sachtleben  examining the marble grave relief (stele) of Demetria and Pamphile (ca. 325-310 BC.) at the ancient cemetery of Kerameikos in Athens. Sachtleben leans against the monument as he reaches to touch the leg of the throne of Pamphile with his right hand;  his bicycle rests against his side. He holds a small book in his left hand and another open book rests on the base of the monument. Ancient ruins are visible in the landscape beyond.|~|The stele of Demetria and Pamphile is in the Kerameikos Museum (Archaiologiko Mouseio Kerameikou) in Athens.,Greece--Athens,,Access to this collection is generously supported by Arcadia funds.,uclamss_1841_0005,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","January 15, 1891",1891-01-15,"Text from negative sleeve: No. 31 [or 39]. Jan. 15, 1891. The tomb stone of Demetria and Pamphile, two Athenian maidens. Recently excavated in west Athens among the ruins of the Street of Tombs.",,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfdqs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfdqs/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz002hfdr9,ark:/21198/zz001nx6sg,,Work,sacht/image/uclamss_1841_0006.tif,,still image,pd,black-and-white photographs|~|cellulose nitrate film,,"Cemeteries $x Greek -- Greece -- Athens|~|Sarcophagi, Roman -- Greece -- Athens|~|Bicycle touring -- Greece|~|Kerameikos (Athens, Greece)","University of California, Los Angeles. $b Library Special Collections","Gurdjian, Serope A. (Serope Armenag), b. 1847","Sachtleben, William Lewis",,"Serope Gurdjian deciphering the inscription on a Roman sarcophagus near the Street of Tombs, Athens, 1891",,,,"Photograph of Serope Gurdjian, a sightseeing companion of William Lewis Sachtleben and Thomas Gaskell Allen, in the Kerameikos area of Athens on top of a recently excavated Roman sarcophagus near the Street of Tombs in Athens deciphering the inscription. A bicycle is parked against a mound in front of the tomb and a low stone wall is in visible the background.|~|Photograph taken during William Lewis Sachtleben's stay in Athens before embarking on a bicycle journey across Asia with Thomas Gaskell Allen Jr.|~|Serope Armenag Gurdjian was an Armenian from Turkey who became a naturalized U.S. citizen and earned a college degree from Bowdoin College in 1877. Having been detained in Istanbul in October 1890 on suspicion of participating in a revolutionary committee, he was released based on his U.S. citizenship and then traveled to Athens, where he met and befriended William Sachtleben and Thomas Allen.",Greece--Athens,,Access to this collection is generously supported by Arcadia funds.,uclamss_1841_0006,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","January 15, 1891",1891-01-15,"Text from negative sleeve: No. 37. Jan. 15, 1891. An old Roman tomb near the Street of Tombs recently excavated. Gurdjian deciphering the inscription.",,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfdr9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfdr9/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz002hfdst,ark:/21198/zz001nx6sg,,Work,sacht/image/uclamss_1841_0007.tif,,still image,pd,black-and-white photographs|~|cellulose nitrate film,,"Sarcophagi, Roman -- Greece -- Athens|~|Bicycle touring -- Greece|~|Kerameikos (Athens, Greece)","University of California, Los Angeles. $b Library Special Collections","Sachtleben, William Lewis","Sachtleben, William Lewis",,"William Sachtleben next to a Roman sarcophagus in the Kerameikos area, Athens, 1891",,,,"Photograph of William Lewis Sachtleben  standing next to a Roman sarcophagus in the Kerameikos area. It has the form of a couch and is decorated with relief, including the couch area on top that has the appearance of a textile. Sachtleben is standing behind his bicycle and appears to be writing in a small book.|~|Photograph taken during William Lewis Sachtleben's stay in Athens before embarking on a bicycle journey across Asia with Thomas Gaskell Allen Jr.|~|The Roman period sarcophagus probably dates to the later second century CE, and was found near the Dipylon Gate. It is now at the Kerameikos Museum (Archaiologiko Mouseio Kerameikou) in Athens.",Greece--Athens,,Access to this collection is generously supported by Arcadia funds.,uclamss_1841_0007,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","January 12, 1891",1891-01-12,"Text from negative sleeve: No. 33. Jan. 12, 1891. The kavenes [Greek] or couch, a massive block of Pentelic marble in the form of a burial couch, beautifully chiselled and ornamented.",,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfdst,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfdst/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz002hfdtb,ark:/21198/zz001nx6sg,,Work,sacht/image/uclamss_1841_0008.tif,,still image,pd,black-and-white photographs|~|cellulose nitrate film,,Bicycle touring -- Greece|~|Universities & colleges -- Greece -- Athens,"University of California, Los Angeles. $b Library Special Collections","Panepistēmio Athēnōn|~|Allen, Thomas Gaskell","Sachtleben, William Lewis",,"Thomas Allen and others in front of Athens University, Athens, 1891",,,,"View of Thomas Allen alongside his bicycle and others in front of the Athens University (National and Kapodistrian University of Athens). William Sachtleben's bicycle is parked on the right.|~|The building in the background was once the main university building. It is called the Propylaea, was designed by architect Theofil Hansen, and now serves as a ceremony hall and rectory.|~|Photograph taken during William Lewis Sachtleben's stay in Athens before embarking on a bicycle journey across Asia with Thomas Gaskell Allen Jr.",Greece--Athens,37.980162,Access to this collection is generously supported by Arcadia funds.,uclamss_1841_0008,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","January 11, 1891",1891-01-11,"Text from negative sleeve: No. 16. Jan. 11, 1891.  Before the university in Athens.",23.733414,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfdtb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfdtb/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz002hfdvv,ark:/21198/zz001nx6sg,,Work,sacht/image/uclamss_1841_0009.tif,,still image,pd,black-and-white photographs|~|cellulose nitrate film,,Bicycle touring -- Greece|~|Theaters -- Greece -- Piraeus,"University of California, Los Angeles. $b Library Special Collections","Municipal Theater (Piraeus, Greece)|~|Kapsambelis, Basilios Georgiou, 1866-1929|~|Kapsambelis, Basilios Georgiou, 1866-1929","Sachtleben, William Lewis",,"Basilios Kapsambelis (L) and his brother (Dimitrios?) with bicycles in front of the Municipal Theater, Piraeus, 1891",,,,"Basilios Georgiou Kapsambelis was Chief Quartermaster of the Royal Navy in Greece;  he was also president of the ""Piraeus Cycling Association"".|~|Photograph taken during William Lewis Sachtleben's stay in Athens before embarking on a bicycle journey across Asia with Thomas Gaskell Allen Jr.|~|Photograph of Basilios Kapsambelis (L) and his brother (Dimitrios?) in front of the Municipal Theater in Piraeus with the bicycles of William Sachtleben and Thomas Allen.",Greece--Piraeus,37.943081,Access to this collection is generously supported by Arcadia funds.,uclamss_1841_0009,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","January 11, 1891",1891-01-11,"Text from negative sleeve: No. 15. Jan. 11, 1891. The new theatre in Piraeus, Greece. Our friend, Kapsanbelis, and his brother holding the bicycle.",23.646891,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfdvv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfdvv/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz002hfdwc,ark:/21198/zz001nx6sg,,Work,sacht/image/uclamss_1841_0010.tif,,still image,pd,black-and-white photographs|~|cellulose nitrate film,,Bicycle touring -- Greece|~|Cafes -- Greece -- Athens,"University of California, Los Angeles. $b Library Special Collections","Allen, Thomas Gaskell|~|Gurdjian, Serope A. (Serope Armenag), b. 1847|~|Kapsambelis, Basilios Georgiou, 1866-1929","Sachtleben, William Lewis",,"Serope Gurdjian, Basilios Kapsambelis and Thomas Allen taking refreshment at the railroad station, Athens, 1891",,,,"Photograph of Serope Gurdjian (L), Basilios Kapsambelis (center) and Thomas Allen (R) taking refreshment at an outdoor cafe table at the railroad station in Athens with a bicycle parked in front of them.|~|Basilios Georgiou Kapsambelis was Chief Quartermaster of the Royal Navy in Greece;  he was also president of the ""Piraeus Cycling Association"".|~|Serope Armenag Gurdjian was an Armenian from Turkey who became a naturalized U.S. citizen and earned a college degree from Bowdoin College in 1877. Having been detained in Istanbul in October 1890 on suspicion of participating in a revolutionary committee, he was released based on his U.S. citizenship and then traveled to Athens, where he met and befriended William Sachtleben and Thomas Allen.|~|Photograph taken during William Lewis Sachtleben's stay in Athens before embarking on a bicycle journey across Asia with Thomas Gaskell Allen Jr.",Greece--Athens,,Access to this collection is generously supported by Arcadia funds.,uclamss_1841_0010,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","January 10, 1891",1891-01-10,"Text from negative sleeve: No. 13. Jan. 10, 1891. Another view taken in Athens at the RR Station. Allen, Kapsanbelis and Gurdjian cooling off.",,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfdwc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfdwc/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz002hfdxw,ark:/21198/zz001nx6sg,,Work,sacht/image/uclamss_1841_0011.tif,,still image,pd,black-and-white photographs|~|cellulose nitrate film,,"Bicycle touring -- Greece|~|Agora (Athens, Greece)|~|Children -- Greece -- Athens","University of California, Los Angeles. $b Library Special Collections","Sachtleben, William Lewis","Sachtleben, William Lewis",,"William Sachtleben at the Stoa of the Giants in the Agora, Athens, 1891",,,,"The center of the Agora was open until a theater was build there, called the Odeion of Agrippa. It was destroyed by fire in A.D. 267 and in about A.D. 400 the Stoa of the Giants (also known at the Palace of the Giants or the Gymnasium) was built using the colossal Giant and Triton statues from the debris of the Odeion of Agrippa on its north side.|~|Photograph taken during William Lewis Sachtleben's stay in Athens before embarking on a bicycle journey across Asia with Thomas Gaskell Allen Jr.|~|Photograph of William Lewis Sachtleben at the Stoa of the Giants in the Agora in Athens, in front of three of the colossal figures of Giants and Tritons on pedestals. Sachtleben stands next to his bicycle and seven or so small children are behind him looking toward him. Two houses can be seen in the background.",Greece--Athens,,Access to this collection is generously supported by Arcadia funds.,uclamss_1841_0011,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",January 1891,1891-01,Text from negative sleeve: No. 3. Jan. 1891. A general view taken in the Stoa of the Giants.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfdxw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfdxw/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz002hfdzd,ark:/21198/zz001nx6sg,,Work,sacht/image/uclamss_1841_0012.tif,,still image,pd,black-and-white photographs|~|cellulose nitrate film,,"Bicycle touring -- Greece|~|Agora (Athens, Greece)","University of California, Los Angeles. $b Library Special Collections",,,,"William Sachtleben at the Stoa of the Giants in the Agora, Athens, 1891",,,,"Photograph taken during William Lewis Sachtleben's stay in Athens before embarking on a bicycle journey across Asia with Thomas Gaskell Allen Jr.|~|Photograph of William Lewis Sachtleben at the Stoa of the Giants in the Agora in Athens, in front of one of the colossal figures of Giants and Tritons on pedestals. Sachtleben stands next to his bicycle and three men in the foreground on the left. Stone rubble is in the foreground and a high stone wall is in the background beyond which two or three buildings can be seen.|~|The center of the Agora was open until a theater was built there, called the Odeion of Agrippa. It was destroyed by fire in A.D. 267 and in about A.D. 400 the Stoa of the Giants (also known at the Palace of the Giants or the Gymnasium) was built using the colossal Giant and Triton statues from the debris of the Odeion of Agrippa on its north side.",Greece--Athens,,Access to this collection is generously supported by Arcadia funds.,uclamss_1841_0012,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","January 28, 1891",1891-01-28,"Text from negative sleeve: No. 4. Jan. 28, 1891.  One of the statues in the Stoa of the Giants called Atlantis.",,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfdzd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfdzd/manifest
Sachtleben (William Lewis) Papers. Collection 1841,ark:/21198/zz002hff0d,ark:/21198/zz001nx6sg,,Work,sacht/image/uclamss_1841_0013.tif,,still image,pd,black-and-white photographs|~|cellulose nitrate film,,"Bicycle touring -- Greece|~|Agora (Athens, Greece)","University of California, Los Angeles. $b Library Special Collections",,"Sachtleben, William Lewis",,"William Sachtleben at the Stoa of the Giants in the Agora, Athens, 1891",,,,"Photograph taken during William Lewis Sachtleben's stay in Athens before embarking on a bicycle journey across Asia with Thomas Gaskell Allen Jr.|~|The center of the Agora was open until a theater was build there, called the Odeion of Agrippa. It was destroyed by fire in A.D. 267 and in about A.D. 400 the Stoa of the Giants (also known at the Palace of the Giants or the Gymnasium) was built using the colossal Giant and Triton statues from the debris of the Odeion of Agrippa on its north side.|~|Photograph of William Lewis Sachtleben at the Stoa of the Giants in the Agora in Athens. Sachtleben stands with his bicycle next to a colossal statue on a pedestal. Another unidentified man stands on the left. A high stone wall and two houses are visible in the background.",Greece--Athens,,Access to this collection is generously supported by Arcadia funds.,uclamss_1841_0013,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","January 28, 1891",1891-01-28,"Text from negative sleeve: No. 5. Jan. 28, 1891. Another statue in the Stoa of the Giants. One of the so-called Atlantis.",,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hff0d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hff0d/manifest
