"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","IIIF Access URL","viewingHint","Text direction","Visibility","IIIF Range","Subject","Name.subject","Name.author","Name.creator","Name.recipient","Name.correspondent","Name.repository","AltIdentifier.local","Title","Date.creation","Date.normalized","Format.extent","Description.note","Language.text","Description.abstract"
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbj3","ark:/21198/zz0009c6r8","2","Completed","Work","","301","","","","paged","","","","Industrial equipment |~|Industrial development |~|Spinning machinery |~|Industrial production ","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/1","General Notebook [1790-1830]","1790-1830","1790/1830","1 Notebook","The notebook contains various different notes on general production matters.  These include notes on steam engines, coals, water wheels, spindles, wood, iron, cards, hours of working, spinning frames, boilers, weights and measures, bobbins, equipment, drying and flax.  Although the notebook covers the dates 1790 to 1830 the majority of the notes were made around 1810.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbkm","ark:/21198/zz0009c6r8","2","Completed","Work","","304","","","","paged","","","","Industrial equipment |~|Industrial development |~|Spinning machinery |~|Experiments|~|Industrial production ","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/4","Notebook September 1821 to May 1825","1820-1829","1820/1829","1 Small Notebook","The notebook contains various different notes on production and experiments as well as sales prices. These include notes on experiments on wet spinning, gill spinning, yarn spun, reels, flax orders, prices of yarn, prices of thread and increases in manufacturing. The notebook is probably that of Henry Cowper Marshall. There are lots of pages missing from this notebook p. 1-10, p. 12-14, p. 16-21, p. 26-44, p. 45-62, p. 64-66, p. 68-73, p. 77-82 and p. 86-93.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbm4","ark:/21198/zz0009c6r8","2","Completed","Work","","312","","","","paged","","","","Industrial equipment |~|Industrial development |~|Spinning machinery |~|Industrial production |~|Finance and Trade","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/12","Salop [1829-1837]","1829-1837","1829/1837","1 Small Notebook","The notebook contains notes on different processes carried out and developed at the mill in Salop.  The notes seem to cover the same general processes which are revisited every year.  The notebook contains notes on hackling, line preparing, tow preparing, wet spinning, steam engines, stores, spinning, twisting, gas and visits to different mills in Manchester.  Thenotebook was probably written by James Garth Marshall.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbnn","ark:/21198/zz0009c6r8","3","Pending","Work","","309","","","","paged","","","","Industrial equipment |~|Industrial development |~|Spinning machinery |~|Experiments|~|Industrial production ","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/9","Notes on Processes [1825-1829] [2 IMAGES MISSING]","1825-1829","1825/1829","1 Notebook","The notebook contains notes on processes carried out at Marshall's mill.  These include wet spinning, carding, line preparing and tow preparing.  The notebook was probably written by James Garth Marshall.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbp5","ark:/21198/zz0009c6r8","2","Completed","Work","","316","","","","paged","","","","Industrial equipment |~|Industrial development |~|Experiments|~|Industrial production |~|Flax straw","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/16","Notes on Experiments Upon Flax Straw [1840-1851]","March 1840, April 1845 and July 1851","1845-04|~|1851-07|~|1840-03","17 Pages","The items are notes on different experiments carried out on flax straw to try and find an improved method of separating the flax from the straw.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbqp","ark:/21198/zz0009c6r8","2","Completed","Work","","323","","","","paged","","","","Spinning|~|Industrial equipment |~|Industrial development |~|Spinning machinery |~|Experiments|~|Industrial production ","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/20/3","Volume 2 Spinning [1790-1803]","1790-1803","1790/1803","1 Small Notebook","This volume continues the experiments started in volume one.  The experiments number between 18 and 77.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbr6","ark:/21198/zz0009c6r8","2","Completed","Work","","303","","","","paged","","","","Industrial equipment |~|Industrial development |~|Spinning machinery |~|Industrial production ","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/3","Notebook [1816/1818]","1816-1818","1816/1818","1 Notebook","The notebook contains notes on different production processes including flax preparing and wet roving.  It also contains notes on one machine called 'Big Ben'.  There are lots of pages missing from this notebook, p. 1-11, p. 18-21, p. 28-41, p. 44-59 and p. 64-134.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbsq","ark:/21198/zz0009c6r8","2","Completed","Work","","314","","","","paged","","","","Industrial equipment |~|Industrial development |~|Spinning machinery |~|Experiments|~|Industrial production |~|Wet Spinning|~|Roving","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/14","Notes on Experimental Spinning Frame [1839-1845]","20th December 1839 - May 1845","1839/1845","5 Pages","The item contains notes about experiments with wet rovings and wet spinning.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbt7","ark:/21198/zz0009c6r8","2","Completed","Work","","310","","","","paged","","","","Industrial equipment |~|Industrial development |~|Spinning machinery |~|Industrial production |~|Finance and Trade","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/10","Notebook [1826-1851]","1826-1851","1826/1851","1 Small Notebook","The notebook contains information on different production matters, including some financial information.  The notebook contains notes on crop estimations, prices of flax, orders for flax, orders for machines, prices of machines, placement of machines, settings of machines, clerks wages, yarn calculations and thread calculations.  Although the notebook covers the dates between 1826 and 1851 the majority of the notes were written between 1830 and 1835.  The notebook was probably written by Henry Cowper Marshall.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbvr","ark:/21198/zz0009c6r8","2","Completed","Work","","305","","","","paged","","","","Spinning|~|Yarn|~|Industrial equipment |~|Industrial development |~|Industrial production |~|Steam engineering |~|Coal Power","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/5","Coal Consumed and Yarn Spun at Marshalls [1823-1825]","1823/1825","1823/1825","15 Pages","The item is the account of the coals consumed by the steam engines at Marshalls mill and also the quantity of yarn spun in the year 1823.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbw8","ark:/21198/zz0009c6r8","2","Completed","Work","","325","","","","paged","","","","Bleaching|~|Industrial equipment |~|Industrial development |~|Experiments|~|Industrial production |~|Research Work","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/20/5","Volume 4 Bleaching [1788-1815]","1788-1815","1788/1815","1 Small Notebook","The notebook contains notes on experiments in bleaching.  These include experiments with acids and alkalies.  There are also notes from other articles.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbxs","ark:/21198/zz0009c6r8","2","Completed","Work","","306","","","","paged","","","","Industrial equipment |~|Industrial development |~|Industrial production |~|Finance and Trade","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/6","Notebook [1825-1827]","1825-1827","1825/1827","1 Small Notebook","The first notebook contains notes on production methods and finance.  These include hackling, cost of flax, Kay's plan for spinning flax and Hives plan for spinning flax.  This notebook was probably written by John Marshall II.  There are missing pages.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cbz9","ark:/21198/zz0009c6r8","2","Completed","Work","","408","","","","paged","","","","Strikes and lockouts|~|Labor disputes|~|Wages|~|Working Conditions|~|Labor--Standards|~|Factory workers|~|Factory laws and legislation|~|Labor relations|~|Working time","National Association of Factory Occupiers (Great Britain) |~|Leeds and District Association of Factory Occupiers (England) ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/4/8","Minutes of Meetings of the Leeds and District Association of Factory Occupiers [1872-1875]","1872-1875","1872/1875","1 Notebook","The Leeds and District Association of Factory Occupiers was formed to protect of the interests of the employers of factory labour in Leeds and district, brought about by the strikes in 1872.  The notebook contains minutes from the meetings held by the association, subjects covered include working hours, working conditions and women and children working in the mills.  Notes were probably written by Stephen A. Marshall.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cc09","ark:/21198/zz0009c6r8","2","Completed","Work","","315","","","","paged","","","","Industrial equipment |~|Industrial development |~|Spinning machinery |~|Industrial production |~|Finance and Trade","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/3/15","Notebook [1839-1858]","1839-1858","1839/1858","1 Small Notebook","The notebook contains financial notes.  These include notes on the price of yarns, linen and thread.  There are some pages missing from the back of this book, p. 108-115, p. 118-131 and p. 134-152.  This notebook was probably written by Henry Cowper Marshall.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cc1t","ark:/21198/zz0009c6r8","2","Completed","Work","","568","","","","paged","","","","Spinning|~|Industrial development |~|Spinning machinery |~|Experiments|~|Industrial production ","","Ainsworth, Thomas","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ","","","MS 200/5/68","Letter from Thomas Ainsworth to Marshalls [22 Oct 1852]","22nd October 1852","1852-10-22","1 Letter","The letter is in regards to a trip made to experiment with tow on different machines.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cc2b","ark:/21198/zz0009c6r8","2","Completed","Work","","583","","","","paged","","","","Working Conditions","","","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845","","","MS 200/5/83","Part of a letter to John Marshall [n.d.]","","","1 Letter","This letter is in regards to retracting a comment.  However it can not be certain if this is a letter or if it is a note that had been written on a spare piece of paper.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cc3v","ark:/21198/zz0009c6r8","2","Completed","Work","","526","","","","paged","","","","Evidence|~|Prices|~|Patents|~|Flax|~|Spinning machinery ","Hives, John|~|Kay, James","Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884","","","MS 200/5/26","Letter from James G. Marshall to Henry Marshall [24 May 1836]","24th May 1836","1836-05-24","1 Letter","The letter is in regards to flax prices and Kay's patent case, especially James's visit to Mr. Hives.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cc4c","ark:/21198/zz0009c6r8","2","Completed","Work","","566","","","","paged","","","","Industrial development |~|Spinning machinery |~|Experiments|~|Hackling|~|Industrial production ","","Schlumberger, William","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ","","","MS 200/5/66","Letter from William Schlumberger to Marshalls [9 Sep 1852]","9th September 1852","1852-09-09","1 Letter","The letter is in regards to hackling machine developments.|~|This material is fragile.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cc5w","ark:/21198/zz0009c6r8","2","Completed","Work","","511","","","","paged","","","","Prices|~|Spinning machinery |~|Banks and banking","","Marshall, John II, 1791 – 1836 ","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845","","","MS 200/5/11","Letter to Father possibly from John Marshall Jnr [20 Sep 1827]","20th September 1827","1827-09-20","1 Letter","The letter is in regards to new spinning frames, prices, spinning and banking. This letter is incomplete.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cc6d","ark:/21198/zz0009c6r8","2","Completed","Work","","569","","","","paged","","","","Industrial management|~|Partnership","","Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884","","","MS 200/5/69","Letter from James G. Marshall to Henry Marshall [11 March 1853]","11th March 1853","1853-03-11","1 Letter","This letter is in regards to the general management by the partners.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cc7x","ark:/21198/zz0009c6r8","2","Completed","Work","","578","","","","paged","","","","Research Work","","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ","Dakeyne and Company","","","MS 200/5/78","Letter from Marshall & Co. to Dakeyne & Co. [8 May 1882]","8th May 1882","1882-05-08","1 Letter","The letter is a request for information about the history of flax spinning for a book.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cc8f","ark:/21198/zz0009c6r8","2","Completed","Work","","525","","","","paged","","","","Evidence|~|Patents|~|Spinning machinery ","Busk, Robert|~|Kay, James","Marshall, John, 1765 - 1845","Marshall & Company, Leeds, Eng. ","Marshall, John II, 1791 – 1836 ","","","MS 200/5/25","Letter from John Marshall to John Marshall Jnr [9 May 1836]","9th May 1836","1836-05-09","1 Letter","The letter is in regards to the Marshall's evidence against Kay, especially the use of wet rovings by Mr. Busk.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cc9z","ark:/21198/zz0009c6r8","2","Completed","Work","","565","","","","paged","","","","Industrial development |~|Spinning machinery |~|Experiments|~|Hackling|~|Industrial production ","","","Marshall & Company, Leeds, Eng. ","Marshall, Arthur, 1814-1898","","","MS 200/5/65","Letter to Arthur Marshall [29 Aug 1852]","29th August 1852","1852-08-29","1 Letter","The letter is in regards to a trip taken to a French mill to inspect new hackling machines.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009ccbg","ark:/21198/zz0009c6r8","2","Completed","Work","","510","","","","paged","","","","Prices|~|Yarn|~|Flax","","Marshall, John II, 1791 – 1836 ","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845","","","MS 200/5/10","Letter to Father possibly from John Marshall Jnr [16 Sep 1827]","16th September 1827","1827-09-16","1 Letter","The letter is in regards to flax prices and yarn prices. This letter is incomplete.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009ccc0","ark:/21198/zz0009c6r8","2","Completed","Work","","582","","","","paged","","","","Research Work|~|Industrial Heritage","","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ","Heynes, E","","","MS 200/5/82","Letter from Marshall & Co. to Mr. E. Heynes [13 Sep 1882]","13th September 1882","1882-09-13","1 Letter","This letter is a reply for information about the history of flax spinning in England.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009ccdh","ark:/21198/zz0009c6r8","2","Completed","Work","","518","","","","paged","","","","Health","","","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845","","","MS 200/5/18","Part of letter to John Marshall [14 Jan 1832]","Postmarked 14th January 1832","1832-01-14","1 Letter","This letter is in regards to medical problems, however it is only half a page long therefore it contains only a small amount of information.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009ccf1","ark:/21198/zz0009c6r8","2","Completed","Work","","524","","","","paged","","","","Evidence|~|Patents|~|Spinning machinery ","Kay, James","Marshall, John, 1765 - 1845","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884","","","MS 200/5/24","Letter from John Marshall to Henry Marshall [27 April 1836]","27th April 1836","1836-04-27","1 Letter","The letter is in regards of the Marshall's defense against Kay.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009ccgj","ark:/21198/zz0009c6r8","2","Completed","Work","","564","","","","paged","","","","Industrial development |~|Spinning machinery |~|Inventions","","De Girard, Philippe, 1775-1845 ","Marshall & Company, Leeds, Eng. ","","","","MS 200/5/64","Letter from Comtesse de Girard [22 June 1852]","22nd June 1852","1852-06-22","1 Letter","Letter is in French.|~|The letter is in regards to the invention of Philippe de Girard.","French",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cch2","ark:/21198/zz0009c6r8","2","Completed","Work","","509","","","","paged","","","","Experiments|~|Hackling|~|Industrial production |~|Wet Spinning","","Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845","","","MS 200/5/9","Letter to Father possibly from James Garth Marshall [9 Sep 1827]","9th September 1827","1827-09-09","1 Letter","The letter is in regards of a new hackling machine and experiments with wet spinning. The letter is incomplete.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009ccjk","ark:/21198/zz0009c6r8","2","Completed","Work","","571","","","","paged","","","","Sales|~|Flax|~|Business losses","","Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884","","","MS 200/5/71","Letter from James G. Marshall to Henry Marshall [15 Feb 1856]","15th February 1856","1856-02-15","1 Letter","The letter is in regards to losses and the sale of flax.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cck3","ark:/21198/zz0009c6r8","2","Completed","Work","","572","","","","paged","","","","Spinning|~|Industrial development |~|Spinning machinery |~|Experiments|~|Hackling","","Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884","","","MS 200/5/72","Letter from James G. Marshall to Henry Marshall [13 Sep 1856]","13th September 1856","1856-09-13","1 Letter","The letter is in regard to experiments in spinning and hackling and boiler improvements.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009ccmm","ark:/21198/zz0009c6r8","2","Completed","Work","","519","","","","paged","","","","Spinning machinery |~|Experiments|~|Industrial production ","","Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845","","","MS 200/5/19","Letter to Father possibly from James G. Marshall [10 Feb 1833]","10th February 1833","1833-02-10","1 Letter","The letter is in regards to machine experiments.  The letter is incomplete.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009ccn4","ark:/21198/zz0009c6r8","2","Completed","Work","","561","","","","paged","","","","Prices|~|Flax","","Marshall, Stephen Albert, 1843-1904 ","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884","","","MS 200/5/61","Letter from Stephen Marshall to Henry Marshall [24 Oct 1843]","24th October 1843","1843-10-24","1 Letter","This letter is in regards to flax prices.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009ccpn","ark:/21198/zz0009c6r8","2","Completed","Work","","508","","","","paged","","","","Prices|~|Yarn|~|Flax|~|Industrial production |~|Twisting","","Marshall, John II, 1791 – 1836 ","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845","","","MS 200/5/8","Letter to Father from John Marshall Jnr [9 Sep 1827]","9th September 1827","1827-09-09","1 Letter","The letter is in regards to flax prices and production notes on twisting the yarn.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009ccq5","ark:/21198/zz0009c6r8","2","Completed","Work","","570","","","","paged","","","","Prices|~|Industrial development ","","Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884","","","MS 200/5/70","Letter from James Garth Marshall to Henry Marshall [19 Aug 1854]","19th August 1854","1854-08-19","1 Letter","The letter is in regards to improvements to be made to the mill and prices.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009ccrp","ark:/21198/zz0009c6r8","2","Completed","Work","","580","","","","paged","","","","Research Work","","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ","Dawson, Henry","","","MS 200/5/80","Letter from Marshall & Co. to Henry Dawson [23 Aug 1882]","23rd August 1882","1882-08-23","1 Letter","The letter is in regards to gathering information for a book.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009ccs6","ark:/21198/zz0009c6r8","2","Completed","Work","","516","","","","paged","","","","Spinning|~|Experiments","","Marshall, John, 1765 - 1845","Marshall & Company, Leeds, Eng. ","Marshall, James Garth, 1802-1873","","","MS 200/5/16","Letter from John Marshall to James Garth Marshall [18 Nov 1829]","18th November 1829","1829-11-18","1 Letter","The letter is in regard to spinning experiments.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cctq","ark:/21198/zz0009c6r8","2","Completed","Work","","563","","","","paged","","","","Labor disputes|~|Wages","","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ","Basham, W. L.","","","MS 200/5/63","Letter from Marshall & Co. to W. L. Basham [26 April 1852]","26th April 1852","1852-04-26","1 Letter","The letter is a response to a claim that wages have been decreased. The Marshalls deny any action has taken place.|~|This material is fragile.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009ccv7","ark:/21198/zz0009c6r8","2","Completed","Work","","573","","","","paged","","","","Industrial development |~|Spinning machinery |~|Experiments","","Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884","","","MS 200/5/73","Letter from James G. Marshall to Henry Marshall [28 Aug 1857]","28th August 1857","1857-08-28","1 Letter","The letter is in regards to machine modifications and experiments.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009ccwr","ark:/21198/zz0009c6r8","2","Completed","Work","","574","","","","paged","","","","Industrial development |~|Spinning machinery |~|Experiments","","Smith, William P. ","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ","","","MS 200/5/74","Letter from William P. Smith to Marshalls [22 Oct 1857]","22nd October 1857","1857-10-22","1 Letter","The letter is in regards to a visit to a different mill to perform experiments, however the bales of tow have not arrived.","",""
