Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Subject,Name.subject,Name.author,Name.creator,Name.recipient,Name.correspondent,Name.repository,AltIdentifier.local,Title,Date.creation,Date.normalized,Format.extent,Description.note,Language.text,Description.abstract
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cc3v,ark:/21198/zz0009c6r8,2,Completed,Work,,526,,,,paged,,,,Evidence|~|Prices|~|Patents|~|Flax|~|Spinning machinery ,"Hives, John|~|Kay, James","Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884",,,MS 200/5/26,Letter from James G. Marshall to Henry Marshall [24 May 1836],24th May 1836,1836-05-24,1 Letter,"The letter is in regards to flax prices and Kay's patent case, especially James's visit to Mr. Hives.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cc4c,ark:/21198/zz0009c6r8,2,Completed,Work,,566,,,,paged,,,,Industrial development |~|Spinning machinery |~|Experiments|~|Hackling|~|Industrial production ,,"Schlumberger, William","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/66,Letter from William Schlumberger to Marshalls [9 Sep 1852],9th September 1852,1852-09-09,1 Letter,The letter is in regards to hackling machine developments.|~|This material is fragile.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cc5w,ark:/21198/zz0009c6r8,2,Completed,Work,,511,,,,paged,,,,Prices|~|Spinning machinery |~|Banks and banking,,"Marshall, John II, 1791 – 1836 ","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845",,,MS 200/5/11,Letter to Father possibly from John Marshall Jnr [20 Sep 1827],20th September 1827,1827-09-20,1 Letter,"The letter is in regards to new spinning frames, prices, spinning and banking. This letter is incomplete.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cc6d,ark:/21198/zz0009c6r8,2,Completed,Work,,569,,,,paged,,,,Industrial management|~|Partnership,,"Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884",,,MS 200/5/69,Letter from James G. Marshall to Henry Marshall [11 March 1853],11th March 1853,1853-03-11,1 Letter,This letter is in regards to the general management by the partners.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cc7x,ark:/21198/zz0009c6r8,2,Completed,Work,,578,,,,paged,,,,Research Work,,"Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",Dakeyne and Company,,,MS 200/5/78,Letter from Marshall & Co. to Dakeyne & Co. [8 May 1882],8th May 1882,1882-05-08,1 Letter,The letter is a request for information about the history of flax spinning for a book.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cc8f,ark:/21198/zz0009c6r8,2,Completed,Work,,525,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Busk, Robert|~|Kay, James","Marshall, John, 1765 - 1845","Marshall & Company, Leeds, Eng. ","Marshall, John II, 1791 – 1836 ",,,MS 200/5/25,Letter from John Marshall to John Marshall Jnr [9 May 1836],9th May 1836,1836-05-09,1 Letter,"The letter is in regards to the Marshall's evidence against Kay, especially the use of wet rovings by Mr. Busk.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cc9z,ark:/21198/zz0009c6r8,2,Completed,Work,,565,,,,paged,,,,Industrial development |~|Spinning machinery |~|Experiments|~|Hackling|~|Industrial production ,,,"Marshall & Company, Leeds, Eng. ","Marshall, Arthur, 1814-1898",,,MS 200/5/65,Letter to Arthur Marshall [29 Aug 1852],29th August 1852,1852-08-29,1 Letter,The letter is in regards to a trip taken to a French mill to inspect new hackling machines.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ccbg,ark:/21198/zz0009c6r8,2,Completed,Work,,510,,,,paged,,,,Prices|~|Yarn|~|Flax,,"Marshall, John II, 1791 – 1836 ","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845",,,MS 200/5/10,Letter to Father possibly from John Marshall Jnr [16 Sep 1827],16th September 1827,1827-09-16,1 Letter,The letter is in regards to flax prices and yarn prices. This letter is incomplete.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ccc0,ark:/21198/zz0009c6r8,2,Completed,Work,,582,,,,paged,,,,Research Work|~|Industrial Heritage,,"Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ","Heynes, E",,,MS 200/5/82,Letter from Marshall & Co. to Mr. E. Heynes [13 Sep 1882],13th September 1882,1882-09-13,1 Letter,This letter is a reply for information about the history of flax spinning in England.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ccdh,ark:/21198/zz0009c6r8,2,Completed,Work,,518,,,,paged,,,,Health,,,"Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845",,,MS 200/5/18,Part of letter to John Marshall [14 Jan 1832],Postmarked 14th January 1832,1832-01-14,1 Letter,"This letter is in regards to medical problems, however it is only half a page long therefore it contains only a small amount of information.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ccf1,ark:/21198/zz0009c6r8,2,Completed,Work,,524,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Kay, James","Marshall, John, 1765 - 1845","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884",,,MS 200/5/24,Letter from John Marshall to Henry Marshall [27 April 1836],27th April 1836,1836-04-27,1 Letter,The letter is in regards of the Marshall's defense against Kay.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ccgj,ark:/21198/zz0009c6r8,2,Completed,Work,,564,,,,paged,,,,Industrial development |~|Spinning machinery |~|Inventions,,"De Girard, Philippe, 1775-1845 ","Marshall & Company, Leeds, Eng. ",,,,MS 200/5/64,Letter from Comtesse de Girard [22 June 1852],22nd June 1852,1852-06-22,1 Letter,Letter is in French.|~|The letter is in regards to the invention of Philippe de Girard.,French,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cch2,ark:/21198/zz0009c6r8,2,Completed,Work,,509,,,,paged,,,,Experiments|~|Hackling|~|Industrial production |~|Wet Spinning,,"Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845",,,MS 200/5/9,Letter to Father possibly from James Garth Marshall [9 Sep 1827],9th September 1827,1827-09-09,1 Letter,The letter is in regards of a new hackling machine and experiments with wet spinning. The letter is incomplete.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ccjk,ark:/21198/zz0009c6r8,2,Completed,Work,,571,,,,paged,,,,Sales|~|Flax|~|Business losses,,"Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884",,,MS 200/5/71,Letter from James G. Marshall to Henry Marshall [15 Feb 1856],15th February 1856,1856-02-15,1 Letter,The letter is in regards to losses and the sale of flax.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cck3,ark:/21198/zz0009c6r8,2,Completed,Work,,572,,,,paged,,,,Spinning|~|Industrial development |~|Spinning machinery |~|Experiments|~|Hackling,,"Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884",,,MS 200/5/72,Letter from James G. Marshall to Henry Marshall [13 Sep 1856],13th September 1856,1856-09-13,1 Letter,The letter is in regard to experiments in spinning and hackling and boiler improvements.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ccmm,ark:/21198/zz0009c6r8,2,Completed,Work,,519,,,,paged,,,,Spinning machinery |~|Experiments|~|Industrial production ,,"Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845",,,MS 200/5/19,Letter to Father possibly from James G. Marshall [10 Feb 1833],10th February 1833,1833-02-10,1 Letter,The letter is in regards to machine experiments.  The letter is incomplete.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ccn4,ark:/21198/zz0009c6r8,2,Completed,Work,,561,,,,paged,,,,Prices|~|Flax,,"Marshall, Stephen Albert, 1843-1904 ","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884",,,MS 200/5/61,Letter from Stephen Marshall to Henry Marshall [24 Oct 1843],24th October 1843,1843-10-24,1 Letter,This letter is in regards to flax prices.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ccpn,ark:/21198/zz0009c6r8,2,Completed,Work,,508,,,,paged,,,,Prices|~|Yarn|~|Flax|~|Industrial production |~|Twisting,,"Marshall, John II, 1791 – 1836 ","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845",,,MS 200/5/8,Letter to Father from John Marshall Jnr [9 Sep 1827],9th September 1827,1827-09-09,1 Letter,The letter is in regards to flax prices and production notes on twisting the yarn.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ccq5,ark:/21198/zz0009c6r8,2,Completed,Work,,570,,,,paged,,,,Prices|~|Industrial development ,,"Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884",,,MS 200/5/70,Letter from James Garth Marshall to Henry Marshall [19 Aug 1854],19th August 1854,1854-08-19,1 Letter,The letter is in regards to improvements to be made to the mill and prices.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ccrp,ark:/21198/zz0009c6r8,2,Completed,Work,,580,,,,paged,,,,Research Work,,"Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ","Dawson, Henry",,,MS 200/5/80,Letter from Marshall & Co. to Henry Dawson [23 Aug 1882],23rd August 1882,1882-08-23,1 Letter,The letter is in regards to gathering information for a book.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ccs6,ark:/21198/zz0009c6r8,2,Completed,Work,,516,,,,paged,,,,Spinning|~|Experiments,,"Marshall, John, 1765 - 1845","Marshall & Company, Leeds, Eng. ","Marshall, James Garth, 1802-1873",,,MS 200/5/16,Letter from John Marshall to James Garth Marshall [18 Nov 1829],18th November 1829,1829-11-18,1 Letter,The letter is in regard to spinning experiments.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cctq,ark:/21198/zz0009c6r8,2,Completed,Work,,563,,,,paged,,,,Labor disputes|~|Wages,,"Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ","Basham, W. L.",,,MS 200/5/63,Letter from Marshall & Co. to W. L. Basham [26 April 1852],26th April 1852,1852-04-26,1 Letter,The letter is a response to a claim that wages have been decreased. The Marshalls deny any action has taken place.|~|This material is fragile.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ccv7,ark:/21198/zz0009c6r8,2,Completed,Work,,573,,,,paged,,,,Industrial development |~|Spinning machinery |~|Experiments,,"Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884",,,MS 200/5/73,Letter from James G. Marshall to Henry Marshall [28 Aug 1857],28th August 1857,1857-08-28,1 Letter,The letter is in regards to machine modifications and experiments.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ccwr,ark:/21198/zz0009c6r8,2,Completed,Work,,574,,,,paged,,,,Industrial development |~|Spinning machinery |~|Experiments,,"Smith, William P. ","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/74,Letter from William P. Smith to Marshalls [22 Oct 1857],22nd October 1857,1857-10-22,1 Letter,"The letter is in regards to a visit to a different mill to perform experiments, however the bales of tow have not arrived.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009ccx8,ark:/21198/zz0009c6r8,2,Completed,Work,,579,,,,paged,,,,Sales of business enterprises ,,"Blakelock, Percy","Marshall & Company, Leeds, Eng. ","Marshall, Stephen Albert, 1843-1904 ",,,MS 200/5/79,Letter from Percy Blakelock to Stephen Marshall [17 Aug 1882],17th August 1882,1882-08-17,1 Letter,The letter is in regards to selling machinery by auction.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cczs,ark:/21198/zz0009c6r8,2,Completed,Work,,515,,,,paged,,,,Industrial production |~|Banks and banking,,"Marshall, John, 1765 - 1845","Marshall & Company, Leeds, Eng. ","Marshall, John II, 1791 – 1836 ",,,MS 200/5/15,Letter from John Marshall to John Marshall Jnr [12 Oct 1829],12th October 1829,1829-10-12,1 Letter,,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cd0s,ark:/21198/zz0009c6r8,2,Completed,Work,,545,,,,paged,,,,Industrial development |~|Industrial buildings,,"Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845",,,MS 200/5/45,Letter from James G. Marshall to Father [24 May 1838],24th May 1838,1838-05-24,1 Letter,The letter is in regards to the plans and estimates for a new mill.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cd19,ark:/21198/zz0009c6r8,2,Completed,Work,,507,,,,paged,,,,Sales|~|Prices|~|Flax|~|Cotton,,"Marshall, John II, 1791 – 1836 ","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845",,,MS 200/5/7,Letter to Father from John Marshall Jnr. [1 Aug 1827],1st August 1827,1827-08-01,1 Letter,"The letter is in regards to flax prices, cotton prices and selling the produce.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cd2t,ark:/21198/zz0009c6r8,2,Completed,Work,,560,,,,paged,,,,Patents|~|Spinning machinery |~|Hackling,,"Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884",,,MS 200/5/60,"Letter, possibly from James G. Marshall to Henry Marshall [10 Sep 1841]",10th September 1841,1841-09-10,1 Letter,The letter is in regards to a patent claim for a hackling machine.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cd3b,ark:/21198/zz0009c6r8,2,Completed,Work,,575,,,,paged,,,,Research Work,,"Thomson, David S.","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/75,Letters from David S. Thomson to Marshalls [5 April 1882],5th April 1882,1882-04-05,1 Letter,The letter is a request for information for a book.,,
