"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Subject","Name.subject","Author","Name.creator","Name.recipient","Name.correspondent","Name.repository","AltIdentifier.local","Title","Date.creation","Date.normalized","Format.extent","Description.note","Language.text","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjgrs","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjgrs-1-master.tif","13","","","","","","","","Accounts|~|Account books","Marshall, Fenton and Company |~|Marshall, Hives and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/11","Page 10","1792-1793 and 1814-1816","1814/1816|~|1792/1793","1 Double Page","Accounts for Marshall and Fenton Co. and Marshall and Hives Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgrs",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjgs9","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjgs9-1-master.tif","14","","","","","","","","Accounts|~|Account books|~|Personal accounts","Armitage, James |~|Marshall, Hives and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/12","Page 11","1791-1793 and 1814-1818","1814/1818|~|1791/1793","1 Double Page","Personal accounts for James Armitage and accounts for Marshall and Hives Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgs9",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjgtt","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjgtt-1-master.tif","15","","","","","","","","Accounts|~|Account books|~|Personal accounts","Marshall, John, 1765 - 1845|~|Dearlove, Ralph","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/13","Page 12","1791-1793","1791/1793","1 Double Page","Personal accounts for John Marshall and Ralph Dearlove.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgtt",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjgvb","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjgvb-1-master.tif","16","","","","","","","","Inventories|~|Stock","Marshall, Fenton and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/14","Page 13","6th April 1793","1793-04-06","1 Double Page","Stock in trade.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgvb",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjgwv","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjgwv-1-master.tif","17","","","","","","","","Inventories|~|Stock","Marshall, Fenton and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/15","Page 14","6th April 1793","1793-04-06","1 Double Page","Stock in trade.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgwv",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjgxc","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjgxc-1-master.tif","18","","","","","","","","Inventories|~|Stock","Marshall, Fenton and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/16","Page 15","6th April 1793","1793-04-06","1 Double Page","Stock in trade.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgxc",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjgzw","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjgzw-1-master.tif","19","","","","","","","","Accounts|~|Account books|~|Income tax","Marshall, Hives and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/17","Page 16","1793-1821","1793/1821","1 Double Page","Income tax and accounts for Marshall and Hives.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgzw",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjh0w","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjh0w-1-master.tif","20","","","","","","","","Accounts|~|Account books","Marshall, Fenton and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/18","Page 17","6th April 1793","1793-04-06","1 Double Page","Accounts for Marshall, Fenton and Company.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjh0w",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjh1d","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjh1d-1-master.tif","21","","","","","","","","Accounts|~|Account books","Marshall, Fenton and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/19","Page 18","6th April 1793","1793-04-06","1 Double Page","Accounts for Marshall, Fenton and Company.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjh1d",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjh2x","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjh2x-1-master.tif","22","","","","","","","","Accounts|~|Account books","Marshall, Fenton and Company |~|Marshall, Hives and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/20","Page 19","6th April 1793 and 1822-1823","1822/1823|~|1793-04-06","1 Double Page","Accounts for Marshall, Fenton and Company and accounts for Marshall and Hives Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjh2x",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjh3f","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjh3f-1-master.tif","23","","","","","","","","Accounts|~|Account books|~|Personal accounts","Benyon, Thomas|~|Benyon, Benjamin|~|Marshall, Hives and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/21","Page 20","1793 and 1823-1825","1823/1825|~|1793","1 Double Page","Accounts for Thomas and Benjamin Benyon, Shrewsbury and accounts for Marshall and Hives Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjh3f",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjh4z","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjh4z-1-master.tif","24","","","","","","","","Public welfare|~|Accounts|~|Account books|~|Personal accounts","Marshall & Company, Leeds, Eng. |~|Garforth, Peter","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/22","Page 21","1793-1796, 1803-1804 and 1824-1825","1803/1804|~|1824/1825|~|1793/1796","1 Double Page","Personal accounts for Peter Garforth, poor assessment and accounts for Marshall and Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjh4z",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjh5g","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjh5g-1-master.tif","25","","","","","","","","Accounts|~|Account books|~|Personal accounts","Marshall, John, 1765 - 1845|~|Marshall, Mary","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/23","Page 22","1793","1793","1 Double Page","Personal accounts for John and Mary Marshall.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjh5g",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjh60","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjh60-1-master.tif","26","","","","","","","","Accounts|~|Account books|~|Personal accounts","Marshall, John, 1765 - 1845|~|Marshall, Mary","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/24","Page 23","1793-1794","1793/1794","1 Double Page","Personal accounts John and Mary Marshall.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjh60",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjh7h","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjh7h-1-master.tif","27","","","","","","","","Accounts|~|Account books|~|Personal accounts","Marshall, John, 1765 - 1845|~|Marshall & Company, Leeds, Eng.","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/25","Page 24","1795 and 1826-1827","1826/1827|~|1795","1 Double Page","Personal accounts John Marshall and accounts for Marshall and Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjh7h",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjh81","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjh81-1-master.tif","28","","","","","","","","Accounts|~|Account books|~|Personal accounts","Marshall, John, 1765 - 1845|~|Marshall & Company, Leeds, Eng.","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/26","Page 25","1796 and 1828","1828|~|1796","1 Double Page","Personal accounts John Marshall and accounts for Marshall and Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjh81",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjh9j","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjh9j-1-master.tif","29","","","","","","","","Accounts|~|Account books","Marshall & Benyons, 1793-1804","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/27","Page 26","1795","1795","1 Double Page","Accounts for Marshall and Benyons.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjh9j",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhb2","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhb2-1-master.tif","30","","","","","","","","Accounts|~|Account books|~|Personal accounts|~|Garforth House","Garforth, Peter |~|Isaac, Thomas","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/28","Page 27","1795-1799","1795/1799","1 Double Page","Personal accounts for Thomas Isaac, Garforth House and Peter Garforth.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhb2",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhck","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhck-1-master.tif","31","","","","","","","","Accounts|~|Account books","Marshall & Benyons, 1793-1804","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/29","Page 28","1796","1796","1 Double Page","Accounts for Marshall and Benyons.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhck",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhd3","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhd3-1-master.tif","32","","","","","","","","Accounts|~|Account books|~|Personal accounts","Marshall, John, 1765 - 1845","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/30","Page 29","1797-1798","1797/1798","1 Double Page","Personal accounts for John Marshall.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhd3",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhfm","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhfm-1-master.tif","33","","","","","","","","Accounts|~|Account books","Marshall & Benyons, 1793-1804","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/31","Page 30","1797-1798","1797/1798","1 Double Page","Accounts for Marshall and Benyons.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhfm",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhg4","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhg4-1-master.tif","34","","","","","","","","Accounts|~|Account books|~|Personal accounts","Marshall, John, 1765 - 1845","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/32","Page 31","1799","1799","1 Double Page","Personal accounts for John Marshall.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhg4",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhhn","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhhn-1-master.tif","35","","","","","","","","Accounts|~|Account books","Marshall & Benyons, 1793-1804","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/33","Page 32","1799-1800","1799/1800","1 Double Page","Accounts for Marshall and Benyons.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhhn",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhj5","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhj5-1-master.tif","36","","","","","","","","Accounts|~|Account books|~|Personal accounts","Marshall, John, 1765 - 1845","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/34","Page 33","1800-1801","1800/1801","1 Double Page","Personal accounts for John Marshall.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhj5",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhkp","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhkp-1-master.tif","37","","","","","","","","Accounts|~|Account books|~|Personal accounts","Marshall, John, 1765 - 1845","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/35","Page 34","1802-1803","1802/1803","1 Double Page","Personal accounts for John Marshall.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhkp",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhm6","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhm6-1-master.tif","38","","","","","","","","Accounts|~|Account books|~|Personal accounts","Marshall, John, 1765 - 1845","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/36","Page 35","1804-1806","1804/1806","1 Double Page","Personal accounts for John Marshall.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhm6",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhnq","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhnq-1-master.tif","39","","","","","","","","Accounts|~|Account books","Marshall & Benyons, 1793-1804","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/37","Page 36","1801-1802","1801/1802","1 Double Page","Accounts for Marshalls and Benyons.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhnq",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhp7","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhp7-1-master.tif","40","","","","","","","","Accounts|~|Account books","Marshall & Benyons, 1793-1804","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/38","Page 37","1803-1804","1803/1804","1 Double Page","Accounts for Marshalls and Benyons.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhp7",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhqr","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhqr-1-master.tif","41","","","","","","","","Accounts|~|Account books","Marshall, Hives and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/39","Page 38","1804-1807","1804/1807","1 Double Page","Accounts for Marshalls and Hives Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhqr",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhr8","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhr8-1-master.tif","42","","","","","","","","Accounts|~|Account books","Marshall, Hives and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/40","Page 39","1807-1813","1807/1813","1 Double Page","Accounts for Marshalls and Hives Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhr8",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhss","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhss-1-master.tif","43","","","","","","","","Accounts|~|Account books|~|Personal accounts","Marshall, Sarah|~|Oats, George","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/41","Page 40","1799-1841","1799/1841","1 Double Page","Personal accounts for Sarah Marshall and George Oats.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhss",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjht9","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjht9-1-master.tif","44","","","","","","","","Accounts|~|Account books|~|Building receipts |~|Personal accounts|~|Leeds Bradford Railway|~|London Birmingham Railway","Sowden, Mary|~|Marshall, John, 1765 - 1845|~|Wood, Joseph|~|Hives, John|~|Carlisle Canal Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/42","Page 41","1799-1840","1799/1840","1 Double Page","Personal accounts for Mary Sowden, John Hives, Joseph Wood, John Marshall and accounts for the Leeds Bradford Railway, the London Birmingham Railway, Carlisle Canal Company and receipts for buildings at Holbeck.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjht9",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhvt","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhvt-1-master.tif","45","","","","","","","","Accounts|~|Account books|~|Personal accounts","Leach, Thomas|~|Lister, Susanna","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/43","Page 42","1799-1817","1799/1817","1 Double Page","Personal accounts for Thomas Leach and Mrs Susanna Lister.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhvt",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhwb","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhwb-1-master.tif","46","","","","","","","","Accounts|~|Account books|~|Personal accounts","Fenton, Mary |~|Fenton, Sarah |~|Marshall, Susanna","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/44","Page 43","1799-1840","1799/1840","1 Double Page","Personal accounts for Susanna Marshall and Sarah and Mary Fenton.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhwb",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhxv","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhxv-1-master.tif","47","","","","","","","","Accounts|~|Account books|~|Personal accounts","Cooper, John|~|Preston, Anthony|~|Smith, William","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/45","Page 44","1799-1831","1799/1831","1 Double Page","Personal accounts for John Cooper, Anthony Preston and William Smith.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhxv",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjhzc","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjhzc-1-master.tif","48","","","","","","","","Accounts|~|Account books|~|Personal accounts|~|Stock |~|Gas Light Company","Womersley, John","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/46","Page 45","1799-1840","1799/1840","1 Double Page","Personal accounts for John Womersley, stock reduced and Gas Light Company.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjhzc",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjj0c","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjj0c-1-master.tif","49","","","","","","","","Accounts|~|Account books","Marshall & Benyons, 1793-1804","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/47","Page 46","1799-1806","1799/1806","1 Double Page","Accounts for Benyons, Marshall and Bage.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjj0c",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjj1w","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjj1w-1-master.tif","50","","","","","","","","Accounts|~|Account books|~|Personal accounts","Pollard, Catherine |~|Pollard, Ellen |~|Pollard, Harriet |~|Pollard, Anne","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/48","Page 47","1800-1808","1800/1808","1 Double Page","Personal accounts for Anne, Catherine, Ellen and Harriet Pollard.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjj1w",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjj2d","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjj2d-1-master.tif","51","","","","","","","","Accounts|~|Account books|~|Personal accounts|~|Birstall Road","Harwood, Mr. |~|Leeds Assurance Company |~|Wood, David|~|Miller, William|~|Sugden, William |~|Thompson, James|~|Kellet, Joshua","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/49","Pages 48 and 49","1801-1824","1801/1824","1 Double Page","Personal accounts for William Sugden, James Thompson, Mr Harwood, David Wood, Joshua Kellet, William Miller, Birstall Road and Leeds Assurance company.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjj2d",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjj3x","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjj3x-1-master.tif","52","","","","","","","","Accounts|~|Account books|~|Personal accounts|~|Victoria Bridge","Baines, Edward |~|Water Works |~|Marshall, Hives and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/50","Page 49","1801-1840","1801/1840","1 Double Page","Personal accounts for Edward Baines, Victoria Bridge and the Water Works. Accounts for Marshall and Hives Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjj3x",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjk4x","ark:/21198/zz0009cfjj","2","Completed","Page","marshall/masters/21198-zz000bjk4x-1-master.tif","53","","","","","","","","Accounts|~|Account books|~|Personal accounts","Marshall, Fenton and Company |~|Tennant, Thomas|~|Isaac, Mary","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1/51","Page 50","1803-1808","1803/1808","1 Double Page","Personal accounts for Mary Isaac and Thomas Tennant. Accounts for Marshall Fenton and Co.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjk4x",""
