Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.subject,Name.creator,Language,Subject,Rights.permission,Subject geographic,Author,Name.cartographer,Name.repository,Name.other,Title,Publisher.publisherName,Description.note,Publisher.placeOfOrigin,Format.extent,Coverage.geographic,Alt ID.oclc,AltIdentifier.callNo,Alt ID.catalogRecordNumber,Opac url,Coverage.geoscale,AltTitle.uniform,Alt ID.local,Description.caption,Date.creation,Date.publication,Date.normalized,Alt ID.lccn,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00294ksq,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz00294ksq_1969046_master.tif,,,,,,,cartographic,map,unknown,,,"California Lands, Inc.",eng,Agriculture--California--Maps,,California--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Map of California,California Lands Inc.,"Not drawn to scale|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6640722"">UCLA Catalog Record</a>","San Francisco, [Calif.]",1 map : col. ; 21 x 86 cm.,California,380487842,G4361 .J1 CLI 1939,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6640722,,,,,c1939,,1939,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294ksq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294ksq/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00294kw8,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz00294kw8_1969103_master.tif,,,,,,,cartographic,map|~|Topographic maps.,pd,,,Geological Survey of California.,eng,Contra Costa County (Calif.)--Maps|~|Geology--California--Maps,Y,Contra Costa County (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Geological map of the vicinity of Mount Diablo,,"by the State Geological Survey ; drawn by C.F. Hoffmann.|~|Scale [ca. 1:63,360].|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1505667"">UCLA Catalog Record</a>","[Sacramento, Calif.?]",1 map : photocopy ; 47 x 30 cm.,Contra Costa County (Calif.),26644143,G4363 .Contra Costa 63 SGS 1863,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1505667,,,,,1863,,1863,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294kw8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294kw8/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00294m09,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00294m09_1969147_master.tif,,,,,,,cartographic,map,pd_usfed,,California State Mining Bureau.,"Waring, C. A. (Clarence Almon).",eng,Geology--California--Inyo County--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Geological map of Inyo County, California",State Mining Bureau,"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=806677"">UCLA Catalog Record</a>",cau|~|[S.l.],1 map : col. ; 81 x 123 cm.,California|~|Inyo County,21747971,G4363 Inyo C5 253 SMB 1917,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=806677,253440,,,,1917,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294m09,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294m09/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jdw,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297jdw_1976457_master.tif,,,,,,,cartographic,map,pd_usfed,,,California State Mining Bureau.,eng,Oil City (Calif.)--Maps|~|Petroleum--California,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Oil City oil field, Fresno Co., California",,"Contour intervals 20 ft.|~|Scale about 1500 ft. to the inch.|~|issued by the State Mining Bureau.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=686899"">UCLA Catalog Record</a>",[Sacramento|~|cau,map 53 x 41 cm. folded to 21 x 14 cm.,California|~|Oil City (Calif.),06175932,G4363 .Fresno Co. 18 SMB 1899,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=686899,,,,,1899?],,,gs 07000036,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jdw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jdw/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jhf,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297jhf_1976474_master.tif,,,,,,,cartographic,map,pd_usfed,,Alameda County (Calif.). County Surveyor.,"Boggs, Wallace B.",eng,Roads--California--Alameda County--Maps,,Alameda County (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Highways of Alameda County, California",County Surveyor,"Shows roads, township and section lines, townships, railroads, canals, rivers and creeks.|~|""Barker""--lower right corner.|~|Wallace B. Boggs, County Surveyor.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6650604"">UCLA Catalog Record</a>","cau|~|[Oakland, Calif]",1 map ; 19 x 31 cm.,California|~|Alameda County (Calif.),710835920,G4363 Alameda Co. .P2 ca.300 WBB,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6650604,300000,,,,[ca. 1947],,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jhf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jhf/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jjz,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297jjz_1976477_master.tif,,,,,,,cartographic,map,pd|~|Y,,"Alameda County Historical Society.|~|Becker, Robert H.|~|Bowman, J. N. (Jacob Neibert). 1875-1968.","Von Schmidt, A. W. (Allexey Waldemar). b. 1823?.",eng,Rancho San Antonio (Alameda County|~|Maps—Facsimiles,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Plan of Rancho de-San-Antonio claimed by Vincinte,Alameda County Historical Society,"""Permission to reproduce granted by Dr. Dudley W. Bennett.""|~|Shows drainage, settlements, acreages, buildings, etc.|~|surveyed by A.W. Von Schmidt, U.S. Deputy Surveyor.|~|""Size of original: 40 x 28 inches.""|~|""A true copy of the original 1852 map, presented to charter members of the Alameda County Historical Society. 410 copies.""|~|Relief represented by shading.|~|Facsim. of ms. map: [1852].|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3551942"">UCLA Catalog Record</a>","cau|~|[Oakland, Calif.?",1 map : col. ; 30 x 43 cm.,"Rancho San Antonio (Alameda County, Calif.)|~|northernmost:N0375200|~|westernmost:W1221600|~|southernmost:N0375200|~|easternmost:W1221600",26788727,G4363 .Alameda Co. ns 1852,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3551942,70500,,,,1967?],,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jjz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jjz/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jkg,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297jkg_1976480_master.tif,,,,,,,cartographic,map,pd_usfed,,,,eng,,,Humboldt County (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Traffic Map All types of Vehicles Humboldt County California,,"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=7138736"">UCLA Catalog Record</a>",,,Humboldt County (Calif.),,G4363.P1 63 USDA 1937,,,,,,,1937,,1937,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jkg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jkg/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jm0,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297jm0_1976483_master.tif,,,,,,,cartographic,map,pd,,,Handy and Wallace.,eng,Copper mines and mining--California--Calaveras County--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Map of the copper mines of Calaveras County,A. Gensoul,"Includes ""Sectional view of the Reed Lode.""|~|Oriented with north toward the upper left.|~|surveyed and drawn by Handy & Wallace.|~|Negative.|~|Relief represented by hachures.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1571848"">UCLA Catalog Record</a>",cau|~|San Francisco,1 map : photocopy ; 25 x 43 cm.,Calaveras County|~|California,26644116,G4363 .Calaveras Co H2 A6 1864,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1571848,825000,,,,1864,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jm0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jm0/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jnh,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297jnh_1976486_master.tif,,,,,,,cartographic,map,pd_usfed,,"Posey, George A.",Alameda County (Calif.). County Surveyor.,eng,Alameda County (Calif.)--Road maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Highways Alameda County, California",County Surveyor,"Relief represented by hachures.|~|George A. Posey, County Surveyor.|~|Annotated in 1933 to show roads suitable for inclusion in the State Highway System.|~|Blueline.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=483996"">UCLA Catalog Record</a>",cau|~|[S.l.],1 map : photo reprod. ; 64 x 91 cm.,Alameda County (Calif.),21746021,G4363 .Alameda 95 1930,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=483996,90000,,,,]1933],,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jnh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jnh/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jsk,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297jsk_1976507_master.tif,,,,,,,cartographic,map,pd_usfed,,,California. Division of Forestry.,eng,El Dorado County (Calif.)--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Western El Dorado County, 1935",The Division,"At head of title: State of California, Department of Natural Resources, Division of Forestry.|~|compiled in the Office of the State Forester at Sacramento by F.H. Raymond.|~|Relief represented by hachures.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=797062"">UCLA Catalog Record</a>",cau|~|Sacramento,1 map ; 53 x 64 cm.,El Dorado County (Calif.),23001799,G4363 .El Dorado 126 DNR 1935,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=797062,130000,,,,1935,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jsk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jsk/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jt3,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297jt3_1976510_master.tif,,,,,,,cartographic,map,pd_usfed,,,United States. Forest Service.,eng,Del Norte County (Calif.)--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Photo spot index aerial photographic project CDF 2 (1948),U.S. Forest Service,"""1927 North American datum.""|~|Index map of a photographic survey conducted by U.S. Forest Service.|~|Blue line print.|~|Includes townships and sections.|~|Relief represented by hachures.|~|""Original sheets prepared by the Department of Public Works, Division of Highways in cooperation with the U.S. Department of Agriculture, Bureau of Public Roads. Original data obtained from State-wide Highway Planning Survey, 1937. Original sheets assembled with alterations and additions required by the Department of Natural Resources, Division of Forestry, 1941.""|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6649381"">UCLA Catalog Record</a>",cau|~|San Francisco,1 map : photocopy ; 66 x 53 cm.,Del Norte County (Calif.),710060709,G4363 Del Norte Co .A3 125 USFS 1942,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6649381,130000,"Del Norte County, Humboldt Meridian,1942",,,1949|~|[1949],,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jt3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jt3/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pkd,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297pkd_1976921_master.tif,,,,,,,cartographic,map,pd_usfed,,,California State Mining Bureau.,eng,Inyo County (Calif.)--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Map of Inyo County, California.",State Mining Bureau,"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=806680"">UCLA Catalog Record</a>",San Francisco|~|cau,1 map : col. ; on sheet 72 x 112 cm.,Inyo County (Calif.),24961594,G4363 Inyo 316 SMB 1900?,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=806680,,,,,190u|~|[190-?],,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297pkd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297pkd/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pmx,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297pmx_1976924_master.tif,,,,,,,cartographic,map,pd_usfed,,"Tucker, W. B.|~|California. Division of Mines.","Sampson, R. J.",eng,Mines and mineral resources--California--Imperial County--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Map of Imperial County showing locations of principal mineral deposits,"Dept. of Natural Resources, Division of Mines","by R.J. Sampson and W.B. Tucker.|~|Index map and index of mines on sheet.|~|Accompanying State Mineralogist's report xxxviii, April 1942.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3007995"">UCLA Catalog Record</a>","[Sacramento, CA]|~|cau",1 map ; 53 x 31 cm.,Imperial County|~|California,09488041,G4363 Imperial H1 500 CDM 1942,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3007995,250000,,,,1942,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297pmx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297pmx/manifest
