Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Subject,Type.genre,Name.repository,Name.author,Name.attributedTo,Name.translator,Name.commentator,Name.scribe,Name.creator,Name.compiler,Name.annotator,Language.language,Language.script,Name.calligrapher,Alternate Identifier.local,Title,Relation.rectoVerso,Source,Date.creation,Format.dimensions,Relation.textDirection,Alternate Title.other,Description.abstract,Description.microfilm,Description.citation,Alternate Title.scriptArab,Description.physical,Date.normalized,Description.note,Format.extent,Relation,Description.stamp,Relation.citation,Alternate Title.spine,Description.marks,Description.colophon,thumbnailImageName,masterImageName
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000spg97,ark:/21198/zz000spg55,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,God (Islam) $x Attributes $v Early works to 1800,,,"Khafrī, Muḥammad, $d d. 1407 or 8",,,,,,,,Arabic,Nastaʿlīq,,0031_004,Ithbāt al-wājib,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 31",12th C. [1689-1786],19 x 14 cm.,,,(4) Pp. 298-366.  Treatise on the proof of the existence of God and His attributes. Includes notes in the margins.,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 658.",اثبات الواجب,,1689/1786,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000spgbr,ark:/21198/zz000spg55,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Free will and determinism $x Religious aspects $x Islam|~|Astrology $v Early works to 1800,,,"Avicenna, $d 980-1037",,,,,,,,Arabic,Nastaʿlīq,,0031_005,Sirr al-qadar,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 31",12th C. [1689-1786],19 x 14 cm.,,,(5) Pp. 367-373.  On fate and astrology.,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 658.",سر القدر,,1689/1786,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000spgc8,ark:/21198/zz000spg55,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,"Muḥammad, $c Prophet, $d d. 632 $x Isrāʿ and Miʿrāj |~|Translation to heaven",,,,,,,,,,,Arabic,unidentified|~|Nastaʿlīq,,0031_006,Risālah fī Miʿrāj khamsat ʾabdān,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 31",12th C. [1689-1786],19 x 14 cm.,,,"(6) Pp. 373-374.  A treatise on the five instances of miʿrāj, or heavenly ascent, in the Islamic tradition. Author is unknown.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 658.",رسالة في معراج خمسة ابدان,,1689/1786,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000spgds,ark:/21198/zz000spg55,7,Needs Review,ChildWork,,,,,pd,Future life $v Early works to 1800 |~|Soul $v Early works to 1800,,,,,,,,,,,Arabic,Nastaʿliq,,0031_007,Risālah fī al-radd ʿalá man qāl inna al-insān yatalāshá wa yafná,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 31",12th C. [1689-1786],19 x 14 cm.,,,7. Pp. 374-377.   A treatise of Plotinus on the eternity of the soul.,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 658.",رسالة في الرد على من قال ان الانسان يتلاشى ويفنى,,1689/1786,"This 4-page treatise needs to be investigated: is it from the Arabic Plotinus, or is it an independent summary?",,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000spgf9,ark:/21198/zz000spg55,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Hadith (Shiites) $v Early works to 1800|~|Hadith $x Authorities $v Early works to 1800,,,"ʿĀmilī, Bahāʾ al-Dīn Muḥammad ibn Ḥusayn $d 1547-1621",,,,,,,,Arabic,Nastaʿlīq,,0031_008,Min ifādāt al-Shaykh al-Bahāʾī,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 31",12th C. [1689-1786],19 x 14 cm.,,,"(8) Pp. 377-381. On ʿilm al-rijāl, or the verification of ḥadīth and ḥadīth narrarators.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 658.",من افادات الشيخ البهائي,,1689/1786,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000spgt0,ark:/21198/zz000spggt,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,"Judges (Islamic law) $v Early works to 1800|~|Islamic law $x Interpretation and construction $v Early works to 1800|~|Shafiites $v Early works to 1800|~|Shāfiʿī, Muḥammad ibn Idrīs, $d 767 or 8-820 $x Teachings",,,"Bahāʾ al-Dīn, $c al-Qāḍī",,,,Saʿd Allah ibn Ghiyāth al-Dīn ibn Shihābal-Dīn,,,,Arabic,Naskh,,0032_001,Ḥilyat al-muftī,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 32",880 [1476],18 x 11 cm.,,,"Pp. 2-82.  On the qualifications and manners of religious judges, quḍāt and fuqahā, according to Islamic dictates and jurisprudence. A commentary on al-Shāfiʿī's treatment of the subject.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 658.",حلية المفتي,,1476,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sph65,ark:/21198/zz000spggt,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Sufism,,,,,,,Mīrzā Muḥammad Amīr Ismāʿīl Ḥusaynī Ṭāliqānī,,,,Arabic,Nastaʿlīq,,0032_002,Risālah fī marātib al-wilāyah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 32",9th C. [1398-1495],18 x 11 cm.,,,"P. 83 only.  Fragment, missing end folios. On the stations of mystics. Author is unknown.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 658, where title is given as Fā'idah fī al-wilāyah.",رسالة في مراتب الولاية,,1398/1495,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sphkv,ark:/21198/zz000spggt,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Sufism $v Early works to 1800,,,"Ibn al-ʿArabī, $d 1165-1240",,,,,,,,Arabic,Naskh,,0032_003,Ḥilyat al-ibdāl,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 32",,18 x 11 cm.,,,"Pp. 88-98.  Fragment, the end folios are missing. On the stations of mystics.  See Brockelmann, I (2nd ed), 575.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 658.",حلية الابدال,,,Dānishpazhūh dates manuscript as 9th C. AH.,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sphzj,ark:/21198/zz000spggt,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Mysticism|~|Sufism|~|Mystics,,,"Khaṭāʾī, Mullāzādah Niẓām al-Dīn ʿUthmān",,,,,,,,Arabic,Naskh,,0032_004,Sharḥ bāl wa rashḥ ḥāl,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 32",9th C. [1398-1495],18 x 11 cm.,,,Pp. 100-108.  Written by al-Ḥamāwī on mystics and mysticism and sent to Ibn al-ʿArabī for a response.,,,شرح بال ورشح حال,,1398/1495,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000spjbq,ark:/21198/zz000spggt,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,"God (Islam) $x Attributes $v Early works to 1800|~|Islamic sermons, Arabic $v Early works to 1800",,,"Avicenna, $d 980-1037",,,,,,,,Arabic,Naskh,,0032_005,Khuṭbah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 32",9th C. [1398-1495],18 x 11 cm.,,,Pp. 110-113.  On the attributes of God.,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 658.",خطبة,,1398/1495,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000spjqd,ark:/21198/zz000spggt,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Islamic ethics|~|Islamic law|~|Islam $x Customs and practices,,,,,,,,,,,Arabic,Naskh,,0032_006,Risālah fi-al-amr bil-maʿrūf wa-al-nahī ʿan al-munkar,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 32",9th C. [1398-1495],18 x 11 cm.,,,Pp. 114-117.  Legal work on religious ethics. Author is unknown.,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 658.",رسالة في الامر بالمعروف والنهي عن المنكر,,1398/1495,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000spk3k,ark:/21198/zz000spggt,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,"Zamakhsharī, Maḥmūd ibn ʿUmar, $d 1075-1144. $t Kashshāf|~|Koran $v Commentaries $v Early works to 1800",,,,,,"Jurjānī, ʿAlī ibn Muḥammad, $c al-Sayyid al-Sharīf, $d 1340-1413",,,,,Arabic,Naskh,,0032_007,Ḥāshiyah ʿalá al-Kashshāf lil-Zamakhsharī,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 32",9th C. [1398-1495],18 x 11 cm.,,,Pp. 118-142.  A fragment of a commentary on the linguistic commentary on the Qur'an by al-Zamakhsharī.  Ending missing.,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 658.",حاشية على الكشاف للزمشخري,,1398/1495,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000spp73,ark:/21198/zz000spnwf,7,Needs Review,ChildWork,,,,,pd,Astrolabes $v Early works to 1800|~|Astronomy $v Early works to 1800,,,"Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, $d 1201-1274",,,,,,,,Persian,unidentified,,0033_001,Bīst bāb dar usturlāb,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 33",,17.5 x 12 cm.,,,Pp. 2-38.  A treatise on using astrolabes in twenty chapters. Incomplete.,,,بيست باب در استرلاب,,,Dānishpazhūh dates manuscript as 11th C. AH.,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sppms,ark:/21198/zz000spnwf,7,Needs Review,ChildWork,,,,,pd,Astronomy $v Early works to 1800,,,"ʿĀmilī, Bahāʾ al-Dīn Muḥammad ibn Ḥusayn $d 1547-1621",,,,,,,,Arabic,unidentified,,0033_002,Thawābit al-aflāk,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 33",1118 [1706 or 1707],17.5 x 12 cm.,,,Pp. 42-119.  A treatise on astronomy with diagrams and charts. Includes Persian marginal notes.,,,ثوابت الافلاك,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000spq0z,ark:/21198/zz000spnwf,7,Needs Review,ChildWork,,,,,pd,"Maḥmūd ibn Muḥammad al-Jaghmīnī, $d d. 1344. $t Mulakhkhaṣ fī ʿilm al-hayʾah|~|Astronomy $v Early works to 1800",,,,,,"Qāḍīʹzādah, Musá ibn Muḥammad, $d d. ca. 1436",,,,,Arabic,unidentified,,0033_003,Sharḥ al-Mulakhkhaṣ fī ʿilm al-hayʾah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 33",1116 [1704 or 1705],17.5 x 12 cm.,,,Pp. 122-449.  A commentary written for the Timurid Shah Ulugh Beg by Qāḍī Zādah (d. ca. A.D. 1436) on al-Chaghmīnī's (d. A.D. 1344) treatise on astronomy al-Mulakhkhaṣ fī ʿilm al-hayʾah.,,,شرح الملخص في علم الهيئة,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sq10r,ark:/21198/zz000sq0zr,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Islam $x Doctrines $v Early works to 1800|~|Shīʿah $x Doctrines $v Early works to 1800,,,,,,,,,,,Arabic,Nastaʿlīq,,0034_001,Sharḥ ʿalā ʿAllāmah al-Ḥillī fī al-kalām,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 34",1067 [1657],21 x 13 cm.,,,"Pp. 4-44.  A work on kalām, missing the beginning. Begins with section two, which is a commentary on ʿAllāmah Ḥillī's positions on kalām. It is followed by section three, where the author discusses other matters regarding kalām, including aspects of Shīʿī doctrines. The text is the product of a muqabalah with a manuscript of the commentator dated A.H. 723. Author is unknown.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 659.",شرح على العلامة الحلي في الكلام,,1657,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sq118,ark:/21198/zz000sq0zr,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,"Arabic language $x Rhetoric|~|Eloquence|~|Arabic language $x Grammar|~|Sībawayh, ʿAmr ibn ʿUthmān, $d 8th cent. $t Kitāb",,,,,,,,,,,Arabic,Naskh,,0034_002,Risālah fī al-balāghah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 34",11th C. [1592-1689],21 x 13 cm.,,,"Pp. 46-63.  Fragment, missing beginning and ending. A manual on literary eloquence, including discussions on speech and grammar and a commentary on the famous grammarian al-Sībawayh. Author is unknown.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 659.",رسالة في البلاغة,,1592/1689,Dānishpazhūh dates manuscript as 11th C. AH.,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sq12s,ark:/21198/zz000sq0zr,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Imams (Shiites) $v Early works to 1800|~|Shīʿah $x History $v Early works to 1800|~|Arabic language $x Rhetoric $v Early works to 1800,,,"Ḥarīrī, $d 1054-1122",,,,,,,,Arabic,Naskh,,0034_003,Durrat al-ghawwāṣ fī awhām al-khawāṣṣ,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 34",11th C. [1592-1689],21 x 13 cm.,,,"Pp. 65-75.  This is a treeatise on the incorrect usage of Arabic expressions, using examples from stories about the early Shīʿī imams and leaders, including al-Ḥasan, al-Ṣādiq and Muḥammad ibn al-Ḥanafiyah. Missing end folios.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 659.",درّة الغواص في اوهام الخواص,,1592/1689,Dānishpazhūh dates manuscript as 11th C. AH.,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sq139,ark:/21198/zz000sq0zr,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Nīshāpūr (Iran) $x History|~|Arabic poetry,,,,,,,,,,,Arabic,Naskh,,0034_004,Siyāq-i tārīkh-i Nīshāpūr,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 34",11th C. [1592-1689],21 x 13 cm.,,,"Pp. 77-80.  This is only a short fragment of the text.  After one page of text, poems from al-ʿAbd al-Qāhir al-Jurjānī and al-Maydānī.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 659.",سياق تاريخ نيشابور,,1592/1689,"Need name authority for: Fārisī, ʻAbd al-Ghāfir ibn Ismāʻīl, 1059-1134 or 5.",,,,,,,,,
