Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Visibility,Thumbnail,Subject.conceptTopic,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Type.genre,Name.subject,Subject,Subject.descriptiveTopic,Name.repository,Rights.servicesContact,Language,Name.photographer,Name.donor,Name.correspondent,Subject geographic,Name.recipient,Rights.rightsHolderContact,Name.creator,Local identifier,Title,Description.abstract,Description.note,Alt ID.local,Summary,Date.normalized,Date.creation,Format.extent,Coverage.geographic,Description.caption,Description.latitude,Description.longitude,Alt ID.url,AltTitle.other,Note,Relation.isPartOf,Opac url,Finding Aid URL,IIIF Manifest URL
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p23n,ark:/21198/zz002311rn,10,Completed with minimal metadata,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p23n%2Fn100kv30,,still image,copyrighted,unknown,Black-and-white photographs,"Boyd, Mildred, $d 1909-",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 2,"Mildred Boyd, Los Angeles, 1940s",,All information concerning the content and description of the image was provided by Walter Gordon.,035|~|YRLSC_gordonphotos_0035,Mildred Boyd was an actress and dancer.  She began her entertainment career in the 1920s as a chorus girl at popular black nightclubs in Los Angeles. She later appeared in movies in which she often portrayed the role of the maid. Later in her career she was able to play different roles and showcase her acting and dancing talents in race films. She retired from entertainment in the 1950s.,1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p23n/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p245,ark:/21198/zz002311rn,2,Completed,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p245%2Fqc34pk0t,African American beauty operators $z California $z Los Angeles|~|African American gay men $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Deason, Eadward B., $d 1921-1976 ",Lifestyle|~|People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,"Morehead, Howard",,,,,,,Collection 1867 Box 1 Folder 2,"Eddie Deason dancing with an unidentified woman, Los Angeles, 1940s",,All information concerning the content and description of the image was provided by Walter Gordon.,036|~|YRLSC_gordonphotos_0036,"Eddie (known professionally as Eadward) Deason was a popular hair stylist who operated ""houses of charm"" in Los Angeles, San Francisco and Pasadena. He was also an openly gay man.",1940/1949,1940s,1 photograph : b&w,California--Los Angeles,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p245/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p29r,ark:/21198/zz002311rn,10,Completed with minimal metadata,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p29r%2Fsz426c8w,African American politicians|~|African American judges|~|African American lawyers--California--Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Miller, Loren|~|Broady, Earl C., $d 1904-1992|~|Gordon, Walter L., $c Jr., $d 1908-2012|~|Smith, Sherman W., $c Sr., $d 1922-2003 |~|Hudson, Elbert T., $d 1921-2017|~|Carroll, Roscoe|~|Burke, Yvonne Brathwaite",Lifestyle|~|People,Parties $z California $z Los Angeles,"University of California, Los Angeles. $b Library Special Collections",,zxx,"Morgan, Walter, $c Lt.",,,,,,,Collection 1867 Box 1 Folder 2,"Birthday Party for attorney Curtis Taylor, at the Broady residence, Beverly Hills, 1965",,"Photograph taken at the home of Earl C. Broady.|~|All information concerning the content and description of the image was provided by Walter Gordon.|~|Gathered around a dining table (L to R): standing and bent over to speak with someone (and wearing glasses): Walter L. Gordon, listening to Gordon (wearing a vest): Sherman W. Smith, woman in center: Yvonne Brathwaite Burke, standing behind Burke: Earl C. Broady, seated to the right of Burke: Elbert T. Hudson, Seated on the right of Hudson: Loren Miller, standing on the right: Roscoe Carroll|~|The party was reported in a photo spread in the Los Angeles Sentinel, ""CURTIS TAYLOR CELEBRATES,"" 30 Dec. 1965: C.",041|~|YRLSC_gordonphotos_0041,"Loren Miller was an attorney in the 1940s. He later became a California Superior Court Justice in Los Angeles County. Miller was known for his work fighting for equal access to housing and education. He was also the editor of the California Eagle after Charlotta Bass.|~|Walter L. Gordon, Jr. was an African American attorney in Los Angeles.|~|Yvonne Brathwaite Burke is a politician from Los Angeles who served as a member of the U.S. House of Representatives (1973-1979) and as a member of the Los Angeles County Board of Supervisors (1979-1980; 1992-2008).|~|Roscoe C. Carroll was an attorney and a Los Angeles civic leader. He was preseident of the Langston Law Club.|~|Earl C. Broady started his career as a janitor and became a judge on the Los Angeles County Superior Court.|~|Sherman W. Smith Sr. was a municipal and superior court judge in Los Angeles during the 1960s and 1975, retiring in 1975.|~|Elbert T. Hudson was the son of the civil rights leader H. Claude Hudson. He graduated from UCLA and received his law degree from Loyola University. He was a fighter pilot with the Tuskegee Airmen during World War II. He was the first African American to be named president of the LosAngeles Police Commission in 1966 and took the position as head of the L.A. chapter of the NAACP in 1971. In 1972, he took over the Broadway Federal Bank, founded by his Father. Under his guidance, the bank supported growth in minority neighborhoods.",1965-12-16,"December 16, 1965",1 photograph : b&w,California--Beverly Hills,"On back of photograph: To: Walter Gordon; From: District Attorney Evelle J. Younger; Photo by: Lt. Walter Morgan, District Attorney's aide; Date: 12-16-1965; Place: Broady Residence [1003 Benedict Canyon Dr., Beverly Hills]; Occasion: Taylor Party",34.082358,-118.420039,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p29r/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p2b8,ark:/21198/zz002311rn,10,Completed with minimal metadata,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2b8%2F9g52f56c,Awards|~|African American golfers,still image,copyrighted,unknown,Black-and-white photographs,"Jefferson, Edwin, $d 1905-1989|~|Houston, Norman B. $q (Norman Benjamin), $d 1923-2005|~|Johnson, Ivan J., $c III, $d 1903-1975",Events|~|People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,"Cutler, George M. (George Miles), $d 1901-1949",,,,,,,Collection 1867 Box 1 Folder 2,"Norman O. Houston, Edwin Jefferson, and Ivan J. Johnson III at a golf awards ceremony, Los Angeles, 1940s",,"L to R, facing camera: Norman Houston, two unidentified men, Edwin Jefferson, Ivan J. Johnson III.|~|All information concerning the content and description of the image was provided by Walter Gordon.|~|Men at a golf award ceremony (L to R): Norman B. Houston, two unidentified men holding trophies, Edwin Jefferson, and Ivan J. Johnson III. An unidentified man holds the base of a microphone.",042|~|YRLSC_gordonphotos_0042,"Norman O. Houston was one of the first African Americans to earn a varsity letter in football at UC Berkeley. He graduated from UCLA and became an executive with the Golden State Mutual Life Insurance Company. He was appointed president of the Los Angeles NAACP in 1964.  He participated in the 1965 Selma, Alabama March. He was Deputy Assistant Secretary for Administration, U. S. Department of Health, Education and Welfare during the Nixon adminisatration 1971-1973.|~|Ivan J. Johnson III was a Los Angeles attorney. He was one of the first African Americans to letter in track at USC and UC Berkeley. He was a charter member of the Alpha Phi Alpha Fraternity. Shortly before his death, he was honored by the Langston Law Club as the dean of  local attorneys.|~|Edwin L. Jefferson was the first African American judge west of the Mississippi River, appointed to the Los Angeles Municipal Court (1941), the Los Angeles County Superior Court (1949), and the 2nd District Court of Appeal (1961).",1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p2b8/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p2cs,ark:/21198/zz002311rn,10,Completed with minimal metadata,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2cs%2Fv611sm1r,African American women $z California $z Los Angeles|~|Showgirls $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,,Lifestyle,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 2,"Unidentified showgirl in Los Angeles, 1940s",,"According to Walter L. Gordon, Jr., this woman moved to Los Angeles from Washington, D.C.|~|All information concerning the content and description of the image was provided by Walter Gordon.",043|~|YRLSC_gordonphotos_0043,,1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p2cs/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p2d9,ark:/21198/zz002311rn,10,Completed with minimal metadata,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2d9%2Fjd70083x,,still image,copyrighted,unknown,Black-and-white photographs,,Lifestyle,,"University of California, Los Angeles. $b Library Special Collections",,zxx,"Peterson, Charles, $d 1900-1976",,,,,,,Collection 1867 Box 1 Folder 2,"Unidentified man, possibly a jazz musician, New York, 1940s",,"All information concerning the content and description of the image was provided by Walter Gordon.|~|Walter Gordon identified the man in the photograph as Louie Bellson, husband of Pearl Bailey; however, that identification has not been confirmed. The photographer, Charles Peterson, was known for his work capturing the New York jazz scene, so it is likely that the man in the photograph was a jazz musician.",YRLSC_gordonphotos_0044,,1940/1949,[1940s?],1 photograph : b&w,New York (State)--New York,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p2d9/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p2ft,ark:/21198/zz002311rn,10,Completed with minimal metadata,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2ft%2F0s211c1f,African American women $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,,Lifestyle|~|People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 2,"Unidentified African American woman, Los Angeles, 1940s?",,All information concerning the content and description of the image was provided by Walter Gordon.,045|~|YRLSC_gordonphotos_0045,,1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p2ft/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p2hv,ark:/21198/zz002311rn,2,Completed,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2hv%2Fjt59c733,Bookmakers (Gambling) $z California $z Los Angeles|~|African American families $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Cloman, Cleo, $d 1905-1982",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,Sheffield Studio,,,,,,,Collection 1867 Box 1 Folder 2,"Cleo Cloman and family, Los Angeles, 1950s",,"Cloman is pictured with his family, likely in front of historic 2nd Baptist Church.|~|All information concerning the content and description of the image was provided by Walter Gordon.",YRLSC_gordonphotos_0047,Cleo Cloman was a well-regarded bookie who worked out of a stand in a garage on Central Avenue.,1954/1956,[mid 1950s],1 photograph : b&w,California--Los Angeles,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p2hv/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p2jc,ark:/21198/zz002311rn,2,Completed,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2jc%2Fwd67wg76,Bookmakers (Gambling) $z California $z Los Angeles|~|African American families $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Cloman, Cleo, $d 1905-1982",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,Sheffield Studio,,,,,,,Collection 1867 Box 1 Folder 2,"Cleo Cloman and family, Los Angeles, 1950s",,"Cloman is pictured with his family, likely in front of historic 2nd Baptist Church.|~|All information concerning the content and description of the image was provided by Walter Gordon.",048|~|YRLSC_gordonphotos_0048,Cleo Cloman was a well-regarded bookie who worked out of a stand in a garage on Central Avenue.,1954/1956,[mid 1950s],1 photograph : b&w,California--Los Angeles,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p2jc/manifest
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p2md,ark:/21198/zz002311rn,10,Completed with minimal metadata,Work,,,,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2md%2F9539fg7z,African American women $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,,Lifestyle,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 2,"Two unidentified women, Los Angeles, 1940s",,All information concerning the content and description of the image was provided by Walter Gordon.,050|~|YRLSC_gordonphotos_0050,,1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025p2md/manifest
