Project Name,Item ARK,Parent ARK,Item Status ID,Visibility,Object Type,File Name,Item Sequence,Subject,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Name.repository,Name.photographer,Relation.isPartOf,Finding Aid URL,Description.note,Date.creation,Description.longitude,Description.latitude,Title,Date.normalized,Format.dimensions,AltIdentifier.local,Description.abstract,Coverage.geographic,Bucketeer State,IIIF Access URL
Thelner and Louise Photographic Collection,ark:/21198/zz000000jm,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000118_10a.tif,,Construction images|~|Haines Hall|~|Science|~|Education|~|Environment,photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,Exterior view of the building's south side looking behind the main lecture hall.,c.1929,-118.44120025634765,34.07292412474929,"Chemistry Building (Haines Hall), c.1929",1929,5 x 4 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000jm
Thelner and Louise Photographic Collection,ark:/21198/zz000000k4,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000119_10a.tif,,"University of California, Los Angeles--Royce Hall|~|Construction images|~|Education|~|Environment",photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,"Photographed looking south, the southwestern edge of the recently completed Josiah Royce Hall appears with the Education Building (Moore Hall) still under construction in the background. The west side of Royce Hall was altered in 1984 following the addition of a rehearsal hall and terrace.","March 29, 1928",-118.44268083572387,34.07248866234235,"Royce Hall's southwest wing, 1928",1928-03-29,4 x 5 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000k4
Thelner and Louise Photographic Collection,ark:/21198/zz000000mn,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000120_10a.tif,,Kinsey Hall|~|Construction images|~|Science|~|Education|~|Environment,photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,"Photographed from the Library's octagonal dome, the west side of the Physics-Biology Building (Kinsey Hall, subsequently Humanities Building) is shown in the final stages of construction. Westwood Hills appears in the background.",c.1928,-118.44152212142944,34.071582182397194,"Physics-Biology Building (Humanities Building) viewed from Library (Powell Library), c.1928",1928,4 x 5 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000mn
Thelner and Louise Photographic Collection,ark:/21198/zz000000n5,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000121_10a.tif,,Kinsey Hall|~|Construction images|~|Science|~|Education|~|Environment,photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,"Photographed from the Library (Powell Library), the west side of the Physics-Biology Building (Kinsey Hall, subsequently Humanities Building) is shown in the final stages of construction.",c.1928,-118.44152212142944,34.071582182397194,"Physics-Biology Building (Humanities Building) viewed from Library (Powell Library), c.1928",1928,4 x 5 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000n5
Thelner and Louise Photographic Collection,ark:/21198/zz000000pp,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000122_10a.tif,,Kinsey Hall|~|Science|~|Education|~|Environment,photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,"The west side of the building photographed after landscaping, but prior to the addition of the north wing. The Physics-Biology Building was renamed Kinsey Hall and is today known as the Humanities Building.",c.1930,-118.44154357910156,34.07132445593601,"Physics-Biology Building (Humanities Building), c.1930",1930,4 x 5 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000pp
Thelner and Louise Photographic Collection,ark:/21198/zz000000q6,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000123_10a.tif,,"University of California, Los Angeles--Royce Hall|~|Powell Library|~|Education|~|Environment",photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,The western edge of the Library (Powell Library) appears here framed by the colonnade arches of Josiah Royce Hall.,c.1936,-118.44218462705612,34.07255309314571,"Royce Hall colonnade arches framing the Library (Powell Library), c.1936",1936,5 x 4 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000q6
Thelner and Louise Photographic Collection,ark:/21198/zz000000rq,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000124_10a.tif,,"University of California, Los Angeles--Royce Hall|~|Education|~|Environment",photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,"Photograph used in ""California of the Southland,"" page 66.|~|The view looking west down the colonnade of Josiah Royce Hall.",c.1936,,,"Royce Hall colonnade looking west, c.1936",1936,4 x 5 in. ,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000rq
Thelner and Louise Photographic Collection,ark:/21198/zz000000s7,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000125_10a.tif,,"University of California, Los Angeles--Royce Hall|~|Haines Hall|~|Science|~|Education|~|Environment",photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,"Photograph used in ""California of the Southland,"" page 66.|~|Photographed facing east, Josiah Royce Hall's east side portico looks toward the neighboring Chemistry Building (Haines Hall).",c.1936,-118.44173669815063,34.07261308040134,"Royce Hall's east side portico looking towards the Chemistry Building (Haines Hall), c.1936",1936,4 x 5 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000s7
Thelner and Louise Photographic Collection,ark:/21198/zz000000tr,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000126_10a.tif,,Construction images|~|Haines Hall|~|Science|~|Transportation|~|Education|~|Environment,photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,Exterior view of the north side of the building shortly after construction.,c.1929,-118.44120025634765,34.07292412474929,"Chemistry Building (Haines Hall) receiving dock, c.1929",1929,4 x 5 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000tr
Thelner and Louise Photographic Collection,ark:/21198/zz000000v8,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000127_10a.tif,,Construction images|~|Haines Hall|~|Science|~|Education|~|Environment,photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,Exterior view of the north side of the building shortly after construction.,c.1929,-118.4411358833313,34.07294189867753,"Chemistry Building (Haines Hall), c.1929",1929,4 x 5 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000v8
Thelner and Louise Photographic Collection,ark:/21198/zz000000ws,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000128_10a.tif,,"University of California, Los Angeles--Royce Hall|~|Construction images|~|Education|~|Arts",photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,"Close-up of the seal of Charles University in Prague, one of twelve European university seals displayed on the ceiling beams of the Josiah Royce Hall foyer. The seals represent the standard of education that UCLA's founders envisioned for the Westwood campus. Hoover contributed this photograph to the 1930 UCLA yearbook, which includes descriptions of these twelve universities at the head of each section.",c.1930,,,"Royce Hall foyer ceiling detail, c.1930",1930,4 x 5 in. ,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000ws
Thelner and Louise Photographic Collection,ark:/21198/zz000000x9,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000129_10a.tif,,"University of California, Los Angeles--Royce Hall|~|Construction images|~|Education|~|Arts",photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,"The ceiling beams of the Josiah Royce Hall foyer feature the seals of twelve prominent European universities, four of which are seen here. The seals represent the standard of education that UCLA's founders envisioned for the Westwood campus.",c.1930,-118.4421443939209,34.07257753240313,"Royce Hall foyer ceiling, c.1930",1930,4 x 5 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000x9
Thelner and Louise Photographic Collection,ark:/21198/zz000000zt,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000083_10a.tif,,"University of California, Los Angeles--Royce Hall|~|Construction images|~|Events|~|Education",photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,Interior photograph of worker installing seats into Josiah Royce Hall auditorium during the final stage of construction.,c.1929,-118.4421443939209,34.07257753240313,"Royce Hall auditorium seat installation, c.1929",1929,4 x 5 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000zt
Thelner and Louise Photographic Collection,ark:/21198/zz0000010t,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000130_10a.tif,,"University of California, Los Angeles--Royce Hall|~|Construction images|~|Education|~|Environment",photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,The east side portico entrance to Josiah Royce Hall appears here midway through the first academic year on the new Westwood campus.,"January 10, 1930",-118.44167232513428,34.07291523778378,"Royce Hall's east side portico, 1930",1930-01-10,5 x 4 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000010t
Thelner and Louise Photographic Collection,ark:/21198/zz0000011b,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000131_10a.tif,,"University of California, Los Angeles--Royce Hall|~|Construction images|~|Education|~|Environment",photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,This north (rear) entrance to Josiah Royce Hall is no longer visible due to the addition of a scenery shop in 1953 and further renovation in 1984 and 1998.,c.1930,-118.44249844551086,34.07285302899903,"Royce Hall north side entrance, c.1930",1930,5 x 4 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000011b
Thelner and Louise Photographic Collection,ark:/21198/zz0000012v,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000132_10a.tif,,Kinsey Hall|~|Construction images|~|Science|~|Education|~|Environment,photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,"The Physics Biology Building was renamed Kinsey Hall and is today known as the Humanities Building. Photographed while still under construction, the main lecture hall entrance dominates the building's west side.","January 10, 1930",-118.44145774841308,34.07159995660702,"Physics-Biology Building (Humanities Building) main lecture hall entrance, 1930",1930-01-10,5 x 4 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000012v
Thelner and Louise Photographic Collection,ark:/21198/zz0000013c,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000133_10a.tif,,"University of California, Los Angeles--Royce Hall|~|Construction images|~|Education|~|Environment",photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,"Prior to the addition of a rehearsal hall and terrace in 1984, the west side of Josiah Royce Hall was dominated by the loading ramp seen in this photograph.","March 29, 1928",-118.44266474246979,34.072659737126344,"Royce Hall loading ramp, 1928",1928-03-29,4 x 5 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000013c
Thelner and Louise Photographic Collection,ark:/21198/zz0000014w,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000134_10a.tif,,"University of California, Los Angeles--Royce Hall|~|Construction images|~|Education|~|Environment",photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,"Recently completed, the west side of Josiah Royce Hall appears here complete with loading ramp. The west side of Royce Hall was altered in 1984 following the addition of a rehearsal hall and terrace.","March 29, 1928",-118.44216585159302,34.0727908201685,"Royce Hall's west side, 1928",1928-03-29,5 x 4 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000014w
Thelner and Louise Photographic Collection,ark:/21198/zz0000015d,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000071_10a.tif,,"University of California, Los Angeles--Royce Hall|~|Education|~|Environment",photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,"Photographed looking northwest, Josiah Royce Hall appears nearing the end of its construction before landscaping.",,-118.44188153743744,34.07238423990184,"Royce Hall before landscaping, 1928",1928,4 x 5 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000015d
Thelner and Louise Photographic Collection,ark:/21198/zz0000016x,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000043_10a.tif,,"Aerial views|~|University of California, Los Angeles--Royce Hall|~|Construction images|~|Business|~|Education|~|Environment",photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,"Photographed from the Physics Biology Building (Humanities Building), the south side (front) of the nearly completed Josiah Royce Hall rises against the Santa Monica Mountains.",c.1928,-118.44179034233093,34.07219539048036,"Royce Hall under construction, c.1928",1928,8 x 10 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000016x
Thelner and Louise Photographic Collection,ark:/21198/zz0000017f,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000135_10a.tif,,"Kinsey Hall|~|University of California, Los Angeles--Royce Hall|~|Construction images|~|Science|~|Education|~|Environment",photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,"The facade of Royce Hall is just visible through the outer wall of the west side of the Physics-Biology Building (Kinsey Hall, subsequently Humanities Building). Both buildings are in their final stage of construction.",c.1928,-118.44135046005249,34.07193766588468,"Physics-Biology Building (Humanities Building) with Royce Hall in background, c.1928",1928,5 x 4 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000017f
Thelner and Louise Photographic Collection,ark:/21198/zz0000018z,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000136_10a.tif,,"University of California, Los Angeles--Royce Hall|~|Education|~|Arts|~|Culture",photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,The foyer of Josiah Royce Hall auditorium as it appeared shortly after the building opened.,c.1930,-118.44216585159302,34.07263974139019,"Royce Hall foyer, c.1930",1930,4 x 5 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000018z
