"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","IIIF Access URL","Rights.copyrightStatus","Rights.notice","Rights.countryCreation","Rights.creatorCorporate","Name.creator","Subject.descriptiveTopic","Type.typeOfResource","Type.genre","Name.repository","Name.performer","Name.composer","Rights.generalNote","Rights.servicesContact","Description.note","Title","AltIdentifier.local","Date.creation","Format.dimensions","Format.medium","Relation.isPartOf","Date.digitized","Format.extent","Description.tableOfContents","Description.abstract","Waveform"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz000934mn","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz000934mn-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/34/mn/21198=zz000934mn/ark%2B=21198=zz000934mn.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Vern Partlow|~|Location: Denver, Colorado.|~|Performer: Vern Partlow|~|Title from tape: Vern Partlow #2","Old Czech Folk Song & Old Czech Polka & She's Too Fat For Me","clym200203acwf_srf002-62_side2-07","1958-05","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000934mn%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz000934n5","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz000934n5-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/34/n5/21198=zz000934n5/ark%2B=21198=zz000934n5.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","John Henry;Swannanoa Tunnel;Wayfairin Stranger;Rovin' Gambler.|~|Recorded by: Roberta Ann Shechter|~|Performer: Kathy Morgan|~|Title from tape: Kathy Morgan","clym200203acwf_srf005-62_side1-01","clym200203acwf_srf005-62_side1-01","1962-10","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000934n5%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz000934pp","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz000934pp-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/34/pp/21198=zz000934pp/ark%2B=21198=zz000934pp.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Performer: Kathy Morgan|~|Title from tape: Kathy Morgan","Ballad of Kidder Cole & Careless Love & Down In the Valley","clym200203acwf_srf005-62_side1-02","1962-10","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000934pp%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093bx6","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093bx6-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3b/x6/21198=zz00093bx6/ark%2B=21198=zz00093bx6.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Title from tape: Kathy Morgan|~|Performer: Kathy Morgan","Cindy","clym200203acwf_srf005-62_side1-03","1962-10","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093bx6%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093bzq","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093bzq-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3b/zq/21198=zz00093bzq/ark%2B=21198=zz00093bzq.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Children's Rhymes, Street Songs, and Army Songs from Israel|~|Performer: Yaakov Shechter|~|Location: Los Angeles, California.|~|Title from tape: Yaakov Shechter * Israeli Folklore","Oogah-Oogah (Circle, Circle)","clym200203acwf_srf006-62_side1-01","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093bzq%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093c0q","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093c0q-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/0q/21198=zz00093c0q/ark%2B=21198=zz00093c0q.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Location: Los Angeles, California.|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Children's Rhymes, Street Songs, and Army Songs from Israel|~|Performer: Yaakov Shechter","Baladi Yah Baladi (My Country) & Seh Oogdi (A Lamb and a Kid)","clym200203acwf_srf006-62_side1-02","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093c0q%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093c17","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093c17-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/17/21198=zz00093c17/ark%2B=21198=zz00093c17.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Performer: Yaakov Shechter|~|Children's Rhymes, Street Songs, and Army Songs from Israel|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Location: Los Angeles, California.|~|Khatool Ganav (The Robber Cat);Koom Bachoor (Wake Up Lazy Youth);Ho Ho Mi Zeh Bah (Ho Ho Who Is Coming);Echad Shnayim (One Two);Eins Zwei (One Two)","clym200203acwf_srf006-62_side1-03","clym200203acwf_srf006-62_side1-03","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093c17%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093c2r","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093c2r-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/2r/21198=zz00093c2r/ark%2B=21198=zz00093c2r.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Location: Los Angeles, California.|~|Children's Rhymes, Street Songs, and Army Songs from Israel|~|Performer: Yaakov Shechter|~|Title from tape: Yaakov Shechter * Israeli Folklore","Hashkediyah Porachat (The Almond Tree is Blooming)","clym200203acwf_srf006-62_side1-04","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093c2r%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093c38","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093c38-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/38/21198=zz00093c38/ark%2B=21198=zz00093c38.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Location: Los Angeles, California.|~|Performer: Yaakov Shechter|~|Children's Rhymes, Street Songs, and Army Songs from Israel|~|Title from tape: Yaakov Shechter * Israeli Folklore","Mimromim (From Heaven)","clym200203acwf_srf006-62_side1-05","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093c38%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093c4s","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093c4s-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/4s/21198=zz00093c4s/ark%2B=21198=zz00093c4s.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Location: Los Angeles, California.|~|Children's Rhymes, Street Songs, and Army Songs from Israel|~|Performer: Yaakov Shechter","Tzolelet Germanit (A German Submarine)","clym200203acwf_srf006-62_side1-06","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093c4s%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093c59","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093c59-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/59/21198=zz00093c59/ark%2B=21198=zz00093c59.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Location: Los Angeles, California.|~|Children's Rhymes, Street Songs, and Army Songs from Israel|~|Performer: Yaakov Shechter","La Grande Mussolini (Big Mussolini)","clym200203acwf_srf006-62_side1-07","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093c59%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093c6t","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093c6t-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/6t/21198=zz00093c6t/ark%2B=21198=zz00093c6t.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Location: Los Angeles, California.|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Performer: Yaakov Shechter|~|Children's Rhymes, Street Songs, and Army Songs from Israel","Hamishtarah Hbritit (The British Police) & Nesader Otah (We Shall Fix Her)","clym200203acwf_srf006-62_side1-08","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093c6t%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093c7b","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093c7b-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/7b/21198=zz00093c7b/ark%2B=21198=zz00093c7b.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Children's Rhymes, Street Songs, and Army Songs from Israel|~|Performer: Yaakov Shechter|~|Location: Los Angeles, California.","Aliyah Khofsheet (Free Immigration) & MacMichael (The High Commissioner)","clym200203acwf_srf006-62_side1-09","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093c7b%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093c8v","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093c8v-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/8v/21198=zz00093c8v/ark%2B=21198=zz00093c8v.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Location: Los Angeles, California.|~|Children's Rhymes, Street Songs, and Army Songs from Israel|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Performer: Yaakov Shechter","King Farouk","clym200203acwf_srf006-62_side1-10","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093c8v%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093c9c","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093c9c-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/9c/21198=zz00093c9c/ark%2B=21198=zz00093c9c.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Children's Rhymes, Street Songs, and Army Songs from Israel|~|Location: Los Angeles, California.|~|Performer: Yaakov Shechter","Histakloo Na (Please Look)","clym200203acwf_srf006-62_side1-11","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093c9c%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093cbw","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093cbw-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/bw/21198=zz00093cbw/ark%2B=21198=zz00093cbw.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Location: Los Angeles, California.|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Children's Rhymes, Street Songs, and Army Songs from Israel|~|Performer: Yaakov Shechter","Aravi Zaken (An Old Arab)","clym200203acwf_srf006-62_side1-12","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093cbw%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093ccd","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093ccd-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/cd/21198=zz00093ccd/ark%2B=21198=zz00093ccd.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Title from tape: Yaakov Shechter * Israeli Folklore|~|Location: Los Angeles, California.|~|Performer: Yaakov Shechter|~|Children's Rhymes, Street Songs, and Army Songs from Israel","(Explanation of Aravi Zaken)","clym200203acwf_srf007-62_side1-01","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093ccd%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093cdx","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093cdx-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/dx/21198=zz00093cdx/ark%2B=21198=zz00093cdx.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Location: Los Angeles, California.|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Children's Rhymes, Street Songs, and Army Songs from Israel|~|Performer: Yaakov Shechter","Degel Li (I Have a Flag) Rhyme","clym200203acwf_srf007-62_side1-02","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093cdx%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093cff","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093cff-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/ff/21198=zz00093cff/ark%2B=21198=zz00093cff.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Location: Los Angeles, California.|~|Performer: Yaakov Shechter|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Children's Rhymes, Street Songs, and Army Songs from Israel","Al Hagivah (On the Hill)","clym200203acwf_srf007-62_side1-03","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093cff%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093cgz","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093cgz-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/gz/21198=zz00093cgz/ark%2B=21198=zz00093cgz.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Location: Los Angeles, California.|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Children's Rhymes, Street Songs, and Army Songs from Israel|~|Performer: Yaakov Shechter","Horsie Horsie","clym200203acwf_srf007-62_side1-04","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093cgz%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093chg","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093chg-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/hg/21198=zz00093chg/ark%2B=21198=zz00093chg.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Location: Los Angeles, California.|~|Performer: Yaakov Shechter|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Children's Rhymes, Street Songs, and Army Songs from Israel","Mishpakhat Katz (The Katz Family)","clym200203acwf_srf007-62_side1-05","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093chg%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093cj0","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093cj0-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/j0/21198=zz00093cj0/ark%2B=21198=zz00093cj0.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Location: Los Angeles, California.|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Performer: Yaakov Shechter|~|Children's Rhymes, Street Songs, and Army Songs from Israel","Hamfaked Natan Pkoodah (The Officer Gave An Order)","clym200203acwf_srf007-62_side1-06","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093cj0%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093ckh","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093ckh-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/kh/21198=zz00093ckh/ark%2B=21198=zz00093ckh.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Performer: Yaakov Shechter|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Children's Rhymes, Street Songs, and Army Songs from Israel|~|Location: Los Angeles, California.","Haavodah Kol Khayeynoo (Work Is All Our Life) & Khevrayah (Oh Fellows)","clym200203acwf_srf007-62_side1-07","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093ckh%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093cm1","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093cm1-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/m1/21198=zz00093cm1/ark%2B=21198=zz00093cm1.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Performer: Yaakov Shechter|~|Children's Rhymes, Street Songs, and Army Songs from Israel|~|Location: Los Angeles, California.","Mashiakh (The Massiah)","clym200203acwf_srf007-62_side1-08","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093cm1%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093cnj","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093cnj-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/nj/21198=zz00093cnj/ark%2B=21198=zz00093cnj.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Children's Rhymes, Street Songs, and Army Songs from Israel|~|Performer: Yaakov Shechter|~|Location: Los Angeles, California.|~|Title from tape: Yaakov Shechter * Israeli Folklore","Hagaviah Hoo Shelanoo (The Trophy Is Ours)","clym200203acwf_srf007-62_side1-09","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093cnj%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093cp2","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093cp2-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/p2/21198=zz00093cp2/ark%2B=21198=zz00093cp2.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Location: Los Angeles, California.|~|Children's Rhymes, Street Songs, and Army Songs from Israel|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Performer: Yaakov Shechter","Lo Lalimoodim (Not To Studies) & Hamoreh Letevah (The Biology Teacher) & Maoz Tzoor (Rock of Ages)","clym200203acwf_srf007-62_side1-10","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093cp2%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093cqk","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093cqk-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/qk/21198=zz00093cqk/ark%2B=21198=zz00093cqk.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Recorded by: Roberta Ann Shechter|~|Performer: Yaakov Shechter|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Location: Los Angeles, California.|~|Children's Rhymes, Street Songs, and Army Songs from Israel","Hoo Domeh (He Looks Like) & Kookiah (The Kuckoo Bird)","clym200203acwf_srf007-62_side1-11","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093cqk%2Faudiowaveform.dat"
"Ethnomusicology Archive: D. K. Wilgus Collection","ark:/21198/zz00093cr3","ark:/21198/zz00089bvf","2","Completed","Work","wilgus/audio/masters/21198-zz00093cr3-1-master.wav","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/09/3c/r3/21198=zz00093cr3/ark%2B=21198=zz00093cr3.mp4{}","copyrighted","","","","","","sound recording","","University of California, Los Angeles. Ethnomusicology Archive","","","","","Location: Los Angeles, California.|~|Title from tape: Yaakov Shechter * Israeli Folklore|~|Performer: Yaakov Shechter|~|Children's Rhymes, Street Songs, and Army Songs from Israel","(Take a look at this Mountain)","clym200203acwf_srf007-62_side1-12","1962","7 in.","sound tape reels : 7 1/2 ips, two track, mono.","Archive of California and Western Folklore","","","","","https://static.library.ucla.edu/ark%3A%2F21198%2Fzz00093cr3%2Faudiowaveform.dat"
