Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,AltTitle.uniform,Subject,Name.photographer,Name.architect,Name.repository,Name.creator,Relation.isPartOf,Alt ID.local,Date.creation,Format.medium,Format.dimensions,Title,Format.extent,Date.normalized,Description.latitude,Description.longitude,Description.note,Description.caption,Opac url,Coverage.geographic,Description.adminnote,Description.contents,Finding Aid URL,Description.abstract,Bucketeer State,IIIF Access URL
Lee (S. Charles) Papers,ark:/21198/zz000984t0,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000984t0-1-master.tif,10,still image,Floor plans|~|Architectural drawings,copyrighted,,,"Chapultepec Theatre (Mexico City, Mexico)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_of214_003|~|2140003,1943-44,pencil on paper,76 x 107 cm. (30 x 42 in.),"Chapultepec Theatre, mezzanine floor plan",1 drawing,1943/1944,19.4248912,-99.2092814,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000984t0
Lee (S. Charles) Papers,ark:/21198/zz000984vh,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000984vh-1-master.tif,11,still image,Colored pencil drawings|~|Architectural drawings,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",2160009,1931,pencil on paper,66 x 36 cm. (26 x 14 in.),"Fox Theatre, Long Beach, Art Deco detail [colored pencil]",1 drawing,1931,33.766917,-118.189101,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000984vh
Lee (S. Charles) Papers,ark:/21198/zz00099c50,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz00099c50-1-master.tif,12,still image,Colored pencil drawings|~|Architectural drawings,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",2160008|~|clus_1384_of216_008,1931,pencil on paper,59 x 36 cm. (23 x 14 in.),"Fox Theatre, Long Beach, Deco detail [colored pencil]",1 drawing,1931,33.766917,-118.189101,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00099c50
Lee (S. Charles) Papers,ark:/21198/zz00099c6h,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz00099c6h-1-master.tif,13,still image,Colored pencil drawings|~|Architectural drawings,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",2160007|~|clus_1384_of216_007,1931,pencil on paper,69 x 36 cm. (27 x 14 in.),"Fox Theatre, Long Beach, Deco detail [colored pencil]",1 drawing,1931,33.766917,-118.189101,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00099c6h
Lee (S. Charles) Papers,ark:/21198/zz00099ck6,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz00099ck6-1-master.tif,14,still image,Colored pencil drawings|~|Architectural drawings,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",2160013|~|clus_1384_of216_013,1931,pencil on paper,36 x 36 cm. (14 x 14 in.),"Fox Theatre, Long Beach, foyer elevation, newel post detail",1 drawing,1931,33.766917,-118.189101,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00099ck6
Lee (S. Charles) Papers,ark:/21198/zz00099cmq,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz00099cmq-1-master.tif,15,still image,Elevations|~|Architectural drawings,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",2160001|~|clus_1384_of216_001,1931,pencil on paper,28 x 28 cm. (11 x 11 in.),"Fox Theatre, Long Beach, interior elevation, auditorium",1 drawing,1931,33.766917,-118.189101,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00099cmq
Lee (S. Charles) Papers,ark:/21198/zz00099cn7,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz00099cn7-1-master.tif,16,still image,Elevations|~|Architectural drawings,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_of216_005|~|2160005,1931,pencil on paper,31 x 28 cm. (12 x 11 in.),"Fox Theatre, Long Beach, interior elevation, auditorium",1 drawing,1931,33.766917,-118.189101,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00099cn7
Lee (S. Charles) Papers,ark:/21198/zz00099cpr,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz00099cpr-1-master.tif,17,still image,Elevations|~|Architectural drawings,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_of216_004|~|2160004,1931,pencil on paper,31 x 25 cm. (12 x 10 in.),"Fox Theatre, Long Beach, interior elevation, auditorium",1 drawing,1931,33.766917,-118.189101,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00099cpr
Lee (S. Charles) Papers,ark:/21198/zz00099crs,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz00099crs-1-master.tif,18,still image,Elevations|~|Architectural drawings,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_of216_003|~|2160003,1931,pencil on paper,33 x 28 cm. (13 x 11 in.),"Fox Theatre, Long Beach, interior elevation, auditorium",1 drawing,1931,33.766917,-118.189101,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00099crs
Lee (S. Charles) Papers,ark:/21198/zz0009bmmj,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz0009bmmj-1-master.tif,19,still image,Elevations|~|Architectural drawings,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",2160002|~|clus_1384_of216_002,1931,pencil on paper,33 x 28 cm. (13 x 11 in.),"Fox Theatre, Long Beach, interior elevation, auditorium",1 drawing,1931,33.766917,-118.189101,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bmmj
Lee (S. Charles) Papers,ark:/21198/zz0009bnr3,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz0009bnr3-1-master.tif,21,still image,Architectural drawings,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",2160011|~|clus_1384_of216_011,1931,pencil on paper,33 x 33 cm. (13 x 13 in.),"Fox Theatre, Long Beach, main entry",1 drawing,1931,33.766917,-118.189101,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bnr3
Lee (S. Charles) Papers,ark:/21198/zz0009bnsm,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz0009bnsm-1-master.tif,22,still image,Elevations|~|Architectural drawings,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",2160010|~|clus_1384_of216_010,1931,pencil on paper,43 x 33 cm. (17 x 13 in.),"Fox Theatre, Long Beach, street elevation",1 drawing,1931,33.766917,-118.189101,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bnsm
Lee (S. Charles) Papers,ark:/21198/zz0009bnw5,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz0009bnw5-1-master.tif,23,still image,Elevations|~|Architectural drawings,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_of216_012|~|2160012,1931,pencil on paper,36 x 28 cm. (14 x 11 in.),"Fox Theatre, Long Beach, upper street elevation",1 drawing,1931,33.766917,-118.189101,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bnw5
Lee (S. Charles) Papers,ark:/21198/zz0009bnxp,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz0009bnxp-1-master.tif,24,still image,Architectural drawings,copyrighted,,,"Fox Theatre (Phoenix, Ariz.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",2190004|~|clus_1384_of219_004,1930-31,pencil on paper,48 x 33 cm. (19 x 13 in.),"Fox Theatre, Phoenix, auditorium exit, detail",1 drawing,1930/1931,33.4480696,-112.0725307,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bnxp
Lee (S. Charles) Papers,ark:/21198/zz0009bnz6,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz0009bnz6-1-master.tif,25,still image,Architectural drawings,copyrighted,,,"Fox Theatre (Phoenix, Ariz.)",motion picture theaters|~|Landmarks,,"University of California, Los Angeles. $b Library Special Collections","Lee, S. Charles, 1899-1990",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",2190007|~|clus_1384_of219_007,1930-31,pencil on paper,148 x 66 cm. (58 x 66 in.),"Fox Theatre, Phoenix, door design, full size",1 drawing,1930/1931,33.4480696,-112.0725307,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bnz6
Lee (S. Charles) Papers,ark:/21198/zz0009bppj,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz0009bppj-1-master.tif,26,still image,Architectural drawings,copyrighted,,,"Fox Theatre (Phoenix, Ariz.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_of219_003,1930-31,pencil on paper,48 x 43 cm. (19 x 17 in.),"Fox Theatre, Phoenix, pylon detail",1 drawing,1930/1931,33.4480696,-112.0725307,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bppj
Lee (S. Charles) Papers,ark:/21198/zz0009bpq2,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz0009bpq2-1-master.tif,27,still image,Architectural drawings,copyrighted,,,"Fox Theatre (Phoenix, Ariz.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_of219_002|~|2190002,1930-31,pencil on paper,66 x 54 cm. (26 x 21 in.),"Fox Theatre, Phoenix, revised detail of pylons",1 drawing,1930/1931,33.4480696,-112.0725307,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bpq2
Lee (S. Charles) Papers,ark:/21198/zz0009bprk,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz0009bprk-1-master.tif,28,still image,Architectural drawings,copyrighted,,,"Fox Theatre (Phoenix, Ariz.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",2190008|~|clus_1384_of219_008,1930-31,pencil on paper,94 x 54 cm. (37 x 21 in.),"Fox Theatre, Phoenix, theatre on stage",1 drawing,1930/1931,33.4480696,-112.0725398,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bprk
Lee (S. Charles) Papers,ark:/21198/zz0009bps3,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz0009bps3-1-master.tif,29,still image,Architectural drawings,copyrighted,,,"Max Factor Building (Hollywood, Calif.)",Office buildings|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",1900005|~|clus_1384_of190_005,1935,pencil on paper,66 x 36 cm. (26 x 14 in.),"Max Factor Building,  desk, cabinet & chairs, Office No. 40, detail of phone box",1 drawing,1935,34.1010471,-118.3386842,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bps3
Lee (S. Charles) Papers,ark:/21198/zz0009bvdt,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz0009bvdt-1-master.tif,30,still image,Architectural drawings,copyrighted,,,"Max Factor Building (Hollywood, Calif.)",Office buildings|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",288002|~|clus_1384_of288_002,1935,pencil on paper,66 x 117 cm. (26 x 46 in.),"Max Factor Building, design for marble base and entrance doors.  detail of motifs",1 drawing,1935,34.1010471,-118.3386842,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bvdt
Lee (S. Charles) Papers,ark:/21198/zz0009bvfb,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz0009bvfb-1-master.tif,31,still image,Elevations|~|Architectural drawings,copyrighted,,,"Max Factor Building (Hollywood, Calif.)",Office buildings|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_of288_005|~|288005,1935,pencil on paper,112 x 64 cm. (44 x 25 in.),"Max Factor Building, elevations of sales room, reception, entrance doors and circular case",1 drawing,1935,34.1010471,-118.3386842,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bvfb
Lee (S. Charles) Papers,ark:/21198/zz0009c1dp,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz0009c1dp-1-master.tif,39,still image,Architectural drawings,copyrighted,,,"Fox Wilshire Theatre (Beverly Hills, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_of221_0011|~|2210011,1928-30,pencil on paper,66 x 53 cm. (26 x 21 in.),"Fox Wilshire, Beverly Hills, pencil and crayon study of tower",1 drawing,1928/1930,34.064795,-118.375259,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009c1dp
Lee (S. Charles) Papers,ark:/21198/zz0009f928,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz0009f928-1-master.tif,40,still image,Architectural drawings,copyrighted,,,"Fox Wilshire Theatre (Beverly Hills, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_of221_0010|~|2210010,1928-30,pencil on paper,71 x 69 cm. (28 x 27 in.),"Fox Wilshire, Beverly Hills, pencil and crayon study of tower",1 drawing,1928/1930,34.064795,-118.375259,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009f928
Lee (S. Charles) Papers,ark:/21198/zz0009f9mj,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz0009f9mj-1-master.tif,41,still image,Architectural drawings,copyrighted,,,"Fox Wilshire Theatre (Beverly Hills, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_of221_0009|~|2210009,1928-30,pencil on paper,74 x 74 cm. (29 x 29 in.),"Fox Wilshire, Beverly Hills, pencil and crayon study of tower",1 drawing,1928/1930,34.064795,-118.375259,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009f9mj
