"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Name.subject","Name.photographer","Name.creator","Relation.isPartOf","Name.repository","Type.genre","Rights.copyrightStatus","Type.typeOfResource","Rights.publicationStatus","Rights.countryCreation","Rights.rightsHolderContact","Subject","Alt ID.local","Title","Date.creation","Format.dimensions","Format.extent","Description.caption","Format.medium","Alt ID.issueNo","Alt ID.url","Date.normalized","Description.note","AltTitle.other","Bucketeer State","IIIF Access URL"
"Watkins (Carleton) Collection of Photographs.  Collection 599","ark:/21198/zz0008c53j","ark:/21198/zz0008c1zj","2","Completed","Work","Masters/dlmasters/watkins/masters/21198-zz0008c53j-1-master.tif","10","","","Mission San Juan Capistrano","Watkins, Carleton E., 1829-1916","","Carleton Watkins Collection of Photographs. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Mammoth plates|~|Albumen prints","unknown","still image","unknown","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Catholic church--missions--photographs","clus_0599_MissionSanJuanCapistrano_SCW27|~|SCW27","Mission, San Juan Capistrano.  No. 1211. WATKINS' New Series. [negative copy]","circa 1882","Plate Dimensions: 37 × 54 cm.|~|Matted Dimensions: 50 x 65 cm.","1 negative","No. 1211. WATKINS' New Series. 26 New Montgomery Street, San Francisco.|~|Mission, San Juan Capistrano. Los Angeles County, California.  Established Nov. 1st, 1776.  View from the West.","b&w negative","Watkins' New Series No. 1211","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008c53j"
"Watkins (Carleton) Collection of Photographs.  Collection 599","ark:/21198/zz0008c542","ark:/21198/zz0008c1zj","2","Completed","Work","Masters/dlmasters/watkins/masters/21198-zz0008c542-1-master.tif","11","","","Mission San Gabriel Arcangel (San Gabriel, Calif.)","Watkins, Carleton E., 1829-1916","","Carleton Watkins Collection of Photographs. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Mammoth plates|~|Albumen prints","unknown","still image","unknown","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Catholic church--missions--photographs","SCW28|~|clus_0599_MissionSanGabriel_SCW28","Mission, San Gabriel.  No. 1212. WATKINS' New Series. [negative copy]","circa 1882","Plate Dimensions: 37 x 54 cm.|~|Matted Dimensions: 50 x 65 cm.","1 negative","Mission, San Gabriel. Los Angeles County, California, Established September 8th, 1771.|~|No. 1212. WATKINS' New Series. 26 New Montgomery Street, San Francisco.","b&w negative","Watkins' New Series No. 1212","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008c542"
"Watkins (Carleton) Collection of Photographs.  Collection 599","ark:/21198/zz0008c55k","ark:/21198/zz0008c1zj","2","Completed","Work","Masters/dlmasters/watkins/masters/21198-zz0008c55k-1-master.tif","12","","","Mission San Gabriel Arcangel (San Gabriel, Calif.)","Watkins, Carleton E., 1829-1916","","Carleton Watkins Collection of Photographs. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Mammoth plates|~|Albumen prints","unknown","still image","unknown","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Catholic church--missions--photographs","SCW29|~|clus_0599_MissionSanGabriel_SCW29","Mission, San Gabriel.  No. 1213. WATKINS' New Series. [negative copy]","circa 1882","Plate Dimensions: 37 x 54 cm.|~|Matted Dimensions: 50 x 65 cm.","1 negative","Mission, San Gabriel. Los Angeles County, California, Established September 8th, 1771.  From residence of Mr. Howard, with Date Palm.|~|No. 1213. WATKINS' New Series. 26 New Montgomery Street, San Francisco.","b&w negative","Watkins' New Series No. 1213","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008c55k"
"Watkins (Carleton) Collection of Photographs.  Collection 599","ark:/21198/zz0008c563","ark:/21198/zz0008c1zj","2","Completed","Work","Masters/dlmasters/watkins/masters/21198-zz0008c563-1-master.tif","13","","","San Fernando, Rey de España (Mission : San Fernando, Calif.)","Watkins, Carleton E., 1829-1916","","Carleton Watkins Collection of Photographs. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Mammoth plates|~|Albumen prints","unknown","still image","unknown","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Catholic church--missions--photographs","SCW30|~|clus_0599_Mission, SanFernandoRey_SCW30","Mission, San Fernando Rey. No. 1214. WATKINS' New Series. [negative copy]","circa 1882","Plate Dimensions: 38 × 54 cm.|~|Matted Dimensions: 50 x 65 cm.","1 negative","Mission, San Fernando Rey. Los Angeles County, California.  Established Sept. 8th, 1797.|~|No. 1214. WATKINS' New Series. 26 New Montgomery Street, San Francisco.","b&w negative","Watkins' New Series No. 1214","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008c563"
"Watkins (Carleton) Collection of Photographs.  Collection 599","ark:/21198/zz0008c57m","ark:/21198/zz0008c1zj","2","Completed","Work","Masters/dlmasters/watkins/masters/21198-zz0008c57m-1-master.tif","14","","","San Fernando, Rey de España (Mission : San Fernando, Calif.)","Watkins, Carleton E., 1829-1916","","Carleton Watkins Collection of Photographs. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Mammoth plates|~|Albumen prints","unknown","still image","unknown","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Catholic church--missions--photographs","clus_0599_Mission, SanFernandoRey_SCW31|~|SCW31","Mission, San Fernando Rey. No. 1215. WATKINS' New Series. [negative copy]","circa 1882","Plate Dimensions: 38 × 54 cm.|~|Matted Dimensions: 50 x 65 cm.","1 negative","No. 1215. WATKINS' New Series. 26 New Montgomery Street, San Francisco.|~|Mission, San Fernando Rey. Los Angeles County, California.  Established Sept. 8th, 1797.","b&w negative","Watkins' New Series No. 1215","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008c57m"
"Watkins (Carleton) Collection of Photographs.  Collection 599","ark:/21198/zz0008c584","ark:/21198/zz0008c1zj","2","Completed","Work","Masters/dlmasters/watkins/masters/21198-zz0008c584-1-master.tif","15","","","San Fernando, Rey de España (Mission : San Fernando, Calif.)","Watkins, Carleton E., 1829-1916","","Carleton Watkins Collection of Photographs. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Mammoth plates|~|Albumen prints","unknown","still image","unknown","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Catholic church--missions--photographs","SCW32|~|clus_0599_Mission, SanFernandoRey_SCW32","Mission, San Fernando Rey. No. 1216. WATKINS' New Series. [negative copy]","circa 1882","Plate Dimensions: 38 × 54 cm.|~|Matted Dimensions: 50 x 65 cm.","1 negative","Mission, San Fernando Rey. Los Angeles County, California.  Established Sept. 8th, 1797.  General View from the East.|~|No. 1216. WATKINS' New Series. 26 New Montgomery Street, San Francisco.","b&w negative","Watkins' New Series No. 1216","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008c584"
"Watkins (Carleton) Collection of Photographs.  Collection 599","ark:/21198/zz0008c59n","ark:/21198/zz0008c1zj","2","Completed","Work","Masters/dlmasters/watkins/masters/21198-zz0008c59n-1-master.tif","16","","","San Buenaventura Mission","Watkins, Carleton E., 1829-1916","","Carleton Watkins Collection of Photographs. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Mammoth plates|~|Albumen prints","unknown","still image","unknown","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Catholic church--missions--photographs","SCW33|~|clus_0599_MissionSanBuenaventura_SCW33","Mission, San Buenaventura.  No. 1217. WATKINS' New Series. [negative copy]","circa 1882","Plate Dimensions: 38 × 54 cm.|~|Matted Dimensions: 50 x 65 cm.","1 negative","Mission, San Buenaventura. Ventura County, California, Established March 31st, 1782.|~|No. 1217. WATKINS' New Series. 26 New Montgomery Street, San Francisco.","b&w negative","Watkins' New Series No. 1217","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008c59n"
"Watkins (Carleton) Collection of Photographs.  Collection 599","ark:/21198/zz0008c5b5","ark:/21198/zz0008c1zj","2","Completed","Work","Masters/dlmasters/watkins/masters/21198-zz0008c5b5-1-master.tif","17","","","San Buenaventura Mission","Watkins, Carleton E., 1829-1916","","Carleton Watkins Collection of Photographs. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Mammoth plates|~|Albumen prints","unknown","still image","unknown","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Catholic church--missions--photographs","clus_0599_MissionSanBuenaventura_SCW34|~|Watkins' New Series No. 1218|~|SCW34","Mission, San Buenaventura.  No. 1218. WATKINS' New Series. [negative copy]","circa 1882","Matted Dimensions: 50 x 65 cm.|~|Plate Dimensions: 38 × 54 cm.","1 negative","Mission, San Buenaventura. Ventura County, California, Established March 31st, 1782.  View from the West.|~|No. 1218. WATKINS' New Series. 26 New Montgomery Street, San Francisco.","b&w negative","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008c5b5"
"Watkins (Carleton) Collection of Photographs.  Collection 599","ark:/21198/zz0008c5cp","ark:/21198/zz0008c1zj","2","Completed","Work","Masters/dlmasters/watkins/masters/21198-zz0008c5cp-1-master.tif","18","","","San Buenaventura Mission","Watkins, Carleton E., 1829-1916","","Carleton Watkins Collection of Photographs. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Mammoth plates|~|Albumen prints","unknown","still image","unknown","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Catholic church--missions--photographs","clus_0599_MissionSanBuenaventura_SCW35|~|SCW35","Mission, San Buenaventura.  No. 1219. WATKINS' New Series. [negative copy]","circa 1882","Matted Dimensions: 50 x 65 cm.|~|Plate Dimensions: 38 × 54 cm.","1 negative","No. 1219. WATKINS' New Series. 26 New Montgomery Street, San Francisco.|~|Mission, San Buenaventura. Ventura County, California, Established March 31st, 1782.  View from the rear.","b&w negative","Watkins' New Series No. 1219","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008c5cp"
"Watkins (Carleton) Collection of Photographs.  Collection 599","ark:/21198/zz0008c5d6","ark:/21198/zz0008c1zj","2","Completed","Work","Masters/dlmasters/watkins/masters/21198-zz0008c5d6-1-master.tif","19","","","Santa Barbara Mission","Watkins, Carleton E., 1829-1916","","Carleton Watkins Collection of Photographs. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Mammoth plates|~|Albumen prints","unknown","still image","unknown","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Catholic church--missions--photographs","SCW36|~|clus_0599_MissionSantaBarbara_SCW36","Mission, Santa Barbara. No. 1220.  WATKINS' New Series. [negative copy]","circa 1882","Plate Dimensions: 38 × 54 cm.|~|Matted Dimensions: 50 x 65 cm.","1 negative","Mission, Santa Barbara.  Santa Barbara County, California, Established December 4, 1786.|~|No. 1220. WATKINS' New Series. 26 New Montgomery Street, San Francisco.","b&w negative","Watkins' New Series No. 1220","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008c5d6"
"Watkins (Carleton) Collection of Photographs.  Collection 599","ark:/21198/zz0008c5fq","ark:/21198/zz0008c1zj","2","Completed","Work","Masters/dlmasters/watkins/masters/21198-zz0008c5fq-1-master.tif","20","","","Santa Barbara Mission","Watkins, Carleton E., 1829-1916","","Carleton Watkins Collection of Photographs. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Mammoth plates|~|Albumen prints","unknown","still image","unknown","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Catholic church--missions--photographs","SCW37|~|clus_0599_MissionSantaBarbara_SCW37","Mission, Santa Barbara. No. 1221.  WATKINS' New Series. [negative copy]","circa 1882","Plate Dimensions: 38 × 54 cm.|~|Matted Dimensions: 50 x 65 cm.","1 negative","No. 1221. WATKINS' New Series. 26 New Montgomery Street, San Francisco.|~|Mission, Santa Barbara.  Santa Barbara County, California, Established December 4, 1786.","b&w negative","Watkins' New Series No. 1221","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008c5fq"
"Watkins (Carleton) Collection of Photographs.  Collection 599","ark:/21198/zz0008c5g7","ark:/21198/zz0008c1zj","2","Completed","Work","Masters/dlmasters/watkins/masters/21198-zz0008c5g7-1-master.tif","21","","","Santa Barbara Mission","Watkins, Carleton E., 1829-1916","","Carleton Watkins Collection of Photographs. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Mammoth plates|~|Albumen prints","unknown","still image","unknown","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Catholic church--missions--photographs","clus_0599_MissionSantaBarbara_SCW38|~|SCW38","Mission, Santa Barbara. No. 1222.  WATKINS' New Series. [negative copy]","circa 1882","Plate Dimensions: 38 × 54 cm.|~|Matted Dimensions: 50 x 65 cm.","1 negative","No. 1222. WATKINS' New Series. 26 New Montgomery Street, San Francisco.|~|Mission, Santa Barbara.  Santa Barbara County, California, Established December 4, 1786.  View from olive orchard, looking North.","b&w negative","Watkins' New Series No. 1222","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008c5g7"
