Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Coverage.geographic,Name.producer,Name.publisher,Subject,Rights.servicesContact,Language,Type.genre,Name.repository,Name.surveyor,Name.cartographer,Name.subject,Name.sponsor,Name.compiler,Name.lithographer,Name.artist,Format.dimensions,AltIdentifier.local,Title,AltIdentifier.oclc,Date,Format.extent,Description.note,AltIdentifier.callNo,Relation.isPartOf,Publisher.placeOfOrigin,Publisher.publisherName,AltTitle.caption,AltTitle.translated,AltTitle.other,AltIdentifier.collection,Description.abstract
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096dtz,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096dtz-1-master.tif,,,,still image|~|still image|~|cartographic|~|cartographic,pd|~|pd,,Los Angeles Metropolitan Area (Calif.)--Maps|~|Los Angeles Metropolitan Area (Calif.)--Maps,,,Roads--California--Los Angeles Metropolitan Area--Maps|~|Roads--California--Los Angeles Metropolitan Area--Maps,,eng|~|eng,maps|~|maps,"University of California, Los Angeles. $b Library Special Collections|~|University of California, Los Angeles. $b Library Special Collections",,Clason Map Company|~|Clason Map Company,,,,,,67.5 x 47 cm. on sheet 71 x 56 cm. folded to 18 x 10 cm.|~|67.5 x 47 cm. on sheet 71 x 56 cm. folded to 18 x 10 cm.,clusc_1_1_00017259a|~|uclamss_294_b21_1-back|~|clusc_1_1_00017260a|~|uclamss_294_b21_1-front|~|clusc_1_1_00017259a|~|uclamss_294_b21_1-back|~|clusc_1_1_00017260a|~|uclamss_294_b21_1-front,Map of the city of Los Angeles|~|Map of the city of Los Angeles,,1918|~|1918,1 map|~|1 map,"scale: 1:63,360 9 1 in. to 1 mile)|~|""Shows all good roads in Southern California""|~|Digitization took place as part of the California Cultures Project.|~|""Red lines indicate best automobile thoroughtfares. Numbers indicate boulevard outlets--key in margin""|~|Relief shown by spot heights.  Includes: a list of the principal office buildings in Los Angeles and street index;  two ancillary maps on verso: 1)""Los Angeles Harbor and the shoestring"" 2)""The complete city of Los Angeles""|~|scale: 1:63,360 9 1 in. to 1 mile)|~|""Shows all good roads in Southern California""|~|Digitization took place as part of the California Cultures Project.|~|""Red lines indicate best automobile thoroughtfares. Numbers indicate boulevard outlets--key in margin""|~|Relief shown by spot heights.  Includes: a list of the principal office buildings in Los Angeles and street index;  two ancillary maps on verso: 1)""Los Angeles Harbor and the shoestring"" 2)""The complete city of Los Angeles""",G4364 L875 1918a|~|G4364 L875 1918a,http://calcultures.cdlib.org|~|http://calcultures.cdlib.org,"Los Angeles, Calif.|~|Los Angeles, Calif.","Security Trust & Savings Bank (Los Angeles, Calif.)|~|Security Trust & Savings Bank (Los Angeles, Calif.)",,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096dvg,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096dvg-1-master.tif,,,,still image|~|cartographic,pd,,"Little Plaza (Los Angeles, Calif.)",,,Plazas--California--Los Angeles--Maps,,eng,plats (maps),"University of California, Los Angeles. $b Library Special Collections","Waldemar, Adolphus F.",,,,,,,43.5 x 55 cm.,clusc_1_1_00017227a|~|uclamss_294_b13_1,"Plaza in Los Angeles City, Calif.",,"December 1, 1856",1 map : manuscript,"""I certify this to be a correct plat of a survey executed by me in conformity with instructions of Dr. Ignacio Del Valle, Los Angeles, Dic. 1st, 1856. [signed] Adolphus F. Waldemar, Dep. Co. Sur., Los Angeles Co., Cal.""|~|Digitization took place as part of the California Cultures Project.|~|""Surveyed Aug. 16th, Sept. 12 and Dec. 1st, 1856 by A.F. Waldimar, D.C.S.""|~|scale: 1:40",G4364 L875 1856,http://calcultures.cdlib.org,"Los Angeles, Calif.",,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096dw0,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096dw0-1-master.tif,,,,still image|~|cartographic,unknown,,San Luis Obispo County (Calif.)--Maps,,,Real property--California--San Luis Obispo County--Maps,,eng,cadastral maps,"University of California, Los Angeles. $b Library Special Collections",,West Coast Land Company,,,,,,102 x 66.3 cm. on sheet 107 x 71.5 cm.,clusc_1_1_00017261a|~|uclamss_294_b100_1,"Map of the subdivision of the Rancho Santa Ysabel and adjacent lands, San Luis Obispo Co., California",,1887,1 map : paper mounted on cloth,Property lines overprinted in red.|~|Indicates the following adjacent properties and locales: Rancho Asuncion to the south the town of Templeton to the southwest Rancho Paso de Robles to the west.|~|Relief shown by hachures.|~|scale: 1:264 [as given: 20 in.= 1 mi.]|~|Digitization took place as part of the California Cultures Project.,G4363 S18,http://calcultures.cdlib.org,San Luis Obispo (?),,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096dxh,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096dxh-1-master.tif,,,,still image|~|cartographic,pd,,"California, Southern--Maps",,,Real property--California--Rancho Sausal Redondo--Maps|~|Real property--California--Rancho Centinela--Maps,,eng,cadastral maps,"University of California, Los Angeles. $b Library Special Collections",,"Solano, Alfred",,,,"Baker, Geo. H. (George Holbrook), 1827-1906",,52 x 74 cm. on sheet 61 x 89 cm.,clusc_1_1_00017398a|~|uclamss_294_b105_4,Map of the Ranchos Centinela and Sausal Redondo,,1875,2 maps on 1 sheet,"""Comprising 25,000 acres. The 40 acre tracts are square of 1320x1320 f. The 5 acre lots are 330x660 feet. The block of town lots are 270x620 feet. The two centre streets are 100 feet and all other streets are 80 feet wide. 40 acres reserved for College & Farm School""|~|scale: 1 in. to 40 chains|~|Relief shown by hachures.  Inset map on right hand side of sheet: ""Map of a portion of Southern California showing the location of the Centinela Colony and vicinity""|~|First auction sale - Monday Feby. 15, 1875. Sale to take place on the Rancho.|~|Digitization took place as part of the California Cultures Project.",G4364 E49 1875,http://calcultures.cdlib.org,"San Francisco, Calif.",,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096f01,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096f01-1-master.tif,,,,still image|~|cartographic,pd,,California--Maps--Early works to 1800|~|Mexico--Maps--Early works to 1800,,,,,fre,maps,"University of California, Los Angeles. $b Library Special Collections",,"Fer, Nicolas de, 1646-1720",,,,,,45.5 x 64.5 cm. on sheet 54.5 x 76 cm.,clusc_1_1_00017254a|~|uclamss_294_b66_1,"La Californie ou Nouvelle Caroline : teatro do los trabajos, Apostolicos de la Compa. e Jesus en la America Septe.",,circa 1720,1 map : hand col.,"Relief shown pictorially.  California is shown as an island.|~|Digitization took place as part of the California Cultures Project.|~|scale: 1:6,500,000",,http://calcultures.cdlib.org,"Paris, France",,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096f22,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096f22-1-master.tif,,,,still image|~|cartographic,pd,,California--Maps,,,Railroads--California--Maps,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,,,,,Britton & Co.,,58.5 x 60.5 cm. on sheet 63 x 71 cm.,clusc_1_1_00017394a|~|uclamss_294_b87_1,Map of Central California from 37th to 40th deg. north lat. : showing various railroad routes projected or in progress together with a practicable route to enter the state with a Pacific railroad,,1860,1 map,"Relief shown by hachures and spot heights.|~|""Compiled from government & other reliable sources to accompany the report of D.B. Scott, Chief Engineer of the San Francsico & Marysville Railroad""|~|Covers area from Santa Cruz, Santa Clara and Merced counties to the south through Tehama and Plumas counties in the north.|~|Digitization took place as part of the California Cultures Project.|~|scale: 1:570,240",G4362 C39 1860,http://calcultures.cdlib.org,,San Francisco & Marysville Railroad,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096f3k,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096f3k-1-master.tif,,,,still image|~|cartographic,pd,,"San Francisco (Calif.)--Buildings, structures, etc.--Maps",,,Buildings--California--San Francisco--Repair and reconstruction--Maps|~|Earthquakes $z California $z San Francisco $v Maps|~|Building--California--San Francisco--Maps|~|Fires--California--San Francisco--Maps,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,Punnett Brothers,,,,,,56 x 74 cm. on sheet 60 x 78 cm.,clusc_1_1_00017397a|~|uclamss_294_b71_3,"Map of part of San Francisco, California, April 18, 1908 : showing buildings constructed and buildings under construction during two years after fire of April 18, 1906",,"April 18, 1908",1 map : col.,"Oriented with north toward the lower right.  Caption at top of map: ""Two years after""  Also lists types, numbers and values of building permits issued thus far.|~|Inset: ""Map of San Francisco showing relative size and position of burned area""|~|scale: 1:8,650|~|Digitization took place as part of the California Cultures Project.|~|""Area burned - four square miles. Total area of city - forty square miles. The 497 blocks within the area bordered by red line were destroyed. Markings in black show new construction""",G4364 S216 1908,http://calcultures.cdlib.org,"San Francisco, Calif.",California Promotion Commitee,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096f64,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096f64-1-master.tif,,,,still image|~|still image|~|cartographic|~|cartographic,pd|~|pd,,Glendale Region (Calif.)--Description and travel--Maps|~|Glendale Region (Calif.)--Description and travel--Maps|~|Glendale Region (Calif.)--Aerial views|~|Glendale Region (Calif.)--Aerial views,,,Real property--California--Los Angeles County--Maps|~|Real property--California--Los Angeles County--Maps,,eng|~|eng,bird's-eye views|~|bird's-eye views,"University of California, Los Angeles. $b Library Special Collections|~|University of California, Los Angeles. $b Library Special Collections",,"Haynes, E. G.|~|Haynes, E. G.",,,,,,24.5 x 53 cm. on sheet 26 x 66 cm. folded to 26 x 10.7 cm.|~|24.5 x 53 cm. on sheet 26 x 66 cm. folded to 26 x 10.7 cm.,clusc_1_1_00017225a|~|uclamss_294_b105_3-front|~|uclamss_294_b105_3-back|~|clusc_1_1_00017226a|~|clusc_1_1_00017225a|~|uclamss_294_b105_3-front|~|uclamss_294_b105_3-back|~|clusc_1_1_00017226a,"Birdseye view of Casa Verdugo Villa tract, a sub-division of a portion of the old Rancho San Rafael|~|Birdseye view of Casa Verdugo Villa tract, a sub-division of a portion of the old Rancho San Rafael",233729244|~|233729244,circa 1906|~|circa 1906,1 view|~|1 view,"Relief shown pictorially. Verso has map of the Casa-Verdugo-Villa tract as well as photographs and publisher's real estate promotional information.|~|Digitization took place as part of the California Cultures Project.|~|""Showing the inter-urban railway route from Huntington Building Los Angeles, to Casa Verdugo""|~|Relief shown pictorially.|~|Panel left of view: ""The scenic trolley route, how to get there""|~|Relief shown pictorially. Verso has map of the Casa-Verdugo-Villa tract as well as photographs and publisher's real estate promotional information.|~|Digitization took place as part of the California Cultures Project.|~|""Showing the inter-urban railway route from Huntington Building Los Angeles, to Casa Verdugo""|~|Relief shown pictorially.|~|Panel left of view: ""The scenic trolley route, how to get there""",G4364 G55 1906|~|G4364 G55 1906,http://calcultures.cdlib.org|~|http://calcultures.cdlib.org,,San Rafael Investment Company|~|San Rafael Investment Company,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096f7n,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096f7n-1-master.tif,,,,still image|~|cartographic,pd,,Agua Caliente Indian Reservation (Calif.)--Maps,,,Irrigation--California--Agua Caliente Indian Reservation--Maps,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,,,,,,,50 x 71 cm. on sheet 54 x 76 cm.,clusc_1_1_00017399a|~|uclamss_294_b99_3,"Map of a portion of the Agua Caliente Indian Reservation, Riverside County, California",,1919,1 map,"Relief shown by hachures.  Irrigation pipelines are marked.|~|scale: 1:12,000|~|""Drawn by I.F.W.""|~|Digitization took place as part of the California Cultures Project.|~|Inset: ""Map of Agua Caliente Indian Reservation""",G4363 R6 1919,http://calcultures.cdlib.org,"[Washington, D.C.]",United States. Office of Indian Affairs. Irrigation Division,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096f85,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096f85-1-master.tif,,,,still image|~|cartographic,pd,,,,,Railroads--United States--Maps,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,,,,,M. Schmidt & Co.,,23.5 x 68.5 on sheet 54 x 74 cm.,clusc_1_1_00017391a|~|uclamss_294_b50_1,Railway map of the Weekly Call,,1880,1 map : col.,"Relief shown by hachures.|~|""This map and the elegantly printed map of California & Nevada will be sent free to every yearly subscriber to the Weekly Call""|~|""Showing existing and proposed roads, table of distances and time. And ocean routes to foreign coast ports. Round the world trips, etc.""|~|Digitization took place as part of the California Cultures Project.",G3690 P3 1880,http://calcultures.cdlib.org,"San Francisco, Calif.",San Francisco Call Company,,,,,
