Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Type.genre,Name.photographer,Type.typeOfResource,AltIdentifier.local,Title,Subject,Name.subject,Description.note,Summary,Date.creation,Coverage.geographic,Description.latitude,Description.longitude,Relation.isPartOf,Format.extent,AltTitle.other,Name.repository,Rights.servicesContact,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Borcherdt (Donn) Collection,ark:/21198/zz002jvcn2,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvcn2_2367138_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams025.tif|~|DB-025,"Chile (Curicó) - Fundo Curicó, children standing in dirt lane, between 1966-1967",Children--Chile--Curicó|~|Dirt roads--Chile--Curicó,,,,between 1966-1967,Curicó (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvcn2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvcn2/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvcq3,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvcq3_2367006_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams015.tif|~|DB-015,"Chile (Tapique) - Rock formation, between 1966-1967",Rock formations--Chile--Tapique|~|Cliffs--Chile--Tapique,,Close-up view of sloped cliffs.,,between 1966-1967,Tapique (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvcq3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvcq3/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvcrm,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvcrm_2367234_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams040.tif|~|DB-040,"Chile (Farellones) - People, between 1966-1967",Picnics--Chile--Farellones|~|Children--Chile--Farellones|~|Snow--Chile--Farellones,,"Two men, a woman and a child on the day of a picnic shared with Donn Borcherdt near the village of Farellones, with snow on the ground.",,between 1966-1967,Farellones (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvcrm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvcrm/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvcs4,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvcs4_2367159_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams031.tif|~|DB-031,"Chile (Curicó) - Fundo Curicó, outdoors view of house, between 1966-1967",Dwellings--Chile--Curicó,,,,between 1966-1967,Curicó (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvcs4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvcs4/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvcv5,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvcv5_2367009_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams016.tif,"Chile (Tapique) - Children, between 1966-1967",Boys--Chile--Tapique|~|Girls--Chile--Tapique,,Five boys seated on a stone wall in front of a building. Two girls are visible beyond at the entrance to the building.,,between 1966-1967,Tapique (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvcv5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvcv5/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvcwp,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvcwp_2366970_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,DB-003|~|cleth_196601_ams003.tif,"United States - Plants, 1960-1968",Flowers,,Flowering plants in a garden.,,1960-1968,United States,,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvcwp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvcwp/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvcx6,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvcx6_2367153_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams029.tif|~|DB-029,"Chile (Curicó) - Fundo Curicó, horses outside buildings, between 1966-1967",Horses--Chile--Curicó,,Horses at a hitching post.,,between 1966-1967,Curicó (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvcx6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvcx6/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvd0q,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvd0q_2367228_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams039.tif|~|DB-039,"Chile (Farellones), between 1966-1967",Mountains--Chile--Farellones,,Mountain view and buildings near the Farellones village.,,between 1966-1967,Farellones (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvd0q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvd0q/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvd17,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvd17_2366973_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams004.tif|~|DB-004,"Mexico (Tijuana?) - Hillside, between 1960-1964",Dwellings--Mexico--Tijuana|~|Hills--Mexico--Tijuana,,Hill with a house at the top.,,between 1960-1964,"Tijuana (Baja California, Mexico)",,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvd17,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvd17/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvd2r,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvd2r_2367243_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams043.tif|~|DB-043,"Chile (Farellones) - Woman and child in mountains, between 1966-1967",Picnics--Chile--Farellones|~|Snow--Chile--Farellones,,"A woman and a child on the day of a picnic with Donn Borcherdt near the village of Farellones, with high mountains behind them. .",,between 1966-1967,Farellones (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvd2r,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvd2r/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvd38,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvd38_2367166_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams033.tif|~|DB-033,"Chile (Curicó) - Fundo Curicó, dirt road with buildings, between 1966-1967",Dirt roads--Chile--Curicó,,Dirt road with trees on the right and buildings on the left.,,between 1966-1967,Curicó (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvd38,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvd38/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvd4s,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvd4s_2367162_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams032.tif|~|DB-032,"Chile (Curicó) - Fundo Curicó, horse pulling plow with man, between 1966-1967",Horses--Chile--Curicó|~|Farmers--Chile--Curicó,,"Farmer guiding a plow, pulled by a horse.",,between 1966-1967,Curicó (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvd4s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvd4s/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvd59,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvd59_2366976_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams005.tif|~|DB-005,"Mexico (Tijuana?) - Hillside with roadway, between 1960-1964",Hills--Mexico--Tijuana|~|Roads--Tijuana,,,,between 1960-1964,"Tijuana (Baja California, Mexico)",,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvd59,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvd59/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvd6t,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvd6t_2367171_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams034.tif|~|DB-034,"Chile (Curicó) - Fundo Curicó, pond, between 1966-1967",Lakes & ponds--Chile--Curicó,,,,between 1966-1967,Curicó (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvd6t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvd6t/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvd7b,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvd7b_2367249_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams045.tif|~|DB-045,"Chile (Farellones) - People on mountain, between 1966-1967",Picnics--Chile--Farellones|~|Snow--Chile--Farellones,,"A woman and two men on the day of a picnic with Donn Borcherdt near the village of Farellones, with snow on the ground.",,between 1966-1967,Farellones (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvd7b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvd7b/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvd8v,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvd8v_2367174_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams035.tif|~|DB-035,"Chile (Curicó) - Fundo Curicó, field with perimeter fence, between 1966-1967",Fences--Chile--Curicó,,View of a field beyond a branch and wire fence.,,between 1966-1967,Curicó (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvd8v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvd8v/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvd9c,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvd9c_2366979_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams006.tif|~|DB-006,"Mexico (Tijuana?) - Hillside, between 1960-1964",Hills--Mexico--Tijuana,,,,between 1960-1964,"Tijuana (Baja California, Mexico)",,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvd9c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvd9c/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvdbw,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvdbw_2367177_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,DB-036|~|cleth_196601_ams036.tif,"Chile (Curicó) - Fundo Curicó, lane with gate, between 1966-1967",Dirt roads--Chile--Curicó|~|Gates--Chile--Curicó,,,,between 1966-1967,Curicó (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvdbw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvdbw/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvdcd,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvdcd_2367024_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams021.tif|~|DB-021,"Chile (Tapique) - Blossoming tree, between 1966-1967",Trees--Chile--Tapique,,Blossoming tree in an Orchard.,,between 1966-1967,Tapique (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvdcd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvdcd/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvddx,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvddx_2367222_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,DB-037|~|cleth_196601_ams037.tif,"Chile (Farellones) - Man and child, between 1966-1967",Picnics--Chile--Farellones|~|Children--Chile--Farellones,,A man and a child on the day of a picnic shared with Donn Borcherdt near the village of Farellones.,,between 1966-1967,Farellones (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvddx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvddx/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvdff,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvdff_2366982_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams007.tif|~|DB-007,"Chile (Tapique) - Catholic ceremony, between 1966-1967",Religious services--Chile--Tapique,,People attending an outdoor religious service officiated by a priest on the porch of a tile-roofed building.,,between 1966-1967,Tapique (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvdff,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvdff/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvdgz,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvdgz_2367225_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams038.tif|~|DB-038,"Chile (Farellones), between 1966-1967",Mountains--Chile--Farellones|~|Snow--Chile--Farellones,,Mountain view with snow near the Farellones village.,,between 1966-1967,Farellones (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvdgz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvdgz/manifest
Borcherdt (Donn) Collection,ark:/21198/zz002jvdhg,ark:/21198/zz002jn50n,1,Completed,Work,DonnBorcherdt/image/21198-zz002jvdhg_2367012_master.tif,,,,,color photographs,"Borcherdt, Donn",still image,cleth_196601_ams017.tif|~|DB-017,"Chile (Tapique) - Gathering of people, between 1966-1967",Women--Chile--Tapique|~|Girls--Chile--Tapique|~|Events--Chile--Tapique,,Women and girls beside a stone wall attend a gathering.,,between 1966-1967,Tapique (Chile),,,"Donn Borcherdt Collection. Ethnomusicology Archive, Department of Ethnomusicology, UCLA.",,,"University of California, Los Angeles. Ethnomusicology Archive",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jvdhg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jvdhg/manifest
