Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.typeOfResource,Type.genre,Name.repository,Subject,Name.creator,Title,Alt ID.local,Alt ID.oclc,Description.latitude,Description.longitude,Date.creation,Format.dimensions,Relation.isPartOf,Coverage.geographic,Description.note,Format.extent,Date.normalized,AltTitle.other,Publisher.publisherName,Publisher.placeOfOrigin
Southern African Maps in Books,ark:/21198/zz002bws9n,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Campbell_0005.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,South Africa,SAMAPS_Campbell_0005,6205964,-30.559482,22.937506,1815,25.2 x 40 cm,"Campbell, John. Travels in South Africa. London : Black and Parry, 1815.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwsb5,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Cathcart_a_0037.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"State of the frontier since the peace, April 1853",SAMAPS_Cathcart_a_0037,1203066,-30.559482,22.937506,1856,22.3 x 15.2 cm,"Cathcart, George. Correspondence of Lieut.-General the Hon. Sir George Cathcart, K.C.B. London : J. Murray, 1856.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwscp,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Cathcart_b_0038.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"State of the rebellion, April 1852",SAMAPS_Cathcart_b_0038,1203066,-30.559482,22.937506,1856,22.2 x 15.9 cm,"Cathcart, George. Correspondence of Lieut.-General the Hon. Sir George Cathcart, K.C.B. London : J. Murray, 1856.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwsd6,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Cathcart_c_0039.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Plan to show the boundary of the Tambookie location,SAMAPS_Cathcart_c_0039,1203066,-30.559482,22.937506,1856,,"Cathcart, George. Correspondence of Lieut.-General the Hon. Sir George Cathcart, K.C.B. London : J. Murray, 1856.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwsfq,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Cathcart_d_0040.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Rough sketch of site of posts on the eastern frontier and British Kaffraria (Cape of Good Hope),SAMAPS_Cathcart_d_0040,1203066,-34.3570158,18.473668,[1856],17.1 x 23.3 cm,"Cathcart, George. Correspondence of Lieut.-General the Hon. Sir George Cathcart, K.C.B. London : J. Murray, 1856.",Cape of Good Hope (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwsg7,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Cathcart_e_0041.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,General plan of the Kroome Mountain &c. Water Kloof,SAMAPS_Cathcart_e_0041,1203066,-30.559482,22.937506,[1856],12 x 18.2 cm,"Cathcart, George. Correspondence of Lieut.-General the Hon. Sir George Cathcart, K.C.B. London : J. Murray, 1856.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwshr,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Cathcart_f_0042.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Plan to show the military posts for the occupation of the Amatolas,SAMAPS_Cathcart_f_0042,1203066,-30.559482,22.937506,1856,17 x 23.2 cm,"Cathcart, George. Correspondence of Lieut.-General the Hon. Sir George Cathcart, K.C.B. London : J. Murray, 1856.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwsj8,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Cathcart_g_0043.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Sketch showing the site of operations near Thaba Bosigo,SAMAPS_Cathcart_g_0043,1203066,-30.559482,22.937506,1856,20.2 x 12.2 cm,"Cathcart, George. Correspondence of Lieut.-General the Hon. Sir George Cathcart, K.C.B. London : J. Murray, 1856.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwsks,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Colburn_0044.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Port Natal and country adjacent,SAMAPS_Colburn_0044,07-AOP-8340,-29.8606916,31.0361602,[1839],9.7 x 9.2 cm,"Colburn’s united service magazine and naval and military journal. London : H. Colburn [etc], 1829-1882.",Natal Bay (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwsm9,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Colburn_0046.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"Kostantinah, and its immediate environs. 1837",SAMAPS_Colburn_0046,07-AOP-8340,36.35,6.6,[1839],7.3 x 9.5 cm,"Colburn’s united service magazine and naval and military journal. London: H. Colburn [etc], 1829-1882.",Constantine (Algeria),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwsnt,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Fisher_a_0021.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,[Autograph letter from R. B. Fisher],SAMAPS_Fisher_a_0021,319982685,,,1816,,"Fisher, Richard Barnard. The importance of the Cape of Good Hope, as a colony to Great Britain. London : T. Cadell and W. Davies, 1816.",,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwspb,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Fisher_b_0022.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,[Map of Saladanha Bay],SAMAPS_Fisher_b_0022,319982685,-34.3570158,18.473668,[1816],10.5 x 22 cm,"Fisher, Richard Barnard. The importance of the Cape of Good Hope, as a colony to Great Britain. London : T. Cadell and W. Davies, 1816.",Cape of Good Hope (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwsqv,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Fleming_a_0019.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Map of South Africa,SAMAPS_Fleming_a_0019,4893672,-30.559482,22.937506,[1856],17.5 x 18.8 cm,"Flemyng, Francis Patrick. Southern Africa. London : A. Hall, Virtue, and co.; [etc., etc.], 1856.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwsrc,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Fleming_b_0020.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Map of the Cape of Good Hope,SAMAPS_Fleming_b_0020,4893672,-30.559482,22.937506,[1856],19.6 x 47 cm,"Flemyng, Francis Patrick. Southern Africa. London : A. Hall, Virtue, and co.; [etc., etc.], 1856.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwssw,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Hamilton_a_0055.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,A general mapp of the sea coasts of Africa from the Cape of Good Hope to Cape Guardafoy with the inhabited islands in those seas,SAMAPS_Hamilton_a_0055,1515282,29.0697021,48.160457,[1930],20.2 x 27.1 cm,"Hamilton, Alexander. A new account of the East Indies. London: The Argonaut press, 1930.",Persian Gulf,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwstd,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Hamilton_b_0056.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,A mapp of the sea coast of Persia from Boserah to the River Indus,SAMAPS_Hamilton_b_0056,1515282,24.7142573,58.7373634,[1930],27.3 x 20.4 cm,"Hamilton, Alexander. A new account of the East Indies. London: The Argonaut press, 1930.","Oman, Gulf of",,,,,,
Southern African Maps in Books,ark:/21198/zz002bwsvx,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Hamilton_c_0057.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,A general map of India Intra Ganges,SAMAPS_Hamilton_c_0057,1515282,15.53837592629210,77.34375,[1930],19.5 x 31.6 cm,"Hamilton, Alexander. A new account of the East Indies. London: The Argonaut press, 1930.",India,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwswf,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Holden_a_0050.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Chart of Port Natal,SAMAPS_Holden_a_0050,5381987,-29.866226,31.01743,[1963],19 x 25.5 cm,"Holden, William Clifford. History of the colony of Natal. Cape Town: C. Struik, 1963.",Natal Bay (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwsxz,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Holden_b_0051.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Sketch of the British Colonies South Africa,SAMAPS_Holden_b_0051,5381987,-34.3570158,18.473668,[1963],18.6 x 24.6 cm,"Holden, William Clifford. History of the colony of Natal. Cape Town: C. Struik, 1963.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwszg,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Holden_c_0052.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Sketch of the sovereignty beyond the Orange River,SAMAPS_Holden_c_0052,5381987,-30.559482,22.937506,[1963],20.5 x 25.5 cm,"Holden, William Clifford. History of the colony of Natal. Cape Town: C. Struik, 1963.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwt0g,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Holden_d_0053.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Map of the Colony of Natal from the Umzimvubu River to Point Durnford,SAMAPS_Holden_d_0053,5381987,-29.866226,31.01743,1852,19 x 36 cm,"Holden, William Clifford. History of the colony of Natal. Cape Town: C. Struik, 1963.",KwaZulu-Natal (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwt10,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Hondius_0049.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"Pas-kaarte van de zuyd-west-kust van Africa; van Cabo Negro tot beoosten Cabo de Bona Esperanca. Niiwlyks besgreven en uyt-gegeven by Jodocus Hondius, etc.",SAMAPS_Hondius_0049,7689897,-34.3570158,18.473668,1652,29.8 x 51.5 cm,"Hondius, Jodocus. Klare besgryving van Cabo de Bona Esperança. Kaapstad : Komitee vir Boekuitstalling, Van Riebeeck-Fees, 1952.",Cape of Good Hope (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwt2h,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Isaacs_0026.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Chart of Port Natal,SAMAPS_Isaacs_0026,101304,-29.8606916,31.0361602,[1970],24.5 x 31 cm,"Isaacs, Nathaniel. Travels and adventures in Eastern Africa. Cape Town : C. Struik, 1970.",Natal Bay (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwt31,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Isaacs_0045.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Chart of Port Natal,SAMAPS_Isaacs_0045,5301877,-29.8606916,31.0361602,[1936-37],17 x 22 cm,"Isaacs, Nathaniel. Travels and adventures in eastern Africa. Cape Town : The Van Riebeeck society, 1936-37.",Natal Bay (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwt4j,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Latrobe_0027.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,The southern division of the Cape of Good Hope colony,SAMAPS_Latrobe_0027,61150,-34.3570158,18.473668,,22.1 x 53.1 cm,"Latrobe, Christian Ignatius. Journal of a visit to South Africa in 1815 and 1816 with some account of the missionary settlements of the United Brethren near the Cape of Good Hope. Cape Town : Struik, 1969.",Cape of Good Hope (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwt52,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Lauts_0059.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Kaart van Natalia en van Afrika's zuidhoek opgemaakt in 1846 door G. Lauts,SAMAPS_Lauts_0059,18081506,-30.559482,22.937506,1846,25.5 x 35 cm,"Lauts, Gerard. De Kaapsche landverhuizers, of Nederlands afstammelingen in Zuid-Afrika. Leyden : H.W. Hazenberg, 1847.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwt6k,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Lichtenstein_0003.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Karte des europaeischen gebiets am Vorgebirge der Guten Hoffnung,SAMAPS_Lichtenstein_0003,3349360,-34.3570158,18.473668,1811,45.6 x 60 cm,"Lichtenstein, Hinrich. Reisen im südlichen Afrika in den Jahren 1803, 1804, 1805 und 1806. Stuttgart : Brockhaus, 1967.",Cape of Good Hope (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwt73,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Lichtenstein_0025.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,A chart of the southern extremity of Africa,SAMAPS_Lichtenstein_0025,3837224,-34.3570158,18.473668,1806,23.8 x 34.5 cm,"Lichtenstein, Hinrich. Travels in southern Africa in the years 1803, 1804, 1805 and 1806. Cape Town : The Van Riebeeck society, 1928-30.",Cape of Good Hope (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwt8m,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Martin_0007.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Mauritius or Isle of France,SAMAPS_Martin_0007,5303071,-20.348404,57.552152,1836,18 x 10.5 cm,"Martin, Robert Montgomery. History of southern Africa. London : J. Mortimer, 1836.",Mauritius,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwt94,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Martin_a_0028.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Van Diemen's Island or Tasmania,SAMAPS_Martin_a_0028,2017364,-41.3650419,146.6284905,[1851-57],35 x 26.5 cm,"Martin, Robert Montgomery. The British colonies. London and New York : London printing and publishing company, [1851-57].",Tasmania,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwtbn,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Martin_b_0029.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,The world on Mercator projection shewing the voyages of Captain Cook round the world,SAMAPS_Martin_b_0029,2017364,,,[1851-57],26.5 x 35 cm,"Martin, Robert Montgomery. The British colonies. London and New York : London printing and publishing company, [1851-57].",,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwtc5,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Martin_c_0030.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Islands in the Atlantic,SAMAPS_Martin_c_0030,2017364,,,[1851-57],26.5 x 35 cm,"Martin, Robert Montgomery. The British colonies. London and New York : London printing and publishing company, [1851-57].",,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwtdp,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Martin_d_0031.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Africa,SAMAPS_Martin_d_0031,2017364,-8.783195,34.508523,[1851-57],26.5 x 35 cm,"Martin, Robert Montgomery. The British colonies. London and New York : London printing and publishing company, [1851-57].",Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwtf6,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Martin_e_0032.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Cape Colony,SAMAPS_Martin_e_0032,2017364,-34.3570158,18.473668,[1851-57],26.5 x 35 cm,"Martin, Robert Montgomery. The British colonies. London and New York : London printing and publishing company, [1851-57].",Cape of Good Hope (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwtgq,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Martin_f_0033.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Natal and Kaffraria,SAMAPS_Martin_f_0033,2017364,-29.8606916,31.0361602,[1851-57],26.5 x 36 cm,"Martin, Robert Montgomery. The British colonies. London and New York : London printing and publishing company, [1851-57].",Natal Bay (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwth7,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Martin_g_0034.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Western Africa,SAMAPS_Martin_g_0034,2017364,9.081999,8.675277,[1851-57],26.5 x 35 cm,"Martin, Robert Montgomery. The British colonies. London and New York : London printing and publishing company, [1851-57].","Africa, West",,,,,,
Southern African Maps in Books,ark:/21198/zz002bwtjr,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Mentzel_a_0012.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Charte von dem Vorgebürge der Guten Hofnung und den anhegenden Gegenden,SAMAPS_Mentzel_a_0012,3854485,-34.3570158,18.473668,1778,14.9 x 12.6 cm,"Mentzel, O. F. A geographical and topographical description of the Cape of Good Hope. Cape Town : Van Riebeeck Society, 1921-44.",Cape of Good Hope (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwtk8,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Mentzel_b_0013.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Mappa geographica Promontorii Bonae Spei,SAMAPS_Mentzel_b_0013,3854485,-34.3570158,18.473668,1785,29.5 x 47 cm,"Mentzel, O. F. A geographical and topographical description of the Cape of Good Hope. Cape Town : Van Riebeeck Society, 1921-44.",Cape of Good Hope (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwtms,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Methley_0058.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"Sketch of Natal, showing its proposed divisions, towns, villages, &c.",SAMAPS_Methley_0058,658378,-29.866226,31.01743,1850,21 x 15 cm,"Methley, James Erasmus. The new colony of Port Natal. London: Houlston & Stoneman, 1850.",Natal Bay (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwtn9,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Moffat_0011.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,South Africa; compiled for the Revd R. Moffat's work,SAMAPS_Moffat_0011,3567777,-30.559482,22.937506,1842,23.2 x 22.7 cm,"Moffat, Robert. Missionary labours and scenes in Southern Africa. London : J. Snow, 1842.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwtpt,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Owen_0014.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"The ports of Conducia, Mozambique and Mokamba, on the east coast of Africa",SAMAPS_Owen_0014,5520550,-14.9115441,40.6803583,1824,59 x 45 cm,"Owen, W. F. W. Narrative of voyages to explore the shores of Africa, Arabia and Madagascar. London : R. Bentley, 1833.",Condúcia Bay (Mozambique),,,,,,
