Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Type.typeOfResource,Type.genre,Subject,Rights.copyrightStatus,Rights.publicationStatus,Name.subject,Name.fashionDesigner,Rights.rightsHolderContact,Rights.servicesContact,Relation.isPartOf,Name.repository,Name.creator,Name.photographer,Rights.permission,Language,Date.normalized,Description.note,Format.extent,Alt ID.local,Date.creation,Title,Format.dimensions,Description.fundingNote,Note,Format.medium,Description.caption,Coverage.geographic,Description.contents,Publisher.publisherName,AltTitle.other,Opac url,Alt ID.url,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz00090qdd,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/21198-zz00090qdd-1-master.tif,10,,,private,still image,Fashion design drawings|~|gouaches (paintings),ensembles (costume)|~|skirts (garments),copyrighted|~|unknown,,,"Kalloch, 1893-","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,,1932/1947,,1 drawing,clus_1373_b36_13,[between 1932 and 1947?],"Robert Kalloch design : long gold vest with pink skirt ensemble, signed ""Kalloch""",33 x 51 cm. (13 x 20 in.),Access to this collection is generously supported by Arcadia funds.,Kalloch,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090qdd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090qdd/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz00090qfx,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/21198-zz00090qfx-1-master.tif,11,,,private,still image,Fashion design drawings|~|gouaches (paintings),dresses (garments)|~|hats,copyrighted|~|unknown,unknown,,"Kalloch, 1893-","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,,1932/1947,,1 drawing,clus_1373_b36_6,[between 1932 and 1947?],"Robert Kalloch design : dark blue dress/suit, signed ""Bobby Kalloch for Peggy Hamilton""",33 x 51 cm. (13 x 20 in.),Access to this collection is generously supported by Arcadia funds.,Bobby Kalloch for Peggy Hamilton,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090qfx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090qfx/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz00090qgf,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/21198-zz00090qgf-1-master.tif,12,,,private,still image,Fashion design drawings|~|gouaches (paintings),evening dresses (garments),copyrighted|~|unknown,unknown,"Adams, Peggy Hamilton, $d 1890-1984","Kalloch, 1893-","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,,1932/1947,,1 drawing,clus_1373_b36_2,[between 1932 and 1947?],Robert Kalloch design : aqua dress dedicated to Peggy Hamilton,33 x 51 cm. (13 x 20 in.),Access to this collection is generously supported by Arcadia funds.,Especially designed for Peggy Hamilton Whom I so admire  Bobby Kalloch,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090qgf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090qgf/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz00090qhz,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/21198-zz00090qhz-1-master.tif,13,,,private,still image,Fashion design drawings|~|gouaches (paintings),dresses (garments),copyrighted|~|unknown,unknown,,"Kalloch, 1893-","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,,1932/1947,,1 drawing,clus_1373_b36_4,[between 1932 and 1947?],"Robert Kalloch design : purple dress, signed ""K""",33 x 51 cm. (13 x 20 in.),Access to this collection is generously supported by Arcadia funds.,K,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090qhz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090qhz/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bz9s1,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0001.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,dresses (garments)|~|hats|~|fur stoles|~|envelope bags,copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984",,,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,zxx,1931-12,"Peggy Hamilton modeling a [velveteen?] dress with a fur stole, a hat and holding an envelope bag type of purse|~|Date from negative sleeve of image ark no. 21198/zz002bzkcp",1 photographic negative,uclamss_1373_0001,December 1931,"Peggy Hamilton modeling a [velveteen?] dress, fur stole and hat, 1931",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,Text from negative sleeve: No. FPL - 63 [Famous Players Lasky; later Paramount]|~|Handwritten on edge of negative: RKO - 154.,California--Culver City,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bz9s1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bz9s1/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzb4p,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0002.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,evening dresses (garments)|~|silk (textile)|~|beadwork|~|necklaces|~|rhinestone|~|trains (costume components)|~|tulle (meshed textile),copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984",,,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,zxx,1930,"A different photograph of Peggy Hamilton wearing this frock appears in her Los Angeles Times feature ""Fashions,"" on December 28, 1930, pg. H3.|~|Date from verso of contact print ark no.  21198/zz002bzbqg|~|Peggy Hamilton modeling a turquoise blue tulle and liberty silk dance frock with bugle beads and rhinestones in orchid design festooned on the bodice and sprinkled delicately on skirt, which has a slight train.",1 photographic negative,uclamss_1373_0002,1930,"Peggy Hamilton modeling a dance frock decorated with bugle beads and rhinestones, 1930",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,Handwritten on edge of negative: A - 25,California--Los Angeles,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzb4p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzb4p/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzb56,ark:/21198/zz0008hs10,5,Imported,Work,adams/masters/uclamss_1373_0003i.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs,dresses (garments)|~|silk (textile)|~|necklaces|~|rhinestone|~|tulle (meshed textile),copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984",,,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,zxx,1930,"A different photograph of Peggy Hamilton wearing this frock appears in her Los Angeles Times feature ""Fashions,"" on December 28, 1930, pg. H3.|~|Image of photo verso: ark no. 21198/zz002bzb6q|~|Date from verso of contact print ark no.  21198/zz002bzbqg|~|Peggy Hamilton modeling a turquoise blue tulle and liberty silk dance frock with bugle beads and rhinestones in orchid design festooned on the bodice and sprinkled delicately on skirt, which has a slight train.|~|Damaged contact print",1 photographic print,uclamss_1373_0003i,February,uclamss_1373_0003i  -  Deteriorated contact print. Cataloged image no. uclamss_1373_0002 scanned from same negative,8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,,,California--Los Angeles,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzb56,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzb56/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzb6q,ark:/21198/zz0008hs10,5,Imported,Work,adams/masters/uclamss_1373_0004i.tif,,,,private,still image,Black-and-white photographs,,copyrighted,,,,,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,eng,1930-02,Image of contact print recto is no. 21198/zz002bzb56,,uclamss_1373_0004i,February 1930,uclamss_1373_0004i  -  verso of deteriorated contact print no. uclamss_1373_0003i,1 photgraphic print|~|8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzb6q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzb6q/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzb77,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0005.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,wedding dresses|~|tulle (meshed textile),copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984","Luck, Earl",,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,"Archer, Fred R., $d 1889-1963",N,zxx,1931,"Peggy Hamilton modeling a bridal gown with a princess tunic covered with miniature rhinestones and a skirt made from thirty yards of white tulle. She wears a rose-point lace veil held close to the head with waxen California orange blossoms, surmounted by a halo of crystal beads. Orange blossoms form the bouquet and the spray on the skirt.|~|The ""Fashions"" feature caption identifies the photographer as ""Archer.'|~|Earl Luck was nominated for an academy award for his costumes for the movie Cavalcade (1933).",1 photographic negative,uclamss_1373_0005,1931,"Peggy Hamilton modeling an Earl Luck wedding dress, 1931",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,,California--Burbank,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzb77,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzb77/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzb8r,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0006.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,veils (headcloths)|~|net (textile)|~|hats|~|beadwork,copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984",,,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,"Bachrach, Ernest, $d 1899-1973 ",N,zxx,1931,"This photograph appears in Peggy Hamilton's  Los Angeles Times feature ""Fashions,"" December 27, 1931, pg. G3.|~|Peggy Hamilton modeling a dinner hat of black net, trimmed with bands and circular flowers  of gold beads and a net veil with an embroidered border. The hat was available at Hortense, Inc. 9440 Wilshire Blvd., Beverly Hills.|~|According to Hamilton's ""Fashions"" feature in the Los Angeles Times, October 18, 1931, pg. H3, Jean Lucas, president of the millinery business Hortense Inc., visited Los Angeles, in September 1931, to announce the opening his Los Angeles millinery salons.",1 photographic negative,uclamss_1373_0006,1931,"Peggy Hamilton modeling a Hortense dinner hat, 1931",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,Handwritten on edge of negative: RKO 121,California--Culver City,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzb8r,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzb8r/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzb98,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0007.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,wedding dresses|~|veils (headcloths)|~|tulle (meshed textile),copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984","Luck, Earl",,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,"Archer, Fred R., $d 1889-1963",N,zxx,1931,"Peggy Hamilton modeling a bridal gown with a princess tunic covered with miniature rhinestones and a skirt made from thirty yards of white tulle. She wears a rose-point lace veil held close to the head with waxen California orange blossoms, surmounted by a halo of crystal beads. Orange blossoms form the bouquet and the spray on the skirt.|~|The ""Fashions"" feature caption identifies the photographer as ""Archer.”|~|A different photograph of Peggy Hamilton wearing this wedding dress appears in her Los Angeles Times feature ""Fashions,"" July 12, 1931.|~|Earl Luck, designer at Warner Bros., was nominated for an academy award for his costumes for the movie Cavalcade (1933).",1 photographic negative,uclamss_1373_0007,1931,"Peggy Hamilton modeling an Earl Luck wedding dress, 1931",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,,California--Burbank,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzb98,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzb98/manifest
