Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Subject.conceptTopic,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Name.subject,Rights.servicesContact,Subject.category,Language,Name.repository,Name.photographer,Subject.descriptiveTopic,Rights.permissionNote,Relation.isPartOf,Name.creator,Date.creation,Date.normalized,Description.note,Coverage.geographic,Alt ID.local,Title,Format.dimensions,Format.extent,Description.latitude,Description.longitude,Local identifier,AltTitle.other,Finding Aid URL,Description.abstract,thumbnailImageName,masterImageName,Bucketeer State,IIIF Access URL,Representative Image,Masthead
Arkatov (James) Collection,ark:/21198/zz001f00qz,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001f00qz_1271102_master.tif,,,,still image,Black-and-white photographs,Singers $z United States|~|Blues musicians $z United States|~|Pianists $z United States|~|African American musicians $z United States,copyrighted,Y,unknown,"Brown, Charles, $d 1922-1999",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"March, 1997",1997-03,"Black and white photograph of American blues pianist and singer Charles Brown seated at a piano and looking at the photographer. He is wearing a dark velvet coat, a white dress shirt, and a metallic visored cap.",California--Los Angeles,uclamus_340_b1_f2,"Charles Brown playing the piano, Los Angeles, California, March 1997 [descriptive]",8 x 10 in.,1 photograph: b & w,,,,,,,21198-zz001f00qz_1271102_thumbnail.jpg,21198-zz001f00qz_1271102_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f00qz,,
Arkatov (James) Collection,ark:/21198/zz001f00rg,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001f00rg_1271113_master.tif,,,,still image,Black-and-white photographs,Jazz musicians $z United States,copyrighted,Y,unknown,,,Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,,,Black and white photograph.  Uidentified band.,California--Los Angeles,uclamus_340_b1_f2,Unidentified jazz band and bandleader [descriptive],8 x 10 in.,1 photograph: b & w,,,,,,,21198-zz001f00rg_1271113_thumbnail.jpg,21198-zz001f00rg_1271113_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f00rg,,
Arkatov (James) Collection,ark:/21198/zz001f00s0,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001f00s0_1271014_master.tif,,,,,Black-and-white photographs,Pianists $z United States,copyrighted,Y,unknown,"Barron, Kenny",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"November, 1998",1998-11,"Black and white portrait of American pianist, composer, leader, and teacher Kenny Barron (brother of Bill Barron).",California--Los Angeles,uclamus_340_b1_f2,"Kenny Barron playing piano in Los Angeles, November 1998 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f00s0_1271014_thumbnail.jpg,21198-zz001f00s0_1271014_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f00s0,,
Arkatov (James) Collection,ark:/21198/zz001f00th,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001f00th_1271071_master.tif,,,,still image,Black-and-white photographs,Singers $z United States|~|Blues musicians $z United States|~|Pianists $z United States|~|African American musicians $z United States,copyrighted,Y,unknown,"Brown, Charles, $d 1922-1999",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"March, 1997",1997-03,"Black and white photograph of American blues pianist and singer Charles Brown seated at a piano. He is wearing a dark velvet coat, a white dress shirt, and a metallic visored cap.",California--Los Angeles,uclamus_340_b1_f2,"Charles Brown playing the piano, Los Angeles, California, March 1997 [descriptive]",8 x 10 in.,1 photograph: b & w,,,,,,,21198-zz001f00th_1271071_thumbnail.jpg,21198-zz001f00th_1271071_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f00th,,
Arkatov (James) Collection,ark:/21198/zz001f00v1,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001f00v1_1270996_master.tif,,,,still image,Black-and-white photographs,Saxophonists--United States,copyrighted,Y,unknown,"Anderson, Keith, $c saxophonist",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Saxophones,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"April, 1998",1998-04,Black and white photograph of American musician Keith Anderson playing saxophone.,California--Los Angeles,uclalmus_340_b1_f1,"Keith Anderson playing sax in Los Angeles, April 1999 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f00v1_1270996_thumbnail.jpg,21198-zz001f00v1_1270996_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f00v1,,
Arkatov (James) Collection,ark:/21198/zz001f00wj,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001f00wj_1271047_master.tif,,,,still image,Black-and-white photographs,Trumpet players $z United States|~|Saxophonists--United States,copyrighted,Y,unknown,"Land, Harold|~|Brashear, Oscar, $d 1944-",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Trumpets|~|Saxophones,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"February, 1997",1997-02,Black and white photograph of American trumpeter Oscar Brashear and tenor saxophonist Harold Land.,California--Los Angeles,uclamus_340_b1_f2,"Oscar Brashear on trumpet and Harold Land on tenor saxophone, Los Angeles [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f00wj_1271047_thumbnail.jpg,21198-zz001f00wj_1271047_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f00wj,,
Arkatov (James) Collection,ark:/21198/zz001f00x2,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001f00x2_1271026_master.tif,,,,still image,Black-and-white photographs,Pianists $z United States,copyrighted,Y,unknown,"Bishop, Walter, $d 1927-1998",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"February, 1996",1996-02,Black and white photograph of American pianist Walter Bishop playing the piano.,California--Los Angeles,uclamus_340_b1_f2,"Walter Bishop Jr. playing the piano, Los Angeles, February 1996 [descriptive]",8 x 10 in.|~|1 photograph : b&w,,,,,,,,21198-zz001f00x2_1271026_thumbnail.jpg,21198-zz001f00x2_1271026_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f00x2,,
Arkatov (James) Collection,ark:/21198/zz001f00zk,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001f00zk_1270888_master.tif,,,,still image,Black-and-white photographs,Trumpet players $z United States,copyrighted,Y,unknown,"Alpert, Herb",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Trumpets,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"July, 1996",1996-07,"Black and white photograph of American trumpeter, bandleader, composer and record company executive Herb Alpert playing the trumpet.",California--Los Angeles,uclamus_340_b1_f1,Herb Alpert playing trumpet in Los Angeles [descriptive],8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f00zk_1270888_thumbnail.jpg,21198-zz001f00zk_1270888_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f00zk,,
Arkatov (James) Collection,ark:/21198/zz001f010k,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001f010k_1271020_master.tif,,,,still image,Black-and-white photographs,Singers $z United States,copyrighted,Y,unknown,"Bennett, Tony, $d 1926-",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"October, 1998",1998-10,Black and white photographic portrait of American vocalist Tony Bennett.,California--Los Angeles,uclamus_340_b1_f2,"Tony Bennett in Los Angeles, October 1998 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f010k_1271020_thumbnail.jpg,21198-zz001f010k_1271020_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f010k,,
Arkatov (James) Collection,ark:/21198/zz001f0113,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001f0113_1270880_master.tif,,,,still image,Black-and-white photographs,Trumpet players $z United States,copyrighted,Y,unknown,"Alpert, Herb",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Trumpets,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"July, 1996",1996-07,"Black and white photograph of American trumpeter, bandleader, composer and record company executive Herb Alpert playing the trumpet.",California--Los Angeles,uclamus_340_b1_f1,Herb Alpert playing trumpet in Los Angeles [descriptive],8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f0113_1270880_thumbnail.jpg,21198-zz001f0113_1270880_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f0113,,
Arkatov (James) Collection,ark:/21198/zz001f4mhb,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001f4mhb_1273169_master.tif,,,,still image,Black-and-white photographs,Violinists $z United States,copyrighted,Y,unknown,"Carter, Regina",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Violins,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"October, 1999",1999-10,Black and white photograph of American violinist Regina Carter performing.,California--Los Angeles,uclamus_340_b1_f3,"Regina Carter playing violin, Los Angeles [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f4mhb_1273169_thumbnail.jpg,21198-zz001f4mhb_1273169_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f4mhb,,
Arkatov (James) Collection,ark:/21198/zz001f4mmw,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001f4mmw_1272468_master.tif,,,,still image,Black-and-white photographs,Double bassists $z United States,copyrighted,Y,unknown,"Brown, Ray, $d 1926-2002",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Double basses,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"April, 1997",1997-04,"Black and white photograph of Ray Brown, American bass player.",California--Los Angeles,,"Ray Brown playing the double bass, Los Angeles, April 1997 [descriptive]",8 x 10 in.,1 photograph : b&w,,,uclamus_340_b1_f1,,,,21198-zz001f4mmw_1272468_thumbnail.jpg,21198-zz001f4mmw_1272468_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f4mmw,,
Arkatov (James) Collection,ark:/21198/zz001f4mpx,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001f4mpx_1272447_master.tif,,,,still image,Black-and-white photographs,Pianists $z Canada,copyrighted,Y,unknown,"Bley, Paul",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"February, 1996",1996-02,"Black and white photograph of Paul Bley, Canadian pianist.",California--Los Angeles,uclamus_340_b1_f2,"Paul Bley sitting at a piano, Los Angeles, February 1996 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f4mpx_1272447_thumbnail.jpg,21198-zz001f4mpx_1272447_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f4mpx,,
Arkatov (James) Collection,ark:/21198/zz001f4mrz,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001f4mrz_1272438_master.tif,,,,still image,Black-and-white photographs,Pianists $z Canada,copyrighted,Y,unknown,"Bley, Paul",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"February, 1996",1996-02,"Black and white photograph of Paul Bley, Canadian pianist.",California--Los Angeles,uclamus_340_b1_f2,"Paul Bley playing the piano, Los Angeles, February 1996 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f4mrz_1272438_thumbnail.jpg,21198-zz001f4mrz_1272438_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f4mrz,,
Arkatov (James) Collection,ark:/21198/zz001f4mt0,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001f4mt0_1273135_master.tif,,,,still image,Black-and-white photographs,Violinists $z United States,copyrighted,Y,unknown,"Carter, Regina",,People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Violins,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"October, 1999",1999-10,Black and white photograph of American violinist Regina Carter performing.,California--Los Angeles,uclamus_340_b1_f3,"Regina Carter playing violin, Los Angeles [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f4mt0_1273135_thumbnail.jpg,21198-zz001f4mt0_1273135_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f4mt0,,
Arkatov (James) Collection,ark:/21198/zz001f4mw1,ark:/21198/zz001dzc12,2,Completed,Work,arkatov/masters/21198-zz001f4mw1_1273108_master.tif,,,,still image,Black-and-white photographs,Double bassists $z United States,copyrighted,Y,unknown,"Catalina Bar & Grill|~|Brown, Ray, $d 1926-2002",,Entertainment|~|People|~|Arts,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Double basses,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,"April, 1997",1997-04,"Black and white photographof American double bass player Ray Brown playing the double bass at the Catalina Bar & Grill in Hollywood, California.",California--Hollywood,,"Ray Brown at the Catalina Bar & Grill, Hollywood, California[descriptive]",8 x 10 in.,1 photograph : b&w,34.1010156049,-118.3294004202,uclamus_340_b1_f2,,,,21198-zz001f4mw1_1273108_thumbnail.jpg,21198-zz001f4mw1_1273108_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f4mw1,,
