Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Subject,Type.typeOfResource,Rights.copyrightStatus,Type.genre,Name.subject,Coverage.geographic,Relation.isPartOf,Publisher.publisherName,Rights.countryCreation,Rights.rightsHolderContact,Name.photographer,Relation.hasVersion,Rights.permission,Name.repository,Name.architect,Date.normalized,Alternate Identifier.local,Title,Description.note,Date.creation,Description.longitude,Description.latitude,Format.extent,Format.medium,Format.dimensions,Description.caption,Description.fundingNote,Alternate Identifier.url,Description.abstract,Bucketeer State,IIIF Access URL
Los Angeles Daily News Negatives,ark:/21198/zz0027xjb0,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-09.tif,,,,Vaulting $z California $z Los Angeles|~|Sports,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06-27,uclamss_1387_14988-09,"Pole vaulter at a track meet at the Los Angeles Memorial Coliseum, Los Angeles, 1937",A pole vaulter preparing to perform at a track meet between the Big Ten athletes and the Pacific Coast Conference athletes at the Los Angeles Memorial Coliseum.,"June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleeve: Big Ten Track Meet vs. Pacific Coast,Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xjch,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-10.tif,,,,Vaulting $z California $z Los Angeles|~|Sports,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06-27,14988|~|uclamss_1387_14988-10,"Pole vaulter leaping across the bar at a track meet at the Los Angeles Memorial Coliseum, Los Angeles, 1937",A pole vaulter leaps over the bar at a track meet between the Big Ten athletes and the Pacific Coast Conference athletes at the Los Angeles Memorial Coliseum.,"June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleeve: Big Ten Track Meet vs. Pacific Coast,Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xjd1,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-11.tif,,,,Vaulting $z California $z Los Angeles|~|Sports,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06-27,14988|~|uclamss_1387_14988-11,"Pole vaulter leaping across the bar at a track meet at the Los Angeles Memorial Coliseum, Los Angeles, 1937",A pole vaulter leaps over the bar at a track meet between the Big Ten athletes and the Pacific Coast Conference athletes at the Los Angeles Memorial Coliseum.,"June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleeve: Big Ten Track Meet vs. Pacific Coast,Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xjfj,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-12.tif,,,,Sportswriters $z California $z Los Angeles|~|Media,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",,"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06-27,uclamss_1387_14988-12,"Sportswriters reporting on a track meet at the Los Angeles Memorial Coliseum, Los Angeles, 1937",Sportswriters reporting on a track meet between Big Ten athletes and those of the Pacific Coast Conference at the Los Angeles Memorial Coliseum.,"June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleeve: Big Ten Track Meet vs. Pacific Coast,Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xjg2,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-13.tif,,,,Photojournalism $z California $z Los Angeles|~|Sports|~|Media,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06-27,uclamss_1387_14988-13,"Photojournalists recording the activities at a track meet at the Los Angeles Memorial Coliseum, Los Angeles, 1937",Photojournalists recording the activities at a track meet between Big Ten athletes and those of the Pacific Coast Conference at Los Angeles Memorial Coliseum.,"June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleeve: Big Ten Track Meet vs. Pacific Coast,Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xjhk,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-14.tif,,,,Vaulting $z California $z Los Angeles|~|Sports,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,,uclamss_1387_14988-14,"Pole vaulter preparing to perform at a track meet at the Los Angeles Memorial Coliseum, Los Angeles, 1937",A pole vaulter preparing to perform at a track meet between the Big Ten athletes and the Pacific Coast Conference athletes at the Los Angeles Memorial Coliseum.,"June 27, 1937",,,1 photograph,b&w nitrate negative,,,Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xjj3,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-15.tif,,,,Vaulting $z California $z Los Angeles|~|Sports,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06-27,14988|~|uclamss_1387_14988-15,"Pole vaulter preparing to perform at a track meet at the Los Angeles Memorial Coliseum, Los Angeles, 1937",A pole vaulter preparing to perform at a track meet between the Big Ten athletes and the Pacific Coast Conference athletes at the Los Angeles Memorial Coliseum.,"June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleeve: Big Ten Track Meet vs. Pacific Coast,Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xjkm,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-16.tif,,,,Time clocks $z California $z Los Angeles|~|Sports officiating $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06-27,14988|~|uclamss_1387_14988-16,"Unidentified sports official opening a case of stop watches at a track meet at the Los Angeles Memorial Coliseum, Los Angeles, 1937","An unidentified man, probably an official, opening a case of stop watches at a track meet between Big Ten athletes and those of the Pacific Coast Conference at the Los Angeles Memorial Coliseum.","June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleeve: Big Ten Track Meet vs. Pacific Coast,Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xjm4,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-17.tif,,,,Sportswriters $z California $z Los Angeles,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06-27,uclamss_1387_14988-17,"Unidentified man adjusting equipment at a track meet at the Los Angeles Memorial Coliseum, Los Angeles, 1937","An unidentified man adjusting equipment, possibly recording devices, at a track meet between Big Ten athletes and those of the Pacific Coast Conference at the Los Angeles Memorial Coliseum.","June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleeve: Big Ten Track Meet vs. Pacific Coast Conference,Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xjnn,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-18.tif,,,,Sports officiating $z California $z Los Angeles|~|Government,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06-27,14988|~|uclamss_1387_14988-18,"Unidentified sports official weighing the shot put at a track meet at the Los Angeles Memorial Coliseum, Los Angeles, 1937",An unidentified sports official weighing the shot put for an event at a track meet at the Los Angeles Memorial Coliseum.,"June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleeve: Big Ten Track Meet vs. Pacific Coast,Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xjp5,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-19.tif,,,,Sports officiating $z California $z Los Angeles|~|Wounds & injuries $z California $z Los Angeles|~|Disaster,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06-27,uclamss_1387_14988-19,"Sports officials examining a Big Ten athlete's injury at a track meet at the Los Angeles Memorial Coliseum, Los Angeles, 1937",Sports officials examining a Big Ten track athlete's injury at a meet between Big Ten athletes and those of the Pacific Coast Conference at the Los Angeles Memorial Coliseum.,"June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleeve: Big Ten Track Meet vs. Pacific Coast,Access to this collection is generously supported by Arcadia funds.,,,failed,
Los Angeles Daily News Negatives,ark:/21198/zz0027xjqp,ark:/21198/zz00294nz8,2,Needs QA,Work,ladailynews/image/uclamss_1379_14988-20.tif,,,,Jumping|~|Sports,still image,copyrighted,news photographs|~|cellulose nitrate film,"Los Angeles Memorial Coliseum (Los Angeles, Calif.)",Los Angeles (Calif.),"Los Angeles Daily News Negatives. Department of Special Collections, Charles E. Young Research Library, University of California at Los Angeles.",Los Angeles Daily News,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,Y,"University of California, Los Angeles. Library. Department of Special Collections",,1937-06-27,14988|~|uclamss_1387_14988-20,"Big Ten high jumper leaping over the bar at the Los Angeles Memorial Coliseum, Los Angeles, 1937",A Big Ten high jumper leaping over the bar at a track meet between the Big Ten athletes and the Pacific Coast Conference athletes at the Los Angeles Memorial Coliseum.,"June 27, 1937",,,1 photograph,b&w nitrate negative,,Text from original nitrate sleeve: Big Ten Track Meet vs. Pacific Coast,Access to this collection is generously supported by Arcadia funds.,,,failed,
