Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Rights.countryCreation,Rights.servicesContact,Type.genre,Rights.permissionNote,Name.subject,Subject,Rights.creatorPersonName,Rights.rightsHolderName,AltTitle.uniform,Relation.isPartOf,Name.photographer,Name.repository,Name.creator,Alt ID.local,Format.extent,Date.creation,Title,Description.note,Format.dimensions,Alt ID.url,Alt ID.OPAC,Description.abstract,Bucketeer State,IIIF Access URL
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008nj5g,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008nj5g-1-master.tif,10,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_87,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], woman dancer 3, close-up, 1982 or 1985, [view 2]",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008nj5g
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008nj60,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008nj60-1-master.tif,11,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_88,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], woman close-up, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008nj60
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008nj7h,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008nj7h-1-master.tif,12,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_66,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], dancers wrapped in blanket [view from behind], 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008nj7h
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008nj81,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008nj81-1-master.tif,13,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_78,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], performers sitting with spectators, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008nj81
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008nj9j,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008nj9j-1-master.tif,14,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_59,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], performers sitting with spectators [view from behind], 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008nj9j
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njb2,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njb2-1-master.tif,15,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_61,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], girl dancer close-up, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njb2
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njck,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njck-1-master.tif,16,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_98,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], hand close-up, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njck
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njd3,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njd3-1-master.tif,17,,,still image,copyrighted,,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_81,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], earring close-up disk and square [view 1], 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njd3
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njfm,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njfm-1-master.tif,18,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_70,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], performers sitting with spectators [view from behind], 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njfm
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njg4,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njg4-1-master.tif,19,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_93,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], leather sandals, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njg4
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njhn,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njhn-1-master.tif,20,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_86,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], woman dancer 3, close-up, 1982 or 1985, [view 1]",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njhn
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njj5,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njj5-1-master.tif,21,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_50,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], man holding gourd, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njj5
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njkp,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njkp-1-master.tif,22,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_67,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], performers sitting with spectators [view from behind], 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njkp
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njm6,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njm6-1-master.tif,23,,,still image,copyrighted,,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_77,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], performers sitting with spectators, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njm6
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njnq,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njnq-1-master.tif,24,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_92,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], leather sandals, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njnq
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njp7,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njp7-1-master.tif,25,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_62,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], girl dancer close-up, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njp7
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njqr,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njqr-1-master.tif,26,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_51,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], gourd tied around waist, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njqr
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njr8,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njr8-1-master.tif,27,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_80,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], earring with leaves and drop close-up, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njr8
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njss,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njss-1-master.tif,28,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_71,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], performers sitting with spectators [view from behind], 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njss
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njt9,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njt9-1-master.tif,29,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_94,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], necklaces close-up, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njt9
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njvt,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njvt-1-master.tif,30,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_85,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], woman dancer 4, close-up, 1982 or 1985, [view 1]",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njvt
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njwb,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njwb-1-master.tif,31,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_52,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], men holding gourds, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njwb
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njxv,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njxv-1-master.tif,32,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_68,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], performers sitting with spectators [view from behind], 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njxv
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008njzc,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008njzc-1-master.tif,33,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_76,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], performers sitting with spectators, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008njzc
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008nk0c,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008nk0c-1-master.tif,34,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_91,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], hands holding flowers close-up, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008nk0c
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008nk1w,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008nk1w-1-master.tif,35,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_63,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], girl dancer close-up, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008nk1w
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008nk2d,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008nk2d-1-master.tif,36,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_53,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], men holding gourds, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008nk2d
