Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Thumbnail,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Subject,Name.subject,Name.creator,Rights.servicesContact,Language,Name.repository,Name.artist,Rights.permission,Name.photographer,Name.correspondent,Description.note,Alt ID.local,AltTitle.other,Title,Date.creation,Format.extent,Date.normalized,Coverage.geographic,Alt ID.collection,Description.caption,Alt ID.url,Summary,Relation.url,Opac url,Finding Aid URL,Alt ID.mp4,Format.medium,Relation.isPartOf
Huxley (Aldous) Collection,ark:/21198/zz002557d0,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz002557d0_1655047_master.tif,28,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|Houses",,,,zxx,,,Y,,,"The exterior of the home of writer Aldous Huxley and his family, in Wrightwood, CA during snow season, circa late 1940s (1946-1949).",YRLSC_2009_00028,"Huxley family house during snow season in Wrightwood, CA [descriptive]",,1946-1949,,1946/1949,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002557fh,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz002557fh_1655218_master.tif,29,,,,,black-and-white photographs,still image,copyrighted,,"Huxley, Aldous, $d 1894-1963 $x Homes and haunts",,,zxx,,,Y,,,"Appears to be the same livingroom that is seen in image YRLSC_2009_00030.|~|Identified as the interior of the Huxley home, possibly the livingroom: two doorways, stairs, a bookshelf, the corner of a couch. The location of the house is unknown.",YRLSC_2009_00029,Huxley house interior [descriptive],,[1945-1955?],,1945/1955,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002557g1,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz002557g1_1655386_master.tif,30,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955",,,zxx,,,Y,,,,0030|~|YRLSC_2009_00030,Aldous and Maria Huxley seated on a couch,,[between 1919 and 1955],1 photograph : b&w,1919/1955,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002557hj,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz002557hj_1655574_master.tif,31,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|Gurus--United States","Huxley, Aldous, 1894-1963|~|Prabhavananda, Swami, 1893-1976|~|Huxley, Maria, $d 1899-1955",,,zxx,,,Y,,,"Writer Aldous Huxley and first wife Maria Nys Huxley, seated with spiritual leader Swami Prabhavanda and two unidenitified women. Circa 1940-1949.",YRLSC_2009_00031,Aldous and Maria Huxley with Swami Prabhavanda and two unidentified women [descriptive],,1940-1949,1 photograph : b&w,1940/1949,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002557j2,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz002557j2_1655720_master.tif,32,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Prabhavananda, Swami, 1893-1976|~|Huxley, Maria, $d 1899-1955",,,zxx,,,Y,,,,0032|~|YRLSC_2009_00032,Aldous and Maria Huxley with Swami Prabhavanda and one unidentified woman,,[between 1938 and 1955],1 photograph : b&w,1938/1955,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002557kk,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,33,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557kk%2F3t89cs6d,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|Biologists $z Great Britain","Huxley, Aldous, 1894-1963|~|Huxley, Julian, 1887-1975",,,eng,,,Y,"Glass, Douglas",,"Image of writer Aldous Huxley, seated and talking with brother Julian, circa 1955-1963. Reverse side: stamp of photographer's company, ""Aldous and Julian Huxley"", ""Please return To L.H."", ""Only Copy"".",YRLSC_2009_00033,"Aldous and Julian Huxley seated, talking (1) [descriptive]",,1955-1963,1 photograph : b&w,1955/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002557m3,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,34,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557m3%2Fts96ck8m,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|Biologists $z Great Britain","Huxley, Aldous, 1894-1963|~|Huxley, Julian, 1887-1975",,,eng,,,Y,,,"Image of writer Aldous Huxley, seated and talking with brother Julian Huxley, circa 1955-1963. Reverse side: stamp of photographer's company, ""Aldous and Julian Huxley"", ""only copy"", ""Please return to L.H.""",YRLSC_2009_00034,"Aldous and Julian Huxley seated, talking (2) [descriptive]",,1955-1963,1 photograph : b&w,1955/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002557nm,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz002557nm_1655735_master.tif,35,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|Biologists $z Great Britain","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955|~|Huxley, Julian, 1887-1975",,,zxx,,,Y,,,Writer Aldous Huxley photographed with first wife Maria Nys Huxley and brother Julian Huxley (Aldous and Maria's eyes are closed). Circa 1945-1955.,YRLSC_2009_00035,Aldous and Maria Huxley with Julian Huxley [descriptive],,1945-1955,1 photograph : b&w,1945/1955,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002557p4,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz002557p4_1655738_master.tif,36,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Hovde, Ellen|~|Huxley, Teresa|~|Huxley, Mark Trevenen",,,zxx,,,Y,,,"Writer Aldous Huxley, seated with grandson Tevennen (left), granddaughter Tessa (right), and unidentified woman (possibly Ellen Hovde, first wife of Mr. Huxley's son Matthew).",YRLSC_2009_00036,Aldous Huxley with grandchildren Trevenen and Tessa Huxley and unidentifed woman [descriptive],,1951-1955,1 photograph : b&w,1951/1955,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002557qn,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz002557qn_1655741_master.tif,37,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Mark Trevenen",,,zxx,,,Y,,,"Writer Aldous Huxley seated with grandson Trevenen, circa 1951-1955.",YRLSC_2009_00037,Aldous Huxley with grandson Trevenen Huxley [descriptive],,1951-1955,1 photograph : b&w,1951/1955,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002557r5,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz002557r5_1655744_master.tif,38,,,,,black-and-white photographs,still image,copyrighted,,"Huxley, Teresa",,,zxx,,,Y,"Sutro, Barbara",,"Portrait (profile) of Tessa Huxley (granddaughter of writer Aldous Huxley), seated on a statue, circa late 1950s-early 1960s. Signed by photographer Barbara Sutro.",YRLSC_2009_00038,"Tessa Huxley portrait profile, seated [descriptive]",,1958-1963,,1958/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002557sp,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz002557sp_1655747_master.tif,39,,,,,black-and-white photographs,still image,copyrighted,,"Huxley, Mark Trevenen",,,zxx,,,Y,"Sutro, Barbara",,"Portrait (close-up) of Trevenen Huxley, grandson of writer Aldous Huxley, circa late 1950s-early 1960s. Signed by photographer Barbara Sutro.",YRLSC_2009_00039,"Trevenen Huxley portrait, close up [descriptive]",,1957-1960,,1957/1960,,,,,,,,,,,
