Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,Delete in Title,Thumbnail,viewingHint,Type.typeOfResource,Rights.copyrightStatus,Rights.countryCreation,Rights.permission,Rights.rightsHolderContact,Language,Name.subject,Name.repository,Name.creator,Subject,Title,Date.creation,AltTitle.other,Description.note,Date.normalized,IIIF Manifest URL
Network Measurement Center Collection,ark:/21198/zz002djg9n,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p7m3q,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Announcement of Changes in NIC Services,9-OCT-74,Misc. Network Note #31,"""Effective July 1, 1974, the scope and kinds of services provided by the Network Information Center will be reduced at ARPA's request. This note describes the NIC services SRI-ARC has proposed that ARPA support after July 1, 1974. It also describes those current NIC services that will be discontinued on that date.""",,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djg9n/manifest
Network Measurement Center Collection,ark:/21198/zz002djgb5,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1184t3r,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Mail Queueing,5-AUG-74,Misc. Network Note #32,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djgb5/manifest
Network Measurement Center Collection,ark:/21198/zz002djgcp,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3jv8,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Network Liaison List,14-OCT-74,Misc. Network Note #33,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djgcp/manifest
Network Measurement Center Collection,ark:/21198/zz002djgd6,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g75190,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Field Installation Schedule #11,20-JUN-75,Misc. Network Note #35,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djgd6/manifest
Network Measurement Center Collection,ark:/21198/zz002djgfq,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj077w,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",en,,Kleinrock Internet History Center,,ARPANET (Computer network),Field Installation Schedule #12,21-JUL-75,Misc. Network Note #36,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djgfq/manifest
Network Measurement Center Collection,ark:/21198/zz002djgg7,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t564w,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Field Installation Schedule #13,2-OCT-75,Misc. Network Note #37,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djgg7/manifest
Network Measurement Center Collection,ark:/21198/zz002djghr,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns2fhk,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",en,,Kleinrock Internet History Center,,ARPANET (Computer network),Field Installation Schedule #14,24-OCT-75,Misc. Network Note #38,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djghr/manifest
Network Measurement Center Collection,ark:/21198/zz002djgj8,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1127d66,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",en,,Kleinrock Internet History Center,,ARPANET (Computer network),Field Installation Schedule #16,18-MAR-76,Misc. Network Note #39,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djgj8/manifest
Network Measurement Center Collection,ark:/21198/zz002djgks,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h43c2h,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",en,,Kleinrock Internet History Center,,ARPANET (Computer network),"Official Initial Connection Protocol, Document #2",11-JUN-71,Protocol Specification NIC #7101,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djgks/manifest
Network Measurement Center Collection,ark:/21198/zz002djgnt,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030c3t,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",en,,Kleinrock Internet History Center,,ARPANET (Computer network),"IFIP/INWG Meeting, NPL, 1978 May 12",12-MAY-78,,Pages 1-6 of 13 scanned,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djgnt/manifest
Network Measurement Center Collection,ark:/21198/zz002djgpb,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw72n4,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Letter from D.L.A. Barber to G. LeLann,22-MAY-78,,Letter from D.L.A. Barber to G. LeLann concerning the results of questionnaire on distributed processing systems,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002djgpb/manifest
Network Measurement Center Collection,ark:/21198/zz002dwrbh,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m4tcb,individuals,text,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",en,,Kleinrock Internet History Center,,ARPANET (Computer network),ARPANET Satellite System Note 3,24-APR-72,ASS Note 3,,1972-04-24,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dwrbh/manifest
Network Measurement Center Collection,ark:/21198/zz002dwrc1,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c8hz8,individuals,text,copyrighted,US,,"Y|~|Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",en,,Kleinrock Internet History Center,,ARPANET (Computer network),ARPANET Satellite System Note 4,01-MAY-72,ASS Note 4,,1972-05-01,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dwrc1/manifest
Network Measurement Center Collection,ark:/21198/zz002dwrdj,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w686dx,individuals,text,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",en,,Kleinrock Internet History Center,,ARPANET (Computer network),ARPANET Satellite System Note 5,04-MAY-72,ASS Note 5,,1972-05-04,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dwrdj/manifest
Network Measurement Center Collection,ark:/21198/zz002dwrf2,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c556f7,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),ARPANET Satellite System Note 6,08-MAY-72,ASS Note 6,,1972-05-08,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dwrf2/manifest
Network Measurement Center Collection,ark:/21198/zz002dwrgk,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001nr0,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),ARPANET Satellite System Note 7,10-MAY-72,ASS Note 7,,1972-05-10,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dwrgk/manifest
Network Measurement Center Collection,ark:/21198/zz002dwrh3,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r5cb1,individuals,text,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",en,,Kleinrock Internet History Center,,ARPANET (Computer network),ARPANET Satellite System Note 8,26-JUN-72,ASS Note 8,,1972-06-26,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dwrh3/manifest
Network Measurement Center Collection,ark:/21198/zz002dwrjm,ark:/21198/zz002dj6hw,1,In progress,Work,,,,private,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d23j76,individuals,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),ARPANET Satellite System Note 9,03-JUL-72,ASS Note 9,,1972-07-03,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dwrjm/manifest
Network Measurement Center Collection,ark:/21198/zz002h28fs,ark:/21198/zz002dj6hw,1,In progress,Work,,,,private,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg9947,individuals,text,,,,,en,Digital Equipment Corporation,Kleinrock Internet History Center,"Kleinrock, Leonard",,Variable Delay Unit Notes [1] Monostable Multivibrator,13 Sep 1957,,,1957-09-13,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h28fs/manifest
Network Measurement Center Collection,ark:/21198/zz002h28ht,ark:/21198/zz002dj6hw,1,In progress,Work,,,,private,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1795r79,individuals,text,,,,,en,Digital Equipment Corporation,Kleinrock Internet History Center,"Kleinrock, Leonard",,Variable Delay Unit Notes [2] Flip-Flop with External Delay,1957,,,1957,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h28ht/manifest
Network Measurement Center Collection,ark:/21198/zz002h28jb,ark:/21198/zz002dj6hw,1,In progress,Work,,,,private,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4h24,individuals,text,,,,,en,Digital Equipment Corporation,Kleinrock Internet History Center,"Kleinrock, Leonard",,Variable Delay Unit Notes [3] Trigger level,1957,,,1957,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h28jb/manifest
Network Measurement Center Collection,ark:/21198/zz002h28nw,ark:/21198/zz002dj6hw,1,In progress,Work,,,,private,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q830qq,individuals,text,,,,,en,"Kleinrock, Leonard",Kleinrock Internet History Center,"Kleinrock, Leonard",,Variable Delay Unit Notes [5] Ouput Pulse Width as a Function of Supply Voltages,11 Sep 1957,,,1957-09-11,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h28nw/manifest
Network Measurement Center Collection,ark:/21198/zz002h28pd,ark:/21198/zz002dj6hw,1,In progress,Work,,,,private,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv06p0,individuals,text,,,,,en,Digital Equipment Corporation,Kleinrock Internet History Center,"Kleinrock, Leonard",,Variable Delay Unit Notes [6] Circuit Schematic,1957,,,1957,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h28pd/manifest
Network Measurement Center Collection,ark:/21198/zz002h28qx,ark:/21198/zz002dj6hw,1,In progress,Work,,,,private,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29fw4,individuals,text,,,,,en,Digital Equipment Corporation,Kleinrock Internet History Center,"Kleinrock, Leonard",,Variable Delay Unit Notes [7] A Transistorized Variable Delay Unit,1957,,,1957,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h28qx/manifest
