Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Thumbnail,Type.typeOfResource,Type.genre,Subject,Name.repository,Name.creator,Name.subject,Subject geographic,Name.photographer,Rights.copyrightStatus,Date.creation,Date.normalized,Alt ID.local,Description.note,Coverage.temporal,Title,AltTitle.descriptive,Coverage.geographic,AltTitle.uniform,Alt ID.collection,Language,"Latitude, Longitude ",Relation.isPartOf,Format.dimensions,Format.medium ,Format.extent,AltTitle.creator
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gv1f9,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gv1f9-1-master.wav,,,,,,sound recording-musical|~|audio,Vocal|~|Traditional,"Sinhalese (Sri Lankan people)|~|Singhalese language|~|Folk songs, Sinhalese--Sri Lanka|~|Sinhalese language|~|Singhalese (Sri Lankan people)","University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan","Hendrik, W. H. ",,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 25, 1938",1938-01-25,6102-3|~|cleth_196906_amr6102_item03.wav|~|90.1.3,"Singer: W. H. Hendrik, School instructor. Chorus: Martin And Balaya, singers from Kegalle, employed at the school.|~|TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: The house of Mr. E.A. Delgoda in Hiramagagma, Hiramadagma.<br>Country of recording: Sri Lanka (Ceylon)|~|Percussion (beatkeeper and drum). Vocal: Leader - Chorus.<br>Item time: 2:45 min.<br>Piece begins at :09.",1938-1939,Reaping song,,Sri Lanka,,,,,,,,02:45 min. ,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gv1gt,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gv1gt-1-master.wav,,,,,,sound recording-musical|~|audio,Vocal|~|Traditional,"Sinhalese (Sri Lankan people)|~|Singhalese language|~|Folk songs, Sinhalese--Sri Lanka|~|Sinhalese language|~|Singhalese (Sri Lankan people)","University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan","Hendrik, W. H. ",,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 25, 1938",1938-01-25,6102-4|~|cleth_196906_amr6102_item04.wav|~|90.1.4,"Percussion (beatkeeper and drum). Vocal: Leader - Chorus.<br>Item time: 3:27 min.<br>Dropout for 6 sec at ~1:23.|~|TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: The house of Mr. E.A. Delgoda in Hiramagagma, Hiramadagma.<br>Country of recording: Sri Lanka (Ceylon)|~|Singer: W. H. Hendrik, School instructor. Chorus: Martin And Balaya, singers from Kegalle, employed at the school.",1938-1939,Threshing song,,Sri Lanka,,,,,,,,03:27 min. ,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gv1hb,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gv1hb-1-master.wav,,,,,,sound recording-musical|~|audio,Vocal|~|Traditional,"Sinhalese (Sri Lankan people)|~|Singhalese language|~|Folk songs, Sinhalese--Sri Lanka|~|Sinhalese language|~|Singhalese (Sri Lankan people)","University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan","Hendrik, W. H. ",,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 25, 1938",1938-01-25,90.1.5|~|6102-5|~|cleth_196906_amr6102_item05.wav,"TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: The house of Mr. E.A. Delgoda in Hiramagagma, Hiramadagma.<br>Country of recording: Sri Lanka (Ceylon)|~|Singer: W. H. Hendrik, School instructor. Chorus: Martin And Balaya, singers from Kegalle, employed at the school.|~|Vocal: Solo.<br>Item time: 2:19 min.",1938-1939,Narendraguha,,Sri Lanka,,,,,,,,02:19 min. ,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gv1jv,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gv1jv-1-master.wav,,,,,,sound recording-musical|~|audio,Vocal|~|Traditional,"Sinhalese (Sri Lankan people)|~|Singhalese language|~|Folk songs, Sinhalese--Sri Lanka|~|Sinhalese language|~|Singhalese (Sri Lankan people)","University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan","Hendrik, W. H. ",,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 25, 1938",1938-01-25,90.1.6|~|6102-6|~|cleth_196906_amr6102_item06.wav,"Singer: W. H. Hendrik, School instructor. Chorus: Martin And Balaya, singers from Kegalle, employed at the school.|~|Percussion (beatkeeper). Vocal: Chorus in heterophony.<br>Item time: 2:21 min.|~|TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: The house of Mr. E.A. Delgoda in Hiramagagma, Hiramadagma.<br>Country of recording: Sri Lanka (Ceylon)",1938-1939,Adam's Peak,,Sri Lanka,,,,,,,,02:21 min. ,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gv1kc,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gv1kc-1-master.wav,,,,,,sound recording-musical|~|audio,Vocal|~|Traditional,"Singing|~|Folk songs, Sinhalese--Sri Lanka|~|Sri Lanka--Folklore","University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan","Hendrik, W. H. ",,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 25, 1938",1938-01-25,cleth_196906_amr6102_item07.wav|~|6102-7|~|90.1.7,"Singer: W. H. Hendrik, School instructor. Chorus: Martin And Balaya, singers from Kegalle, employed at the school.|~|TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: The house of Mr. E.A. Delgoda in Hiramagagma, Hiramadagma.<br>Country of recording: Sri Lanka (Ceylon)|~|Vocal: Chorus.<br>Item time: 1:00 min.<br>Stops abruptly.",1938-1939,Turanga vanama,,Sri Lanka,,,,,,,,01:00 min. ,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gvx04,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gvx04-1-master.wav,,,,,,sound recording-musical|~|audio,Dance|~|Vocal|~|Traditional,Singing|~|Dance|~|Folk music--Sri Lanka,"University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan","Sinha, D. W.",,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 28, 1938",1938-01-28,90.1.8|~|6102-8|~|cleth_196906_amr6102_item08.wav,"Percussion (beatkeeper). Vocal: Chorus.<br>Item time: 1:16 min.<br>|~|TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: Near Colombo, Ceylon at the country house of Mr. R.N. Panabukke.<br>Country of recording: Sri Lanka (Ceylon)|~|Sung by: D.W. Sinha, Dulwela",1938-1939,Invocation (beginning of dance),,Colombo (Sri Lanka),,,,,,,,01:16 min. ,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gvx1n,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gvx1n-1-master.wav,,,,,,sound recording-musical|~|audio,Dance|~|Vocal|~|Traditional,Singing|~|Dance|~|Folk music--Sri Lanka,"University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan","Rankira, Malagamanagura ",,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 28, 1938",1938-01-28,cleth_196906_amr6102_item09.wav|~|90.1.9|~|6102-9,"TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: Near Colombo, Ceylon at the country house of Mr. R.N. Panabukke.<br>Country of recording: Sri Lanka (Ceylon)|~|Percussion (beatkeeper). Vocal: Chorus; Solo.<br>Item time: 5:31 min.<br>Dropout for 2 or 3 sec at ~4:18.|~|Sung by: Malagamanagura Rankira",1938-1939,Ukusavannama,Ukusa Wannama (Dance),Colombo (Sri Lanka),,,,,,,,05:31 min. ,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gvx25,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gvx25-1-master.wav,,,,,,sound recording-musical|~|audio,Vocal|~|Traditional,Singing|~|Folk music--Sri Lanka,"University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan","Vederal, Kiulpane ",,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 28, 1938",1938-01-28,90.1.10|~|cleth_196906_amr6102_item10.wav|~|6102-10,"Sung by: Kiulpane Vederal|~|Percussion (beatkeeper). Vocal: Chorus.<br>Item time: 2:44 min.<br>Begins and ends abruptly.|~|TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: Near Colombo, Ceylon.<br>Country of recording: Sri Lanka (Ceylon)",1938-1939,Song about Lord Buddha,,Colombo (Sri Lanka),,,,,,,,02:44 min. ,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gvx3p,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gvx3p-1-master.wav,,,,,,sound recording-musical|~|audio,Vocal|~|Traditional,Rituals|~|Incantations|~|Sri Lanka--Folklore,"University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan",,,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 28, 1938",1938-01-28,cleth_196906_amr6103_item01.wav|~|91.1.1|~|6103-1,"TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: Near Colombo, Ceylon at the country house of Mr. R.N. Panabukke.<br>Country of recording: Sri Lanka (Ceylon)|~|From Dambane District. Singer introduces each piece.|~|Vocal: Solo.<br>Item time: 1:00 min.",1938-1939,Veddah Incantations,,Colombo (Sri Lanka),,,,,,,,01:00 min. ,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gvx46,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gvx46-1-master.wav,,,,,,sound recording-musical|~|audio,Vocal|~|Traditional,Singing|~|Folk music--Sri Lanka,"University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan",,,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 28, 1938",1938-01-28,91.1.2|~|6103-2|~|cleth_196906_amr6103_item02.wav,"Vocal: Solo.<br>Item time: 1:15 min.<br>Ends abruptly.|~|TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: Near Colombo, Ceylon at the country house of Mr. R.N. Panabukke.<br>Country of recording: Sri Lanka (Ceylon)",1938-1939,Veddah Song,,Colombo (Sri Lanka),,,,,,,,01:15 min. ,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gvx5q,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gvx5q-1-master.wav,,,,,,sound recording-musical|~|audio,Vocal|~|Traditional,Singing|~|Folk music--Sri Lanka,"University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan",,,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 28, 1938",1938-01-28,6103-3|~|cleth_196906_amr6103_item03.wav|~|91.1.3,"TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: Near Colombo, Ceylon at the country house of Mr. R.N. Panabukke.<br>Country of recording: Sri Lanka (Ceylon)|~|Vocal: Solo.<br>Item time: 4:20 min.<br>Second piece begins at 1:20.",1938-1939,Veddah Boy's Song,,Colombo (Sri Lanka),,,,,,,,04:20 min. ,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gvx67,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gvx67-1-master.wav,,,,,,sound recording-musical|~|audio,Vocal|~|Traditional,Singing|~|Folk music--Sri Lanka,"University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan",,,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 28, 1938",1938-01-28,91.1.4|~|6103-4|~|cleth_196906_amr6103_item04.wav,"TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: Near Colombo, Ceylon at the country house of Mr. R.N. Panabukke.<br>Country of recording: Sri Lanka (Ceylon)|~|Percussion (beatkeeper and drum). Vocal: Chorus.<br>Item time: 2:50 min.<br>Ends abruptly.",1938-1939,Veddah Songs,,Colombo (Sri Lanka),,,,,,,,02:50 min. ,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002gvx7r,ark:/21198/zz002gcntd,1,In progress,Work,Bake-Jairazbhoy/audio/21198-zz002gvx7r-1-master.wav,,,,,,sound recording-musical|~|audio,Dance|~|Vocal|~|Traditional,Singing|~|Dance|~|Sinhalese (Sri Lankan people)|~|Singhalese language|~|Sinhalese language|~|Folk music--Sri Lanka|~|Singhalese (Sri Lankan people),"University of California, Los Angeles. Ethnomusicology Archive","Bake, Arnold Adriaan",,,,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu","January 28, 1938",1938-01-28,6103-5|~|cleth_196906_amr6103_item05.wav|~|91.1.5,"Sung by: Ranaide and Pingirale of Wallada|~|Percussion (beatkeeper and drum). Vocal: Chorus.<br>Item time: 4:18 min.<br>Probably two pieces. First piece ends abruptly.|~|TEFI recordings made by Dr. A. A. Bake in India, 1938-1939.<br>Place of recording: Near Colombo, Ceylon at the country house of Mr. R.N. Panabukke.<br>Country of recording: Sri Lanka (Ceylon)",1938-1939,Musaladivannama,Musaladi Wannama (Dance),Colombo (Sri Lanka),,,,,,,,04:18 min. ,
