Project Name,Item ARK,Parent ARK,Thumbnail,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Language,Name.creator,Subject,Type.genre,Name.repository,Relation.isPartOf,Coverage.geographic,Title,Date.creation,Date.normalized,Description.abstract,Alt ID.local,Format.extent,Format.dimensions,AltTitle.descriptive,Opac url,AltTitle.other,Finding Aid URL,Description.note,IIIF Manifest URL
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz001hnt1j,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hnt22,2,Completed,Work,,12,,,paged,,,,text,spa|~|nah,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,Doña Juana de Bargas Machuca vs. Santiago Joseph de Galicia,"c. 1763 - September 20, 1764",1763/1764,Documents relating to the dispute between the aged widow Doña Juana de Bargas Machuca and the indigenous man Don Santiago Joseph de Galicia. Dispute pertains to an apple orchard and includes witness testimonies.,"Box 2, Folder 10",12 leaves,31 x 21 cm,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hnt1j/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz001hp7tp,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hp7v6,2,Completed,Work,,13,,,paged,,,,text,spa|~|nah,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Will of Domingo de la Cruz, and Statement on the death of Domingo Rosales","March 1 - September 12, 1768",1768,"Will of Domingo de la Cruz including text relating to the death of an indigenous man, Domingo Rosales.","Box 2, Folder 14",1 bifolium,31 x 21 cm.,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hp7tp/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz001hp8bx,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hp8cf,2,Completed,Work,,14,,,paged,,,,text,spa|~|nah,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,Broadside,"October 18, 1774",1774-10-18,"Broadside announcement. On recto: record of a land sale by Luis José Casares to his cousin; record ordering a new election for indigenous leadership positions, with a list of names (possibly candidates).","Box 2, Folder 18",1 bifolium,31 x 21 cm.,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hp8bx/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz002bcgfn,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bcgg5,10,Completed with minimal metadata,Work,,15,,,paged,,private,,text,spa,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Box ?, Folder 5",1792-1793,1792/1793,"""Bula de composicion para los Reynos de Indias.""","Box 1, Folder 5",3 items,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bcgfn/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz002bcgr9,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bcgst,4,Derived,Work,,16,,,paged,,private,,text,spa,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,Folder 6,"1567 - January 2, 1573",1567/1573,"Anachronistic compilation of petitions, sewn together. Most were presented to the alcalde mayor (chief magistrate), Don Pedro Ladron de Guevara. Documents primarily concern economic or material redress and reference the districts of Singuilucan, Acatlán.","Box 1, Folder 6",58 leaves,33 x 22 cm,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bcgr9/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz002bfgz9,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bfh09,2,Completed,Work,,17,,,paged,,private,,text,spa,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,Folder 8,"January 25 - February 11, 1575",1575,"Documents relating to the suit of Don Martín Cortés, Marqués del Valle, versus Hernando de Paz over the estancia of Acatlán. Cover page indicates the documents contain the ""probanzas y testimonios"" of the case. Case file begins with the original decision.","Box 1, Folder 8",12 leaves,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bfgz9/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz002bfm5b,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bfm6v,2,Completed,Work,,18,,,paged,,private,,text,spa,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Box 1, Folder 9","September 6, 1582",1582-09-06,"Incomplete copy of the dowry of Doña Catalina de Arellano, in her marriage to Francisco de Terrazas, encomendero of Tulancingo (and Jaltepec?); no date given for transcription; Arellano received 22,000 gold pesos.","Box 1, Folder 9",1 bifolium,31 x 22 cm,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bfm5b/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz002bfmcf,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bfmdz,2,Completed,Work,,19,,,paged,,private,,text,spa,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Box 1, Folder 12","July 31, 1589 - March 15, 1590",1589/1590,"Case documents relating to Francisco de Terrazas, encomendero of Tulancingo, who charged Diego de Suares de Peredo with the theft of six colts. Includes documents that do not relate directly to the case but do refer to Terrazas.","Box 1, Folder 12",4 bifolia,31 x 22 cm,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bfmcf/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz002bfmz7,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bfn07,2,Completed,Work,,20,,,paged,,private,,text,spa,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Box 1, Folder 16",1634 - 1641,1634/1641,Compilation of documents relating to the estate of Pedro de la Mora and Doña Felipa de Arteaga. Their daughter Doña Maria Ordoñez petitioned her uncle Andres de la Mora for the release of these papers so the possessions could be divided amongst the heirs,"Box 1, Folder 16",142 leaves,31 x 22 cm.,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bfmz7/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz002bpgxx,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bpgzf,2,Completed,Work,,21,,,paged,,private,,text,spa,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Box 1, Folder 20","November 21 - December 19, 1643",,"Provision from the Real Audiencia. Diego Lopez de Escobar was the guardian ad litem for the children of Juan Vibaldo [Bibaldo] de Mirabal and Ynes de Escobar, both deceased. The court ruled against Antonio de Mendoça.","Box 1, Folder 20",1 bifolium,31 x 22 cm,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bpgxx/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz002bph30,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bph4h,2,Completed,Work,,22,,,paged,,private,,text,spa,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,Folder 22,"July 10 - 15, 1645",1645,Provision from the Real Audiencia concerning the criminal case of Francisco Ordoñez and his wife Cathalina Dominguez versus Miguel Caro. Caro was found guilty of assaulting Cathalina; he was sentenced and paid his bail.,"Box 1, Folder 22",1 bifolium,31 x 21 cm,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bph30/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz002bph8k,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bph93,2,Completed,Work,,23,,,paged,,private,,text,spa,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,Folder 24,"July 27-29, 1660",1660,"Provision from the Real Audiencia. Ana Gomes Montte Agudo was in a dispute with Juan Sanches de Montoya, a local merchant, over her deceased husband's debt. With the official seal and signatures of the oidores.","Box 1, Folder 24",1 bifolium,30 x 21 cm,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bph8k/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz002bphf5,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bphgp,2,Completed,Work,,24,,,paged,,private,,text,spa,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,Folder 26,"November 5 - 7, 1675",1675,Document concerning the mill of Santiago (Molino de Santiago) in Tulantepec.,"Box 1, Folder 26",1 bifolium,31 x 22 cm,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bphf5/manifest
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073",ark:/21198/zz002bphmr,ark:/21198/zz0009gvf4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bphn8,2,Completed,Work,,25,,,paged,,private,,text,spa,,"Indians of Mexico --Legal status, laws, etc.--History--Sources|~|Nahuatl language --Texts|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Tulancingo (Hidalgo, Mexico) --Trials, litigation, etc. --Archival resources.|~|Tulancingo (Hidalgo, Mexico) --History --Sources.",manuscripts (document genre),,"Tulancingo (Hildalgo, Mexico) Manuscript Collection (Collection Number 2073). Department of Special Collections, Charles E. Young Research Library, UCLA",,Folder 27,"October 9, 1713",1713-10-09,"Estate inventory indicating the monetary values of Baños' personal property, including houses on a hacienda named Guaxomulco. Prepared by Francisco de Medel, a local merchant.","Box 1, Folder 27",2 bifolia,31 x 22 cm,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bphmr/manifest
