Object Type,Parent ARK,Item ARK,File name,local ID,Title,Publisher.place,Contributor.editor,volume | issue,Date.created (single),Date.created,Language | code,TypeOfResource,Genre,PhysicalDescription.extent,Institution/Repository,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Note.content,Subject.topic
Work,ark:/21198/z1bc6271,ark:/21198/z1sf4zxq,ihc_bohemia_19100716.pdf,ihc_bohemia_19100716,Revista Bohemia 1910-07-16,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 11,1910-07-15,16 de julio de 1910,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1np474w,ihc_bohemia_19100723.pdf,ihc_bohemia_19100723,Revista Bohemia 1910-07-23,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 12,1910-07-22,23 de julio de 1910,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1hx3gb8,ihc_bohemia_19100730.pdf,ihc_bohemia_19100730,Revista Bohemia 1910-07-30,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 13,1910-07-29,30 de julio de 1910,spa,text,magazines (periodicals),16 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1d52qkd,ihc_bohemia_19100806.pdf,ihc_bohemia_19100806,Revista Bohemia 1910-08-06,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 14,1910-08-05,6 de agosto de 1910,spa,text,magazines (periodicals),16 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z18d1zxk,ihc_bohemia_19100813.pdf,ihc_bohemia_19100813,Revista Bohemia 1910-08-13,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 15,1910-08-12,13 de agosto de 1910,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z14n1790,ihc_bohemia_19100820.pdf,ihc_bohemia_19100820,Revista Bohemia 1910-08-20,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 16,1910-08-19,20 de agosto de 1910,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z10z960f,ihc_bohemia_19100827.pdf,ihc_bohemia_19100827,Revista Bohemia 1910-08-27,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 17,1910-08-26,27 de agosto de 1910,spa,text,magazines (periodicals),16 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1w68ph2,ihc_bohemia_19100903.pdf,ihc_bohemia_19100903,Revista Bohemia 1910-09-03,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 18,1910-09-02,3 de septiembre de 1910,spa,text,magazines (periodicals),14 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1rf7xsb,ihc_bohemia_19100910.pdf,ihc_bohemia_19100910,Revista Bohemia 1910-09-10,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 19,1910-09-09,10 de septiembre de 1910,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1mp75zn,ihc_bohemia_19100917.pdf,ihc_bohemia_19100917,Revista Bohemia 1910-09-17,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 20,1910-09-16,17 de septiembre de 1910,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1gx6f6w,ihc_bohemia_19100924.pdf,ihc_bohemia_19100924,Revista Bohemia 1910-09-24,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 21,1910-09-23,24 de septiembre de 1910,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1c55pjc,ihc_bohemia_19101001.pdf,ihc_bohemia_19101001,Revista Bohemia 1910-10-01,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 22,1910-09-30,1 de octubre de 1910,spa,text,magazines (periodicals),16 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z17h3n7c,ihc_bohemia_19101008.pdf,ihc_bohemia_19101008,Revista Bohemia 1910-10-08,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 23,1910-10-07,8 de octubre de 1910,spa,text,magazines (periodicals),14 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z13r2wkj,ihc_bohemia_19101015.pdf,ihc_bohemia_19101015,Revista Bohemia 1910-10-15,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 24,1910-10-14,15 de octubre de 1910,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z10024wz,ihc_bohemia_19101022.pdf,ihc_bohemia_19101022,Revista Bohemia 1910-10-22,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 25,1910-10-21,22 de octubre de 1910,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1v71nbs,ihc_bohemia_19101029.pdf,ihc_bohemia_19101029,Revista Bohemia 1910-10-29,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 26,1910-10-28,29 de octubre de 1910,spa,text,magazines (periodicals),11 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1qg0wkm,ihc_bohemia_19101105.pdf,ihc_bohemia_19101105,Revista Bohemia 1910-11-05,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 27,1910-11-04,5 de noviembre de 1910,spa,text,magazines (periodicals),14 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1kq04tt,ihc_bohemia_19101112.pdf,ihc_bohemia_19101112,Revista Bohemia 1910-11-12,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 28,1910-11-11,12 de noviembre de 1910,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1fx9d69,ihc_bohemia_19101119.pdf,ihc_bohemia_19101119,Revista Bohemia 1910-11-19,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 29,1910-11-18,19 de noviembre de 1910,spa,text,magazines (periodicals),17 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1b87bsv,ihc_bohemia_19101126.pdf,ihc_bohemia_19101126,Revista Bohemia 1910-11-26,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 30,1910-11-25,26 de noviembre de 1910,spa,text,magazines (periodicals),14 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z16h6m4f,ihc_bohemia_19101203.pdf,ihc_bohemia_19101203,Revista Bohemia 1910-12-03,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 31,1910-12-02,3 de diciembre de 1910,spa,text,magazines (periodicals),19 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z12r5vf5,ihc_bohemia_19101210.pdf,ihc_bohemia_19101210,Revista Bohemia 1910-12-10,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 32,1910-12-09,10 de diciembre de 1910,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1z05bw8,ihc_bohemia_19101217.pdf,ihc_bohemia_19101217,Revista Bohemia 1910-12-17,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 33,1910-12-16,17 de diciembre de 1910,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1t74m4h,ihc_bohemia_19101224.pdf,ihc_bohemia_19101224,Revista Bohemia 1910-12-24,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 01 | no. 34,1910-12-23,24 de diciembre de 1910,spa,text,magazines (periodicals),22 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1pg3vcb,ihc_bohemia_19110101.pdf,ihc_bohemia_19110101,Revista Bohemia 1911-01-01,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 01,1911-01-01,1 de enero de 1911,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1jq33qw,ihc_bohemia_19110108.pdf,ihc_bohemia_19110108,Revista Bohemia 1911-01-08,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 02,1911-01-08,8 de enero de 1911,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1f212cr,ihc_bohemia_19110115.pdf,ihc_bohemia_19110115,Revista Bohemia 1911-01-15,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 03,1911-01-15,15 de enero de 1911,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z19909rc,ihc_bohemia_19110122.pdf,ihc_bohemia_19110122,Revista Bohemia 1911-01-22,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 04,1911-01-22,22 de enero de 1911,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z15h9k02,ihc_bohemia_19110129.pdf,ihc_bohemia_19110129,Revista Bohemia 1911-01-29,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 05,1911-01-29,29 de enero de 1911,spa,text,magazines (periodicals),18 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z11r8t7w,ihc_bohemia_19110205.pdf,ihc_bohemia_19110205,Revista Bohemia 1911-02-05,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 06,1911-02-05,5 de febrero de 1911,spa,text,magazines (periodicals),12 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1x089p0,ihc_bohemia_19110212.pdf,ihc_bohemia_19110212,Revista Bohemia 1911-02-12,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 07,1911-02-12,12 de febrero de 1911,spa,text,magazines (periodicals),14 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1s77jz8,ihc_bohemia_19110219.pdf,ihc_bohemia_19110219,Revista Bohemia 1911-02-19,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 08,1911-02-19,19 de febrero de 1911,spa,text,magazines (periodicals),18 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1ng6tb9,ihc_bohemia_19110226.pdf,ihc_bohemia_19110226,Revista Bohemia 1911-02-26,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 09,1911-02-26,26 de febrero de 1911,spa,text,magazines (periodicals),16 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1ht4s19,ihc_bohemia_19110305.pdf,ihc_bohemia_19110305,Revista Bohemia 1911-03-05,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 10,1911-03-05,5 de marzo de 1911,spa,text,magazines (periodicals),16 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1d241c5,ihc_bohemia_19110312.pdf,ihc_bohemia_19110312,Revista Bohemia 1911-03-12,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 11,1911-03-12,12 de marzo de 1911,spa,text,magazines (periodicals),14 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z18938nf,ihc_bohemia_19110319.pdf,ihc_bohemia_19110319,Revista Bohemia 1911-03-19,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 12,1911-03-19,19 de marzo de 1911,spa,text,magazines (periodicals),22 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z14j2hvt,ihc_bohemia_19110326.pdf,ihc_bohemia_19110326,Revista Bohemia 1911-03-26,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 13,1911-03-26,26 de marzo de 1911,spa,text,magazines (periodicals),30 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z10s1s32,ihc_bohemia_19110402.pdf,ihc_bohemia_19110402,Revista Bohemia 1911-04-02,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 14,1911-04-02,2 de abril de 1911,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1w118km,ihc_bohemia_19110409.pdf,ihc_bohemia_19110409,Revista Bohemia 1911-04-09,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 15,1911-04-09,9 de abril de 1911,spa,text,magazines (periodicals),15 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1r80hz7,ihc_bohemia_19110416.pdf,ihc_bohemia_19110416,Revista Bohemia 1911-04-16,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 16,1911-04-16,16 de abril de 1911,spa,text,magazines (periodicals),16 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1mk8gks,ihc_bohemia_19110423.pdf,ihc_bohemia_19110423,Revista Bohemia 1911-04-23,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 17,1911-04-23,23 de abril de 1911,spa,text,magazines (periodicals),17 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1gt7qxz,ihc_bohemia_19110430.pdf,ihc_bohemia_19110430,Revista Bohemia 1911-04-30,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 18,1911-04-30,30 de abril de 1911,spa,text,magazines (periodicals),13 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z1c2706b,ihc_bohemia_19110507.pdf,ihc_bohemia_19110507,Revista Bohemia 1911-05-07,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 19,1911-05-07,7 de mayo de 1911,spa,text,magazines (periodicals),24 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
Work,ark:/21198/z1bc6271,ark:/21198/z17967c8,ihc_bohemia_19110514.pdf,ihc_bohemia_19110514,Revista Bohemia 1911-05-14,Havana (Cuba),Miguel Ángel Quevedo y Pérez,vol. 02 | no. 20,1911-05-14,14 de mayo de 1911,spa,text,magazines (periodicals),16 pages,Instituto de Historia de Cuba,unknown,published,"http://www.ihc.cu/, webmaster@ihc.cu",,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals
