Object Type,Title,Item ARK,Parent ARK,File Name,Item Sequence,Contents note,Date.created,Date.normalized,Format.extent,Genre,Language,Local identifier,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Name.editor,Subject topic,volume | issue,IIIF Manifest URL
Work,Revista Bohemia 1910-05-07,ark:/21198/z12v4jsk,ark:/21198/z1bc6271,,,,7 de mayo de 1910,1910-05-06,15 pages,magazines (periodicals),spa,ihc_bohemia_19100507,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 01,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12v4jsk/manifest
Work,Revista Bohemia 1910-07-23,ark:/21198/z1np474w,ark:/21198/z1bc6271,,,,23 de julio de 1910,1910-07-22,15 pages,magazines (periodicals),spa,ihc_bohemia_19100723,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 12,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1np474w/manifest
Work,Revista Bohemia 1910-07-30,ark:/21198/z1hx3gb8,ark:/21198/z1bc6271,,,,30 de julio de 1910,1910-07-29,16 pages,magazines (periodicals),spa,ihc_bohemia_19100730,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 13,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hx3gb8/manifest
Work,Revista Bohemia 1910-08-06,ark:/21198/z1d52qkd,ark:/21198/z1bc6271,,,,6 de agosto de 1910,1910-08-05,16 pages,magazines (periodicals),spa,ihc_bohemia_19100806,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 14,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d52qkd/manifest
Work,Revista Bohemia 1910-08-13,ark:/21198/z18d1zxk,ark:/21198/z1bc6271,,,,13 de agosto de 1910,1910-08-12,15 pages,magazines (periodicals),spa,ihc_bohemia_19100813,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 15,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18d1zxk/manifest
Work,Revista Bohemia 1910-08-20,ark:/21198/z14n1790,ark:/21198/z1bc6271,,,,20 de agosto de 1910,1910-08-19,15 pages,magazines (periodicals),spa,ihc_bohemia_19100820,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 16,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14n1790/manifest
Work,Revista Bohemia 1910-08-27,ark:/21198/z10z960f,ark:/21198/z1bc6271,,,,27 de agosto de 1910,1910-08-26,16 pages,magazines (periodicals),spa,ihc_bohemia_19100827,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 17,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10z960f/manifest
Work,Revista Bohemia 1910-09-03,ark:/21198/z1w68ph2,ark:/21198/z1bc6271,,,,3 de septiembre de 1910,1910-09-02,14 pages,magazines (periodicals),spa,ihc_bohemia_19100903,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 18,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w68ph2/manifest
Work,Revista Bohemia 1910-09-10,ark:/21198/z1rf7xsb,ark:/21198/z1bc6271,,,,10 de septiembre de 1910,1910-09-09,15 pages,magazines (periodicals),spa,ihc_bohemia_19100910,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 19,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rf7xsb/manifest
Work,Revista Bohemia 1910-09-17,ark:/21198/z1mp75zn,ark:/21198/z1bc6271,,,,17 de septiembre de 1910,1910-09-16,15 pages,magazines (periodicals),spa,ihc_bohemia_19100917,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 20,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mp75zn/manifest
Work,Revista Bohemia 1910-09-24,ark:/21198/z1gx6f6w,ark:/21198/z1bc6271,,,,24 de septiembre de 1910,1910-09-23,15 pages,magazines (periodicals),spa,ihc_bohemia_19100924,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 21,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gx6f6w/manifest
Work,Revista Bohemia 1910-10-01,ark:/21198/z1c55pjc,ark:/21198/z1bc6271,,,,1 de octubre de 1910,1910-09-30,16 pages,magazines (periodicals),spa,ihc_bohemia_19101001,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 22,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c55pjc/manifest
Work,Revista Bohemia 1910-10-08,ark:/21198/z17h3n7c,ark:/21198/z1bc6271,,,,8 de octubre de 1910,1910-10-07,14 pages,magazines (periodicals),spa,ihc_bohemia_19101008,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 23,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17h3n7c/manifest
Work,Revista Bohemia 1910-10-15,ark:/21198/z13r2wkj,ark:/21198/z1bc6271,,,,15 de octubre de 1910,1910-10-14,15 pages,magazines (periodicals),spa,ihc_bohemia_19101015,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 24,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13r2wkj/manifest
Work,Revista Bohemia 1910-10-22,ark:/21198/z10024wz,ark:/21198/z1bc6271,,,,22 de octubre de 1910,1910-10-21,15 pages,magazines (periodicals),spa,ihc_bohemia_19101022,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 25,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10024wz/manifest
Work,Revista Bohemia 1910-10-29,ark:/21198/z1v71nbs,ark:/21198/z1bc6271,,,,29 de octubre de 1910,1910-10-28,11 pages,magazines (periodicals),spa,ihc_bohemia_19101029,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 26,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v71nbs/manifest
Work,Revista Bohemia 1910-11-05,ark:/21198/z1qg0wkm,ark:/21198/z1bc6271,,,,5 de noviembre de 1910,1910-11-04,14 pages,magazines (periodicals),spa,ihc_bohemia_19101105,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 27,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qg0wkm/manifest
Work,Revista Bohemia 1910-11-12,ark:/21198/z1kq04tt,ark:/21198/z1bc6271,,,,12 de noviembre de 1910,1910-11-11,15 pages,magazines (periodicals),spa,ihc_bohemia_19101112,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 28,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kq04tt/manifest
Work,Revista Bohemia 1910-11-19,ark:/21198/z1fx9d69,ark:/21198/z1bc6271,,,,19 de noviembre de 1910,1910-11-18,17 pages,magazines (periodicals),spa,ihc_bohemia_19101119,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 29,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fx9d69/manifest
Work,Revista Bohemia 1910-11-26,ark:/21198/z1b87bsv,ark:/21198/z1bc6271,,,,26 de noviembre de 1910,1910-11-25,14 pages,magazines (periodicals),spa,ihc_bohemia_19101126,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 30,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b87bsv/manifest
Work,Revista Bohemia 1910-12-03,ark:/21198/z16h6m4f,ark:/21198/z1bc6271,,,,3 de diciembre de 1910,1910-12-02,19 pages,magazines (periodicals),spa,ihc_bohemia_19101203,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 31,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16h6m4f/manifest
Work,Revista Bohemia 1910-12-10,ark:/21198/z12r5vf5,ark:/21198/z1bc6271,,,,10 de diciembre de 1910,1910-12-09,15 pages,magazines (periodicals),spa,ihc_bohemia_19101210,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 32,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12r5vf5/manifest
Work,Revista Bohemia 1910-12-17,ark:/21198/z1z05bw8,ark:/21198/z1bc6271,,,,17 de diciembre de 1910,1910-12-16,15 pages,magazines (periodicals),spa,ihc_bohemia_19101217,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 33,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z05bw8/manifest
Work,Revista Bohemia 1910-12-24,ark:/21198/z1t74m4h,ark:/21198/z1bc6271,,,,24 de diciembre de 1910,1910-12-23,22 pages,magazines (periodicals),spa,ihc_bohemia_19101224,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 34,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t74m4h/manifest
Work,Revista Bohemia 1911-01-01,ark:/21198/z1pg3vcb,ark:/21198/z1bc6271,,,,1 de enero de 1911,1911-01-01,15 pages,magazines (periodicals),spa,ihc_bohemia_19110101,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 01,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pg3vcb/manifest
Work,Revista Bohemia 1911-01-08,ark:/21198/z1jq33qw,ark:/21198/z1bc6271,,,,8 de enero de 1911,1911-01-08,15 pages,magazines (periodicals),spa,ihc_bohemia_19110108,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jq33qw/manifest
Work,Revista Bohemia 1911-01-15,ark:/21198/z1f212cr,ark:/21198/z1bc6271,,,,15 de enero de 1911,1911-01-15,15 pages,magazines (periodicals),spa,ihc_bohemia_19110115,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 03,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f212cr/manifest
Work,Revista Bohemia 1911-01-22,ark:/21198/z19909rc,ark:/21198/z1bc6271,,,,22 de enero de 1911,1911-01-22,15 pages,magazines (periodicals),spa,ihc_bohemia_19110122,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 04,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19909rc/manifest
Work,Revista Bohemia 1911-01-29,ark:/21198/z15h9k02,ark:/21198/z1bc6271,,,,29 de enero de 1911,1911-01-29,18 pages,magazines (periodicals),spa,ihc_bohemia_19110129,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 05,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15h9k02/manifest
Work,Revista Bohemia 1911-02-05,ark:/21198/z11r8t7w,ark:/21198/z1bc6271,,,,5 de febrero de 1911,1911-02-05,12 pages,magazines (periodicals),spa,ihc_bohemia_19110205,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 06,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11r8t7w/manifest
Work,Revista Bohemia 1911-02-12,ark:/21198/z1x089p0,ark:/21198/z1bc6271,,,,12 de febrero de 1911,1911-02-12,14 pages,magazines (periodicals),spa,ihc_bohemia_19110212,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 07,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x089p0/manifest
Work,Revista Bohemia 1911-02-19,ark:/21198/z1s77jz8,ark:/21198/z1bc6271,,,,19 de febrero de 1911,1911-02-19,18 pages,magazines (periodicals),spa,ihc_bohemia_19110219,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 08,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s77jz8/manifest
Work,Revista Bohemia 1911-02-26,ark:/21198/z1ng6tb9,ark:/21198/z1bc6271,,,,26 de febrero de 1911,1911-02-26,16 pages,magazines (periodicals),spa,ihc_bohemia_19110226,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 09,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ng6tb9/manifest
Work,Revista Bohemia 1911-03-05,ark:/21198/z1ht4s19,ark:/21198/z1bc6271,,,,5 de marzo de 1911,1911-03-05,16 pages,magazines (periodicals),spa,ihc_bohemia_19110305,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 10,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ht4s19/manifest
Work,Revista Bohemia 1911-03-12,ark:/21198/z1d241c5,ark:/21198/z1bc6271,,,,12 de marzo de 1911,1911-03-12,14 pages,magazines (periodicals),spa,ihc_bohemia_19110312,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 11,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d241c5/manifest
Work,Revista Bohemia 1911-03-19,ark:/21198/z18938nf,ark:/21198/z1bc6271,,,,19 de marzo de 1911,1911-03-19,22 pages,magazines (periodicals),spa,ihc_bohemia_19110319,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 12,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18938nf/manifest
Work,Revista Bohemia 1911-03-26,ark:/21198/z14j2hvt,ark:/21198/z1bc6271,,,,26 de marzo de 1911,1911-03-26,30 pages,magazines (periodicals),spa,ihc_bohemia_19110326,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 13,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14j2hvt/manifest
Work,Revista Bohemia 1911-04-02,ark:/21198/z10s1s32,ark:/21198/z1bc6271,,,,2 de abril de 1911,1911-04-02,15 pages,magazines (periodicals),spa,ihc_bohemia_19110402,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Miguel Ángel Quevedo y Pérez,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 14,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10s1s32/manifest
