"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","Thumbnail","Type.typeOfResource","Type.genre","Subject","Name.repository","Name.creator","Name.subject","Subject geographic","Name.photographer","Rights.statementLocal","Rights.copyrightStatus","Date.creation","Date.normalized","Alt ID.local","Description.note","Subject temporal","Title","AltTitle.descriptive","Coverage.geographic","AltTitle.uniform","AltIdentifier.local","Language","Description.latitude","Description.longitude","Relation.isPartOf","Format.dimensions","Format.medium","Format.extent","AltTitle.creator","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfcxd","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/21198-zz002hfcxd_2258598_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame016","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 16","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfcxd","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfcxd/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfczx","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/21198-zz002hfczx_2258574_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame007","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 07","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfczx","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfczx/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfd0x","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/srgb/21198-zz002hfd0x_2258613_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame034","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 34","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfd0x","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfd0x/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfd1f","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/srgb/21198-zz002hfd1f_2257374_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame021","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 21","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfd1f","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfd1f/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfd2z","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/srgb/21198-zz002hfd2z_2257386_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame025","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 25","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfd2z","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfd2z/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfd3g","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/21198-zz002hfd3g_2258601_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","Catlin-Jairazbhoy, Amy","","","","","1984","1984","na84-1_slides_roll01_frame017","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 17   [Amy Catlin-Jairazbhoy]","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfd3g","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfd3g/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfd40","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/21198-zz002hfd40_2258571_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame006","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 06","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfd40","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfd40/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfd5h","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/srgb/21198-zz002hfd5h_2257410_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame033","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 33","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfd5h","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfd5h/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfd61","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/21198-zz002hfd61_2258604_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame018","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 18","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfd61","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfd61/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfd7j","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/21198-zz002hfd7j_2258565_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","Catlin-Jairazbhoy, Amy","","","","","1984","1984","na84-1_slides_roll01_frame004","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 04   [Amy Catlin-Jairazbhoy]","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfd7j","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfd7j/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfd82","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/21198-zz002hfd82_2258607_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame019","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 19","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfd82","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfd82/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfd9k","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/21198-zz002hfd9k_2258568_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","Catlin-Jairazbhoy, Amy","","","","","1984","1984","na84-1_slides_roll01_frame005","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 05   [Amy Catlin-Jairazbhoy]","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfd9k","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfd9k/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfdb3","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/srgb/21198-zz002hfdb3_2257395_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame028","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 28","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfdb3","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfdb3/manifest"
"Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts","ark:/21198/zz002hfdcm","ark:/21198/zz002gcntd","2","Complete","Work","Bake-Jairazbhoy/image/21198-zz002hfdcm_2258610_master.tif","","","","","","still image","slides (photographs)","","University of California, Los Angeles. Ethnomusicology Archive","","","","","","","1984","1984","na84-1_slides_roll01_frame020","Slide taken in 1984 when Nazir Jairazbhoy and Amy Catlin-Jairazbhoy visited the sites of A. A. Bake’s 1938 fieldwork in India.","","NA84-1 Slides: Roll 01, Frame 20","","","","","","","","","","","1 slide","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfdcm","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfdcm/manifest"
