"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","viewingHint","Type.typeOfResource","Rights.copyrightStatus","Name.sponsor","Name.subject","Name.publisher","Rights.servicesContact","Subject.conceptTopic","Type.genre","Language","Name.repository","Name.designer","Subject.uniformTitle","Name.photographer","Name.creator","Subject.geographicPlace","Coverage.geographic","Description.note","Date.normalized","Publisher.placeOfOrigin","Title","Date.creation","Alt ID.local","Format.extent","Description.caption","AltTitle.parallel","AltTitle.other","Publisher.publisherName","Opac url","Finding Aid URL","IIIF Manifest URL"
"Ethiopian Posters","ark:/21198/zz002hh0tf","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0tf%2Ftx60h19v","private","individuals","still image","","Ethiopia. $b YaṬénā ṭebaqā ministér|~|International Trachoma Initiative","","","","Ethiopians $x Health and hygiene|~|Trachoma $z Ethiopia $x Prevention|~|Eye $x Diseases $z Ethiopia $x Prevention","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Stylized eye with a rainbow arch in upper left corner of the image side of the poster. The same image is in the same place on the text side of the poster, in greyscale.|~|Part of a set of posters sponsored by the International Trachoma Initiative and Ethiopia's Ministry of Health.|~|Double-sided poster. One side is chiefly images and background is shades of orange. The other side is all text and in greyscale.|~|Image side of the poster: ""18"" in lower right corner. Text side of the poster ""19"" in lower right corner.|~|Two children receive medicine for treating trachoma. A baby receives tetracycline hydrochloride ointment in their eye. A child is being given a pill of Zithromax (azithromycin) while the adult holds a glass of water to wash the pill down. Another photograph shows both the ointment in a tube, and a bottle of Zithromax, along with five red pills. A drawing in the lower left corner is of a woman taking a pill while holding a glass of water.","1998/2010","[Addis Ababa (Ethiopia)?]","Children receiving medicine for trachoma [descriptive]","[between 1998 and 2010]","ucla_1922_box01_folder018_011","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh0tf/manifest"
"Ethiopian Posters","ark:/21198/zz002hh0wg","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0wg%2Fk1820j0f","private","individuals","still image","","Ethiopia. $b YaṬénā ṭebaqā ministér|~|International Trachoma Initiative","","","","Ethiopians $x Health and hygiene|~|Trachoma $z Ethiopia $x Prevention|~|Eye $x Diseases $z Ethiopia $x Prevention","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Stylized eye with a rainbow arch in upper left corner of the image side of the poster. The same image is in the same place on the text side of the poster, in greyscale.|~|Double-sided poster. One side is chiefly images and background is shades of orange. The other side is all text and in greyscale.|~|Part of a set of posters sponsored by the International Trachoma Initiative and Ethiopia's Ministry of Health.|~|A female doctor faces a female patient recovering from eye surgery. The doctor is wearing green scrubs and has her hair in a green surgical cap. Her left hand is on the patient's right arm. The patient wears a black headwrap, a white robe with a red and white edge (?), and a gauze eyepatch over her right eye. A drawing in the lower left corner of the poster is a woman in a purple headwrap with her right eye bandaged.|~|Image side of the poster: ""20"" in lower right corner. Text side of the poster ""21"" in lower right corner.","1998/2010","[Addis Ababa (Ethiopia)?]","Doctor talking to patient recovering from eye surgery [descriptive]","[between 1998 and 2010]","ucla_1922_box01_folder018_012","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh0wg/manifest"
"Ethiopian Posters","ark:/21198/zz002hh0zh","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0zh%2Fpp653n34","private","individuals","still image","","Ethiopia. $b YaṬénā ṭebaqā ministér|~|International Trachoma Initiative","","","","Ethiopians $x Health and hygiene|~|Trachoma $z Ethiopia $x Prevention|~|Eye $x Diseases $z Ethiopia $x Prevention","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Double-sided poster. Both sides have backgrounds in orange. One side is color photo images, the other side is color drawings.|~|Photo image side of the poster: ""22"" in lower right corner. Drawing image side of the poster ""23"" in lower right corner.|~|Photo image side: 4 images from other posters in the series. Doctor with eye surgery patient. Child taking trachoma medication. Woman sweeping outside of hut. Four children washing their faces.|~|Stylized eye with a rainbow arch in upper left corner of both sides of the poster.|~|Drawing side: Woman in a purple headwrap with her right eye bandaged. Woman in a green shirt is taking a red pill while holding a glass of water to wash it down. Man wearing a light green shirt washes his eyes while a hand pours water out of a pitcher. Woman in a light green dress uses a broom to sweep the floor.","1998/2010","[Addis Ababa (Ethiopia)?]","Four photos and four drawings from the trachoma poster set [descriptive]","[between 1998 and 2010]","ucla_1922_box01_folder018_013","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh0zh/manifest"
"Ethiopian Posters","ark:/21198/zz002hh5mr","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh5mr%2F6x67fv39","private","individuals","still image","","","International Conference on Federalism $n (5th : $d 2010 : $c Addis Ababa, Ethiopia)","","","Federal government $x Congresses|~|Congresses and conventions $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","2010","[Addis Ababa (Ethiopia)?]","What does federalism mean for me?","2010","ucla_1922_box02_folder013_004","1 poster : col.","Poster is two-sided, with text in Amharic on one side and text in English on the other side. Both sides depict a circle illustrated with puzzle-like pieces in green, yellow, red, and purple surrounding the emblem of Ethiopia; text is in green, yellow, and red, with checked boxes to the left of the yellow text.|~|5th International Conference on Federalism, Addis Ababa, Ethiopia 2010","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh5mr/manifest"
"Ethiopian Posters","ark:/21198/zz002hhnq2","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhnq2%2Fnn08n598","private","individuals","still image","","","","Health Education Center (Addis Ababa, Ethiopia)","","Health education $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopians $x Health and hygiene","Ethiopia","Poster is mostly white. An illustrated circle with spokes is in the center of the poster. The center hub image is of a hut with some small houses and a couple of black cows. Other images (clockwise from top): a woman burning trash; a woman cooking over a brick oven; a woman pumping water; a woman bathing by pouring water over herself; a woman putting dishes away; and a woman washing her hands after using the restroom.|~|Text is primarily Amharic. Publisher's logo is the only English.|~|Health Education Center logo in lower left corner.","2004/2005","[Addis Ababa (Ethiopia)]","A poster with small images of a woman practicing proper hygiene [descriptive]","[2004 or 2005?]","ucla_1922_box04_folder012_008","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhnq2/manifest"
"Ethiopian Posters","ark:/21198/zz002hhns3","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhns3%2F2f66f25n","private","individuals","still image","","","","Health Education Center (Addis Ababa, Ethiopia)","","Ethiopians $x Health and hygiene|~|Water $x Pollution $z Ethiopia|~|Sanitation $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","2-sided poster with image on one side and Amharic text on the other.|~|Logo for the Health Education Center on bottom of poster.|~|Two women are gathering water from a polluted river. Upstream, a man urinates into the water. Downstream, another man defecates on the riverbank while another man watches in disgust.|~|Text is primarily in Amharic. Publisher logo is the only English.","","[Addis Ababa (Ethiopia)]","Women gathering water from an unclean river [descriptive]","[2004 or 2005?]","ucla_1922_box04_folder012_009","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhns3/manifest"
"Ethiopian Posters","ark:/21198/zz002hhnv4","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhnv4%2F9k33c73m","private","individuals","still image","","","","Health Education Center (Addis Ababa, Ethiopia)","","Ethiopians $x Health and hygiene|~|Sanitation $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Health Education Center logo in the lower right corner.|~|Text is primarily Amharic, only English is in the publisher logo.|~|2-sided poster with an image on one side and Amharic text on the other side.|~|One man squats and defecates by a river by a village. Another man has picked carrots from a nearby garden and is eating them without washing them, as flies swarm around him.","2004/2005","[Addis Ababa (Ethiopia)]","Two men practicing poor toilet and eating habits [descriptive]","[2004 or 2005?]","ucla_1922_box04_folder012_010","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhnv4/manifest"
"Ethiopian Posters","ark:/21198/zz002hhp0p","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhp0p%2Fqb666s2f","private","individuals","still image","","","","Health Education Center (Addis Ababa, Ethiopia)","","Ethiopians $x Health and hygiene|~|Sanitation $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Poster shows examples of unclean practices with food and water. 1) Chickens allowed to eat and drink near a bucket of water. 2) A boy eats from the same bowl as a dog. 3) Mice and flies crawl all over food and plates. 4) A woman is cooking while a boy defecates nearby, and a cat sits near some food.|~|Text is primarily in Amharic. Only English is the publisher.|~|2-sided poster with image on one side, and Amharic text on the other.|~|Logo for the Health Education Center is in the lower right corner.","2004/2005","[Addis Ababa (Ethiopia)]","Examples of how not to handle food and water [descriptive]","[2004 or 2005?","ucla_1922_box04_folder013_001","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhp0p/manifest"
"Ethiopian Posters","ark:/21198/zz002hhp2q","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhp2q%2F6831mg8c","private","individuals","still image","","","","Health Education Center (Addis Ababa, Ethiopia)","","Ethiopians $x Health and hygiene|~|Hand washing|~|Sanitation $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Text is primarily in Amharic. Only English is the publisher.|~|Logo for the Health Education Center is in the lower right corner.|~|2-sided poster with image on one side and Amharic text on the other.|~|Appears to be a poster showing examples of poor hygiene. 1) A woman walks from a hut, possibly a bathroom area, to a food prep area and starts preparing food, with no sign of washing her hands. 2) A woman cleans up after a defecating boy and proceeds inside, without washing her hands. 3) People working in a cow pasture full of manure, and then a man getting a cup of water from a drinking bucket, without washing his hands.","2004/2005","[Addis Ababa (Ethiopia)]","Examples of poor hygiene from people not washing their hands [descriptive]","[2004 or 2005?]","ucla_1922_box04_folder013_002","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhp2q/manifest"
"Ethiopian Posters","ark:/21198/zz002hhp4r","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhp4r%2Ftt73x38n","private","individuals","still image","","","","Health Education Center (Addis Ababa, Ethiopia)","","Ethiopians $x Health and hygiene|~|Hand washing|~|Sanitation $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Logo for the Health Education Center is in the lower right corner.|~|Poster shows examples of people either washing their hands, or instructing people to wash their hands. 1) A woman washes her hands with a jug attached to a hut. 2) A woman pours water from a pitcher over another woman's hands. 3) A man instructs a boy to use the water jug attached to a hut.|~|Text is primarily in Amharic. Only English is the publisher.|~|2-sided poster with image on one side, and Amharic text on the other.","2004/2005","[Addis Ababa (Ethiopia)]","Examples of people washing their hands for good hygiene [descriptive]","[2004 or 2005]","ucla_1922_box04_folder013_003","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhp4r/manifest"
"Ethiopian Posters","ark:/21198/zz002hhp6s","ark:/21198/zz002h77vr","2","Completed","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhp6s%2F2h32854f","private","individuals","still image","","","","Health Education Center (Addis Ababa, Ethiopia)","","Ethiopians $x Health and hygiene|~|Sanitation $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Text is primarily in Amharic. Only English is the publisher.|~|Possibly a poster on dumping one's garbage and refuse away from the house or village. Shows several people, some distance from a village or pasture, pouring refuse and manure into piles. There is also a picture of a man digging something up by a water source.|~|Logo for the Health Education Center is in the lower right corner.|~|2 sided poster with image on one side and Amharic text on the other.","2004/2005","[Addis Ababa (Ethiopia)]","People disposing of garbage into piles [descriptive]","[2004 or 2005?]","ucla_1922_box04_folder013_004","1 poster : col.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhp6s/manifest"
