Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.creator,Language,Subject.conceptTopic,Rights.permission,Subject geographic,Author,Name.cartographer,Name.repository,Name.subject,Title,Coverage.geographiccoordinates,Publisher.publisherName,Description.note,Publisher.placeOfOrigin,Format.extent,Coverage.geographic,Alt ID.oclc,AltIdentifier.callNo,Alt ID.catalogRecordNumber,Opac url,Coverage.geoscale,AltTitle.descriptive,Alt ID.local,Note,Date.creation,Date.normalized,Alt ID.lccn,Description.abstract,IIIF Manifest URL
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jr2,ark:/21198/zz0028tr8x,2,Completed,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jr2%2Fpb18zh7m,cartographic,map,pd_usfed,,"Logan, C. A.",eng,Mines and mineral resources--California--El Dorado County--Maps,,El Dorado County (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Map of western portion, El Dorado County [California]",westernmost:W1210900|~|southernmost:N0383000|~|easternmost:W1202000|~|northernmost:N0390400,Division of Mines,"prepared by C.A. Logan, district mining engineer.|~|Includes text and location map.|~|""July 1938.""|~|""Key for El Dorado County map"" on verso.|~|""Plate II.""|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6648641"">UCLA Catalog Record</a>",[Sacramento]|~|cau,1 map : col. ; 45 x 59 cm.,California|~|El Dorado County,43244656,G4363 El Dorado Co. .H1 126 1938,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6648641,130000,,G4363_El_Dorado_Co_H1_126_1938_a,,1938,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jr2/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pnf,ark:/21198/zz0028tr8x,2,Completed,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297pnf%2Fj051fj07,cartographic,map,pd,,,eng,Real property--California--Alameda County--Statistics--Maps|~|Alameda County (Calif.)--Maps|~|Census districts--California--Alameda County--Maps|~|Dwellings--California--Alameda County--Statistics--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Eden Township census tract,,s.n.,"Blue line print.|~|Gives number and type of dwelling units, average monthly rental costs, and race of household.|~|Shows streets and railroads of the former Eden Township; parts of it have been incorporated into San Leandro and Hayward, the rest contains the communities of Castro Valley, San Lorenzo, and other unincorporated areas in Alameda County.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6666489"">UCLA Catalog Record</a>",cau|~|[S.l,"4 maps on 4 sheets : photocopy, hand col. ; sheets 129 x 129 cm or smaller.",Alameda County|~|California|~|Alameda County (Calif.),714646007,G4363 Alameda Co.-Eden Township .E2 1920?,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6666489,,,,,ca. 1920?,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297pnf/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pvj,ark:/21198/zz0028tr8x,2,Completed,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297pvj%2F1p83c37s,cartographic,map,copyrighted,,"Blackburn, O. V.",eng,Real property--California--Imperial County--Maps|~|Imperial Valley (Calif. and Mexico)--Maps|~|Imperial County (Calif.)--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Blackburn’s map of Imperial Valley of California,,O.V. Blackburn,"Partial cadastral maps, showing townships, range, sections, tracts, some ownership and supervisorial districts.|~|Blue line print.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=733830"">UCLA Catalog Record</a>",cau|~|Los Angeles,"2 maps : photocopy, both sides ; on sheet 69 x 49 cm.",California|~|Imperial County (Calif.)|~|Imperial Valley (Calif. and Mexico),21841623,G4363 Imperial Co. var Blackburn 1929,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=733830,250000|~|125000,Blackburn's map of Imperial County,,"Corr. May 10, 1929.","1929, c1919",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297pvj/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0fbp,ark:/21198/zz0028tr8x,2,Completed,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0fbp%2Fhw76qp5t,cartographic,map,pd_usfed,,"United States. Bureau of Plant Industry, Soils, and Agricultural Engineering.|~|Retzer, John L. (John Leonard). 1910-.|~|Lapham, Macy H. (Macy Harvey). b. 1874.|~|California Agricultural Experiment Station.",eng,Soils--California--Kings County--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Soil map, Kings County, California",,The Dept.,"U.S. Department of Agriculture, Agricultural Research Administration, Bureau of Plant Industry, Soils and Agricultural Engineering ; University of California, Agricultural Experiment Station.|~|Soil units uncolored.|~|""Surveyed in 1937-38.""|~|""Area inspected by Macy H. Lapham, senior soil scientist. Soil surveyed by John L. Retzer, U.S. Department of Agriculture, in charge, and R.A. Gardner, L.F. Koehler, and Ralph C. Cole, University of California.""|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3502605"">UCLA Catalog Record</a>",[Berkeley?]|~|cau,2 maps : col. ; 74 x 89 cm. & 54 x 103 cm.,California|~|Kings County,21703086,G4363 Kings Co. J3 62 USDA 1938,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3502605,63360,,,,1938,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b0fbp/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0ff7,ark:/21198/zz0028tr8x,2,Completed,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0ff7%2Ftz77n303,cartographic,map,pd_usfed,,Geological Survey (U.S.).,eng,Mines and mineral resources--California--Nevada County--Maps|~|Mines and mineral resources--California--Grass Valley Region--Maps|~|Grass Valley Region (Calif.)--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"California (Nevada Co.), Grass Valley special map",westernmost:W1210505|~|southernmost:N0391022|~|northernmost:N0391350|~|easternmost:W1210135,U.S. Geological Survey,"Contour interval 20 feet.|~|Relief represented by contours.|~|Surveyed in 1891.|~|A.H. Thompson, geographer ...","[Washington, D.C.]|~|dcu",1 map : col. ; 45 x 36 cm.,California|~|Grass Valley Region (Calif.)|~|Nevada County,26700818,G4363 Nevada Co.--Grass Valley .H2 14.4 USGS 1901,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6647506,14400,"Grass Valley special map, California (Nevada Co.)",,Ed. of Mar. 1901.,1901,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b0ff7/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0fh8,ark:/21198/zz0028tr8x,2,Completed,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0fh8%2Fkz44rv9c,cartographic,map,pd_usfed,,"Lindgren, W.|~|Douglas, Edward Morehouse. 1855-1932.|~|Thompson, A. H. (Almon Harris). 1839-1906.|~|Geological Survey (U.S.).",eng,Mines and mineral resources--California--Nevada County--Maps|~|Grass Valley (Calif.)--Maps|~|Nevada County (Calif.)--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"California (Nevada Co.), Grass Valley quadrangle",westernmost:W1210505|~|southernmost:N0391022|~|northernmost:N0391350|~|easternmost:W1210135,The Survey,"Relief represented by contours.|~|""N3910.3-W12101.6/3.4 x 3.5.""|~|Surveyed in 1891.|~|U.S. Geological Survey, Department of the Interior ; A.H. Thompson, geographer ; E.M. Douglas, topographer in charge ; triangulation by E.M. Dougla ; boundaries of mining claims compiled by W. Lindgren.|~|Text of ""The topographic maps of the United States"" dated November 1937, ill., and a guide to topographic on verso.|~|Title in lower right: Grass Valley, Calif.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6645138"">UCLA Catalog Record</a>","dcu|~|[Washington, D.C.]",1 map : col. ; 45 x 35 cm.,California|~|Grass Valley (Calif.)|~|Nevada County (Calif.),708291044,G4363 Nevada Co.-Grass Valley .H2 14.4 USGS 1901/1943,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6645138,14400,Grass Valley quadrangle,,"Ed. of Mar. 1901, repr. 1943.",1943,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b0fh8/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0fjs,ark:/21198/zz0028tr8x,2,Completed,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0fjs%2Ff699k284,cartographic,map,pd_usfed,,Geological Survey (U.S.).,eng,Mines and mineral resources--California--Nevada County--Maps|~|Nevada County (Calif.)--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"California (Nevada County), Banner Hill quadrangle.",northernmost:N0391716|~|easternmost:W1205705|~|southernmost:N0391350|~|westernmost:W1210025,"U.S. Geological Survey, Dept. of the Interior","Relief represented by contours.|~|Surveyed in 1892.|~|Text and ill. on verso.|~|Contour interval 20 feet.|~|Shows mines.|~|Title in lower right: Banner Hill, Calif.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6645132"">UCLA Catalog Record</a>",[Washington]|~|dcu,1 map : col. ; 45 x 34 cm.,Nevada County|~|Nevada County (Calif.)|~|California,708264010,G4363 Nevada Co.-Banner Hill .H2 14.4 USGS 1903/1937,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6645132,14400,Banner Hill quadrangle,,"Ed. of July 1903, repr. 1937.",1937,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b0fjs/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0hrv,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0hrv%2Fjs367651,cartographic,map|~|Topographic maps.,pd_usfed,,,,Lake County (Calif.)--Maps,,Yolo County (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Geologic map of the Knoxville district / United States Geological Survey ; topography by J.D. Hoffmann.,,,"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6653610"">UCLA Catalog Record</a>",,,Yolo County (Calif.),,G4363 Lake Co. 42.2 USGS,,,,,,,1883,1883,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b0hrv/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0j1g,ark:/21198/zz0028tr8x,2,Completed,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0j1g%2Fbn84j89j,cartographic,map,pd_usfed,,United States. Bureau of Public Roads.|~|California. Division of Highways.,eng,Roads--California--Mariposa County--Maps|~|Mariposa County (Calif.)--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"General highway map, Mariposa County, California",,s.n.,"Relief represented by hachures.|~|""Base map approved by Bureau of Public Roads May 14, 1938""--Sheet 1.|~|UCLA lacks sheet 2.|~|""Data obtained from State-wide highway planning survey.""|~|prepared by the Department of Public Works, Division of Highways in cooperation with the U.S. Department of Agriculture, Bureau of Public Roads.|~|""Surface types and lanes corrected to June 30, 1941""--Sheet 3.|~|Includes legends and sheet key.|~|Original version: [Sacramento, Calif.] : Dept. of Public Works, Division of Highways, [1941?].|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6654708"">UCLA Catalog Record</a>",cau|~|[S.l,1 map on 3 sheets : photocopy ; sheets 44 x 43 cm.,California|~|Mariposa County|~|Mariposa County (Calif.),711782774,G4363 Mariposa Co. .P2 ca.125 USDA 1941,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6654708,125000,State-wide highway planning survey,,,1941,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b0j1g/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0j41,ark:/21198/zz0028tr8x,2,Completed,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0j41%2F4j554d9m,cartographic,map,copyrighted,,Monterey Peninsula Chamber of Commerce.,eng,Monterey Peninsula (Calilf.)--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,The Monterey Peninsula,,Monterey Peninsula Chamber of Commerce,"""W.T. Lee Co., Monterey, California""--Verso.|~|On verso: list of Monterey Peninsula hotels and motels.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6656654"">UCLA Catalog Record</a>","cau|~|[Monterey, Calif","1 map ; 30 x 42 cm, on sheet 32 x 46 cm, folded to 23 x 10 cm.",Monterey Peninsula (Calilf.),712069474,G4363 Monterey Co. .E635 MPCC,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6656654,,"Chamber of Commerce map guide to Monterey Peninsula hotels, motels, resorts",,,194u,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b0j41/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0jhq,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0jhq%2Frq85gs7p,cartographic,map,pd_usfed,,"Sampson, R. J.|~|Tucker, W. Burling, $d b. 1880|~|California. Division of Mines.",eng,Mines and mineral resources--California--Mono County--Maps,,Mines and mineral resources--California--Mono County--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Map of Mono County Showing Location of Principal Mining Properties,,"State of California, Dept. of Natural Resources, Division of Mines","Oriented with north to top left.|~|""Accompanying State mineralogist's report XXXVI April 1940.""|~|Includes location map.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6652029"">UCLA Catalog Record</a>",[California]|~|cau,1 map ; 19 x 56 cm.,California--Mono County,70968852,G4363 Mono Co. .H1 ca.380 DNR 1940,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6652029,380000,,,,1940,1940,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b0jhq/manifest
