Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Rights.copyrightStatus,Name.subject,Subject.descriptiveTopic,Language,Name.repository,Rights.permission,Type.genre,Name.photographer,Name.creator,Relation.isPartOf,Name.collector,Name.architect,Subject.conceptTopic,Date.creation,Date.normalized,Description.longitude,Title,AltTitle.uniform,Alt ID.local,Format.extent,Description.latitude,Description.note,Coverage.geographic,Description.fundingNote,Format.dimensions,AltTitle.other,Alternate Identifier.local,Description.abstract,Description.caption,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b1545,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0092_c0022.tif,,,,,private,still image,copyrighted,"Mission San Luis Rey de Francia (Oceanside, Calif.)",Missions $z California $z Oceanside|~|Quadrangles (Courtyards) $z California $z Oceanside|~|Arcades (Architectural components) $z California $z Oceanside|~|Historic buildings $z California $z Oceanside,zxx,"University of California, Los Angeles. $b Library Special Collections",N,exterior views|~|black-and-white photographs|~|cellulose nitrate film,Clendenen,,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.","Pierce, C. C. $q (Charles C.), $d1861-1946",,Landmarks|~|Religion|~|Culture,[circa 1887],1887,-117.32094883918762,"Mission San Luis Rey de Francia, arcades enclosing quadrangle, Oceanside, circa 1887",,uclamss_1756_0092_c0022,1 photograph : b&w,33.232325057405504,View through arch of arcade across quadrangle towards the mission church,Oceanside (Calif.),Access to this collection is generously supported by Arcadia funds.,,"Mission building from the ruined court, San Luis Rey",,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b1545,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b1545/manifest
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b155p,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0094_c0033.tif,,,,,private,still image,copyrighted,,Missions $z California $z San Luis Obispo|~|Adobe buildings $z California $z San Luis Obispo|~|Historic buildings $z California $z San Luis Obispo,zxx,"Mission San Luis Obispo de Tolosa (San Luis Obispo, Calif.)|~|University of California, Los Angeles. $b Library Special Collections",N,exterior views|~|black-and-white photographs|~|cellulose nitrate film,,,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.","Pierce, C. C. $q (Charles C.), $d1861-1946",,Landmarks|~|Religion|~|Culture,[circa 1870-1900],1870/1900,-120.66425532102585,"Mission San Luis Obispo de Tolosa, exterior view towards south wing, San Luis Obispo, circa 1870-1900",,uclamss_1756_0094_c0033,1 photograph : b&w,35.280226328645945,Exterior view towards west building of the south wing of the Mission San Luis Obispo de Tolosa. The tile-roofed building is situated on an area elevated from the level of the street and sidewalk in front of it with a stone wall which separates the mission from the street.,San Luis Obispo (Calif.),Access to this collection is generously supported by Arcadia funds.,,"94. Mission San Luis Obispo, south wing",94,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b155p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b155p/manifest
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b1566,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0096_c0030.tif,,,,,private,still image,copyrighted,,Yosemite National Park (Calif.)|~|Giant sequoias $z California $z Yosemite National Park|~|Mariposa Grove (Calif.)|~|National parks & reserves $z California,zxx,"University of California, Los Angeles. $b Library Special Collections",N,black-and-white photographs|~|cellulose nitrate film,"Pierce, C. C. $q (Charles C.), $d1861-1946",,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.",,,Environment,[circa 1900],1900,,"Grizzly Giant sequoia in Mariposa Grove, Yosemite National Park, circa 1900",,uclamss_1756_0096_c0030,1 photograph : b&w,37.5035139|~|-119.6006639,"Photograph of the giant sequoia tree known as the Grizzly Giant with four people standing at its base, including a man and a little girl dressed in white, and a little dog.|~|The Grizzly Giant, between probably 1900–2400 years old, is the oldest tree in Mariposa Grove and is counted as the 25th largest tree in the world. It is 210 feet (64 m) tall, and has a heavily buttressed base with a basal circumference of 92 feet (28 m) and a diameter of 30 feet.",Mariposa Grove (Calif.),Access to this collection is generously supported by Arcadia funds.,8 x 5  inches,"96. ""Grizzly Giant,"" Mariposa Grove, 93 feet in circumference",,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b1566,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b1566/manifest
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b157q,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0103_b0394.tif,,,,,private,still image,copyrighted,"Los Angeles City Hall (Los Angeles, Calif.)",City & town halls $z California $z Los Angeles,zxx,"University of California, Los Angeles. $b Library Special Collections",N,exterior views|~|black-and-white photographs|~|cellulose nitrate film,,,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.","Pierce, C. C. $q (Charles C.), $d1861-1946",,Government|~|Landmarks|~|Legal,[circa 1890],1890,-118.24737310409546,"View of the exterior of City Hall, Los Angeles, circa 1890",,uclamss_1756_0103_b0394,1 photograph : b&w,34.05153049937422,Image is reversed.|~|A view of the exterior of the Los Angeles City Hall. The structure was built in 1888 and was used as City Hall until 1928. Other buildings are visible in the periphery of the photograph.,Los Angeles (Calif.),Access to this collection is generously supported by Arcadia funds.,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b157q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b157q/manifest
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b1587,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0115_b0390a.tif,,,,,private,still image,copyrighted,"First Baptist Church (Los Angeles, Calif.)|~|Saint Vincent College (Los Angeles, Calif.)|~|Episcopal Cathedral (Los Angeles, Calif.)","Franciscans $z California $z Santa Barbara|~|Parks $z California $z Los Angeles|~|Pershing Square (Los Angeles, Calif.)",zxx,"University of California, Los Angeles. $b Library Special Collections",N,black-and-white photographs|~|cellulose nitrate film|~|cityscapes (representations),,,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.","Pierce, C. C. $q (Charles C.), $d1861-1946",,Government|~|Landmarks|~|Education,[circa 1884],1884,-118.252952,"Pershing Square from Normal School, Los Angeles, circa 1884",,115|~|uclamss_1756_0115_b0390a,1 photograph : b&w,34.048579,"Pershing Square from Normal School (6th Street and Hill Street), Los Angeles. Also visible are the First Baptist Church, Saint Vincent College, and the Episcopal Cathedral.",Los Angeles (Calif.),Access to this collection is generously supported by Arcadia funds.,6.5 x 8.5 inches,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b1587,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b1587/manifest
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b159r,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0115_b0390b.tif,,,,,private,still image,copyrighted,"First Baptist Church (Los Angeles, Calif.)|~|Saint Vincent College (Los Angeles, Calif.)|~|Episcopal Cathedral (Los Angeles, Calif.)","Universities & colleges $z California $z Los Angeles|~|Cathedrals $z California $z Los Angeles|~|Plazas $z California $z Los Angeles|~|Churches $z California $z Los Angeles|~|Pershing Square (Los Angeles, Calif.)",zxx,"University of California, Los Angeles. $b Library Special Collections",N,black-and-white photographs|~|aerial views|~|cellulose nitrate film|~|cityscapes (representations),,,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.","Pierce, C. C. $q (Charles C.), $d1861-1946",,Government|~|Landmarks|~|Education,[circa 1884],1884,-118.252952,"View of Pershing Square taken at Normal School, Los Angeles, circa 1884",,uclamss_1756_0115_b0390b,1 photograph : b&w,34.048579,"View of Pershing Square taken at Normal School. Visible buildings include First Baptist Church, Saint Vincent College, and the Episcopal Cathedral.",Los Angeles (Calif.),Access to this collection is generously supported by Arcadia funds.,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b159r,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b159r/manifest
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b15b8,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0116_b0318.tif,,,,,private,still image,copyrighted,,Agaves $z California $z Los Angeles|~|Dwellings $z California $z Los Angeles,eng,"University of California, Los Angeles. $b Library Special Collections",N,exterior views|~|black-and-white photographs|~|cellulose nitrate film,,,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.","Pierce, C. C. $q (Charles C.), $d1861-1946",,Environment,[between 1898 and 1934],1898/1934,,"Century plant in bloom in front of a house on Pico Street, Los Angeles",,uclamss_1756_0116_b0318,1 photograph : b&w,,"The tall bloom of a century plant (or agave plant) in the front yard of a house on Pico Street in Los Angeles, possibly near Figueroa.",Los Angeles (Calif.),Access to this collection is generously supported by Arcadia funds.,,"Century plant blossom, Pico St.",,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b15b8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b15b8/manifest
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b15cs,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0118_b0321.tif,,,,,private,still image,copyrighted,,Palms $z California $z Los Angeles|~|Wells $z California $z Los Angeles,eng,"University of California, Los Angeles. $b Library Special Collections",N,black-and-white photographs|~|cellulose nitrate film,,,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.","Pierce, C. C. $q (Charles C.), $d1861-1946",,Environment,[circa 1885],1885,,"Two aging palms on San Pedro Street, Los Angeles, circa 1885",,118|~|uclamss_1756_0118_b0321,1 photograph : b&w,,"Two old palms on San Pedro Street, with an old well between them, on the property of  Sheriff Hummel. A house is visible in the background and the shadow of another building is in the right foreground.",Los Angeles (Calif.),Access to this collection is generously supported by Arcadia funds.,5 x 8 inches,Old palms of San Pedro St.,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b15cs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b15cs/manifest
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b15d9,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0120_b0319.tif,,,,,private,still image,copyrighted,"Toberman Homestead (Los Angeles, Calif.)",Agaves $z California $z Los Angeles|~|Dwellings $z California $z Los Angeles,zxx,"University of California, Los Angeles. $b Library Special Collections",N,black-and-white photographs|~|cellulose nitrate film,,,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.","Pierce, C. C. $q (Charles C.), $d1861-1946",,Landmarks|~|Environment,[circa 1886],1886,,"Avenue of century plants lining the entrance to the Toberman homestead, Los Angeles, circa 1886",,120|~|uclamss_1756_0120_b0319,1 photograph : b&w,,An avenue of century plants (Agave Americana) lining the entrance to the Toberman homestead on Pico Boulevard. The homestead is surrounded by a picket fence.,Los Angeles (Calif.),Access to this collection is generously supported by Arcadia funds.,5 x 8 inches,Avenue of century plants on Pico St.,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b15d9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b15d9/manifest
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b15ft,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0122_b0214.tif,,,,,private,still image,copyrighted,,Palms $z California $z Los Angeles|~|Roses $z California $z Los Angeles|~|Houses $z California $z Los Angeles,zxx,"University of California, Los Angeles. $b Library Special Collections",N,exterior views|~|cellulose nitrate film,Ellis,,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.","Pierce, C. C. $q (Charles C.), $d1861-1946",,Environment,[circa 1885],1885,-118.23715925216675,"Rose cottage on Spring Street, Los Angeles, circa 1885",,122|~|uclamss_1756_0122_b0214,1 photograph : b&w,34.06123695965352,"Photograph of a house on Spring Street, Los Angeles known as the ""Rose Cottage"" due to a giant rose bush covering half of it. This is the residence of Mrs. Barclay. A palm fills the yard on the other side. The house had an address change from 647 South Spring to 747 South Spring.",Los Angeles (Calif.),Access to this collection is generously supported by Arcadia funds.,5 x 8 inches,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b15ft,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b15ft/manifest
