"Project Name","Item ARK","Parent ARK","Object Type","File Name","Item Sequence","Type.typeOfResource","Rights.copyrightStatus","Name.sponsor","Name.subject","Publisher.publisherName","Rights.servicesContact","Subject.conceptTopic","Type.genre","Language","Name.repository","Name.designer","Subject.uniformTitle","Name.photographer","Name.creator","Subject.geographicPlace","Coverage.geographic","Description.note","Date.normalized","Publisher.placeOfOrigin","Title","Date.creation","Alt ID.local","Format.extent","Description.caption","AltTitle.parallel","AltTitle.other","Publisher.publisherName"
"Ethiopian Posters","21198/zz002hgsfd","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder001_010.tif","","still image","","","Abubeker Ahmed, $c Ustaz","","","Islam $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Poster is a collage that depicts the following: a photograph of Ustaz Abubeker Ahmed wearing a taqiyah, button-up shirt, and jacket and speaking in front of three microphones on a green background; the same photograph reversed and made transparent on a purple background on the right.|~|Chiefly in Amharic with some English.","2000/2010","[Ethiopia]","Poster chiefly in Amharic depicting Ustaz Abubeker Ahmed [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder001_010","1 poster : col.","Printed by Dire Printing Sh. Co.","","",""
"Ethiopian Posters","21198/zz002hgsgx","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder002_001.tif","","still image","","","","","","Islam $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Poster depicts a collage that includes the following: a photograph of a dove carrying an illustrated olive branch in its beak; a photograph of a mosque; a photograph of hands opened upward; background is violet with a white spot resembling the sky and the sun. In the bottom left is the logo for Nejashi.","2000/2010","[Ethiopia]","Poster in Amharic depicting a collage of a dove, a mosque, and open hands [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder002_001","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgshf","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder002_002.tif","","still image","","","Yassin Nuru, $c Ustaz","","","Islam $z Ethiopia","posters","ara|~|amh","University of California, Los Angeles. $b Library Special Collections","Habib Nesredin","","","","Ethiopia $x Religion","Ethiopia","Poster depicts a collage of the following: a large photograph of Ustaz Yassin Nuru, smiling, sitting behind a microphone with his hands clasped, and wearing a taqiyah, jacket, and button-up shirt; five smaller photographs arranged horizontally like a reel of Ustaz Yassin Nuru speaking from behind the microphone; a photograph of four books. The background is purple, with a transparent photograph of Ustaz Yassin Nuru. In the bottom left is a logo that consists of a yellow dove in flight, and a word in Amharic printed in black with a yellow outline.","2000/2010","[Ethiopia]","Poster in Amharic and Arabic depicting Ustaz Yassin Nuru [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder002_002","1 poster : col.","Designed by Habib Nesredin","","",""
"Ethiopian Posters","21198/zz002hgsjz","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder002_003.tif","","still image","","","Yassin Nuru, $c Ustaz","","","Islam $z Ethiopia","posters","eng|~|ara|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Chiefly in Amharic with some Arabic and English.|~|Printed by Dire Printing Sh. Co.|~|Poster appears to advertise an audiovisual work by Ustaz Yassin Nuru and depicts a collage that includes the following: a photograph of Ustaz Yassin Nuru in a taqiyah, button-up shirt, and jacket; a photograph of a mosque; the background consists of light blue and yellow stripes, with black-edged circles on the top left and right.","2007/2010","[Ethiopia]","Poster chiefly in Amharic depicting Ustaz Yassin Nuru with a mosque in the background [descriptive]","[between 2007 and 2010?]","ucla_1922_box01_folder002_003","1 poster : col.","Audiovisual Production","","",""
"Ethiopian Posters","21198/zz002hgskg","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder002_004.tif","","still image","","Naik, Zakir, $d 1965-","","","","Islam","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Chiefly in Amharic with some English.|~|Poster depicts a photograph of Zakir Naik in a taqiyah, jacket, button-up shirt, and tie in front of microphones with one hand clasped over the other; the title is printed on a red border at the top; on a gray and white striped border at the right is contact information for an organization or business possibly called Al-Aqssa.","2000/2010","[Addis Ababa (Ethiopia)]","Kingdom of Peace","[between 2000 and 2010?]","ucla_1922_box01_folder002_004","1 poster : col.","Designed & Printed by Dire Printing Sh. Co.","","",""
"Ethiopian Posters","21198/zz002hgsm0","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder002_005.tif","","still image","","","","","","Christianity $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Poster appears to be an advertisement for an audio recording and depicts a photomontage of the following: a man with raised palms, wearing a cream robe and a cross pendant; a group of women in white head coverings; and a church rising above trees. The border consists of red, yellow, green, and black stripes.","2000/2010","[Ethiopia]","Poster in Amharic depicting a man in a robe, women with white head coverings, and a church [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder002_005","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgsnh","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder002_006.tif","","still image","","","","","","Christianity $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","Eamersen Graphic Design and Printing Press","","","","Ethiopia $x Religion","Ethiopia","Chiefly in Amharic with some English.|~|Poster depicts a collage of a man in a loin cloth with a boulder on his shoulders; the boulder is printed with a quote from Jeremiah 23:33; the man appears to be dropping other boulders in front of a group of people who crouch before him; the man stands on a grassy patch with rocks around him.","2000/2010","[Ethiopia]","Poster chiefly in Amharic depicting a man dropping boulders in front of a group of people [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder002_006","1 poster : col.","Graphics design & printed by Eamersen","","",""
"Ethiopian Posters","21198/zz002hgsp1","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder002_007.tif","","still image","","","","","","Christianity $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Chiefly in Amharic with some English.|~|Poster depicts a collage of the following: a photograph of a church on a concentric rainbow  background; a photograph of a religious leader, seated and wearing a black hat and peach colored robes with a cross pendant and an Ethiopian cross in his hand; a photograph of a group of people, mostly in white clothing, who appear to be singing or chanting. At the bottom left is the logo for Lens Advert.","2000/2010","[Ethiopia]","Poster chiefly in Amharic depicting a church on a rainbow background, a religious leader, and a group of people [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder002_007","1 poster : col.","Lens Advert","","",""
"Ethiopian Posters","21198/zz002hgsqj","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder002_008.tif","","still image","","","","","","Christianity $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","Eamersen Graphic Design and Printing Press","","","","Ethiopia $x Religion","Ethiopia","Poster depicts a collage that includes the following: a photograph of a woman in three-quarter profile wearing a white head covering and looking ahead; in the background is a photograph of a group of people, most of whom are wearing white and some of whom are carrying Ethiopian crosses, facing an illustration of a large cross rising above the sky. On the left are curved transparent orange bars. The text is printed in white, and the text on the bottom is printed on a transparent orange background that resembles spray paint.|~|Chiefly in Amharic with some English.","2000/2010","[Ethiopia]","Poster chiefly in Amharic depicting a woman in a white head covering and a group of people facing a cross [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder002_008","1 poster : col.","Graphics design & printed by Eamersen","","",""
"Ethiopian Posters","21198/zz002hgsr2","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder002_009.tif","","still image","","","","","","Christianity $z Ethiopia|~|Video CDs $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Poster advertises a video recording and depicts a collage of the following: an illustration of the Virgin Mary and Child; a photograph of a man in a dark robe and a cross pendant, looking at the viewer and raising his palms; in the background is a transparent photograph of the same man raising his palms with his fingers touching and abstract white shapes on a pink and chartreuse background.|~|Chiefly in Amharic with some English","2000/2010","[Ethiopia]","Advertisement for a video recording depicting the Virgin and Child and a man wearing a robe and cross pendant [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder002_009","1 poster : col.","Vcd /Casset No.2","","",""
"Ethiopian Posters","21198/zz002hgssk","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder002_010.tif","","still image","","","","","","Islam $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Poster is a photomontage that depicts two photographs of a man in a red and purple taqiyah and tunic, standing barefoot and smiling in the left photograph and seated with his palms on his lap in the right photograph; in the background is a photograph of the courtyard of Al-Masjid Al-Haram and pilgrims surrounding the Kaaba, a photograph of the exterior of Al-Masjid Al-Haram; and a photograph of two minarets. The text in the top right is superimposed on a transparent plaid pattern.","2007/2008","[Ethiopia]","Poster in Amharic depicting a man, the Kaaba, the exterior of Al-Masjid Al-Haram, and two minarets [descriptive]","[between 2007 and 2008?]","ucla_1922_box01_folder002_010","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgst3","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder003_001.tif","","still image","","","","","","","posters","","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","","","DUP - see Ark # 21198/zz002hgsgx","","ucla_1922_box01_folder003_001","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgsvm","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder003_002.tif","","still image","","","","","","Christianity $z Ethiopia|~|Video CDs $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Chiefly in Amharic with some English.|~|Poster is an advertisement for a video disc (VCD) that depicts a collage of the following: a photograph of a priest wearing black and purple robes and holding a microphone in one hand to his mouth and holding a cross in his other hand; two photographs of choir singers; in the background consists of abstract green and yellow shapes with an illustration of an Ethiopian cross.","2008/2009","[Ethiopia]","VCD advertisement chiefly in Amharic depicting a priest and two choir singers [descriptive]","[between 2008 and 2009?]","ucla_1922_box01_folder003_002","1 poster : col.","VCD no.1","","",""
"Ethiopian Posters","21198/zz002hgsw4","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder003_003.tif","","still image","","","","","","","posters","","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","","","DUP - see Ark # 21198/zz002hgs9b","","ucla_1922_box01_folder003_003","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgsxn","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder003_004.tif","","still image","","","","","","Armageddon","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Poster depicts two illustrations: one of an army on a ledge, overlooking a walled city in the distance that is on fire; another of a man wearing a crown, a red robe, and sandals, holding a staff, riding a white horse, and leading a cavalry of men in white robes and also riding white horses; border is red.|~|Chiefly in Amharic with some English.","2000/2010","[Addis Ababa (Ethiopia)]","Poster chiefly in Amharic that depicts Armageddon [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder003_004","1 poster : col.","Design by Daniel","","",""
"Ethiopian Posters","21198/zz002hgsz5","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder003_005.tif","","still image","","","","","","Christianity $z Ethiopia|~|Video CDs $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Poster appears to advertise a video CD (VCD) related to Christianity and depicts the following: a large photograph of a row of Ethiopian clergymen wearing robes and holding fringed cloths over their heads; flanking the large photograph are two sets of five photographs depicting religious processions.","2000/2010","[Addis Ababa (Ethiopia)?]","Poster in Amharic advertising a VCD and depicting a row of Ethiopian clergymen wearing robes and holding fringed cloths over their heads [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder003_005","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgt05","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder003_006.tif","","still image","","","","","","Christianity $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Possibly an advertisement for a book by Nebiyou Girma about money, sexual immorality, and honor.|~|Poster depicts a collage of the following: an illustration of Jesus wearing a crown of thorns and carrying a cross; a photograph of ruins; a photograph of the dome of a church.","2000/2010","[Ethiopia?]","Poster in Amharic depicting an illustration of Jesus and photographs of ruins and a church dome [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder003_006","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgt1p","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder003_007.tif","","still image","","","","","","Christianity $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Poster depicts a photomontage of the following: an Ethiopian clergyman wearing a white robe with gold trim, a white hat with gold trim, and holding a wooden staff and a metallic object; the exterior of an Ethiopian church, with an image possibly of St. Joseph and Jesus hanging outside the church.","2000/2010","[Ethiopia]","Poster in Amharic depicting an Ethiopian clergyman and church [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder003_007","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgt26","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder003_008.tif","","still image","","","","","","Church music $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Poster appears to advertise an Ethiopian religious music recording and depicts a collage of the following: an illustration of a man wearing a white robe and a cross on a pendant and clasping his hands together; an illustrated silhouette of a cross; an illustration of a thorny vine dripping with blood, upon which the Amharic-language title is printed; background is a photograph of a grassy landscape; in the bottom right is a small collage depicting a photograph of a man in a white robe in front of an illustration of a church exterior.","2000/2010","[Ethiopia]","Poster in Amharic advertising a music recording and depicting a man wearing a white robe and cross on a pendant, a silhouette of a cross, and a thorny vine dripping with blood [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder003_008","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgt3q","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder003_009.tif","","still image","","","Ephrem Asefa","Aryam Spiritual Song Shop","","Church music $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Chiefly in Amharic with some English.|~|Poster appears to advertise a music recording by Zemari Ephrem Asefa and depicts a collage of the following: a photograph of a man, possibly Zemari Ephrem Asefa, wearing a white robe and a cross on a pendant and clasping his hands; a photograph of a church; photographs of a flock of sheep; an illustration of a rainbow in green, yellow, and red; background is a photograph of trees.","2000/2010","[Addis Ababa (Ethiopia)]","Poster chiefly in Amharic advertising a music recording by Zemari Ephrem Asefa [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder003_009","1 poster : col.","Published and distribted [i.e. distributed] by: Aryam Spiritual Song Shop","","",""
"Ethiopian Posters","21198/zz002hgt47","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder003_010.tif","","still image","","","","","","Church music $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Poster possibly advertises a music recording and depicts a photomontage of the following: a man wearing a white robe and black cap and raising his palms upward; a church exterior with green, yellow, and red awnings and a group of people wearing white robes surrounding it.","2000/2010","[Ethiopia]","Poster in Amharic possibly advertising a music recording and depicting a man in a white robe and black cap and a church exterior [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder003_010","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgt5r","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder004_001.tif","","still image","","","","","","Christianity $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Poster depicts an illustration in white of an Ethiopian cross with an effigy of Christ crucified in the center; background is violet.","2000/2010","[Addis Ababa (Ethiopia)]","Poster in Amharic depicting an illustration of an Ethiopian cross with an effigy of Christ crucified [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder004_001","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgt68","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder004_002.tif","","still image","","","","","","Christianity $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Poster depicts photographs of seven church leaders and two church choirs within white ovals, with one blank oval; below the ovals is an illustration of an open book that appears to be the Bible; background is gradated purple and yellow; at the bottom is a black border.","2000/2010","[Addis Ababa (Ethiopia)?]","Poster in Amharic depicting church leaders and church choirs [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder004_002","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgt7s","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder004_003.tif","","still image","","","","","","","posters","","University of California, Los Angeles. $b Library Special Collections","Eamersen Graphic Design and Printing Press","","","","","Ethiopia","Graphics design & printed by Eamersen","","","DUP - see Ark # 21198/zz002hgsqj","","ucla_1922_box01_folder004_003","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgt89","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder004_004.tif","","still image","","","","","","Christianity $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","Eamersen Graphic Design and Printing Press","","","","Ethiopia $x Religion","Ethiopia","Poster depicts a collage of the following: a photograph of a man wearing a white robe and a cross pendant with his palms raised; photographs of groups of people in white robes; an illustrated cross; an illustrated banner in the colors of the flag of Ethiopia; a background photograph of a field.|~|Chiefly in Amharic with some English.","2000/2010","[Addis Ababa (Ethiopia)?]","Poster chiefly in Amharic depicting a man in a white robe, groups of people in white robes, a cross, and a field [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder004_004","1 poster : col.","Graphics design & print by Eamersen","","",""
"Ethiopian Posters","21198/zz002hgt9t","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder004_005.tif","","still image","","","","","","Christianity $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","Eamersen Graphic Design and Printing Press","","","","Ethiopia $x Religion","Ethiopia","Poster depicts a photomontage of the following: a church; a group of people in white robes, some of whom are holding umbrellas; and trees. At the bottom is a border with green and light green chevron bars.|~|Chiefly in Amharic with some English.","2000/2010","[Addis Ababa (Ethiopia)?]","Poster chiefly in Amharic depicting a church, a group of people in white robes, and trees [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder004_005","1 poster : col.","Graphics design & print by Eamersen","","",""
