"Project Name","Item ARK","Parent ARK","Object Type","File Name","Item Sequence","Type.typeOfResource","Rights.copyrightStatus","Subject","Name.subject","Type.genre","Name.repository","Rights.servicesContact","Language","Rights.permission","Name.photographer","Name.artist","Name.architect","Title","AltIdentifier.local","Format.extent","Format.medium","Relation.isPartOf","Description.fundingNote","Coverage.geographic","Description.latitude","Description.longitude","Description.note","Date.creation","Date.normalized","Description.caption","Coverage.temporal","AltIdentifier.collection"
"Connell (Will) Papers, 1928-1961","21198/zz002h2g1g","21198/zz002h2fpt","Work","connell/image/uclamss_893_0215.tif","","still image","copyrighted","","Tice, Opal Weimer Fostvedt, $d 1900-1978","Portrait photographs|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Opal Weimer Fostvedt Tice, 1933-1946","uclamss_893_0215","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","","","","Bust-length portrait of Opal Weimer Fostvedt Tice in a floral dress|~|Opal Weimer Fostvedt Tice was a member of the Los Angeles art community and often a model for photographers in the group.","[between 1933-1946]","1933/1946","Text from negative sleeve: Fostveldt. Frankenfield. Jos. Paget-Fredericks","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2g20","21198/zz002h2fpt","Work","connell/image/uclamss_893_0216.tif","","still image","copyrighted","","Tice, Opal Weimer Fostvedt, $d 1900-1978","Portrait photographs|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Opal Weimer Fostvedt Tice, 1933-1946","uclamss_893_0216","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","","","","Opal Weimer Fostvedt Tice was a member of the Los Angeles art community and often a model for photographers in the group.|~|Half--length portrait of Opal Weimer Fostvedt Tice in a floral dress","[between 1933-1946]","1933/1946","Text from negative sleeve: Fostveldt. Frankenfield. Jos. Paget-Fredericks","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2g3h","21198/zz002h2fpt","Work","connell/image/uclamss_893_0217.tif","","still image","copyrighted","","Tice, Opal Weimer Fostvedt, $d 1900-1978","Portrait photographs|~|acetate film|~|black-and-white photographs","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Opal Weimer Fostvedt Tice, 1933-1946","uclamss_893_0217","1 photographic negative","b&w acetate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","","","","Photograph of Opal Weimer Fostvedt Tice in a floral dress, bust-length, from the back|~|Opal Weimer Fostvedt Tice was a member of the Los Angeles art community and often a model for photographers in the group.","[between 1933-1946]","1933/1946","Text from negative sleeve: Fostveldt. Frankenfield. Jos. Paget-Fredericks","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2g41","21198/zz002h2fpt","Work","connell/image/uclamss_893_0218.tif","","still image","copyrighted","Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles","","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","Davidson, Julius Ralph, $d 1889-","Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929","uclamss_893_0218","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","Overhead view of The Bachelors haberdashery from the back of the shop, designed by Julius Ralph Davidson in an art deco style ""featuring panels of Makassar ebony set into aluminum frames, brown and tan carpeting laid in strips..."" (Christopher Long, ""The Rise of California Modern Design, 1930-41."" in ed. Wendy Kaplan, California Design, 1930-1965: Living in a Modern Way (2012), 65.|~|The Bachelors haberdashery was located at 3931 Wilshire Blvd.","[cira 1929]","1929","Text from negative sleeve: Jock Peters - Bachelors - Rewelling","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2g5j","21198/zz002h2fpt","Work","connell/image/uclamss_893_0219.tif","","still image","copyrighted","Interior design $z California $z Los Angeles","","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","Davidson, Julius Ralph, $d 1889-","Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929","uclamss_893_0219","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","Detail view of art deco cabinet with wood paneling and aluminum strips in The Bachelors haberdashery, designed by Julius Ralph Davidson. Men's brief cases and satchels are on top of the cabinet and a cactus (?) in a pot stands next to the cabinet, in front of venetian blinds functioning as a room divider. The carpeting is composed of brown and tan strips.","[circa 1929]","1929","Text from negative sleeve: Jock Peters - Bachelors - Rewelling","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2g62","21198/zz002h2fpt","Work","connell/image/uclamss_893_0220.tif","","still image","copyrighted","Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles","","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","Davidson, Julius Ralph, $d 1889-","Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929","uclamss_893_0220","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","Interior view of a built-in wall display and built-in sofa at The Bachelors haberdashery, designed by Julius Ralph Davidson in an art deco style, ""featuring panels of Makassar ebony set into aluminum frames, brown and tan carpeting laid in strips, and high-quality pigskin upholstery."" (Christopher Long, ""The Rise of California Modern Design, 1930-41."" in ed. Wendy Kaplan, California Design, 1930-1965: Living in a Modern Way (2012), 65.|~|The Bachelors haberdashery was located at 3931 Wilshire Blvd.","[circa 1929]","1929","Text from negative sleeve: Jock Peters - Bachelors - Rewelling","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2g7k","21198/zz002h2fpt","Work","connell/image/uclamss_893_0221.tif","","still image","copyrighted","Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles","","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","Davidson, Julius Ralph, $d 1889-","Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929","uclamss_893_0221","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","Interior view of a desk, built-in sofa and merchandise displays at The Bachelors haberdashery, designed by Julius Ralph Davidson in an art deco style, ""featuring panels of Makassar ebony set into aluminum frames, brown and tan carpeting laid in strips, and high-quality pigskin upholstery."" (Christopher Long, ""The Rise of California Modern Design, 1930-41,"" in ed. Wendy Kaplan, California Design, 1930-1965: Living in a Modern Way (2012), 65.|~|The Bachelors haberdashery was located at 3931 Wilshire Blvd.","[circa 1929]","1929","Text from negative sleeve: Jock Peters - Bachelors - Rewelling","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2g83","21198/zz002h2fpt","Work","connell/image/uclamss_893_0222.tif","","still image","copyrighted","Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles","","black-and-white photographs|~|cellulose nitrate film","","","","Y","Connell, Will, $d 1898-1961","","Davidson, Julius Ralph, $d 1889-","Exterior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929","uclamss_893_0222","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","Exterior view towards the window display of  The Bachelors, an art deco styled  haberdashery.|~|The Bachelors haberdashery was located at 3931 Wilshire Blvd.","[circa 1929]","1929","","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2g9m","21198/zz002h2fpt","Work","connell/image/uclamss_893_0223.tif","","still image","copyrighted","Interior design $z California $z Los Angeles","","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","Davidson, Julius Ralph, $d 1889-","Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929","uclamss_893_0223","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","Detail of the art deco styled interior of The Bachelors haberdashery, designed by Julius Ralph Davidson in an art deco style. A cactus in a pot stands in front of venetian blinds serving as a room divider. The room beyond is furnished with directors chairs and a wood paneled desk, and the wall on the left is faced with closets with wood paneled sliding doors.","[circa 1929]","1929","Text from negative sleeve: Jock Peters - Bachelors - Rewelling","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2gb4","21198/zz002h2fpt","Work","connell/image/uclamss_893_0224.tif","","still image","copyrighted","Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles","Irene, $d 1901-1962","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","View of a recess with an art deco wood veneered table in ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, Los Angeles, (circa 1930?)","uclamss_893_0224","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","Detail view of a recess with an art deco wood veneered table in a zig-zag pattern in front of a small wall mirror and x-back chair in the ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons.","[circa 1930?]","1930","Text from negative sleeve: Jock Peters - Bachelors - Rewelling [caption does not appear to relate to the Irene LTD images; The Bachelor haberdashery is attributed to Julius Ralph Davidson]","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2gcn","21198/zz002h2fpt","Work","connell/image/uclamss_893_0225.tif","","still image","copyrighted","Interior design $z California $z Los Angeles","","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Light fixture in The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929","uclamss_893_0225","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","The Bachelors haberdashery was located at 3931 Wilshire Blvd.|~|Detail view of an art deco light fixture on the ceiling at The Bachelors haberdashery, designed by Julius Ralph Davidson.","[circa 1929]","1929","Text from negative sleeve: Jock Peters - Bachelors - Rewelling","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2gd5","21198/zz002h2fpt","Work","connell/image/uclamss_893_0226.tif","","still image","copyrighted","Interior design $z California $z Los Angeles","","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929","uclamss_893_0226","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","The Bachelors haberdashery was located at 3931 Wilshire Blvd.|~|Text from negative sleeve: Jock Peters - Bachelors - Rewelling|~|Room in the art deco styled The Bachelors haberdashery, designed by Julius Ralph Davidson, furnished with director's chairs and wood table. The wall on the left is faced with closets with wood paneled sliding doors.","[circa 1929]","1929","","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2gfp","21198/zz002h2fpt","Work","connell/image/uclamss_893_0227.tif","","still image","copyrighted","Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles","","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","Irene, $d 1901-1962","Interior view of ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, Los Angeles, (circa 1930?)","uclamss_893_0227","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","Interior view of ""Irene LTD,"" a fitting area in a dress shop of designer Irene Lentz Gibbons, with art deco furnishings including an x-back chair with an upholstered seat and a small round ottoman in front of a wall mirror illuminated by a sconce, and a window with sheer drapery with the hem cut diagonally from the floor, on the left. to the top of the window.","[circa 1930?]","1930","Text from negative sleeve: Jock Peters - Bachelors - Rewelling [caption does not appear to relate to the Irene LTD images; The Bachelor haberdashery is attributed to Julius Ralph Davidson]","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2gg6","21198/zz002h2fpt","Work","connell/image/uclamss_893_0228.tif","","still image","copyrighted","Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles","Irene, $d 1901-1962","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","View of an art deco telephone bench in ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, Los Angeles, (circa 1930?)","uclamss_893_0228","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","Detail view of an art deco telephone bench in the ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons.","[circa 1930?]","1930","Text from negative sleeve: Jock Peters - Bachelors - Rewelling [caption does not appear to relate to the Irene LTD images; The Bachelor haberdashery is attributed to Julius Ralph Davidson]","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2ghq","21198/zz002h2fpt","Work","connell/image/uclamss_893_0229.tif","","still image","copyrighted","Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles","","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","Irene, $d 1901-1962","View of two framed fashion illustrations and an art deco sconce in ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, Los Angeles, (circa 1930?)","uclamss_893_0229","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","Detail view of two framed fashion illustrations and an art deco sconce in the ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons.","[circa 1930?]","1930","Text from negative sleeve: Jock Peters - Bachelors - Rewelling [caption does not appear to relate to the Irene LTD images; The Bachelor haberdashery is attributed to Julius Ralph Davidson]","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2gj7","21198/zz002h2fpt","Work","connell/image/uclamss_893_0230.tif","","still image","copyrighted","Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles","Irene, $d 1901-1962","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","View of an art deco sconce and wall paneling in ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, Los Angeles, (circa 1930?)","uclamss_893_0230","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","Detail view of an art deco sconce and wall paneling and wall mirror in ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons.","[circa 1930?]","1930","Text from negative sleeve: Jock Peters - Bachelors - Rewelling [caption does not appear to relate to the Irene LTD images; The Bachelor haberdashery is attributed to Julius Ralph Davidson]","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2gkr","21198/zz002h2fpt","Work","connell/image/uclamss_893_0231.tif","","still image","copyrighted","Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles","Irene, $d 1901-1962","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","View of a round mirror reflecting 4 framed fashion illustrations on a wall in ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, Los Angeles, (circa 1930?)","uclamss_893_0231","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","","[circa 1930?]","1930","Text from negative sleeve: Jock Peters - Bachelors - Rewelling [caption does not appear to relate to the Irene LTD images; The Bachelor haberdashery is attributed to Julius Ralph Davidson]","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2gm8","21198/zz002h2fpt","Work","connell/image/uclamss_893_0232.tif","","still image","copyrighted","Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles","Irene, $d 1901-1962","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Interior view of ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, Los Angeles, (circa 1930?)","uclamss_893_0232","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","Interior view of ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, with art deco style furnishings including two x-back chairs with upholstered seats framing a curtained doorway, a round wall mirror. The floor is covered in carpet with a design formed by thin rectangles. A room with a wall covered in striped panels is visible beyond.","[circa 1930?]","1930","Text from negative sleeve: Jock Peers - Bachelors - Rewelling [caption does not appear to relate to the Irene LTD images; The Bachelor haberdashery is attributed to Julius Ralph Davidson]","",""
