Object Type,Title,Item ARK,Parent ARK,File Name,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.artist,Named subject,Note,Place of origin,Publisher.publisherName,Repository,Resource type,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject topic,Subject geographic,Subject temporal
Work,Afuera,ark:/21198/z1vd8rwk,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0011.tif,,,,,2012,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Roberto Ramos,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,Jirafas,ark:/21198/z1qn817j,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0012.tif,,,,,2013,,,,193.04 cm x 129.54 cm,1 poster,,posters,spa,,Roberto Ramos,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,En el Cuerpo Equivocado,ark:/21198/z1kw78ht,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0013.tif,,,,,2010,,,,193.04 cm x 129.54 cm,1 poster,,posters,spa,,Roberto Ramos,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,Marina,ark:/21198/z1g46hsd,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0014.tif,,,,,2011,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Roberto Ramos,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,Ciudad en Rojo,ark:/21198/z1bc5s06,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0015.tif,,,,,2009,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Jorge Rodríguez,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,El Primer Correo,ark:/21198/z16q3qps,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0016.tif,,,,,1969,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Antonio Fernández Reboiro,,,Bulgaria|~|Soviet Union,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,Tránsito,ark:/21198/z12z2zz2,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0017.tif,,,,,1964,,,,132.08 cm x 198.12 cm,1 poster,,posters,spa,,Antonio Fernández Reboiro,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,Rodeo,ark:/21198/z1z62ghx,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0018.tif,,,,,1972,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Antonio Fernández Reboiro,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,"Nosotros, La Música",ark:/21198/z1tf1qtn,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0019.tif,,,,,1964,,,,132.08 cm x 198.12 cm,1 poster,,posters,spa,,Antonio Fernández Reboiro,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,Huelga,ark:/21198/z1pp105m,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0020.tif,,,,,1976,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Antonio Fernández Reboiro,,,Soviet Union,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,ICAIC 15,ark:/21198/z1jx07c0,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0021.tif,,,,,1974,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Antonio Fernández Reboiro,,,,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,Hombres de Renté,ark:/21198/z1f49gmk,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0022.tif,,,,,1965,,,,132.08 cm x 198.12 cm,1 poster,,posters,spa,,Antonio Fernández Reboiro,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,La Historia del Ron,ark:/21198/z19g7f84,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0023.tif,,,,,1980,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Antonio Fernández Reboiro,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,Deporte en el cine,ark:/21198/z15q6phz,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0024.tif,,,,,1975,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Antonio Fernández Reboiro,,,,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,Cumbite,ark:/21198/z11z5xv4,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0025.tif,,,,,1964,,,,132.08 cm x 198.12 cm,1 poster,,posters,spa,,Antonio Fernández Reboiro,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,"Cecilia I,II",ark:/21198/z1x65fd0,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0026.tif,,,,,1982,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Antonio Fernández Reboiro,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,Semana de Cine de la República Democrática Alemana,ark:/21198/z1sf4pp8,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0027.tif,,,,,1978,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Antonio Fernández Reboiro,,,,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,6ta. Muestra Nacional de Nuevos Realizadores,ark:/21198/z1np3xwn,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0028.tif,,,,,2008,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Raúl Valdés,,,,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,7ma. Muestra de Nuevos Realizadores,ark:/21198/z1hx3648,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0029.tif,,,,,2008,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Raúl Valdés,,,,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,8va. Muestra de Nuevos Realizadores,ark:/21198/z1d814w2,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0030.tif,,,,,2010,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Raúl Valdés,,,,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,El Arte del Tabaco,ark:/21198/z18h0d5r,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0031.tif,,,,,1977,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Antonio Fernández Reboiro,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,10ma Muestra Joven,ark:/21198/z14q9nfg,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0032.tif,,,,,,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Raúl Valdés,,,,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century|~|Posters, Cuban--21st century",,
Work,9na Muestra de Jóvenes Realizadores,ark:/21198/z10z8wsn,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0033.tif,,,,,2011,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Raúl Valdés,,,,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,12 Muestra Joven ICAIC,ark:/21198/z1w68d8m,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0034.tif,,,,,2013,,,,193.04 cm x 129.54 cm,1 poster,,posters,spa,,Raúl Valdés,,,,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,13 Muestra Joven ICAIC,ark:/21198/z1rf7nhf,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0035.tif,,,,,2014,,,,193.04 cm x 129.54 cm,1 poster,,posters,spa,,Raúl Valdés,,,,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,La Furia de los Vikingos,ark:/21198/z1mp6wqt,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0036.tif,,,,,1965,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Alfredo González Rostgaard,,,France|~|Italy,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,45 Aniversario. Cinemateca de Cuba,ark:/21198/z1h14vg1,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0037.tif,,,,,2005,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Raúl Valdés,,,,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,Hasta la Victoria Siempre,ark:/21198/z1c843rp,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0038.tif,,,,,1968,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Alfredo González Rostgaard,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,Hasta la Victoria Siempre,ark:/21198/z17h3c1c,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0039.tif,,,,,1968,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Alfredo González Rostgaard,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,Hasta la Victoria Siempre,ark:/21198/z13r2mb3,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0040.tif,,,,,1968,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Alfredo González Rostgaard,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,"Che Comandante, Amigo",ark:/21198/z1001vmp,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0041.tif,,,,,1978,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Antonio Fernández Reboiro,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,Cimarrón,ark:/21198/z1v71c2w,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0042.tif,,,,,1967,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Alfredo González Rostgaard,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,Now,ark:/21198/z1qg0mb5,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0043.tif,,,,,1965,,,,132.08 cm x 198.12 cm,1 poster,,posters,spa,,Alfredo González Rostgaard,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,La Ausencia,ark:/21198/z1ks8k1m,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0044.tif,,,,,1968,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Alfredo González Rostgaard,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,El Maestrico,ark:/21198/z1g17t8r,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0045.tif,,,,,2013,,,,193.04 cm x 129.54 cm,1 poster,,posters,spa,,Alexander Rodríguez,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,Quietud Interrumpida,ark:/21198/z1b872kv,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0046.tif,,,,,2007,,,,193.04 cm x 129.54 cm,1 poster,,posters,spa,,Alexander Rodríguez,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,El Hombre que Quería,ark:/21198/z16h69wk,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0047.tif,,,,,2013,,,,193.04 cm x 129.54 cm,1 poster,,posters,spa,,Alexander Rodríguez,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,Fernanda,ark:/21198/z12r5k58,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0048.tif,,,,,,,,,193.04 cm x 129.54 cm,1 poster,,posters,spa,,Mario Rivas,,,,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century|~|Posters, Cuban--21st century",,
Work,Fernanda y el Extraño Caso del Dr. X y Mr. Jai,ark:/21198/z1z052kx,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0049.tif,,,,,,,,,193.04 cm x 129.54 cm,1 poster,,posters,spa,,Mario Rivas,,,,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century|~|Posters, Cuban--21st century",,
Work,"Adelante, Soviet",ark:/21198/z1t749v6,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0050.tif,,,,,1977,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Antonio Fernández Reboiro,,,Soviet Union,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--20th century",,
Work,1912. Voces para un Silencio,ark:/21198/z1pk28m3,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0051.tif,,,,,2010,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Claudio Sotolongo,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,Copa y Espada,ark:/21198/z1jt1hwc,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0052.tif,,,,,2012,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Claudio Sotolongo,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,Premio Nacional de Cine Eslinda Núñez,ark:/21198/z1f20s5c,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0053.tif,,,,,2011,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Claudio Sotolongo,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,Hemingway,ark:/21198/z19901hx,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0054.tif,,,,,2006,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Claudio Sotolongo,,,Cuba,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
Work,Homenaje a Adolfo Llaurado,ark:/21198/z15h98r6,ark:/21198/z1db9vb9,Masters/othermasters/depcinemateca/images/ICAIC_Carteles_20160627_0055.tif,,,,,2009,,,,129.54 cm x 193.04 cm,1 poster,,posters,spa,,Claudio Sotolongo,,,,,"Cinemateca de Cuba, Instituto Cubano del Arte e Industria Cinematográficos",still image,unknown,"http://www.cubacine.cult.cu/, ysla@cubarte.cult.cu",,"Film posters, Cuban|~|Posters, Cuban--21st century",,
