Object Type,Title,File Name,Item Sequence,Thumbnail,Item ARK,Parent ARK,collection.physical,Local identifier,volume/year,issue,Date.created,Date.normalized,Summary,Format.extent,Format.medium,Genre,Language,Name.creator,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Subject,viewingHint,Contributor,IIIF Manifest URL
Work,Atoka: Basorun Gaa,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb73jf,ark:/21198/z1vq533c,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1971_h_0012|~|vol. 32, no. 3; series 91",vol. 32,no. 3; series 91,1971,1971,"Atoka: Yoruba photoplay drama set in ancient Oyo town, about a war general.",36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Segun Olubukun ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vq533c/manifest
Work,Atoka: Basorun Gaa,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf4wv0,ark:/21198/z1qz4bd3,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1971_h_0013|~|vol. 32, no. 2; series 90",vol. 32,no. 2; series 90,1971,1971,"Atoka: Yoruba photoplay drama set in ancient Oyo town, about a war general.",36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Segun Olubukun ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qz4bd3/manifest
Work,Atoka: Awa Ara Wa,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1q0w,ark:/21198/z1m63krk,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1971_h_0014|~|vol. 33, no. 1; series 92",vol. 33,no. 1; series 92,1971,1971,Atoka: Yoruba photoplay drama about robbery and murder. The resolution of the crime is closely observed through the omniscient perspective of a protagonist Christian priest.,36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Adebayo Faleti ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m63krk/manifest
Work,Atoka: Farioro,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz86m7,ark:/21198/z1gf2tzz,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1971_h_0029|~|vol. 29, no. 1; series 78",vol. 29,no. 1; series 78,June 1971,1971-06,Atoka: Yoruba photoplay drama about a man who hurts his friends and neighbours.,36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Akin Ogungbe ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gf2tzz/manifest
Work,Atoka: Awa Ara Wa,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q260vk,ark:/21198/z1bp2371,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1972_h_0015|~|vol. 33, no. 2; series 93",vol. 33,no. 2; series 93,1972,1972,Atoka: Yoruba photoplay drama about robbery and murder. The resolution of the crime is closely observed through the omniscient perspective of a protagonist Christian priest.,36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Adebayo Faleti ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bp2371/manifest
Work,Atoka: Awa Ara Wa,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1253jwn,ark:/21198/z17101wg,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1972_h_0016|~|vol. 33, no. 3; series 94",vol. 33,no. 3; series 94,1972,1972,Atoka: Yoruba photoplay drama about robbery and murder. The resolution of the crime is closely observed through the omniscient perspective of a protagonist Christian priest.,36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Adebayo Faleti ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17101wg/manifest
Work,Atoka: Awa Ara Wa,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d81c1r,ark:/21198/z1379945,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1972_h_0017|~|vol. 33, no. 4; series 95",vol. 33,no. 4; series 95,February 1972,1972-02,Atoka: Yoruba photoplay drama about robbery and murder. The resolution of the crime is closely observed through the omniscient perspective of a protagonist Christian priest.,35 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Adebayo Faleti ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1379945/manifest
Work,Atoka: Awa Ara Wa,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w39wzq,ark:/21198/z1zg8sng,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1972_h_0018|~|vol. 33, no. 5; series 96",vol. 33,no. 5; series 96,February 1972,1972-02,Atoka: Yoruba photoplay drama about robbery and murder. The resolution of the crime is closely observed through the omniscient perspective of a protagonist Christian priest.,36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Adebayo Faleti ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zg8sng/manifest
Work,Atoka: Ehin Ola,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz179659j,ark:/21198/z1tq820f,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1972_h_0019|~|vol. 34, no. 1; series 97",vol. 34,no. 1; series 97,March 1972,1972-03,Atoka: Yoruba photoplay drama about a father and his complacent grown-up children.,36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Kola Ogunmola ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tq820f/manifest
Work,Atoka: Ehin Ola,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd3zhr,ark:/21198/z1pz798q,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1972_h_0020|~|vol. 34, no. 2; series 97",vol. 34,no. 2; series 97,March 1972,1972-03,Atoka: Yoruba photoplay drama about a father and his complacent grown-up children.,35 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Kola Ogunmola ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pz798q/manifest
Work,Atoka: Ko-ndo Olopa,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr113r,ark:/21198/z1k66jkr,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1972_h_0021|~|vol. 35, no. 2; series 100",vol. 35,no. 2; series 100,April 1972,1972-04,Atoka: Yoruba photoplay drama about a man's attempt to become rich through money-making rituals.,36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Ayinla Olumegbon ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k66jkr/manifest
Work,Atoka: Ko-ndo Olopa,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t8k1x,ark:/21198/z1ff5stk,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1972_h_0022|~|vol. 35, no. 3; series 101",vol. 35,no. 3; series 101,May 1972,1972-05,Atoka: Yoruba photoplay drama about a man's attempt to become rich through money-making rituals.,36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Ayinla Olumegbon ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ff5stk/manifest
Work,Atoka: Ko-ndo Olopa,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h152pk,ark:/21198/z19s3rg4,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1972_h_0023|~|vol. 35, no. 1; series 99",vol. 35,no. 1; series 99,April 1972,1972-04,Atoka: Yoruba photoplay drama about a man's attempt to become rich through money-making rituals.,36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Ayinla Olumegbon ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19s3rg4/manifest
Work,Atoka: Ko-ndo Olopa,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v42vtw,ark:/21198/z16130r3,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1972_h_0024|~|vol. 35, no. 4; series 102",vol. 35,no. 4; series 102,May 1972,1972-05,Atoka: Yoruba photoplay drama about a man's attempt to become rich through money-making rituals.,36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Ayinla Olumegbon ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16130r3/manifest
Work,Atoka: Ko-ndo Olopa,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1670dws,ark:/21198/z128280b,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1972_h_0025|~|vol. 35, no. 5; series 103",vol. 35,no. 5; series 103,June 1972,1972-06,Atoka: Yoruba photoplay drama about a man's attempt to become rich through money-making rituals.,37 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Ayinla Olumegbon ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz128280b/manifest
Work,Atoka: Ajagun-Nla,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj7gb2,ark:/21198/z1xh1rkj,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1972_h_0026|~|vol. 36, no. 1; series 104",vol. 36,no. 1; series 104,June 1972,1972-06,"Atoka: Yoruba photoplay drama set in ancient Oyo Kingdom, about a powerful warrior who had three other powerful warriors under him.",36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Duro Ladipo ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xh1rkj/manifest
Work,Atoka: Ajagun-Nla,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3zx4,ark:/21198/z1sr10v6,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1972_h_0027|~|vol. 36, no. 2; series 105",vol. 36,no. 2; series 105,July 1972,1972-07,"Atoka: Yoruba photoplay drama set in ancient Oyo Kingdom, about a powerful warrior who had three other powerful warriors under him.",36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Duro Ladipo ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sr10v6/manifest
Work,Atoka: Ajagun-Nla,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v1hwp,ark:/21198/z1p0083r,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1972_h_0028|~|vol. 36, no. 3; series 106",vol. 36,no. 3; series 106,July 1972,1972-07,"Atoka: Yoruba photoplay drama set in ancient Oyo Kingdom, about a powerful warrior who had three other powerful warriors under him.",36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Duro Ladipo ati awon elere re (and his theatre company),https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p0083r/manifest
Work,Atoka: Kehinsokun,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fx9b51,ark:/21198/z1j69hb1,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1972_h_0030|~|vol. 37, no. 1; series 107",vol. 37,no. 1; series 107,August 1972,1972-08,Atoka: Yoruba photoplay drama about a very wealthy man who is also an armed robber.,36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Hubert Ogunde,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j69hb1/manifest
Work,Atoka: Kehinsokun,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t174cx,ark:/21198/z1dj7g3x,ark:/21198/z1jd6x7k|~|ark:/21198/z13b7wpn,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan","ias_meap_1972_h_0031|~|vol. 37, no. 3; series 109",vol. 37,no. 3; series 109,September 1972,1972-09,Atoka: Yoruba photoplay drama about a very wealthy man who is also an armed robber.,36 pages,Photoplay Magazine,newspapers,yor,West African Book Publishers Limited,Lagos,West African Book Publishers Limited,West African Book Publishers Limited,text,copyrighted,www.wabp.com.ng; info@wabp.com.ng,"Nigeria, Southern|~|Periodicals|~|Performing arts|~|Drama|~|Fiction",paged,Hubert Ogunde,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dj7g3x/manifest
