Object Type,Item ARK,Parent ARK,File Name,Title,AltTitle.translated,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Contributor,Name.producer,Format.extent,issue,Format.medium,Resource type,Genre,Language,Local identifier,Name.creator,Place of origin,Publisher.publisherName,Repository,Rights.copyrightStatus,Rights.rightsHolderContact,Subject
Work,ark:/21198/z13z073q,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0605.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",16 mins 04 secs,3,Reel-to-Reel Tape,sound recording,sound recordings,ijo,68,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z1059gcr,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0606.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",31 mins 21 secs,4,Reel-to-Reel Tape,sound recording,sound recordings,ijo,69,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z1vd8zvm,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0607.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",15mins 2secs,,Reel-to-Reel Tape,sound recording,sound recordings,ijo,71,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z1qn876k,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0608.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan","31 mins, 06 secs",,Reel-to-Reel Tape,sound recording,sound recordings,ijo,72,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z1kw7ggv,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0609.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",27mins25secs,,Reel-to-Reel Tape,sound recording,sound recordings,ijo,74,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z1g46qrf,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0610.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",24 mins 24 secs,11,Reel-to-Reel Tape,sound recording,sound recordings,ijo,76,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z1bc5zzt,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0611.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",22 mins  35 secs,12,Reel-to-Reel Tape,sound recording,sound recordings,ijo,77,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z16q3xqq,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0612.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",16 mins 12 secs,13,Reel-to-Reel Tape,sound recording,sound recordings,ijo,78,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z12z360s,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0613.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan","24 mins, 43 secs",,Reel-to-Reel Tape,sound recording,sound recordings,ijo,79,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z1z62pgz,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0614.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",19mins 58secs,,Reel-to-Reel Tape,sound recording,sound recordings,ijo,75,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z1tf1xsp,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0615.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan","15 mins, 39 secs",,Reel-to-Reel Tape,sound recording,sound recordings,ijo,80,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z1pp164n,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0616.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan","20 mins, 12 secs",,Reel-to-Reel Tape,sound recording,sound recordings,ijo,82,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z1jx0fcg,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0617.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",27mins 10secs,,Reel-to-Reel Tape,sound recording,sound recordings,ijo,81,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z1f49pm2,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0618.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",18mins 9secs,,Reel-to-Reel Tape,sound recording,sound recordings,ijo,84,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z19g7n8m,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0619.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan","29 mins, 37 secs",,Reel-to-Reel Tape,sound recording,sound recordings,ijo,83,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z15q6whf,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0620.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",20 mins 19 secs,22,Reel-to-Reel Tape,sound recording,sound recordings,ijo,87,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z11z64tj,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0621.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",29 mins 50 secs,23,Reel-to-Reel Tape,sound recording,sound recordings,ijo,88,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z1x65nc1,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0622.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",12mins 36secs,,Reel-to-Reel Tape,sound recording,sound recordings,ijo,85,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z1sf4wn9,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0623.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan","27 mins, 23 secs",,Reel-to-Reel Tape,sound recording,sound recordings,ijo,86,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z1np44wh,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0624.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",17mins 39secs,,Reel-to-Reel Tape,sound recording,sound recordings,ijo,89,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z1hx3d4r,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0625.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",28 mins 32 secs,27,Reel-to-Reel Tape,sound recording,sound recordings,ijo,92,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z1d81bv3,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0626.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan","21 mins, 05 secs",,Reel-to-Reel Tape,sound recording,sound recordings,ijo,91,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z18h0m4s,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0627.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",26mins 34secs,,Reel-to-Reel Tape,sound recording,sound recordings,ijo,90,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z14q9vc2,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0628.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan","18 mins, 24 secs",,Reel-to-Reel Tape,sound recording,sound recordings,ijo,93,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z10z93qm,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0629.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",27mins 39secs,,Reel-to-Reel Tape,sound recording,sound recordings,ijo,95,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z1w68m66,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0630.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",19 mins 46 secs,30,Reel-to-Reel Tape,sound recording,sound recordings,ijo,94,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z1rf7vhx,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0631.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan","16 mins, 38 secs",,Reel-to-Reel Tape,sound recording,sound recordings,ijo,96,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z1mp73qp,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0632.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan","16 mins, 52 secs",,Reel-to-Reel Tape,sound recording,sound recordings,ijo,98,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z1h152gw,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0633.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",31 mins 16 secs,32,Reel-to-Reel Tape,sound recording,sound recordings,ijo,97,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z1c849r5,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1963_b_0634.wav,Ijala Ode,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1963,1963,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",31 mins 16 secs,,Reel-to-Reel Tape,sound recording,sound recordings,ijo,100,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z17h3k1v,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1964_b_0063.wav,Edigwu sings the children ancient song of Oturkpo,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1965,1965,R.G. Armstrong|~|Curt Wiltig,"Institute of African Studies, University of Ibadan",8 mins 30 secs,,Reel-to-Reel Tape,sound recording,sound recordings,idu,1,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, east|~|children songs, Idoma"
Work,ark:/21198/z13r2tbk,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1964_b_0066.wav,Edigwu sings the children ancient song of Oturkpo,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1964,1964,R.G. Armstrong|~|Curt Wiltig,"Institute of African Studies, University of Ibadan",17 mins 25 secs,,Reel-to-Reel Tape,sound recording,sound recordings,idu,2,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, east|~|children songs, Idoma"
Work,ark:/21198/z10022mj,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1964_b_0067.wav,Edigwu sings the children ancient song of Oturkpo,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1964,1964,R.G. Armstrong|~|Curt Wiltig,"Institute of African Studies, University of Ibadan",10 mins 4 secs,,Reel-to-Reel Tape,sound recording,sound recordings,idu,3,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, east|~|children songs, Idoma"
Work,ark:/21198/z1v71k3t,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1964_b_0068.wav,Edigwu sings the children ancient song of Oturkpo,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1964,1964,R.G. Armstrong|~|Curt Wiltig,"Institute of African Studies, University of Ibadan",4 mins 57 secs,,Reel-to-Reel Tape,sound recording,sound recordings,idu,4,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, east|~|children songs, Idoma"
Work,ark:/21198/z1qj9hrd,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1964_b_0069.wav,Edigwu sings the children ancient song of Oturkpo,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1964,1964,R.G. Armstrong|~|Curt Wiltig,"Institute of African Studies, University of Ibadan",2 mins 16 secs,,Reel-to-Reel Tape,sound recording,sound recordings,idu,5,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, east|~|children songs, Idoma"
Work,ark:/21198/z1ks8s13,ark:/21198/z1jd6x7k,othermasters/MEAPibadansoundvision/audio/wav/ias_meap_1964_b_0070.wav,Edigwu sings the children ancient song of Oturkpo,,,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,1964,1964,R.G. Armstrong|~|Curt Wiltig,"Institute of African Studies, University of Ibadan",1 min 12secs,,Reel-to-Reel Tape,sound recording,sound recordings,idu,6,,,,"Institute of African Studies, University of Ibadan",public domain,www.ibadan-ias.org; unibadanias60@gmail.com,"Nigeria, east|~|children songs, Idoma"
