Object Type,Item ARK,Parent ARK,File name,local ID,Title,AltTitle.translated,AltTitle.other,Creator,Contributor,Contributor.producer,volume/year,issue,Date.created,Date.created (single),Language | code,TypeOfResource,Genre,Extent,Dimensions,Medium,Insitution/Repository,collection name,collection number,collection number,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Abstract,Note.content,Subject.topic
Work,ark:/21198/z13z073q,ark:/21198/z1jd6x7k,ias_meap_1963_b_0605.mp3,68,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,3,1963,1963,ijo,sound recording,sound recordings,16 mins 04 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z1059gcr,ark:/21198/z1jd6x7k,ias_meap_1963_b_0606.mp3,69,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,4,1963,1963,ijo,sound recording,sound recordings,31 mins 21 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z1vd8zvm,ark:/21198/z1jd6x7k,ias_meap_1963_b_0607.mp3,71,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,15mins 2secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z1qn876k,ark:/21198/z1jd6x7k,ias_meap_1963_b_0608.mp3,72,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,"31 mins, 06 secs",,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the ijo people of southern Nigeria,,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z1kw7ggv,ark:/21198/z1jd6x7k,ias_meap_1963_b_0609.mp3,74,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,27mins25secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z1g46qrf,ark:/21198/z1jd6x7k,ias_meap_1963_b_0610.mp3,76,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,11,1963,1963,ijo,sound recording,sound recordings,24 mins 24 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z1bc5zzt,ark:/21198/z1jd6x7k,ias_meap_1963_b_0611.mp3,77,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,12,1963,1963,ijo,sound recording,sound recordings,22 mins  35 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z16q3xqq,ark:/21198/z1jd6x7k,ias_meap_1963_b_0612.mp3,78,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,13,1963,1963,ijo,sound recording,sound recordings,16 mins 12 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z12z360s,ark:/21198/z1jd6x7k,ias_meap_1963_b_0613.mp3,79,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,"24 mins, 43 secs",,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the ijo people of southern Nigeria,,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z1z62pgz,ark:/21198/z1jd6x7k,ias_meap_1963_b_0614.mp3,75,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,19mins 58secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z1tf1xsp,ark:/21198/z1jd6x7k,ias_meap_1963_b_0615.mp3,80,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,"15 mins, 39 secs",,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the ijo people of southern Nigeria,,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z1pp164n,ark:/21198/z1jd6x7k,ias_meap_1963_b_0616.mp3,82,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,"20 mins, 12 secs",,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the ijo people of southern Nigeria,,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z1jx0fcg,ark:/21198/z1jd6x7k,ias_meap_1963_b_0617.mp3,81,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,27mins 10secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z1f49pm2,ark:/21198/z1jd6x7k,ias_meap_1963_b_0618.mp3,84,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,18mins 9secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z19g7n8m,ark:/21198/z1jd6x7k,ias_meap_1963_b_0619.mp3,83,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,"29 mins, 37 secs",,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the ijo people of southern Nigeria,,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z15q6whf,ark:/21198/z1jd6x7k,ias_meap_1963_b_0620.mp3,87,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,22,1963,1963,ijo,sound recording,sound recordings,20 mins 19 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z11z64tj,ark:/21198/z1jd6x7k,ias_meap_1963_b_0621.mp3,88,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,23,1963,1963,ijo,sound recording,sound recordings,29 mins 50 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z1x65nc1,ark:/21198/z1jd6x7k,ias_meap_1963_b_0622.mp3,85,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,12mins 36secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z1sf4wn9,ark:/21198/z1jd6x7k,ias_meap_1963_b_0623.mp3,86,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,"27 mins, 23 secs",,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the ijo people of southern Nigeria,,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z1np44wh,ark:/21198/z1jd6x7k,ias_meap_1963_b_0624.mp3,89,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,17mins 39secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z1hx3d4r,ark:/21198/z1jd6x7k,ias_meap_1963_b_0625.mp3,92,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,27,1963,1963,ijo,sound recording,sound recordings,28 mins 32 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z1d81bv3,ark:/21198/z1jd6x7k,ias_meap_1963_b_0626.mp3,91,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,"21 mins, 05 secs",,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the ijo people of southern Nigeria,,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z18h0m4s,ark:/21198/z1jd6x7k,ias_meap_1963_b_0627.mp3,90,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,26mins 34secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z14q9vc2,ark:/21198/z1jd6x7k,ias_meap_1963_b_0628.mp3,93,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,"18 mins, 24 secs",,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the ijo people of southern Nigeria,,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z10z93qm,ark:/21198/z1jd6x7k,ias_meap_1963_b_0629.mp3,95,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,27mins 39secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Ijo language|~|Folk songs, Ijo|~|Folklore--Nigeria|~|Performing Arts"
Work,ark:/21198/z1w68m66,ark:/21198/z1jd6x7k,ias_meap_1963_b_0630.mp3,94,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,30,1963,1963,ijo,sound recording,sound recordings,19 mins 46 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z1rf7vhx,ark:/21198/z1jd6x7k,ias_meap_1963_b_0631.mp3,96,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,"16 mins, 38 secs",,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the ijo people of southern Nigeria,,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z1mp73qp,ark:/21198/z1jd6x7k,ias_meap_1963_b_0632.mp3,98,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recording,"16 mins, 52 secs",,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the ijo people of southern Nigeria,,"Nigeria|~|Ijo language|~|Performing arts festivals|~|Folk songs, Ijo|~|Folk Tales|~|Folklore--Nigeria"
Work,ark:/21198/z1h152gw,ark:/21198/z1jd6x7k,ias_meap_1963_b_0633.mp3,97,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,32,1963,1963,ijo,sound recording,sound recordings,31 mins 16 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z1c849r5,ark:/21198/z1jd6x7k,ias_meap_1963_b_0634.mp3,100,Ijala Ode,,,,Frank Speed|~|John Pepper Clark,"Institute of African Studies, University of Ibadan",,,1963,1963,ijo,sound recording,sound recordings,31 mins 16 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional epic narrative performance of the Ijo people of southern Nigeria,,"Nigeria, Southern|~|Art and Culture|~|Performing Arts|~|Songs and Music|~|Ijo language"
Work,ark:/21198/z17h3k1v,ark:/21198/z1jd6x7k,ias_meap_1964_b_0063.mp3,1,Edigwu sings the children ancient song of Oturkpo,,,,R.G. Armstrong|~|Curt Wiltig,"Institute of African Studies, University of Ibadan",,,1965,1965,idu,sound recording,sound recordings,8 mins 30 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,The ancient children songs of Oturkpo,,"Nigeria, east|~|children songs, Idoma"
Work,ark:/21198/z13r2tbk,ark:/21198/z1jd6x7k,ias_meap_1964_b_0066.mp3,2,Edigwu sings the children ancient song of Oturkpo,,,,R.G. Armstrong|~|Curt Wiltig,"Institute of African Studies, University of Ibadan",,,1964,1964,idu,sound recording,sound recordings,17 mins 25 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,The ancient children songs of Oturkpo,,"Nigeria, east|~|children songs, Idoma"
Work,ark:/21198/z10022mj,ark:/21198/z1jd6x7k,ias_meap_1964_b_0067.mp3,3,Edigwu sings the children ancient song of Oturkpo,,,,R.G. Armstrong|~|Curt Wiltig,"Institute of African Studies, University of Ibadan",,,1964,1964,idu,sound recording,sound recordings,10 mins 4 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,The ancient children songs of Oturkpo,,"Nigeria, east|~|children songs, Idoma"
Work,ark:/21198/z1v71k3t,ark:/21198/z1jd6x7k,ias_meap_1964_b_0068.mp3,4,Edigwu sings the children ancient song of Oturkpo,,,,R.G. Armstrong|~|Curt Wiltig,"Institute of African Studies, University of Ibadan",,,1964,1964,idu,sound recording,sound recordings,4 mins 57 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,The ancient children songs of Oturkpo,,"Nigeria, east|~|children songs, Idoma"
