Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,viewingHint,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.creatorCorporate,Subject,Name.subject,Language,Name.photographer,Name.interviewer,Name.creator,Name.interviewee,Name.contributor,Publisher.publisherName,Format.extent,Relation.isPartOf,Title,Date.creation,Description.abstract,Coverage.geographic,Description.tableOfContents,Coverage.temporal,AltTitle.uniform,Description.note,Source,Alt ID.local,Publisher.placeOfOrigin,Format.medium,Description.biographicalNote,Format.dimensions,Relation.relatedTo,Relation.hasPart,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Mental Health Archive,ark:/21198/z10k417t,ark:/21198/zz001njk83,1,In progress,Page,neuropsych/masters/21198-zz001njk83-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k417t,
Mental Health Archive,ark:/21198/z10p2qr3,ark:/21198/zz001nk5gv,1,In progress,Page,neuropsych/masters/21198-zz001nk5gv-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p2qr3,
Mental Health Archive,ark:/21198/z10s1f0k,ark:/21198/zz001njmbm,1,In progress,Page,neuropsych/masters/21198-zz001njmbm-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1f0k,
Mental Health Archive,ark:/21198/z10w04fb,ark:/21198/zz001njm30,1,In progress,Page,neuropsych/masters/21198-zz001njm30-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w04fb,
Mental Health Archive,ark:/21198/z1156794,ark:/21198/zz001d3jm2,1,In progress,Page,neuropsych/masters/21198-zz001d3jm2-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1156794,
Mental Health Archive,ark:/21198/z11567sd,ark:/21198/zz001nk18t,1,In progress,Page,neuropsych/masters/21198-zz001nk18t-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11567sd,
Mental Health Archive,ark:/21198/z1184zc0,ark:/21198/zz0026k7sg,1,In progress,Page,neuropsych/masters/21198-zz0026k7sg-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1184zc0,
Mental Health Archive,ark:/21198/z11c3n2w,ark:/21198/zz001d3gkk,1,In progress,Page,neuropsych/masters/21198-zz001d3gkk-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c3n2w,
Mental Health Archive,ark:/21198/z11c3n3b,ark:/21198/zz001d3j8w,1,In progress,Page,neuropsych/masters/21198-zz001d3j8w-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c3n3b,
Mental Health Archive,ark:/21198/z11c3nx3,ark:/21198/zz002djjhq,1,In progress,Page,neuropsych/masters/21198-zz002djjhq-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c3nx3,
Mental Health Archive,ark:/21198/z11g2brs,ark:/21198/zz001njctg,1,In progress,Page,neuropsych/masters/21198-zz001njctg-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2brs,
Mental Health Archive,ark:/21198/z11g2bwk,ark:/21198/zz001njmk7,1,In progress,Page,neuropsych/masters/21198-zz001njmk7-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2bwk,
Mental Health Archive,ark:/21198/z11n9rmb,ark:/21198/zz001njd0j,1,In progress,Page,neuropsych/masters/21198-zz001njd0j-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11n9rmb,
Mental Health Archive,ark:/21198/z11n9rt1,ark:/21198/zz001nk1gx,1,In progress,Page,neuropsych/masters/21198-zz001nk1gx-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11n9rt1,
Mental Health Archive,ark:/21198/z11n9rvg,ark:/21198/zz0025hpw0,1,In progress,Page,neuropsych/masters/21198-zz0025hpw0-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11n9rvg,
Mental Health Archive,ark:/21198/z11r8fr2,ark:/21198/zz001d3hgh,1,In progress,Page,neuropsych/masters/21198-zz001d3hgh-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8fr2,
Mental Health Archive,ark:/21198/z11v757p,ark:/21198/zz001d3fx8,1,In progress,Page,neuropsych/masters/21198-zz001d3fx8-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v757p,
Mental Health Archive,ark:/21198/z11z5vv9,ark:/21198/zz001nhdft,1,In progress,Page,neuropsych/masters/21198-zz001nhdft-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z5vv9,
Mental Health Archive,ark:/21198/z11z5w3v,ark:/21198/zz001nk19b,1,In progress,Page,neuropsych/masters/21198-zz001nk19b-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z5w3v,
Mental Health Archive,ark:/21198/z1224k0r,ark:/21198/zz001d3gw7,1,In progress,Page,neuropsych/masters/21198-zz001d3gw7-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224k0r,
Mental Health Archive,ark:/21198/z1224k33,ark:/21198/zz001dw78v,1,In progress,Page,neuropsych/masters/21198-zz001dw78v-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224k33,
Mental Health Archive,ark:/21198/z1224k50,ark:/21198/zz001nhcgv,1,In progress,Page,neuropsych/masters/21198-zz001nhcgv-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224k50,
Mental Health Archive,ark:/21198/z12538hd,ark:/21198/zz001d3jg0,1,In progress,Page,neuropsych/masters/21198-zz001d3jg0-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12538hd,
Mental Health Archive,ark:/21198/z12538k9,ark:/21198/zz001dzbg9,1,In progress,Page,neuropsych/masters/21198-zz001dzbg9-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12538k9,
Mental Health Archive,ark:/21198/z12538wb,ark:/21198/zz001njmtv,1,In progress,Page,neuropsych/masters/21198-zz001njmtv-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12538wb,
Mental Health Archive,ark:/21198/z1281zxb,ark:/21198/zz001gpmq1,1,In progress,Page,neuropsych/masters/21198-zz001gpmq1-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1281zxb,
Mental Health Archive,ark:/21198/z128203c,ark:/21198/zz001njdmv,1,In progress,Page,neuropsych/masters/21198-zz001njdmv-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz128203c,
Mental Health Archive,ark:/21198/z1282092,ark:/21198/zz0025hg36,1,In progress,Page,neuropsych/masters/21198-zz0025hg36-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1282092,
Mental Health Archive,ark:/21198/z12c0p7q,ark:/21198/zz001d3ghj,1,In progress,Page,neuropsych/masters/21198-zz001d3ghj-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c0p7q,
Mental Health Archive,ark:/21198/z12f9d3q,ark:/21198/zz001njk62,1,In progress,Page,neuropsych/masters/21198-zz001njk62-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12f9d3q,
Mental Health Archive,ark:/21198/z12f9df6,ark:/21198/zz0026v7rj,1,In progress,Page,neuropsych/masters/21198-zz0026v7rj-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12f9df6,
Mental Health Archive,ark:/21198/z12j83jg,ark:/21198/zz001nk5vj,1,In progress,Page,neuropsych/masters/21198-zz001nk5vj-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j83jg,
Mental Health Archive,ark:/21198/z12j83kx,ark:/21198/zz0025hptz,1,In progress,Page,neuropsych/masters/21198-zz0025hptz-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j83kx,
Mental Health Archive,ark:/21198/z12r5gzb,ark:/21198/zz001d3h7w,1,In progress,Page,neuropsych/masters/21198-zz001d3h7w-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r5gzb,
Mental Health Archive,ark:/21198/z12r5h8s,ark:/21198/zz001njhcp,1,In progress,Page,neuropsych/masters/21198-zz001njhcp-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r5h8s,
Mental Health Archive,ark:/21198/z12v46kr,ark:/21198/zz001nhdcs,1,In progress,Page,neuropsych/masters/21198-zz001nhdcs-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v46kr,
Mental Health Archive,ark:/21198/z12z2xc1,ark:/21198/zz0026v7mg,1,In progress,Page,neuropsych/masters/21198-zz0026v7mg-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z2xc1,
Mental Health Archive,ark:/21198/z12z2xdg,ark:/21198/zz0026vn41,1,In progress,Page,neuropsych/masters/21198-zz0026vn41-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z2xdg,
Mental Health Archive,ark:/21198/z12z2xfx,ark:/21198/zz0026vrwv,1,In progress,Page,neuropsych/masters/21198-zz0026vrwv-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z2xfx,
Mental Health Archive,ark:/21198/z1321m9c,ark:/21198/zz001gpmwm,1,In progress,Page,neuropsych/masters/21198-zz001gpmwm-3-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321m9c,
Mental Health Archive,ark:/21198/z1321mbt,ark:/21198/zz001nhcdt,1,In progress,Page,neuropsych/masters/21198-zz001nhcdt-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321mbt,
Mental Health Archive,ark:/21198/z1321mqr,ark:/21198/zz0025hqg8,1,In progress,Page,neuropsych/masters/21198-zz0025hqg8-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321mqr,
Mental Health Archive,ark:/21198/z13509zt,ark:/21198/zz001njkg6,1,In progress,Page,neuropsych/masters/21198-zz001njkg6-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13509zt,
Mental Health Archive,ark:/21198/z13790w9,ark:/21198/zz001d3f6d,1,In progress,Page,neuropsych/masters/21198-zz001d3f6d-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13790w9,
Mental Health Archive,ark:/21198/z137918n,ark:/21198/zz001njjc5,1,In progress,Page,neuropsych/masters/21198-zz001njjc5-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz137918n,
Mental Health Archive,ark:/21198/z13b7qvt,ark:/21198/zz001njq1d,1,In progress,Page,neuropsych/masters/21198-zz001njq1d-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b7qvt,
Mental Health Archive,ark:/21198/z13f6f8j,ark:/21198/zz001njnm7,1,In progress,Page,neuropsych/masters/21198-zz001njnm7-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f6f8j,
Mental Health Archive,ark:/21198/z13f6fkk,ark:/21198/zz0026vrrs,1,In progress,Page,neuropsych/masters/21198-zz0026vrrs-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f6fkk,
Mental Health Archive,ark:/21198/z13j5454,ark:/21198/zz001d3hn3,1,In progress,Page,neuropsych/masters/21198-zz001d3hn3-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j5454,
Mental Health Archive,ark:/21198/z13j549x,ark:/21198/zz001dzmfn,1,In progress,Page,neuropsych/masters/21198-zz001dzmfn-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j549x,
Mental Health Archive,ark:/21198/z13j54g5,ark:/21198/zz001njhfq,1,In progress,Page,neuropsych/masters/21198-zz001njhfq-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j54g5,
Mental Health Archive,ark:/21198/z13j54pv,ark:/21198/zz0025hp75,1,In progress,Page,neuropsych/masters/21198-zz0025hp75-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j54pv,
Mental Health Archive,ark:/21198/z13n3tr9,ark:/21198/zz001dxr8j,1,In progress,Page,neuropsych/masters/21198-zz001dxr8j-2-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n3tr9,
Mental Health Archive,ark:/21198/z13n3tsr,ark:/21198/zz001dzjcn,1,In progress,Page,neuropsych/masters/21198-zz001dzjcn-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n3tsr,
Mental Health Archive,ark:/21198/z13n3tt6,ark:/21198/zz001ndrmw,1,In progress,Page,neuropsych/masters/21198-zz001ndrmw-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n3tt6,
Mental Health Archive,ark:/21198/z13n3tvn,ark:/21198/zz001nhcjw,1,In progress,Page,neuropsych/masters/21198-zz001nhcjw-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n3tvn,
Mental Health Archive,ark:/21198/z13n3vcs,ark:/21198/zz0026vrpr,1,In progress,Page,neuropsych/masters/21198-zz0026vrpr-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n3vcs,
Mental Health Archive,ark:/21198/z13n3vg4,ark:/21198/zz00293bg7,1,In progress,Page,neuropsych/masters/21198-zz00293bg7-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n3vg4,
Mental Health Archive,ark:/21198/z13r2j34,ark:/21198/zz001d3ftq,1,In progress,Page,neuropsych/masters/21198-zz001d3ftq-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2j34,
Mental Health Archive,ark:/21198/z13r2j4k,ark:/21198/zz001d3h4b,1,In progress,Page,neuropsych/masters/21198-zz001d3h4b-2-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2j4k,
Mental Health Archive,ark:/21198/z13r2j9t,ark:/21198/zz001nhcz3,1,In progress,Page,neuropsych/masters/21198-zz001nhcz3-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2j9t,
Mental Health Archive,ark:/21198/z13r2jfm,ark:/21198/zz001njjpt,1,In progress,Page,neuropsych/masters/21198-zz001njjpt-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2jfm,
Mental Health Archive,ark:/21198/z13r2jhh,ark:/21198/zz001njp0d,1,In progress,Page,neuropsych/masters/21198-zz001njp0d-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2jhh,
Mental Health Archive,ark:/21198/z13r2jmv,ark:/21198/zz0025hmpx,1,In progress,Page,neuropsych/masters/21198-zz0025hmpx-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2jmv,
Mental Health Archive,ark:/21198/z13v17fj,ark:/21198/zz001d3k49,1,In progress,Page,neuropsych/masters/21198-zz001d3k49-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v17fj,
Mental Health Archive,ark:/21198/z13v17xt,ark:/21198/zz0025hg57,1,In progress,Page,neuropsych/masters/21198-zz0025hg57-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v17xt,
Mental Health Archive,ark:/21198/z13x9xwc,ark:/21198/zz001d3frp,1,In progress,Page,neuropsych/masters/21198-zz001d3frp-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13x9xwc,
Mental Health Archive,ark:/21198/z13x9z21,ark:/21198/zz001hd6hz,1,In progress,Page,neuropsych/masters/21198-zz001hd6hz-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13x9z21,
