Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,viewingHint,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.creatorCorporate,Subject,Name.subject,Language,Name.photographer,Name.interviewer,Name.creator,Name.interviewee,Name.contributor,Publisher.publisherName,Format.extent,Relation.isPartOf,Title,Date.creation,Description.abstract,Coverage.geographic,Description.tableOfContents,AltTitle.uniform,Description.note,Alt ID.local,Publisher.placeOfOrigin,Format.medium,Description.caption,Format.dimensions,Relation.hasPart,IIIF Manifest URL
Mental Health Archive,ark:/21198/zz001d3f6d,ark:/21198/zz001d36st,1,In progress,Work,,31,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13790w9,private,individuals,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental health services--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,4 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,Curtailment Implementation - Impact Statement Form,2005-2006,Mitigation Action 8 - Transformation of 1115 Waiver Services to MHSA; client transfers,Los Angeles County,,,,Transform 1115 Waiver To MHSA,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3f6d/manifest
Mental Health Archive,ark:/21198/zz001d3f7x,ark:/21198/zz001d36st,1,In progress,Work,,32,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k94zr7,private,individuals,,manuscripts (document genre)|~|data tables,pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County--Budget|~|Mentally ill--Data--California--Los Angeles County,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,2 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,Service Levels by Funding Source and Age Group for Non Medi-Cal Outpatient Services - Fiscal Year 2002-2003,03/2002|~|2002-2003,DMH Service Levels by Funding Source and Age Groups for Non Medi-Cal Outpatient Services Fiscal Year 2002-2003,Los Angeles County,,,,NonMediCalOutpatient ServicesbyAge,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3f7x/manifest
Mental Health Archive,ark:/21198/zz001d3f8f,ark:/21198/zz001d36st,1,In progress,Work,,33,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s3g7p,private,individuals,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County,,eng,,,"Fullmore, Cora",,,LA County Department of Mental Health,8 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,Minds and Matters,05/2005|~|May 2005,,Los Angeles County,In this issue:2. Director's Message3. Kerr's Kolumn;  Clinically Speaking4. May is Mental Health Month5. Outstanding Nurse; KUDOS; Retirees6. Co-occurring Mental Illness7. Project Search; Housing Quest8. Cora's Corner,,,Department of Mental Health Newsletter,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3f8f/manifest
Mental Health Archive,ark:/21198/zz001d3f9z,ark:/21198/zz001d36st,1,In progress,Work,,34,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s6f39,private,individuals,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental health services--California--Los Angeles County,,eng,,,"Innes-Gomberg, Debbie",,,UCLA Center for History Culture and Neuroscience,7 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,Full Service Partnership - Mental Health Services Act Adult Systems of Care Transformation,April-May 2006,,Los Angeles County,,Correspondence between DMH and SEIU,"Correspondence between Debbie Innes-Gomberg, Denise Scates, an Interim Personel Officer at the Department of Mental Health, and Channing Hawkins, a field representative of the Service Employees International Union, discussing the implementation of the Full Service Partnership for the MHSA.",200604And05TransformationCorrDMHUnions,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3f9z/manifest
Mental Health Archive,ark:/21198/zz001d3fbg,ark:/21198/zz001d36st,1,In progress,Work,,35,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck04nb,private,individuals,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County--Budget|~|Mental Health Services--California--Los Angeles County--Contract Clinics,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,1 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,Fiscal Year 06-07 Community Support Services - Transformation Only Contract Providers Form,2006|~|FY 06-07,Funding Request Form for Contract Providers for Fiscal Year 2006-07,Los Angeles County,,,,200607FYCSSTransfOnlyContract,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3fbg/manifest
Mental Health Archive,ark:/21198/zz001d3fc0,ark:/21198/zz001d36st,1,In progress,Work,,36,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17s9cx2,private,individuals,,manuscripts (document genre)|~|data tables,pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County--Budget|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental Health Services--California--Los Angeles County--Contract Clinics,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,1 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,Fiscal Year 2006-07 Community Support Services - Gross Program Contract Providers Form,2006|~|FY 2006-07,Contract Providers Form covering all aspects of the Community Support Services program. Some segments filled out.,LA County,,,,200607FYMHSACSSGrossProgContract,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3fc0/manifest
Mental Health Archive,ark:/21198/zz001d3fdh,ark:/21198/zz001d36st,1,In progress,Work,,50,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1418n9d,private,individuals,,manuscripts (document genre)|~|data tables,pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County--Budget|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental Health Services--California--Los Angeles County--DMH Clinics|~|Mental Health Services--California--Los Angeles County--Contract Clinics,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,1 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,Fiscal Year 2006-07 Community Support Services - Gross Program Contract Providers and Directly Operated Clinics Summary,2006|~|FY 2006-07,Contract Providers and Directly Operated Clinics Form covering all aspects of the costs Community Support Services program. Some segments filled out.,LA County,,,,200607FYMHSACSSGrossProgContractDOClinics,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3fdh/manifest
Mental Health Archive,ark:/21198/zz001d3ff1,ark:/21198/zz001d36st,1,In progress,Work,,96,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c6kzj,private,individuals,,manuscripts (document genre)|~|data tables,pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County--Budget|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental Health Services--California--Los Angeles County--DMH Clinics|~|Mental Health Services--California--Los Angeles County--Contract Clinics,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,1 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,Fiscal Year 2006-07 Community Support Services - Gross Program Contract Providers and Directly Operated Clinics Form,2006|~|FY 2006-07,Contract Providers and Directly Operated Clinics Form covering all aspects of the Community Support Services program. Some segments filled out.,LA County,,,,200607FYMHSACSSGrossProgContractDOClinicsForm,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3ff1/manifest
Mental Health Archive,ark:/21198/zz001d3fgj,ark:/21198/zz001d36st,1,In progress,Work,,84,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv5bsc,private,individuals,,manuscripts (document genre)|~|data tables,pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County--Budget|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental Health Services--California--Los Angeles County--DMH Clinics,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,2 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,Fiscal Year 06-07 Community Support Services - Transformation Only Directly Operated Clinics Form,2006|~|FY 2006-07,Directly Operated Clinics Form coveringthe cost of Transformation through the Community Support Services program. Some segments filled out.  2nd page blank.,LA County,,,,200607FYMHSACSSTransfOnlyDOClinicsForm,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3fgj/manifest
Mental Health Archive,ark:/21198/zz001d3fh2,ark:/21198/zz001d36st,1,In progress,Work,,92,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb3v6v,private,individuals,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mentally ill--Care--California--Los Angeles County|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental health services--California--Los Angeles County,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,10 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,Board and Care Countywide Population Workgroup Final Report,2/28/2004|~|2004,"Final Report of Board and Care Workgroup, with Bibliography, Prop 63 Cluster (DIG), Indicators for Residential Care Facilities, and Guidelines for Completing Needs Assessment Template.",Los Angeles County,,,,20040228BoardandCareWorkgroupReport,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3fh2/manifest
Mental Health Archive,ark:/21198/zz001d3fjk,ark:/21198/zz001d36st,1,In progress,Work,,55,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x414g,private,individuals,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental health services--California--Los Angeles County|~|Mentally ill--Recovery--California--Los Angeles County|~|Mental Health Services--California--Los Angeles County--DMH Clinics|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,2 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,Transforming the DMH Adult System of Care: A Recovery-Focused Integrated Treatment Approach,2/28/2004|~|2005,Status Report of ASOC Work Group for ASOC Transformation within Directly Operated Clinics,LA County,,,,TransformDMHASOC,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3fjk/manifest
Mental Health Archive,ark:/21198/zz001d3fk3,ark:/21198/zz001d36st,1,In progress,Work,,66,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd2rxc,private,individuals,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,"Allen, Jim",,,UCLA Center for History Culture and Neuroscience,2 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,Adult Systems of Care Transformation Retreat Invite,03/01/2005|~|March-April 2005,,LA County Department of Mental Health,,,"Invitation to ASOC Transformation Retreat April 4, 2005",20050301TransformationRetreatInvite,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3fk3/manifest
Mental Health Archive,ark:/21198/zz001d3fmm,ark:/21198/zz001d36st,1,In progress,Work,,37,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw18dt,private,individuals,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,3 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,Adult Systems of Care Transformation Workgroup Meeting Summary,03/08/2005|~|March-April 2005,,LA County Department of Mental Health,,,"Meeting Summary of ASOC Transformation Workgroup March 8, 2005, with agenda for April 4 retreat",20050308ASOCTransformWorkgroup,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3fmm/manifest
Mental Health Archive,ark:/21198/zz001d3fn4,ark:/21198/zz001d36st,1,In progress,Work,,64,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p7qq1,private,individuals,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,3 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,West Los Angeles Geographic Initiative Summary of Training to Support the Transformation of Adult Systems of Care,03/14/2005|~|March 2005,,West Los Angeles,,,"Summary of March 14, 2005, Meeting to set Staff Training Objectives and Action Steps for ASOC Transformation.  1 blank page.",20050314WestLAGITransformTraining,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3fn4/manifest
Mental Health Archive,ark:/21198/zz001d3fpn,ark:/21198/zz001d36st,1,In progress,Work,,57,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd5qq3,private,individuals,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental Health Services $z California,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,2 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,MHSA Community Services and Supports Principles Regarding Distribution of Funds Draft,03/15/2005|~|2005-2008,MHSA Principles for Distribution of Funds to Counties.  Draft for Stakeholder Input.,California,,,,2005-2008 Draft Funds Distribution Proposal,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3fpn/manifest
Mental Health Archive,ark:/21198/zz001d3fq5,ark:/21198/zz001d36st,1,In progress,Work,,59,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw47bb,private,individuals,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental health services--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,4 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,Update: Transformation of the Adult System of Care,03/19/2005|~|March 2005,"Status Update 3/19/05 on Transformation Components:  Training, Staff and Program, Outcomes and Data Collection, Financial Management, Flex Funds",Los Angeles County,,Transformation of the Adult System of Care Meeting Update Minutes,,ASOCTransUpdate,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3fq5/manifest
Mental Health Archive,ark:/21198/zz001d3frp,ark:/21198/zz001d36st,1,In progress,Work,,67,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13x9xwc,private,individuals,,manuscripts (document genre)|~|data tables,pd_holder,,ASOC Transformation Documents|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental Health Services $z California,,eng,,,none given,,,UCLA Center for History Culture and Neuroscience,,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,California Department of Mental Health Summary of Estimated Funding Amounts by Mental Health Services Component,03/30/2005|~|2004-2008,Summary of Estimated Funding Amounts by MHSA Component FY 2004-05 through 2007-08,California,,,,20050330CADMHEstMHSAFundingComponents|~|http://digilib.library.ucla.edu/neuropsych/pdf/masters/21198-zz001d3frp-1-master.pdf,,,,1 p.,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3frp/manifest
Mental Health Archive,ark:/21198/zz001d3fs6,ark:/21198/zz001d36st,1,In progress,Work,,51,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1059649,private,individuals,,manuscripts (document genre),pd_holder,,ASOC Transformation Documents|~|Mental Health Services--California--Mental Health Services Act of 2005|~|Mental health services--California--Los Angeles County|~|Mentally ill--Recovery--California--Los Angeles County|~|Mental health services--California--Los Angeles County--Transformation,,eng,,,none given,,"Innes-Gomberg, Debbie|~|Daly, Kathleen|~|Southard, Marvin",UCLA Center for History Culture and Neuroscience,30 p.,DMH Archive|~|LA County Department of Mental Health -- ASOC Transformation Files,April 2005 Transformation Training Conference,"4/04/2005|~|Feb-April, 2005",,Los Angeles County,"April 4, 2005 Los Angeles County Department of Mental Health Conference on Transforming the Adult System of Care: Achieving Recovery.  Program, Daly slide presentation, resource materials, and announcements of future conferences.  Other contributors include Richard Van Horn, Bruce Anderson, Ron Schraiber, Martha Long, and Mark Ragins.",,,Transforming the Adult System of Care:  Achieving Recovery,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3fs6/manifest
Mental Health Archive,ark:/21198/zz001d3ftq,ark:/21198/zz001d36st,1,In progress,Work,,102,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2j34,private,individuals,,data tables,,,ASOC Transformation Documents|~|Mental Health Services $z California,,eng,,,none given,,,,,DMH Database,MHSA Draft Age Group Indicators,Unknown,Draft table data about Age breakdown for MHSA,Los Angeles County,,,,http://digilib.library.ucla.edu/neuropsych/pdf/masters/21198-zz001d3ftq-1-master.pdf,DMH,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3ftq/manifest
