Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.creator,Author,Rights.servicesContact,Language,Type.genre,Subject,Name.subject,Name.repository,Name.contributor,viewingHint,Text direction,Visibility,IIIF Range,Title,Date.normalized,Date.creation,Description.note,Description.inscription,Description.abstract
Cruikshank (Margaret) Collection,ark:/21198/zz0019sg32,ark:/21198/zz0019sg0h,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019sg32_739544_master.tif,2,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019t8zj,ark:/21198/zz0019rrzd,2,Completed,ChildWork,,17,,,,text,copyrighted,N,published,Stanford (Calif.),,"Allen, Jeffner, 1947",,eng,,"Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Feminist Press|~|Stanford University. Center for Research on Women",,,,,,,Review of Lesbian Studies - Past and Present,1981/1983,Between 1981 and 1983,Rights.statementLocal: Need to obtain permission to publish from original author.,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019t90j,ark:/21198/zz0019t8zj,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019t90j_741795_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019t912,ark:/21198/zz0019rrzd,2,Completed,ChildWork,,15,,,,text,copyrighted,N,published,United States,Feminist Collections Quarterly,Unknown,,eng,,"Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Feminist Press",,,,,,,Review of Lesbian Studies - Past and Present,1983,1983,Rights.statementLocal: Need to obtain permission to publish from original author.|~|Rights.statementLocal: Original author unknown.,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019t92k,ark:/21198/zz0019t912,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019t92k_741814_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019t933,ark:/21198/zz0019rrzd,2,Completed,ChildWork,,8,,,,text,copyrighted,N,published,United States,,"Daly, Mary Ann",,eng,,"Lesbians--History|~|Lesbians in literature|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Washington Blade, Inc.|~|Feminist Press",,,,,,,Review of Lesbian Studies - Past and Present,1983-04-08,"April 8, 1983",,Rights.statementLocal: Need to obtain permission to publish from original author.,
Cruikshank (Margaret) Collection,ark:/21198/zz0019t954,ark:/21198/zz0019t933,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019t954_741825_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019t9kb,ark:/21198/zz0019rrzd,2,Completed,ChildWork,,4,,,,text,copyrighted,N,published,United States,Feminist Press,Unknown,,eng,,"Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,,,,,Announcement of Publication of Lesbian Studies - Past and Present,1982,1982,Rights.statementLocal: Original author unknown.,Rights.statementLocal: Need to obtain permission to publish from original author.,
Cruikshank (Margaret) Collection,ark:/21198/zz0019t9xh,ark:/21198/zz0019t9kb,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019t9xh_741835_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tbmb,ark:/21198/zz0019rrzd,2,Completed,ChildWork,,12,,,,text,copyrighted,unknown,unknown,Santa Barbara (Calif.),"University of California, Santa Barbara",,,eng,,"Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,,,,,Flyer Announcement of Faculty Lecture on Lesbian Studies,1983,1983,Rights.statementLocal: Unsure whether permission is granted to reproduce flyers.,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tcqc,ark:/21198/zz0019tbmb,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tcqc_741847_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tcrw,ark:/21198/zz0019rrzd,2,Completed,ChildWork,,14,,,,text,copyrighted,unknown,unknown,San Francisco (Calif.),City College of San Francisco,,,eng,,"Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,,,,,Flyer Announcement of Faculty Lecture on Lesbian Studies,1983,1983,Rights.statementLocal: Unsure whether permission is granted to reproduce flyers.,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tcsd,ark:/21198/zz0019tcrw,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tcsd_741858_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tcvf,ark:/21198/zz0019rrzd,2,Completed,ChildWork,,6,,,,text,copyrighted,N,published,United States,,"Noll, Dolores",,eng,,"Lesbians--History|~|Lesbians in literature|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Gay Studies Newsletter|~|Feminist Press",,,,,,,Review of Lesbian Studies - Past and Present,1982-03,"March, 1983",,Rights.statementLocal: Need to obtain permission to publish from original author.,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tcwz,ark:/21198/zz0019tcvf,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tcwz_741873_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tcxg,ark:/21198/zz0019tcvf,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tcxg_741883_master.tif,2,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tcz0,ark:/21198/zz0019rrzd,2,Completed,ChildWork,,3,,,,text,copyrighted,N,published,United States,,"Douglas, Carol Anne",,eng,,"Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Feminist Press|~|Off Our Backs: The Feminist Newsjournal",,,,,,,Review of Lesbian Studies - Past and Present,1982-02,"February, 1982",,Rights.statementLocal: Need to obtain permission to publish from original author.,
Cruikshank (Margaret) Collection,ark:/21198/zz0019td00,ark:/21198/zz0019tcz0,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019td00_741913_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019td1h,ark:/21198/zz0019rrzd,2,Completed,ChildWork,,9,,,,text,copyrighted,N,published,United States,,"MacLean, Judy, 1946- ",,eng,,"Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Feminist Press|~|Advocate Press",,,,,,,Article and Review of Lesbian Studies - Past and Present,1982-04-14,"April 14, 1983",,Rights.statementLocal: Need to obtain permission to publish from original author.,
Cruikshank (Margaret) Collection,ark:/21198/zz0019td3j,ark:/21198/zz0019td1h,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019td3j_741927_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019td42,ark:/21198/zz0019rrzd,2,Completed,ChildWork,,11,,,,text,copyrighted,N,published,United States,,"Barrington, Judith",,eng,,"Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Feminist Press",,,,,,,Review of Lesbian Studies - Past and Present,1982/1983,Between 1982 and 1983,,Rights.statementLocal: Need to obtain permission to publish from original author.,
Cruikshank (Margaret) Collection,ark:/21198/zz0019td5k,ark:/21198/zz0019td42,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019td5k_741933_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019td63,ark:/21198/zz0019rrzd,2,Completed,ChildWork,,10,,,,text,copyrighted,unknown,unknown,San Francisco (Calif.),Women's Vision and Books,,,eng,,"Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Feminist Press",,,,,,,Book Party Announcement for Lesbian Studies - Past and Present,1983-11,"November, 1983",Rights.statementLocal: Unsure as to whether permission is granted to reproduce flyers.,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019td7m,ark:/21198/zz0019td63,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019td7m_741941_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019td84,ark:/21198/zz0019rrzd,2,Completed,ChildWork,,2,,,,text,copyrighted,unknown,unknown,San Francisco (Calif.),San Francisco Public Library,,,eng,,"Lesbians--History|~|Lesbians in literature|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Feminist Press",,,,,,,Flyer for Trends in Lesbian Publishing Lecture at San Francisco Public Library,1982-01-13,"January 13, 1982",Rights.statementLocal: Unsure as to whether permission is granted to reproduce flyers.,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019td9n,ark:/21198/zz0019td84,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019td9n_741957_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tdb5,ark:/21198/zz0019rrzd,2,Completed,ChildWork,,1,,,,text,copyrighted,Y,unpublished,United States,,"Cruikshank, Margaret",,eng,,"Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies",,,,,,,,Breakdown of Expenses for Lesbian Studies - Past and Future,1981-01-16,"January 16, 1981",,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tdcp,ark:/21198/zz0019tdb5,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tdcp_741973_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tj7j,ark:/21198/zz0019s1zq,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tj7j_742275_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tj82,ark:/21198/zz0019s1zq,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tj82_742278_master.tif,2,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tj9k,ark:/21198/zz0019s1zq,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tj9k_742281_master.tif,3,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjb3,ark:/21198/zz0019s1zq,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tjb3_742284_master.tif,4,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjcm,ark:/21198/zz0019rz3c,2,Completed,ChildWork,,2,,,,text,copyrighted,N,unpublished,United States,,"Phillips, Liz",,eng,,"Lesbians--History|~|Lesbians--Legal status, laws, etc.|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,,,,,Notes on Tentative Reorganization of Lesbian Studies Anthology,1980-06-06,"June 6, 1980",Rights.statementLocal: Need to obtain permission to publish from original author.,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjd4,ark:/21198/zz0019tjcm,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tjd4_742288_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjfn,ark:/21198/zz0019tjcm,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tjfn_742293_master.tif,2,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjg5,ark:/21198/zz0019rz3c,2,Completed,ChildWork,,3,,,,text,copyrighted,Y,unpublished,United States,,"Cruikshank, Margaret",,eng,,"Lesbians--History|~|Lesbians--Legal status, laws, etc.|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies",,,,,,,,List of Tentative Contents of Lesbian Studies Anthology,1980/1981,Between 1980 and 1981,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjhp,ark:/21198/zz0019tjg5,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tjhp_742299_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjj6,ark:/21198/zz0019rz3c,2,Completed,ChildWork,,4,,,,text,copyrighted,Y,unpublished,United States,,"Cruikshank, Margaret",,eng,,"Lesbians--History|~|Lesbians--Legal status, laws, etc.|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies",,,,,,,,Lesbian Studies - Past and Present Anthology - Original Proposal,1980/1981,Between 1980 and 1981,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjkq,ark:/21198/zz0019tjj6,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tjkq_742305_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjm7,ark:/21198/zz0019tjj6,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tjm7_742308_master.tif,2,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjnr,ark:/21198/zz0019tjj6,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tjnr_742311_master.tif,3,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjp8,ark:/21198/zz0019tjj6,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tjp8_742314_master.tif,4,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjqs,ark:/21198/zz0019tjj6,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tjqs_742318_master.tif,5,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjr9,ark:/21198/zz0019tjj6,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tjr9_742321_master.tif,6,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjst,ark:/21198/zz0019tjj6,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tjst_742326_master.tif,7,,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjtb,ark:/21198/zz0019tjj6,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tjtb_742330_master.tif,8,,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjvv,ark:/21198/zz0019tjj6,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tjvv_742335_master.tif,9,,,,,,,,,,,,,,,,,,,,,,Page 9,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjwc,ark:/21198/zz0019tjj6,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tjwc_742338_master.tif,10,,,,,,,,,,,,,,,,,,,,,,Page 10,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjxw,ark:/21198/zz0019tjj6,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tjxw_742341_master.tif,11,,,,,,,,,,,,,,,,,,,,,,Page 11,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjzd,ark:/21198/zz0019tjj6,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tjzd_742344_master.tif,12,,,,,,,,,,,,,,,,,,,,,,Page 12,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tk0d,ark:/21198/zz0019tjj6,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tk0d_742348_master.tif,13,,,,,,,,,,,,,,,,,,,,,,Page 13,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tp2w,ark:/21198/zz0019s22r,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tp2w_742775_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tp3d,ark:/21198/zz0019s22r,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tp3d_742778_master.tif,2,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tp4x,ark:/21198/zz0019s22r,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tp4x_742781_master.tif,3,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tp5f,ark:/21198/zz0019s22r,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tp5f_742784_master.tif,4,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tp6z,ark:/21198/zz0019s22r,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tp6z_742787_master.tif,5,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tp7g,ark:/21198/zz0019s22r,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tp7g_742790_master.tif,6,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tp80,ark:/21198/zz0019s20q,2,Completed,ChildWork,,5,,,,text,copyrighted,Y,unpublished,San Francisco (Calif.),,"Cruikshank, Margaret",,eng,,"Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies",Feminist Press|~|City College of San Francisco|~|Grey Fox Press,,,,,,,Lesbian and Feminist Publishing - City College San Francisco Panel Talk,1979/1986,Between 1979 and 1986,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tp9h,ark:/21198/zz0019tp80,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tp9h_742820_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tpb1,ark:/21198/zz0019tp80,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tpb1_742829_master.tif,2,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tpcj,ark:/21198/zz0019tp80,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tpcj_742838_master.tif,3,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tpd2,ark:/21198/zz0019s20q,2,Completed,ChildWork,,1,,,,text,copyrighted,Y,unpublished,United States,,"Cruikshank, Margaret",,eng,,"Lesbians in literature|~|Lesbians' writings, American--History and criticism|~|Feminism--England--History|~|Lesbian studies|~|Feminism--History--19th century","Bodichon, [Eugène], 1810?-1885|~|Bodichon, Barbara Leigh Smith, 1827-1891",,,,,,,"""Barbara Bodichon: Victorian Feminist"" - Unpublished Article",1978/1985,Between 1978 and 1985,"Unpublished paper cited by Dale Spender in ""Feminist Theorists.""",,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tpfk,ark:/21198/zz0019tpd2,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tpfk_742979_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tpg3,ark:/21198/zz0019tpd2,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tpg3_742983_master.tif,2,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,
